[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140225,0.00000025,0.00000025,0.00000007,0.00000013,1.37191723,11985811.59538462
20140226,0.00000009,0.00000013,0.00000008,0.00000008,1.98728879,22078776.21054808
20140227,0.00000009,0.00000010,0.00000006,0.00000009,0.10585966,1094520.70000000
20140228,0.00000006,0.00000009,0.00000006,0.00000009,0.00847934,119655.71123677
20140301,0.00000009,0.00000011,0.00000009,0.00000010,0.37248192,3572619.29000000
20140302,0.00000010,0.00000020,0.00000006,0.00000007,0.04166389,504085.35000000
20140303,0.00000012,0.00000019,0.00000007,0.00000007,0.05921730,471222.13415075
20140304,0.00000007,0.00000011,0.00000007,0.00000011,0.06627177,937650.18425006
20140305,0.00000008,0.00000008,0.00000003,0.00000008,0.04434105,601610.00424842
20140306,0.00000008,0.00000011,0.00000005,0.00000005,0.06319650,669947.24485733
20140307,0.00000010,0.00000011,0.00000005,0.00000006,0.13771932,1646769.00000000
20140308,0.00000006,0.00000009,0.00000006,0.00000009,0.00051071,7203.20645754
20140309,0.00000009,0.00000010,0.00000009,0.00000010,0.01003020,102503.39477123
20140310,0.00000006,0.00000007,0.00000006,0.00000007,0.01278909,209486.01819376
20140311,0.00000008,0.00000008,0.00000007,0.00000007,0.00129082,16772.96875740
20140312,0.00000008,0.00000011,0.00000007,0.00000007,0.05091849,646410.83552152
20140313,0.00000007,0.00000007,0.00000007,0.00000007,0.07051568,1007367.27682650
20140314,0.00000009,0.00000009,0.00000005,0.00000009,0.05477680,649076.63696603
20140315,0.00000006,0.00000006,0.00000005,0.00000005,0.00503559,95963.83590000
20140316,0.00000008,0.00000008,0.00000005,0.00000005,0.00122435,16304.60000000
20140317,0.00000005,0.00000006,0.00000005,0.00000006,0.00855484,146749.99708859
20140318,0.00000006,0.00000006,0.00000005,0.00000005,0.00180279,35112.40599958
20140320,0.00000007,0.00000007,0.00000007,0.00000007,0.00577500,82500.00000000
20140321,0.00000005,0.00000005,0.00000005,0.00000005,0.00218346,43669.25934020
20140323,0.00000006,0.00000006,0.00000006,0.00000006,0.00026999,4499.99900000
20140324,0.00000006,0.00000006,0.00000005,0.00000005,0.00072280,12696.37472316
20140327,0.00000005,0.00000005,0.00000005,0.00000005,0.00329792,65958.40704404
20140328,0.00000006,0.00000006,0.00000006,0.00000006,0.00006502,1083.83333333
20140330,0.00000005,0.00000005,0.00000005,0.00000005,0.04463156,892631.35389302
20140331,0.00000005,0.00000005,0.00000004,0.00000004,0.00057248,11649.60000000
20140401,0.00000004,0.00000005,0.00000004,0.00000005,0.00199769,45561.97877960
20140402,0.00000006,0.00000006,0.00000004,0.00000004,0.00540995,117665.51707198
20140403,0.00000007,0.00000007,0.00000007,0.00000007,0.02411499,344500.00000000
20140405,0.00000004,0.00000004,0.00000004,0.00000004,0.00347934,86983.52122040
20140408,0.00000006,0.00000006,0.00000006,0.00000006,0.00030799,5133.30000000
20140410,0.00000005,0.00000005,0.00000005,0.00000005,0.00011040,2208.16666667
20140411,0.00000005,0.00000005,0.00000005,0.00000005,0.00233740,46748.00000000
20140413,0.00000003,0.00000003,0.00000003,0.00000003,0.00030000,10000.00000000
20140414,0.00000004,0.00000004,0.00000004,0.00000004,0.01498753,374688.42700210
20140415,0.00000003,0.00000003,0.00000003,0.00000003,0.00003970,1323.45534551
20140416,0.00000003,0.00000003,0.00000003,0.00000003,0.01042199,347400.00000000
20140417,0.00000003,0.00000003,0.00000003,0.00000003,0.00222000,74000.00000000
20140418,0.00000003,0.00000004,0.00000003,0.00000003,0.00714524,238008.58301891
20140419,0.00000005,0.00000005,0.00000005,0.00000005,0.00339151,67830.40000000
20140420,0.00000003,0.00000003,0.00000003,0.00000003,0.01974749,658249.90000000
20140421,0.00000003,0.00000003,0.00000003,0.00000003,0.00013113,4371.00000000
20140422,0.00000003,0.00000004,0.00000003,0.00000004,0.04984507,1653686.64956084
20140423,0.00000003,0.00000003,0.00000003,0.00000003,0.00529655,176551.86032419
20140424,0.00000004,0.00000004,0.00000004,0.00000004,0.00004000,1000.00000000
20140425,0.00000004,0.00000005,0.00000004,0.00000005,0.04466327,894139.60000000
20140428,0.00000004,0.00000004,0.00000004,0.00000004,0.00008831,2208.16666667
20140429,0.00000005,0.00000012,0.00000005,0.00000009,0.50431631,5631441.60387561
20140430,0.00000008,0.00000010,0.00000008,0.00000010,0.05367497,541937.31705830
20140501,0.00000007,0.00000007,0.00000007,0.00000007,0.00003500,500.00000000
20140503,0.00000005,0.00000005,0.00000005,0.00000005,0.00002500,500.00000000
20140504,0.00000005,0.00000007,0.00000004,0.00000004,0.00012603,2339.96273482
20140505,0.00000004,0.00000004,0.00000004,0.00000004,0.00304157,76039.89370357
20140506,0.00000005,0.00000005,0.00000004,0.00000005,0.02721041,604469.28118422
20140507,0.00000005,0.00000008,0.00000005,0.00000008,0.06410543,1210273.38056589
20140508,0.00000005,0.00000009,0.00000005,0.00000009,0.00237185,38757.00000000
20140509,0.00000009,0.00000009,0.00000009,0.00000009,0.20488500,2276500.00000000
20140510,0.00000008,0.00000009,0.00000007,0.00000007,0.08738692,1016948.70550000
20140511,0.00000009,0.00000009,0.00000009,0.00000009,0.10800843,1200093.74121000
20140512,0.00000002,0.00000010,0.00000002,0.00000009,0.94391232,10499535.56084482
20140513,0.00000003,0.00000006,0.00000003,0.00000005,0.05250056,1109670.63697557
20140514,0.00000006,0.00000006,0.00000005,0.00000005,0.00581975,113582.53220724
20140515,0.00000005,0.00000007,0.00000005,0.00000005,0.04561200,755622.79903059
20140516,0.00000006,0.00000006,0.00000005,0.00000005,0.02695455,535091.45329409
20140517,0.00000006,0.00000009,0.00000005,0.00000005,0.08787331,1631467.91956895
20140518,0.00000007,0.00000007,0.00000005,0.00000005,0.00266349,39052.74111811
20140519,0.00000006,0.00000006,0.00000005,0.00000005,0.02184527,424773.43984562
20140520,0.00000005,0.00000006,0.00000005,0.00000005,0.00984437,185655.79478497
20140521,0.00000005,0.00000005,0.00000005,0.00000005,0.03634701,726941.58089075
20140522,0.00000004,0.00000009,0.00000004,0.00000005,0.13237086,1559498.95464734
20140523,0.00000005,0.00000008,0.00000004,0.00000005,0.13558429,3175102.53979959
20140524,0.00000004,0.00000005,0.00000004,0.00000005,0.03087373,659589.95527541
20140525,0.00000005,0.00000005,0.00000004,0.00000005,0.03209953,646193.97834024
20140526,0.00000005,0.00000007,0.00000004,0.00000004,0.05366153,896384.56972082
20140527,0.00000004,0.00000005,0.00000004,0.00000004,0.00674608,142334.42411629
20140529,0.00000004,0.00000005,0.00000004,0.00000005,0.00023128,4790.52605640
20140530,0.00000004,0.00000004,0.00000003,0.00000004,0.00141045,36160.74226823
20140531,0.00000004,0.00000005,0.00000001,0.00000002,0.05710464,2256474.63508936
20140601,0.00000004,0.00000006,0.00000002,0.00000003,0.15810865,3312118.01710016
20140602,0.00000002,0.00000006,0.00000002,0.00000003,0.02427215,561959.36638096
20140603,0.00000004,0.00000004,0.00000003,0.00000004,0.04648701,1292115.18434436
20140604,0.00000004,0.00000005,0.00000002,0.00000003,0.12199702,3119240.46322048
20140605,0.00000003,0.00000004,0.00000003,0.00000003,0.02008100,662485.01255700
20140606,0.00000003,0.00000004,0.00000003,0.00000003,0.13660261,4547089.49833887
20140607,0.00000003,0.00000004,0.00000003,0.00000003,0.89419443,25694715.57733304
20140608,0.00000003,0.00000005,0.00000003,0.00000003,0.98536813,29483373.93588196
20140609,0.00000003,0.00000009,0.00000003,0.00000005,3.34153156,63446259.69122992
20140610,0.00000006,0.00000013,0.00000005,0.00000006,6.33263275,88366365.65277977
20140611,0.00000006,0.00000007,0.00000004,0.00000006,4.41809898,79874727.34729968
20140612,0.00000005,0.00000007,0.00000004,0.00000007,3.35921665,58360828.93989114
20140613,0.00000007,0.00000008,0.00000006,0.00000008,6.46483703,93673569.12966608
20140614,0.00000008,0.00000009,0.00000006,0.00000006,4.89975750,65579276.92194209
20140615,0.00000007,0.00000008,0.00000006,0.00000007,2.52913515,36265691.77236249
20140616,0.00000006,0.00000008,0.00000005,0.00000006,2.12464420,34842959.51599915
20140617,0.00000005,0.00000007,0.00000005,0.00000005,1.49981601,25337651.91907842
20140618,0.00000006,0.00000007,0.00000005,0.00000006,1.55474589,25059360.94926314
20140619,0.00000006,0.00000007,0.00000005,0.00000007,0.92293463,15388726.12305073
