[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161007,0.04000000,0.04000000,0.01010365,0.01075687,8.54734171,724.13686108
20161008,0.01113690,0.01207170,0.00968053,0.01110000,12.32478249,1125.32733286
20161009,0.01128573,0.01245989,0.01050000,0.01140000,12.02509607,1069.77274339
20161010,0.01170000,0.01205431,0.01067020,0.01067020,4.86349553,428.82587371
20161011,0.01110074,0.01110074,0.00845120,0.00873182,8.49538227,855.68570765
20161012,0.00874127,0.00939273,0.00844143,0.00933569,14.23244508,1586.10550062
20161013,0.00913265,0.01095563,0.00913265,0.00970000,8.92596846,916.22175377
20161014,0.00974000,0.01180000,0.00900000,0.00925019,7.04822058,691.97948989
20161015,0.00925049,0.00925062,0.00909196,0.00909196,0.35304407,38.42957751
20161016,0.00893199,0.00941873,0.00890000,0.00893882,1.35959013,149.69338528
20161017,0.00890001,0.00916024,0.00780256,0.00790107,10.94193665,1323.45031436
20161018,0.00790108,0.00890027,0.00782186,0.00852163,0.87796681,104.99209237
20161019,0.00840607,0.00851319,0.00810124,0.00839900,5.27794253,632.74431303
20161020,0.00826838,0.00826838,0.00790536,0.00821584,0.61535413,74.95021012
20161021,0.00831361,0.00863865,0.00817697,0.00849513,2.29581758,269.98924489
20161022,0.00865588,0.00865588,0.00800000,0.00802998,2.64743555,324.62872202
20161023,0.00829549,0.00829707,0.00810000,0.00810257,0.95671181,117.39498705
20161024,0.00815800,0.00815800,0.00780774,0.00780904,0.97942722,123.83761036
20161025,0.00782005,0.00782005,0.00700005,0.00742238,1.91846760,253.07806926
20161026,0.00742235,0.00782005,0.00597364,0.00746724,2.03806929,274.53821649
20161027,0.00769896,0.00815166,0.00715443,0.00742850,3.46369319,452.96245814
20161028,0.00721469,0.00745591,0.00630457,0.00630477,0.21056964,30.89855973
20161029,0.00648544,0.00671871,0.00500487,0.00512543,6.07631476,1028.11957116
20161030,0.00594382,0.00665967,0.00581199,0.00665967,2.25214316,362.48339072
20161031,0.00645264,0.00695077,0.00584299,0.00648924,1.17354978,174.91788688
20161101,0.00615885,0.00618594,0.00485822,0.00581257,10.56474383,1971.33018724
