[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170427,2.00000000,2.00000000,0.00025013,0.00036281,262.86452275,812103.56037389
20170428,0.00036280,0.00040000,0.00031121,0.00033702,222.02729000,615665.55616458
20170429,0.00034766,0.00042290,0.00033990,0.00040173,128.90071925,344855.41055273
20170430,0.00040174,0.00049797,0.00037503,0.00046490,314.21956797,708616.27178524
20170501,0.00046488,0.00050500,0.00036285,0.00039251,561.80891857,1262837.82302762
20170502,0.00039252,0.00045952,0.00037521,0.00041377,241.62618240,589822.93647416
20170503,0.00041609,0.00050860,0.00040443,0.00050789,243.84178803,531587.85495746
20170504,0.00050793,0.00054145,0.00044452,0.00048655,400.65959856,825513.20086455
20170505,0.00048605,0.00050751,0.00037486,0.00045683,289.84627246,637941.82360314
20170506,0.00045683,0.00045718,0.00039960,0.00041108,143.45481604,336747.68914862
20170507,0.00041076,0.00042975,0.00038002,0.00039986,189.08767432,470615.87598548
20170508,0.00039986,0.00041250,0.00031008,0.00034484,209.80060275,599710.88558945
20170509,0.00033902,0.00035248,0.00025006,0.00029782,184.18101333,634868.49307723
20170510,0.00029013,0.00033000,0.00025065,0.00031880,78.44202938,263997.58384623
20170511,0.00031997,0.00032000,0.00025303,0.00029154,46.42745193,163084.13131681
20170512,0.00027126,0.00031205,0.00027126,0.00030000,64.52426092,220848.27133254
20170513,0.00030000,0.00031583,0.00028100,0.00029660,27.40674516,92092.17990895
20170514,0.00028772,0.00029491,0.00026314,0.00027500,49.36435587,179273.41144811
20170515,0.00027500,0.00029000,0.00022880,0.00028000,101.32772076,390803.54622199
20170516,0.00027533,0.00029528,0.00025071,0.00029097,58.19671650,212345.49225303
20170517,0.00028558,0.00028568,0.00024847,0.00025863,82.77368115,315184.25464962
20170518,0.00026668,0.00028820,0.00019923,0.00022000,235.81116294,1005354.78970358
20170519,0.00022000,0.00026998,0.00021000,0.00025745,185.72980871,804766.38318254
20170520,0.00024516,0.00026650,0.00022500,0.00024211,100.47721097,410420.86311515
20170521,0.00024212,0.00024212,0.00020000,0.00020667,157.27192424,725198.82363426
20170522,0.00020667,0.00023709,0.00017500,0.00020467,126.68053738,650024.76863174
20170523,0.00020380,0.00022996,0.00018500,0.00022071,81.65733074,398721.88888731
20170524,0.00022060,0.00029999,0.00019502,0.00026060,215.46215420,891415.16836889
20170525,0.00026060,0.00028500,0.00022430,0.00025890,131.35536164,521899.86828584
20170526,0.00025890,0.00027500,0.00019000,0.00024600,134.05164721,553386.51609633
20170527,0.00024600,0.00025454,0.00018555,0.00023872,75.31459364,358586.38647971
20170528,0.00023872,0.00023973,0.00018732,0.00021560,98.29983723,465177.95464257
20170529,0.00021118,0.00023293,0.00018922,0.00021319,110.17353669,526906.08437955
20170530,0.00021327,0.00025000,0.00020424,0.00024637,125.74554212,553213.98070665
20170531,0.00023668,0.00026299,0.00019800,0.00024604,191.04199600,836359.75805202
20170601,0.00025141,0.00027867,0.00024051,0.00027498,104.85214104,411941.16074730
20170602,0.00027000,0.00036000,0.00025600,0.00034600,216.92165707,697656.10037679
20170603,0.00035550,0.00038700,0.00032700,0.00034556,450.12356308,1232676.81784480
20170604,0.00034556,0.00048000,0.00033100,0.00043569,342.01874005,850926.77400718
20170605,0.00043569,0.00048112,0.00036000,0.00042798,392.53707959,939067.77643428
20170606,0.00042750,0.00043726,0.00034000,0.00042200,288.23243894,728461.54352377
20170607,0.00042201,0.00046689,0.00039730,0.00043121,323.37349913,726907.27840385
20170608,0.00042121,0.00042972,0.00037389,0.00039500,169.89026234,430328.72115296
20170609,0.00039500,0.00039920,0.00027600,0.00033398,389.64218902,1144212.36372664
20170610,0.00033496,0.00033500,0.00024001,0.00028011,288.29843993,976687.96931758
20170611,0.00028029,0.00029226,0.00024000,0.00026101,182.53702462,687637.99955378
20170612,0.00026102,0.00029899,0.00024500,0.00029100,234.68967054,873572.84922392
20170613,0.00029100,0.00029700,0.00023968,0.00026000,301.89830741,1120909.57451274
20170614,0.00027293,0.00027500,0.00023968,0.00025999,277.80700774,1071595.60500234
20170615,0.00025995,0.00027009,0.00024278,0.00026368,148.01343570,577421.94859418
20170616,0.00026180,0.00031999,0.00025551,0.00031200,165.46493347,566936.78662119
20170617,0.00031097,0.00031200,0.00027000,0.00028487,129.42476006,444704.01728711
20170618,0.00028555,0.00029897,0.00026110,0.00027754,103.83860178,375655.20046947
20170619,0.00027735,0.00028000,0.00024152,0.00025775,206.50220236,800621.32553760
20170620,0.00026098,0.00028051,0.00025501,0.00027001,163.64209028,614008.17012935
20170621,0.00027290,0.00027457,0.00024012,0.00027000,99.01701760,382895.50583241
20170622,0.00027050,0.00033097,0.00024500,0.00032999,179.16452170,641036.80396793
