[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160709,0.00190000,0.00190000,0.00151000,0.00152000,0.57053058,371.56262155
20160710,0.00141140,0.00189999,0.00130000,0.00130000,2.82247356,1909.77936565
20160711,0.00131400,0.00184903,0.00130000,0.00149000,8.04009401,5386.24858164
20160712,0.00152000,0.00189994,0.00146400,0.00170043,13.72220805,8376.08288152
20160713,0.00188715,0.00238832,0.00145654,0.00210000,41.68275862,26442.35292097
20160714,0.00182453,0.00210000,0.00154490,0.00179992,9.04591799,5240.48694508
20160715,0.00179216,0.00179216,0.00153100,0.00153100,15.81354652,9888.10656147
20160716,0.00155000,0.00170953,0.00147637,0.00152025,7.57749905,4862.29323252
20160717,0.00170667,0.00185000,0.00146370,0.00147000,16.20247752,10679.32231943
20160718,0.00147031,0.00159000,0.00100090,0.00135212,41.27788542,29157.26528029
20160719,0.00141999,0.00409367,0.00129420,0.00191000,292.26979397,141411.75994400
20160720,0.00197000,0.00240000,0.00186295,0.00190581,143.09748261,69169.27169059
20160721,0.00195710,0.00210000,0.00178262,0.00181330,62.07512463,31994.17642355
20160722,0.00181696,0.00188909,0.00160895,0.00181476,29.86368231,16760.00077095
20160723,0.00181481,0.00190000,0.00150020,0.00171817,52.69630582,30834.47330095
20160724,0.00167130,0.00171000,0.00148852,0.00149010,24.64712326,15773.15747394
20160725,0.00149903,0.00152265,0.00131062,0.00136401,106.23729577,72658.23906677
20160726,0.00142999,0.00147857,0.00121003,0.00130881,27.86484020,20854.30124764
20160727,0.00130512,0.00139199,0.00125000,0.00128450,35.88735411,27824.58699231
20160728,0.00128450,0.00144200,0.00120000,0.00140055,24.09538036,18561.65496359
20160729,0.00134027,0.00143490,0.00125002,0.00143490,28.76159240,21522.71128676
20160730,0.00143490,0.00143500,0.00129014,0.00133399,19.08695076,14171.69818190
20160731,0.00133399,0.00136676,0.00126850,0.00127100,11.30745991,8689.60033665
20160801,0.00128010,0.00133870,0.00127100,0.00129000,25.27084866,19589.36080295
20160802,0.00130115,0.00167461,0.00127000,0.00161000,72.52901473,50070.17811210
20160803,0.00161000,0.00161000,0.00136501,0.00149200,30.25499872,20480.80634371
20160804,0.00150671,0.00159457,0.00145112,0.00155000,50.38733927,32615.12929290
20160805,0.00158606,0.00158796,0.00150000,0.00152000,22.84017314,14841.65982649
20160806,0.00152013,0.00156737,0.00145138,0.00146954,13.27468802,8766.36235053
20160807,0.00152279,0.00154800,0.00141898,0.00143717,18.98931655,12587.79119044
20160808,0.00151869,0.00168900,0.00142803,0.00152302,53.48245305,34150.49932439
20160809,0.00151900,0.00155492,0.00145080,0.00150000,21.47625093,14293.98575938
20160810,0.00150000,0.00152000,0.00138500,0.00141500,22.67632999,15335.67487918
20160811,0.00141500,0.00158390,0.00138000,0.00157000,27.85336964,18596.21428783
20160812,0.00157000,0.00159899,0.00146804,0.00150209,27.30818319,17631.45538369
20160813,0.00150500,0.00160000,0.00148300,0.00149733,28.42871690,18131.72738252
20160814,0.00155702,0.00155702,0.00148300,0.00154007,14.57080689,9553.99272124
20160815,0.00154000,0.00160000,0.00154000,0.00159941,26.59500673,16853.45971012
20160816,0.00159924,0.00168999,0.00155101,0.00168999,26.60942978,16513.20626560
20160817,0.00168999,0.00181000,0.00158016,0.00167000,41.74936291,25030.85962429
20160818,0.00168845,0.00172910,0.00164048,0.00172910,13.41528339,8074.14292262
20160819,0.00172866,0.00172910,0.00161000,0.00161000,11.82759914,7161.13154467
20160820,0.00161000,0.00164992,0.00156500,0.00156500,18.58678432,11615.37333831
20160821,0.00156300,0.00161938,0.00153968,0.00157000,14.82793207,9426.70044232
20160822,0.00156000,0.00156000,0.00148300,0.00148604,10.00539474,6588.72290568
20160823,0.00150000,0.00157200,0.00149005,0.00157000,25.83128543,16980.42850766
20160824,0.00157000,0.00161990,0.00148277,0.00154000,12.21552723,7940.37798530
20160825,0.00154000,0.00161988,0.00151170,0.00157000,29.00380002,18479.59850737
20160826,0.00158345,0.00170000,0.00151716,0.00161100,49.78520433,31155.20583190
20160827,0.00161100,0.00169497,0.00158000,0.00158502,26.55458433,16295.11889238
20160828,0.00158502,0.00160000,0.00150008,0.00158087,13.26820107,8473.34984555
20160829,0.00155015,0.00157084,0.00148278,0.00153424,10.36859233,6780.17229192
20160830,0.00152516,0.00157100,0.00150000,0.00153605,20.01062917,12893.29229533
20160831,0.00151126,0.00158022,0.00150399,0.00151995,18.56524891,11962.31285259
20160901,0.00150976,0.00157551,0.00149001,0.00149001,5.13487144,3391.29097936
20160902,0.00149003,0.00151999,0.00148277,0.00148999,17.23180535,11490.74573088
20160903,0.00149000,0.00152660,0.00145000,0.00145000,10.77388115,7255.30715017
20160904,0.00145000,0.00149208,0.00133578,0.00134007,9.21808303,6650.86543308
20160905,0.00134301,0.00142400,0.00134301,0.00139240,25.05310488,17972.64219743
20160906,0.00138502,0.00143168,0.00128000,0.00129600,5.81632406,4315.48277126
20160907,0.00131000,0.00140911,0.00127100,0.00127158,3.02981033,2292.46625787
20160908,0.00127308,0.00144119,0.00120000,0.00127155,20.87281809,16590.95328063
20160909,0.00127155,0.00130000,0.00123002,0.00124140,11.71256250,9387.79658603
20160910,0.00123502,0.00140000,0.00120436,0.00139998,13.51449685,10328.89501436
20160911,0.00139988,0.00139988,0.00124001,0.00126830,4.28525278,3284.32534692
20160912,0.00128000,0.00137045,0.00126830,0.00128503,9.30617035,7150.17515418
20160913,0.00138204,0.00143998,0.00130003,0.00141801,16.33331250,11744.83743030
20160914,0.00141801,0.00144135,0.00130324,0.00143109,7.27938111,5175.58469286
20160915,0.00139008,0.00143317,0.00134700,0.00134700,8.44814402,5981.74344217
20160916,0.00134836,0.00150000,0.00131000,0.00150000,20.86941744,14529.19193387
20160917,0.00150000,0.00150000,0.00137047,0.00141010,7.52888959,5251.44129064
20160918,0.00141000,0.00146234,0.00141000,0.00141001,6.72508554,4732.04160589
20160919,0.00145643,0.00155000,0.00138209,0.00153000,17.87279879,12112.50074234
20160920,0.00153000,0.00155220,0.00147500,0.00149000,23.94547868,15915.06636128
20160921,0.00149000,0.00149000,0.00142100,0.00144100,13.00351932,8923.72948291
20160922,0.00145000,0.00151992,0.00144100,0.00147007,8.03715626,5478.41939528
20160923,0.00148007,0.00152781,0.00146200,0.00146200,24.65834476,16354.28821164
20160924,0.00149000,0.00151430,0.00148000,0.00151000,9.33330559,6200.66788066
20160925,0.00151000,0.00153498,0.00151000,0.00153000,16.72914707,10999.32655074
20160926,0.00153150,0.00154000,0.00147246,0.00152000,34.80632393,22900.00785535
20160927,0.00152000,0.00153001,0.00147684,0.00152000,16.17332882,10636.78181095
20160928,0.00152000,0.00153230,0.00147001,0.00150400,10.98878316,7222.00668859
20160929,0.00147014,0.00150399,0.00144708,0.00150000,9.11278501,6163.78547605
20160930,0.00147000,0.00153230,0.00147000,0.00147000,16.44846440,10998.73515844
20161001,0.00147000,0.00151398,0.00146000,0.00147000,21.02864908,14187.24240127
20161002,0.00147000,0.00169498,0.00147000,0.00150000,22.15670853,14582.80672568
20161003,0.00150009,0.00167999,0.00149000,0.00150000,31.39960941,20728.89755325
20161004,0.00150000,0.00152500,0.00149000,0.00151000,29.21415200,19316.53395129
20161005,0.00151001,0.00153000,0.00150000,0.00152000,8.44905153,5566.16126137
20161006,0.00152000,0.00154990,0.00150001,0.00151013,11.10547289,7295.93932856
20161007,0.00153000,0.00156000,0.00151000,0.00151500,17.82825673,11639.33400724
20161008,0.00152000,0.00156000,0.00151500,0.00155000,20.26252129,13115.24703048
20161009,0.00155000,0.00157479,0.00154000,0.00154000,6.47568445,4151.15960879
20161010,0.00155000,0.00158062,0.00152500,0.00154000,34.82804771,22500.79453287
20161011,0.00154000,0.00154000,0.00143500,0.00146000,24.12976674,16152.51443012
20161012,0.00144000,0.00148850,0.00144000,0.00148812,16.31551822,11133.90145911
20161013,0.00148803,0.00148846,0.00139501,0.00145920,9.91328045,6907.47810581
20161014,0.00143500,0.00146000,0.00143000,0.00144000,9.98095039,6906.16034241
20161015,0.00144000,0.00148850,0.00144000,0.00148000,11.27544759,7714.19819030
20161016,0.00148000,0.00149000,0.00146000,0.00147000,17.25145491,11702.25261915
20161017,0.00147000,0.00149120,0.00146000,0.00146000,15.10316128,10223.46438902
20161018,0.00148599,0.00150000,0.00146000,0.00150000,25.69249211,17356.73634813
20161019,0.00150000,0.00150002,0.00146000,0.00148000,14.06798642,9466.03554295
20161020,0.00148000,0.00150021,0.00145000,0.00146314,16.09765494,10950.65828226
