[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170523,1.00000041,1.00000042,0.00000382,0.00000427,1182.98892943,245557529.14501679
20170524,0.00000426,0.00000440,0.00000350,0.00000362,820.15314992,202726710.13849384
20170525,0.00000385,0.00000399,0.00000298,0.00000373,609.39600652,177314191.12016901
20170526,0.00000373,0.00000388,0.00000309,0.00000309,717.73316654,209666677.97222891
20170527,0.00000309,0.00000324,0.00000216,0.00000287,599.85752744,215434807.78049850
20170528,0.00000296,0.00000331,0.00000252,0.00000301,494.76056582,161555368.97875145
20170529,0.00000301,0.00000389,0.00000288,0.00000327,854.11983633,267157324.29147953
20170530,0.00000329,0.00000376,0.00000306,0.00000341,1506.07977692,442438056.50658113
20170531,0.00000340,0.00000344,0.00000292,0.00000313,760.10244846,241019622.55866078
20170601,0.00000313,0.00000350,0.00000305,0.00000340,844.93463915,259475957.48169377
20170602,0.00000340,0.00000451,0.00000331,0.00000399,1755.68491653,451556206.64728034
20170603,0.00000398,0.00000700,0.00000381,0.00000603,4393.09648410,865389075.43419695
20170604,0.00000604,0.00000699,0.00000503,0.00000569,4049.23423508,678331037.95098376
20170605,0.00000569,0.00000658,0.00000545,0.00000583,1997.11019672,328796555.34655023
20170606,0.00000583,0.00000611,0.00000494,0.00000566,1271.77255628,228833080.80201417
20170607,0.00000566,0.00000580,0.00000460,0.00000505,2530.07467224,484361121.90947771
20170608,0.00000502,0.00000542,0.00000471,0.00000522,1408.20015549,274531055.97461426
20170609,0.00000523,0.00000646,0.00000518,0.00000645,2201.43629279,376912032.50588262
20170610,0.00000645,0.00000647,0.00000530,0.00000531,1851.08778544,310069040.47882766
20170611,0.00000532,0.00000590,0.00000482,0.00000517,1085.44257448,205612462.04246461
20170612,0.00000515,0.00000588,0.00000485,0.00000525,1253.10250892,241055780.29048732
20170613,0.00000525,0.00000606,0.00000502,0.00000571,1889.93895830,335235809.34968108
20170614,0.00000572,0.00000581,0.00000540,0.00000555,873.40573130,155985176.07517031
20170615,0.00000555,0.00000569,0.00000515,0.00000560,822.00274748,151954878.81330767
20170616,0.00000560,0.00000632,0.00000545,0.00000614,1277.84759446,214299923.13250211
20170617,0.00000614,0.00000681,0.00000580,0.00000640,1889.67723045,295969639.36360836
20170618,0.00000640,0.00000669,0.00000605,0.00000616,1166.61537997,183075262.69861624
20170619,0.00000620,0.00000790,0.00000590,0.00000739,2840.17915844,408651978.41881257
20170620,0.00000739,0.00000850,0.00000681,0.00000723,3991.43455134,512577235.14297575
20170621,0.00000723,0.00000761,0.00000688,0.00000705,1404.96378483,196492009.14273459
20170622,0.00000705,0.00000759,0.00000696,0.00000740,1612.80653147,223401283.58597320
20170623,0.00000740,0.00000749,0.00000650,0.00000689,2192.03982606,315870859.87478209
20170624,0.00000689,0.00000702,0.00000653,0.00000657,968.42213953,142780391.19607043
20170625,0.00000657,0.00000675,0.00000581,0.00000606,1051.00211643,165833286.72800213
20170626,0.00000606,0.00000639,0.00000520,0.00000597,1373.19762425,238345762.81035775
20170627,0.00000599,0.00000642,0.00000548,0.00000596,1308.23258435,218913737.97486407
20170628,0.00000600,0.00000632,0.00000583,0.00000629,1021.52717776,166277855.35158804
20170629,0.00000629,0.00000632,0.00000582,0.00000590,763.50208285,126331311.22014037
20170630,0.00000590,0.00000595,0.00000557,0.00000560,506.07917760,88340796.16836210
20170701,0.00000561,0.00000576,0.00000502,0.00000521,562.03880678,104565878.84928420
20170702,0.00000521,0.00000535,0.00000485,0.00000524,700.60479854,138605306.10987657
20170703,0.00000524,0.00000554,0.00000500,0.00000534,942.30956780,179822395.13892418
20170704,0.00000535,0.00000545,0.00000509,0.00000512,576.87204964,109494844.64806806
20170705,0.00000514,0.00000515,0.00000486,0.00000498,692.26886697,138663700.48666459
20170706,0.00000499,0.00000504,0.00000468,0.00000473,749.96545340,154881623.74577209
20170707,0.00000469,0.00000476,0.00000390,0.00000410,1148.80458707,268845668.38422120
20170708,0.00000410,0.00000417,0.00000355,0.00000417,971.51810357,251379547.86920658
20170709,0.00000417,0.00000442,0.00000390,0.00000390,649.76570366,156705560.07573962
20170710,0.00000391,0.00000396,0.00000291,0.00000317,1088.38531115,312065914.08259642
20170711,0.00000317,0.00000327,0.00000257,0.00000295,1219.16654032,417991369.27502972
20170712,0.00000295,0.00000368,0.00000280,0.00000367,851.74567563,260877846.36071810
20170713,0.00000368,0.00000384,0.00000317,0.00000330,866.11366000,252651659.59119129
20170714,0.00000331,0.00000339,0.00000301,0.00000311,382.80147841,120974156.56753862
20170715,0.00000311,0.00000329,0.00000305,0.00000315,259.33404944,82334701.75726865
20170716,0.00000314,0.00000321,0.00000283,0.00000303,433.18826289,144277768.70269275
20170717,0.00000303,0.00000330,0.00000299,0.00000328,392.56083957,124325304.89590676
20170718,0.00000325,0.00000349,0.00000310,0.00000334,616.51165128,187966942.62019938
20170719,0.00000334,0.00000360,0.00000311,0.00000323,614.57597227,181646581.77729830
20170720,0.00000323,0.00000336,0.00000306,0.00000308,460.28164436,144266076.34476751
20170721,0.00000310,0.00000346,0.00000308,0.00000336,509.08400486,155282120.59131661
20170722,0.00000334,0.00000372,0.00000328,0.00000361,821.07144863,234344615.77192631
20170723,0.00000363,0.00000390,0.00000340,0.00000370,1153.88184838,316706633.49772549
20170724,0.00000370,0.00000422,0.00000349,0.00000396,1836.09850839,471313571.30147433
20170725,0.00000396,0.00000401,0.00000324,0.00000347,1240.04738773,346398199.04440874
20170726,0.00000347,0.00000358,0.00000325,0.00000340,559.26128937,164663282.69099975
20170727,0.00000340,0.00000343,0.00000316,0.00000317,341.19816126,103449942.79120167
20170728,0.00000317,0.00000321,0.00000272,0.00000289,501.91117236,169208271.37734833
20170729,0.00000289,0.00000314,0.00000280,0.00000310,371.71114269,125462997.74604081
20170730,0.00000311,0.00000315,0.00000287,0.00000294,450.77799553,150711132.80642080
20170731,0.00000292,0.00000295,0.00000275,0.00000283,276.11405081,96795399.55993378
20170801,0.00000283,0.00000337,0.00000274,0.00000318,1013.13195873,327334025.67398202
20170802,0.00000316,0.00000338,0.00000309,0.00000324,946.77271569,293334187.01523107
