[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160213,0.00000200,0.00000200,0.00000060,0.00000060,1.64320777,1197160.48791844
20160214,0.00000069,0.00000137,0.00000032,0.00000051,29.68464722,55414842.20353366
20160215,0.00000052,0.00000057,0.00000040,0.00000051,12.77296208,25413479.00010250
20160216,0.00000049,0.00000070,0.00000040,0.00000040,16.84578377,32652699.21483766
20160217,0.00000055,0.00000060,0.00000041,0.00000049,18.77697690,37678540.92542446
20160218,0.00000052,0.00000054,0.00000040,0.00000045,12.25518004,27616695.59492444
20160219,0.00000042,0.00000045,0.00000029,0.00000039,14.65751152,40187543.97621390
20160220,0.00000040,0.00000043,0.00000032,0.00000038,6.90679550,19144723.37945566
20160221,0.00000037,0.00000038,0.00000034,0.00000037,0.98752516,2719138.46820755
20160222,0.00000038,0.00000040,0.00000035,0.00000040,3.35390806,9171136.39122637
20160223,0.00000041,0.00000041,0.00000034,0.00000038,4.43285796,12285540.37637741
20160224,0.00000038,0.00000041,0.00000037,0.00000040,2.74583620,6924623.00845517
20160225,0.00000040,0.00000052,0.00000038,0.00000046,12.51350436,28008133.50666564
20160226,0.00000047,0.00000053,0.00000041,0.00000045,9.19701046,19546144.00130388
20160227,0.00000044,0.00000049,0.00000040,0.00000049,4.73952591,10706775.10376658
20160228,0.00000049,0.00000125,0.00000049,0.00000106,72.70336144,92017651.50104256
20160229,0.00000107,0.00000117,0.00000060,0.00000074,35.74795326,38572516.28065369
20160301,0.00000073,0.00000099,0.00000058,0.00000067,20.42822693,26832716.36848762
20160302,0.00000073,0.00000089,0.00000062,0.00000068,16.94974150,23949704.05156149
20160303,0.00000071,0.00000093,0.00000071,0.00000084,5.41922542,6670701.01950730
20160304,0.00000088,0.00000096,0.00000070,0.00000070,11.58295451,14769390.53885011
20160305,0.00000076,0.00000083,0.00000063,0.00000079,10.87492036,15455507.23139498
20160306,0.00000079,0.00000086,0.00000067,0.00000074,11.72408197,15409495.89012233
20160307,0.00000079,0.00000155,0.00000049,0.00000144,59.06078502,67565051.26082191
20160308,0.00000146,0.00000160,0.00000080,0.00000113,42.86302078,41696284.15062302
20160309,0.00000113,0.00000133,0.00000094,0.00000124,27.93158515,23765348.18352405
20160310,0.00000124,0.00000165,0.00000110,0.00000142,57.30136640,43839774.07159568
20160311,0.00000137,0.00000202,0.00000136,0.00000168,41.47465206,24723924.31416265
20160312,0.00000171,0.00000253,0.00000171,0.00000244,56.55855023,27014860.43053000
20160313,0.00000244,0.00000274,0.00000174,0.00000201,122.47802477,60372296.15190780
20160314,0.00000202,0.00000229,0.00000178,0.00000207,31.08548454,14973889.91179288
20160315,0.00000206,0.00000217,0.00000184,0.00000202,23.59575647,11612329.90509486
20160316,0.00000209,0.00000209,0.00000161,0.00000192,18.60843719,9780860.68983652
20160317,0.00000192,0.00000204,0.00000171,0.00000178,37.27816079,20352427.29270987
20160318,0.00000178,0.00000208,0.00000149,0.00000175,58.31972775,31192746.23669600
20160319,0.00000175,0.00000186,0.00000167,0.00000181,7.04802368,3938173.00063585
20160320,0.00000179,0.00000179,0.00000141,0.00000149,22.43591365,14202771.64656553
20160321,0.00000151,0.00000171,0.00000140,0.00000171,12.45695809,8059095.23157674
20160322,0.00000171,0.00000175,0.00000142,0.00000147,15.04143631,9469299.48379587
20160323,0.00000147,0.00000162,0.00000145,0.00000150,7.55093855,5016309.86796960
20160324,0.00000150,0.00000150,0.00000138,0.00000142,14.40756293,10116668.95908475
20160325,0.00000143,0.00000159,0.00000143,0.00000153,6.00674380,4076104.70994333
20160326,0.00000153,0.00000174,0.00000150,0.00000170,4.96643127,3089648.45907412
20160327,0.00000170,0.00000170,0.00000153,0.00000159,4.92515575,3100699.11169959
20160328,0.00000158,0.00000219,0.00000156,0.00000178,23.15442295,12875185.37256876
20160329,0.00000182,0.00000190,0.00000173,0.00000190,2.50369189,1372445.16152856
20160330,0.00000187,0.00000210,0.00000178,0.00000203,13.12311078,6695260.29445907
20160331,0.00000202,0.00000365,0.00000202,0.00000260,51.98227050,18875607.85614462
20160401,0.00000255,0.00000307,0.00000246,0.00000281,6.65314307,2385854.24566664
20160402,0.00000281,0.00000404,0.00000252,0.00000357,38.28462494,11776599.07323023
20160403,0.00000389,0.00000404,0.00000300,0.00000330,19.03407031,5631680.17077279
20160404,0.00000341,0.00000374,0.00000327,0.00000327,10.81382681,3116253.19295258
20160405,0.00000326,0.00000330,0.00000193,0.00000268,59.29771819,24587475.15831755
20160406,0.00000270,0.00000270,0.00000200,0.00000242,25.22212888,11207668.79053917
20160407,0.00000231,0.00000274,0.00000225,0.00000239,14.03126809,5520204.47990713
20160408,0.00000236,0.00000237,0.00000213,0.00000220,4.52320336,2014619.22461539
20160409,0.00000220,0.00000250,0.00000206,0.00000223,7.88347867,3585931.73384712
20160410,0.00000222,0.00000226,0.00000161,0.00000202,15.80905537,8282721.61922791
20160411,0.00000202,0.00000221,0.00000186,0.00000204,11.67702960,5729319.55601029
20160412,0.00000202,0.00000205,0.00000159,0.00000205,19.96594822,11631719.69432866
20160413,0.00000205,0.00000259,0.00000199,0.00000259,9.42283215,4178906.71295713
