[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160923,0.00100000,0.00100000,0.00001610,0.00002427,34.82863888,1413778.42898280
20160924,0.00002330,0.00002993,0.00002012,0.00002465,25.92857007,1084525.22929714
20160925,0.00002329,0.00002399,0.00001400,0.00001645,28.20466835,1626997.40309977
20160926,0.00001635,0.00001901,0.00001567,0.00001651,4.22076420,240284.35250979
20160927,0.00001696,0.00001800,0.00001000,0.00001003,10.22280781,824335.55393496
20160928,0.00001005,0.00001457,0.00000986,0.00001239,9.88944727,816033.01905314
20160929,0.00001229,0.00001495,0.00001201,0.00001379,1.58822927,118692.28325135
20160930,0.00001368,0.00001400,0.00001301,0.00001400,1.69637175,123455.32686698
20161001,0.00001370,0.00001400,0.00001250,0.00001256,1.31473786,95756.46915201
20161002,0.00001261,0.00001399,0.00001220,0.00001274,3.73730327,298322.17621133
20161003,0.00001274,0.00001420,0.00000900,0.00001398,9.62829647,857653.67501695
20161004,0.00001270,0.00001397,0.00001002,0.00001233,2.65815079,227992.84233680
20161005,0.00001255,0.00001285,0.00001033,0.00001176,1.69341792,146707.34275338
20161006,0.00001122,0.00001200,0.00001032,0.00001100,2.02285048,182262.12236550
20161007,0.00001170,0.00001238,0.00001051,0.00001199,2.83848572,244994.24354109
20161008,0.00001220,0.00001328,0.00001077,0.00001326,2.98103988,239723.11173501
20161009,0.00001326,0.00001557,0.00001194,0.00001490,6.11360022,433856.73869046
20161010,0.00001477,0.00001615,0.00001328,0.00001601,4.81120503,312486.84817047
20161011,0.00001550,0.00001590,0.00001328,0.00001391,1.94872610,129955.38092111
20161012,0.00001401,0.00001485,0.00001393,0.00001400,1.44546194,99310.04610257
20161013,0.00001402,0.00001482,0.00000804,0.00001084,7.23288531,621368.73929420
20161014,0.00001107,0.00001303,0.00001107,0.00001150,3.39050660,284043.92521576
20161015,0.00001205,0.00001295,0.00001150,0.00001165,0.26602025,22219.57427249
20161016,0.00001157,0.00001279,0.00001063,0.00001129,3.66982579,335893.50337348
20161017,0.00001191,0.00001213,0.00001100,0.00001159,0.25368090,21867.84602072
20161018,0.00001107,0.00001198,0.00001095,0.00001095,2.42265425,220362.87369787
20161019,0.00001125,0.00001392,0.00001125,0.00001205,4.04408466,323995.53785804
20161020,0.00001205,0.00001403,0.00001112,0.00001141,2.46132400,195901.21313902
20161021,0.00001205,0.00001254,0.00001115,0.00001116,0.74803933,65730.83604230
20161022,0.00001167,0.00001167,0.00001117,0.00001160,1.17891492,105389.43380284
20161023,0.00001222,0.00001389,0.00001154,0.00001389,1.57229151,121887.40641460
20161024,0.00001333,0.00001392,0.00001128,0.00001220,1.11701818,92339.13904822
20161025,0.00001248,0.00001392,0.00001248,0.00001325,2.52264965,186237.49507739
20161026,0.00001269,0.00001269,0.00001202,0.00001203,0.93176703,77341.11103170
20161027,0.00001203,0.00001203,0.00001129,0.00001174,0.95556654,83692.64331446
20161028,0.00001137,0.00001213,0.00001100,0.00001121,1.77920490,160998.30902955
20161029,0.00001123,0.00001143,0.00001100,0.00001143,1.31395325,118377.94069747
20161030,0.00001094,0.00001143,0.00001065,0.00001065,0.15351504,14375.43952440
20161031,0.00001065,0.00001080,0.00001001,0.00001002,0.26023662,25595.03003962
20161101,0.00001098,0.00001135,0.00001035,0.00001135,0.05092911,4715.24237931
20161102,0.00001035,0.00001035,0.00000891,0.00000985,0.84034211,84966.25448887
20161103,0.00001008,0.00001076,0.00001006,0.00001076,0.24465592,23393.57517350
20161104,0.00001076,0.00001145,0.00001000,0.00001066,0.76288561,73089.47075422
20161105,0.00001034,0.00001144,0.00000888,0.00000960,2.18031339,224910.99221097
20161106,0.00001050,0.00001065,0.00000963,0.00001015,0.44467559,44100.41428645
20161107,0.00001010,0.00001010,0.00001001,0.00001001,0.01181606,1170.38976500
20161108,0.00001056,0.00001105,0.00000965,0.00001050,0.42830978,41548.29221705
20161109,0.00001050,0.00001106,0.00001050,0.00001106,0.09317770,8585.68254536
20161110,0.00001100,0.00001100,0.00001001,0.00001094,1.40761799,137399.35323465
20161111,0.00001112,0.00001112,0.00000960,0.00000960,0.22394740,21789.95533452
20161112,0.00000991,0.00001089,0.00000960,0.00001089,0.01410108,1377.07609810
20161113,0.00001088,0.00001088,0.00000993,0.00001086,0.00690870,644.42731342
20161114,0.00001086,0.00001086,0.00000988,0.00000988,0.04227876,3924.91595743
20161115,0.00000978,0.00001038,0.00000962,0.00000983,0.04904282,5035.77639209
20161116,0.00001079,0.00001382,0.00000962,0.00000962,1.06298872,100139.02166532
20161117,0.00001035,0.00001035,0.00000988,0.00001035,0.01136544,1103.48181986
20161118,0.00001031,0.00001035,0.00000962,0.00001035,0.58004150,60138.89400371
20161119,0.00000968,0.00000968,0.00000958,0.00000964,0.62405744,64959.83547199
20161120,0.00000966,0.00000966,0.00000907,0.00000950,0.89048342,94492.98555739
20161121,0.00000978,0.00000992,0.00000915,0.00000935,0.06446895,6714.13225415
20161122,0.00000955,0.00001000,0.00000910,0.00001000,0.04691749,4783.32987451
20161123,0.00000999,0.00000999,0.00000999,0.00000999,0.00816169,816.98695306
20161124,0.00000999,0.00001000,0.00000990,0.00000990,0.01208598,1218.41699917
20161126,0.00000990,0.00000999,0.00000990,0.00000999,0.00595792,600.90127613
20161127,0.00001000,0.00001114,0.00000919,0.00001094,0.11043048,11141.42478259
20161128,0.00000962,0.00001124,0.00000935,0.00000974,0.00505501,522.86736404
20161129,0.00000952,0.00001020,0.00000950,0.00001020,0.01106916,1155.89421701
20161130,0.00001013,0.00001013,0.00001013,0.00001013,0.00050650,50.00000000
