[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161011,0.00000100,0.00016999,0.00000100,0.00003203,5.03931778,138071.68569949
20161012,0.00003744,0.00004493,0.00002978,0.00004300,13.16270427,325529.52587836
20161013,0.00004299,0.00004299,0.00002800,0.00003424,5.28191904,152444.66354710
20161014,0.00003497,0.00003940,0.00003238,0.00003286,1.27740417,36167.86275499
20161015,0.00003374,0.00003958,0.00003167,0.00003958,0.73863965,21471.60043226
20161016,0.00003600,0.00004200,0.00003302,0.00003900,2.03649898,52532.25262460
20161017,0.00003747,0.00004100,0.00003150,0.00003810,2.28948027,63723.34928258
20161018,0.00003823,0.00003823,0.00003306,0.00003500,0.46344890,13091.94705283
20161019,0.00003522,0.00003522,0.00002600,0.00002600,5.22307955,170627.44707516
20161020,0.00002701,0.00003799,0.00002572,0.00003793,1.56769983,49459.80553267
20161021,0.00003355,0.00003559,0.00003310,0.00003559,0.11635062,3429.39578272
20161022,0.00003390,0.00003750,0.00002800,0.00003462,0.92098510,26970.87455752
20161023,0.00002891,0.00004176,0.00002839,0.00003688,3.21931423,84788.87785162
20161024,0.00003600,0.00004179,0.00003503,0.00004150,3.46209060,86433.97690689
20161025,0.00004127,0.00004168,0.00003500,0.00003723,3.47262827,90036.52877588
20161026,0.00003651,0.00003965,0.00002908,0.00003308,1.18190767,33440.21487402
20161027,0.00003209,0.00003488,0.00002528,0.00003155,7.56498141,243738.31814467
20161028,0.00003056,0.00003284,0.00002902,0.00002902,2.58601867,87057.16037520
20161029,0.00003093,0.00003482,0.00002600,0.00002700,3.46537525,114075.92024073
20161030,0.00002852,0.00003000,0.00002529,0.00002616,0.28416100,10454.65330308
20161031,0.00002600,0.00002675,0.00002517,0.00002675,0.41490013,16276.16788789
20161101,0.00002533,0.00002793,0.00002300,0.00002300,2.92561175,123203.99516662
20161102,0.00002311,0.00002844,0.00002308,0.00002823,3.87055098,138466.14938642
20161103,0.00002700,0.00003237,0.00002605,0.00002614,0.77646474,27433.31407986
20161104,0.00002610,0.00002932,0.00002610,0.00002800,0.60401731,21399.01882048
20161105,0.00002800,0.00002985,0.00002601,0.00002615,1.11517919,42093.82186010
20161106,0.00002819,0.00003082,0.00002601,0.00002622,0.25274207,9461.62788363
20161107,0.00002949,0.00003352,0.00002858,0.00002948,1.45549914,47499.37928274
20161108,0.00002948,0.00003155,0.00002777,0.00002777,0.64204740,21718.10780392
20161109,0.00002837,0.00003075,0.00002625,0.00002893,2.20131284,76902.49983087
20161110,0.00002995,0.00003486,0.00002667,0.00002824,3.17179065,105061.02752607
20161111,0.00003054,0.00003500,0.00002850,0.00003492,1.95508542,63621.17991547
20161112,0.00003204,0.00003204,0.00002906,0.00002921,1.51170714,50989.20909209
20161113,0.00002921,0.00002961,0.00002909,0.00002961,0.41403379,14124.28634459
20161114,0.00002912,0.00003082,0.00002904,0.00002904,0.61146656,20958.16155714
20161115,0.00002904,0.00003197,0.00002686,0.00003197,0.88880039,29596.24117757
20161116,0.00002976,0.00003033,0.00002500,0.00002781,2.42236551,90998.08922669
20161117,0.00002781,0.00002921,0.00002781,0.00002810,0.47498162,16574.58852113
20161118,0.00002820,0.00003008,0.00002600,0.00002600,0.54692991,18679.80407906
20161119,0.00002640,0.00002640,0.00002255,0.00002310,3.44515200,145540.34845012
20161120,0.00002257,0.00002257,0.00001543,0.00002132,2.86678818,145092.93600020
20161121,0.00002208,0.00002208,0.00001813,0.00002012,0.18439391,9262.09614660
20161122,0.00002016,0.00002549,0.00002000,0.00002228,0.58929535,28422.70463259
20161123,0.00002201,0.00002549,0.00002160,0.00002386,0.34984391,15111.11957277
20161124,0.00002211,0.00002413,0.00002192,0.00002192,1.59962380,72758.44110102
20161125,0.00002216,0.00002426,0.00002161,0.00002224,0.10043097,4470.44181334
20161126,0.00002250,0.00002540,0.00002160,0.00002410,1.14789503,52316.70419792
20161127,0.00002341,0.00002341,0.00002263,0.00002279,0.02514467,1108.30591765
20161128,0.00002225,0.00002225,0.00002042,0.00002216,0.14790909,6898.73784627
20161129,0.00002201,0.00002224,0.00002042,0.00002042,0.07762670,3609.77485326
20161130,0.00002042,0.00002193,0.00001950,0.00001952,0.20031699,10144.80416641
20161201,0.00002069,0.00002221,0.00002062,0.00002180,0.75919672,34371.26060624
20161202,0.00002198,0.00002199,0.00001845,0.00001968,0.94678931,47921.18735778
20161203,0.00002110,0.00002181,0.00001844,0.00001844,0.40286565,21059.81455271
20161204,0.00002017,0.00002017,0.00001934,0.00002000,0.07507134,3768.50294007
20161205,0.00001878,0.00001878,0.00001860,0.00001860,0.00173046,92.76656183
20161206,0.00001904,0.00001952,0.00001545,0.00001906,0.62169038,35434.17231917
20161207,0.00001893,0.00001893,0.00001500,0.00001525,1.03566104,64446.77747849
20161208,0.00001671,0.00001734,0.00001522,0.00001522,0.35824527,23407.14544140
20161209,0.00001579,0.00001687,0.00001401,0.00001534,0.52338749,33178.44948342
20161210,0.00001578,0.00001663,0.00001508,0.00001508,0.09904213,6085.21614327
20161211,0.00001469,0.00001522,0.00001425,0.00001449,0.04183076,2899.45515116
20161212,0.00001425,0.00001600,0.00001401,0.00001503,0.34091530,22570.47051355
20161213,0.00001451,0.00001700,0.00001226,0.00001665,0.63843762,43734.85204488
20161214,0.00001586,0.00001586,0.00001246,0.00001246,0.22891108,17606.08525518
20161215,0.00001552,0.00002500,0.00001285,0.00002100,24.43323686,1194093.88751005
20161216,0.00002069,0.00002098,0.00001500,0.00001900,1.30772763,78552.49452674
20161217,0.00001898,0.00001900,0.00001068,0.00001393,1.21147654,89968.83011773
20161218,0.00001487,0.00001519,0.00001226,0.00001271,0.77041600,58011.34989367
20161219,0.00001271,0.00001300,0.00001172,0.00001300,0.20214256,16595.82801216
20161220,0.00001300,0.00001500,0.00000980,0.00001167,1.15174507,94441.19384441
20161221,0.00001235,0.00001467,0.00000851,0.00001436,0.21977573,17670.49617236
20161222,0.00001349,0.00001349,0.00000889,0.00000890,1.85620928,188980.87701644
20161223,0.00000934,0.00001075,0.00000888,0.00000936,0.65389344,65452.39652716
20161224,0.00000918,0.00000963,0.00000890,0.00000930,0.10157300,11366.68033388
20161225,0.00000930,0.00001000,0.00000930,0.00001000,1.30215431,130424.65684952
20161226,0.00000971,0.00001000,0.00000845,0.00000880,0.55714779,61835.00678380
20161227,0.00000951,0.00001049,0.00000870,0.00000870,0.10098454,10468.05435642
20161228,0.00000876,0.00000937,0.00000870,0.00000937,0.01160704,1278.50260799
20161229,0.00000918,0.00000918,0.00000800,0.00000820,0.17521247,19805.47275378
20161230,0.00000897,0.00000999,0.00000837,0.00000906,0.09945461,11070.52244981
20161231,0.00000979,0.00000979,0.00000950,0.00000950,0.00173487,178.83968054
20170101,0.00000920,0.00000920,0.00000920,0.00000920,0.02570710,2794.25000000
20170102,0.00000954,0.00001015,0.00000511,0.00000946,0.33239354,43170.03432601
20170103,0.00000709,0.00001099,0.00000543,0.00000798,0.45049371,60450.96548228
20170104,0.00000905,0.00000940,0.00000753,0.00000770,0.09574404,11425.14767811
20170105,0.00000770,0.00001165,0.00000693,0.00001000,2.66737782,324094.80901232
20170106,0.00001000,0.00001149,0.00000710,0.00000710,4.29730608,514994.33475718
20170107,0.00000823,0.00000930,0.00000750,0.00000821,1.17919306,142762.78177156
20170108,0.00000821,0.00001097,0.00000751,0.00000832,0.34431742,40936.46537799
20170109,0.00000843,0.00001105,0.00000815,0.00000815,0.89660066,89484.45394199
20170110,0.00000831,0.00000990,0.00000803,0.00000817,0.47804662,51209.39393420
20170111,0.00000906,0.00001518,0.00000848,0.00001126,0.87399275,80528.28753852
20170112,0.00001312,0.00001312,0.00001050,0.00001242,0.07375027,6874.67135002
20170113,0.00001136,0.00001520,0.00001131,0.00001200,0.91287548,65743.42163115
20170114,0.00001255,0.00001355,0.00001241,0.00001355,0.10158376,7896.29252846
20170115,0.00001273,0.00001273,0.00001269,0.00001269,0.10085541,7947.35595247
20170116,0.00001320,0.00001355,0.00001069,0.00001140,0.40628141,35905.62663282
20170117,0.00001159,0.00001239,0.00001069,0.00001097,0.24119528,21718.32028849
20170118,0.00001112,0.00001150,0.00001000,0.00001006,0.72975593,70368.81478630
20170119,0.00001078,0.00001120,0.00001000,0.00001000,0.08801937,8680.37489193
20170120,0.00001102,0.00001247,0.00001017,0.00001100,0.17504864,15118.09486783
20170121,0.00001023,0.00001300,0.00001022,0.00001276,0.06827375,5674.10368868
20170122,0.00001169,0.00001520,0.00000990,0.00001137,12.72781344,1087108.05113293
20170123,0.00001183,0.00001351,0.00001100,0.00001227,1.24348717,102744.03373356
20170124,0.00001207,0.00001339,0.00001031,0.00001197,1.20499139,106801.04120302
20170125,0.00001157,0.00001201,0.00001051,0.00001058,0.80401701,73932.95029101
20170126,0.00001054,0.00001185,0.00001054,0.00001080,0.92495710,85013.26282033
20170127,0.00001082,0.00001375,0.00001065,0.00001239,3.65075214,292220.70844982
20170128,0.00001268,0.00002497,0.00001258,0.00001838,20.47630916,1298443.96402817
20170129,0.00002021,0.00002286,0.00001718,0.00002013,15.69252447,749308.29154559
20170130,0.00002023,0.00002282,0.00001901,0.00002101,1.35735233,66159.33960189
20170131,0.00002001,0.00002281,0.00001700,0.00001883,2.20684317,116756.10492575
20170201,0.00001847,0.00001959,0.00001695,0.00001808,1.54258490,89168.58282235
20170202,0.00001722,0.00001778,0.00001620,0.00001740,0.47309810,28225.18337837
20170203,0.00001677,0.00002041,0.00001677,0.00001874,0.15170565,8013.77104509
20170204,0.00002020,0.00002300,0.00001820,0.00002114,1.56313120,74676.72465668
20170205,0.00002168,0.00002660,0.00001822,0.00002310,3.88700718,175569.91021661
20170206,0.00002310,0.00002668,0.00002110,0.00002404,2.10768210,88430.43321460
20170207,0.00002592,0.00002592,0.00002000,0.00002199,2.76747056,129810.87669726
20170208,0.00002193,0.00002749,0.00002176,0.00002454,3.74540499,148628.22373519
20170209,0.00002468,0.00003799,0.00002400,0.00003562,17.32546578,570584.91332443
20170210,0.00003302,0.00007280,0.00003000,0.00004810,58.05570359,1187708.89461718
20170211,0.00004796,0.00005138,0.00001900,0.00003406,79.86836735,2438754.73137525
20170212,0.00003326,0.00003988,0.00003007,0.00003781,19.93058700,570216.32346274
20170213,0.00003587,0.00005800,0.00003571,0.00004845,41.94477647,866717.40565609
20170214,0.00004723,0.00004848,0.00003751,0.00004442,14.50617754,348766.41482766
20170215,0.00004399,0.00004706,0.00004024,0.00004428,2.19386474,49684.90748485
20170216,0.00004301,0.00004588,0.00003072,0.00003349,13.83277491,374717.16875369
20170217,0.00003479,0.00004279,0.00003350,0.00003555,4.77811378,126416.93829219
20170218,0.00003555,0.00003987,0.00003550,0.00003585,3.44436589,93459.25815561
20170219,0.00003585,0.00004003,0.00003585,0.00003833,5.21844286,133308.71632421
20170220,0.00003823,0.00006775,0.00003823,0.00004587,18.36339701,364968.99555017
20170221,0.00004582,0.00006100,0.00004284,0.00005395,33.44514294,649838.24820021
20170222,0.00005189,0.00005600,0.00004905,0.00005258,5.31128285,101003.64121534
20170223,0.00005258,0.00006450,0.00005038,0.00005600,6.91685083,120772.82716392
20170224,0.00005600,0.00005937,0.00005042,0.00005043,2.50051299,45149.45374269
20170225,0.00005043,0.00005844,0.00004512,0.00005255,4.55617683,94061.58121491
20170226,0.00005037,0.00005360,0.00004500,0.00004910,2.53101055,51295.90521713
20170227,0.00004905,0.00005430,0.00004502,0.00004728,1.28342130,25375.28714625
20170228,0.00004989,0.00005517,0.00004505,0.00004958,2.46808565,47571.72386146
20170301,0.00005027,0.00005095,0.00004000,0.00004926,8.99083935,209265.54107066
20170302,0.00004967,0.00004995,0.00004265,0.00004754,3.30230423,72506.20168941
20170303,0.00004733,0.00004895,0.00004100,0.00004447,3.45185985,75597.23835553
20170304,0.00004301,0.00004447,0.00004101,0.00004130,1.60203671,38438.19063641
20170305,0.00004269,0.00005044,0.00004101,0.00004701,4.61213124,98339.59546015
20170306,0.00005012,0.00005510,0.00004667,0.00005033,5.54905614,107784.81736663
20170307,0.00005060,0.00005404,0.00004500,0.00004615,9.83300591,214097.22581742
20170308,0.00004759,0.00004761,0.00003961,0.00004376,6.51465692,150742.81087090
20170309,0.00004569,0.00004700,0.00004001,0.00004314,0.90269197,21433.52417461
20170310,0.00004286,0.00004314,0.00003188,0.00003951,5.78102301,167646.70231624
20170311,0.00003881,0.00004309,0.00003506,0.00003920,2.20131369,56906.49200909
20170312,0.00003795,0.00004500,0.00003250,0.00004499,6.49464984,169133.64665584
20170313,0.00004329,0.00005631,0.00004144,0.00005000,4.69761062,95593.62298172
20170314,0.00005273,0.00006858,0.00004625,0.00006090,19.24125120,332311.93164462
20170315,0.00006180,0.00007494,0.00005568,0.00006851,16.44614388,241164.07821824
20170316,0.00007310,0.00008683,0.00006545,0.00008028,19.40229569,260229.93759636
20170317,0.00007973,0.00008777,0.00007575,0.00007800,9.90910466,120135.09429427
20170318,0.00007800,0.00008107,0.00007700,0.00008096,1.02580978,13092.58838616
20170319,0.00007768,0.00008130,0.00007307,0.00007628,4.70148900,62708.49154045
20170320,0.00007628,0.00009724,0.00007628,0.00009003,12.66611280,142111.28985354
20170321,0.00009482,0.00009999,0.00008722,0.00009996,13.44095624,141197.37361290
20170322,0.00009990,0.00011498,0.00009990,0.00010491,17.55693872,166090.62903102
20170323,0.00010126,0.00017997,0.00010104,0.00014205,37.19050592,269157.03768928
20170324,0.00014008,0.00024009,0.00013810,0.00019668,71.53217563,371893.22245485
20170325,0.00019643,0.00026000,0.00017977,0.00019998,46.78355429,214300.31058915
20170326,0.00019062,0.00022998,0.00017101,0.00020425,31.00681245,163597.59678476
20170327,0.00020355,0.00023607,0.00017511,0.00017519,20.71377342,106427.45517152
20170328,0.00017516,0.00019489,0.00011004,0.00015091,24.19363916,155613.85451343
20170329,0.00014110,0.00015119,0.00012030,0.00013415,16.93897474,130452.26052812
20170330,0.00013400,0.00017042,0.00011834,0.00013800,26.23104282,189970.57439899
20170331,0.00013812,0.00018500,0.00013778,0.00016017,28.25278148,175103.33472405
20170401,0.00016004,0.00018643,0.00016004,0.00018440,18.22998959,102178.44305413
20170402,0.00018074,0.00019998,0.00016153,0.00016218,20.02750108,108279.93300166
20170403,0.00016424,0.00018100,0.00012906,0.00017103,23.91924008,153389.28562562
20170404,0.00017200,0.00018095,0.00015000,0.00016524,6.50362271,40374.91667840
20170405,0.00016524,0.00017068,0.00015333,0.00015933,2.58124793,16244.27679171
20170406,0.00015541,0.00016241,0.00014067,0.00014500,8.91155288,62274.11891068
20170407,0.00015042,0.00015800,0.00014070,0.00014081,4.50594135,30071.47815833
20170408,0.00014453,0.00015500,0.00014044,0.00014680,3.55169048,24606.64273079
20170409,0.00015213,0.00015460,0.00013701,0.00014152,4.03230127,28763.80714477
20170410,0.00014002,0.00015350,0.00013684,0.00013684,5.92589398,41884.25680137
20170411,0.00013938,0.00014625,0.00013206,0.00014625,4.72617648,34540.74618726
20170412,0.00014649,0.00017949,0.00013856,0.00014927,10.20148210,66035.64859933
20170413,0.00015544,0.00017877,0.00014505,0.00015000,4.40713685,27614.59989176
20170414,0.00015839,0.00015839,0.00014500,0.00014500,3.57287609,23675.10046747
20170415,0.00015156,0.00016386,0.00014500,0.00016386,6.47994710,41739.92921594
20170416,0.00016380,0.00021000,0.00015147,0.00017007,27.84233610,153470.25725918
20170417,0.00018100,0.00019588,0.00017149,0.00017381,19.18156132,105211.71215767
20170418,0.00017351,0.00018496,0.00015340,0.00016171,8.59271678,53491.63083243
20170419,0.00016699,0.00017989,0.00015280,0.00016700,10.43945067,62393.48961797
20170420,0.00017401,0.00017498,0.00015100,0.00016417,12.26186025,78039.45963808
20170421,0.00016879,0.00016879,0.00015555,0.00015650,6.16152330,38483.04864891
20170422,0.00015694,0.00018333,0.00015606,0.00017932,14.03106847,83043.70861015
20170423,0.00017932,0.00019615,0.00016133,0.00016898,13.68163611,79316.93168166
20170424,0.00016829,0.00020500,0.00016134,0.00017433,11.22168530,60791.98768584
