[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170218,0.09900000,0.09900000,0.00017502,0.00048000,0.37868097,606.45190183
20170219,0.00019900,0.00020093,0.00010000,0.00015003,3.96620842,25384.55424178
20170220,0.00015941,0.00016497,0.00015000,0.00015000,0.75346006,4966.72585701
20170221,0.00012181,0.00016484,0.00012180,0.00016484,0.84613759,5511.14370848
20170222,0.00016472,0.00019999,0.00015243,0.00015243,1.29829554,8085.07122326
20170223,0.00015116,0.00015116,0.00011000,0.00011970,0.33121683,2442.16552123
20170224,0.00011970,0.00015333,0.00011922,0.00012100,0.40258733,2799.88487849
20170225,0.00012100,0.00015674,0.00009045,0.00012084,2.12459637,15316.66012751
20170226,0.00012834,0.00014799,0.00011070,0.00012631,0.91455337,6975.55302962
20170227,0.00012701,0.00013175,0.00012501,0.00012501,0.28294980,2226.25064645
20170228,0.00012501,0.00014000,0.00012501,0.00012990,0.41188868,3187.09715711
20170301,0.00013101,0.00013717,0.00013101,0.00013238,0.10261040,776.68180433
20170302,0.00013379,0.00015200,0.00012575,0.00012851,0.47935170,3511.44119755
20170303,0.00013078,0.00013803,0.00013078,0.00013602,0.11055781,814.69151798
20170304,0.00013602,0.00013602,0.00012133,0.00012702,0.68510190,5430.07243954
20170305,0.00011206,0.00012800,0.00010877,0.00011681,0.75874485,6524.73438992
20170306,0.00011727,0.00015783,0.00011002,0.00015450,1.36643379,9209.55662916
20170307,0.00015010,0.00015783,0.00015000,0.00015000,1.63164702,10656.33341675
20170308,0.00015000,0.00015697,0.00015000,0.00015051,0.65389521,4325.34104337
20170309,0.00015400,0.00015676,0.00014852,0.00014966,3.19744298,21269.14385828
20170310,0.00015071,0.00015072,0.00013501,0.00013852,1.21781061,8506.77755316
20170311,0.00014161,0.00014309,0.00013782,0.00014002,0.10520456,741.04756234
20170312,0.00014298,0.00014300,0.00013500,0.00013500,0.22480058,1607.86117059
20170313,0.00013509,0.00013575,0.00012077,0.00012501,0.09091859,687.41244505
20170314,0.00012501,0.00013266,0.00012005,0.00012005,0.04480121,360.38161191
20170315,0.00012023,0.00017780,0.00012007,0.00015500,18.50950721,105489.85523394
20170316,0.00013915,0.00017014,0.00013802,0.00014002,0.48434357,3313.94736733
20170317,0.00014002,0.00014271,0.00013802,0.00014006,0.09972328,716.92526287
20170318,0.00014000,0.00014973,0.00013700,0.00013700,0.10533714,753.71905561
20170319,0.00013705,0.00014435,0.00013700,0.00013700,0.12840277,916.59088410
20170320,0.00013703,0.00014299,0.00013500,0.00013500,0.17308920,1260.29175936
20170321,0.00013500,0.00014210,0.00012211,0.00014210,0.17155147,1283.53585254
20170322,0.00014217,0.00015180,0.00012600,0.00014030,0.58144218,4028.13165382
20170323,0.00014000,0.00015500,0.00013010,0.00014996,0.84636122,5760.82023028
20170324,0.00014662,0.00015496,0.00014556,0.00014598,2.72721975,18067.42673610
20170325,0.00014771,0.00014842,0.00014599,0.00014599,0.45123266,3086.66886065
20170326,0.00014599,0.00014700,0.00013363,0.00013363,1.50086168,10343.85790234
20170327,0.00013999,0.00014999,0.00013578,0.00013878,0.70576768,4962.79500378
20170328,0.00014225,0.00014225,0.00013277,0.00013594,1.28256482,9328.16390104
20170329,0.00013351,0.00013554,0.00013009,0.00013323,0.81412288,6152.46426083
20170330,0.00013126,0.00013374,0.00012991,0.00013225,0.31901676,2429.72078824
20170331,0.00013145,0.00013319,0.00012621,0.00012635,0.52487407,4071.02809064
20170401,0.00012635,0.00013200,0.00012500,0.00012500,0.44029202,3494.26357710
20170402,0.00012500,0.00013200,0.00011600,0.00011914,3.18545614,26818.16564767
20170403,0.00012110,0.00012161,0.00011656,0.00011852,0.59922966,5083.39166126
20170404,0.00011852,0.00011999,0.00011100,0.00011430,2.10316216,17985.83018509
20170405,0.00011430,0.00015199,0.00011430,0.00014050,7.61479742,55904.13575983
20170406,0.00014302,0.00015283,0.00012644,0.00014001,3.89540976,26599.70770885
20170407,0.00014001,0.00024990,0.00014001,0.00024990,60.34901211,318144.08582257
20170408,0.00020075,0.00025000,0.00017827,0.00020000,37.56059651,177910.71870236
20170409,0.00019621,0.00024497,0.00017931,0.00020501,20.26040293,96436.00156096
20170410,0.00020501,0.00021999,0.00017010,0.00018149,23.56831346,122915.58982080
20170411,0.00018149,0.00020297,0.00016356,0.00018395,5.84227541,33048.52281702
20170412,0.00018395,0.00019343,0.00013000,0.00017245,9.11072092,55382.44603762
20170413,0.00017275,0.00026000,0.00017275,0.00022041,22.35388985,106720.24327179
20170414,0.00022053,0.00024500,0.00020627,0.00020627,20.07122558,90485.40344204
20170415,0.00020627,0.00021015,0.00018525,0.00019495,12.04224337,59897.34183933
20170416,0.00019495,0.00021759,0.00018935,0.00020230,9.63273626,49190.91505508
20170417,0.00019650,0.00020238,0.00019213,0.00019526,6.54232757,33721.71548909
20170418,0.00019291,0.00021759,0.00019291,0.00020555,4.86426114,24020.06828751
20170419,0.00019340,0.00020555,0.00019311,0.00019447,1.11030071,5704.89237331
20170420,0.00019447,0.00019991,0.00018503,0.00018999,6.14070183,31819.13127147
20170421,0.00018599,0.00021000,0.00018599,0.00019726,2.90462482,14743.88467415
20170422,0.00019726,0.00021759,0.00019084,0.00020320,11.47558110,54462.75124550
20170423,0.00020700,0.00023088,0.00019561,0.00022000,11.77241917,54901.19626060
20170424,0.00022002,0.00023000,0.00019557,0.00019703,12.40586026,61544.91019756
20170425,0.00019701,0.00021000,0.00019508,0.00019508,3.33293820,16695.54037375
20170426,0.00019508,0.00020801,0.00019002,0.00019523,3.73332024,18845.96717090
20170427,0.00019523,0.00024002,0.00019101,0.00020015,10.18207084,49469.19196372
20170428,0.00020327,0.00020831,0.00019314,0.00020285,17.89291764,88872.07576899
20170429,0.00020285,0.00020500,0.00020178,0.00020195,9.09945661,45053.68492634
20170430,0.00020195,0.00020499,0.00019792,0.00020005,9.03640810,44596.81541065
20170501,0.00020005,0.00023310,0.00019500,0.00019522,16.07126828,78463.09216554
20170502,0.00019522,0.00024000,0.00019500,0.00020000,11.16577597,49755.30608552
20170503,0.00019950,0.00020730,0.00019904,0.00020008,1.59263918,7836.03702860
20170504,0.00020008,0.00021250,0.00019500,0.00019505,9.66052812,48204.96013805
20170505,0.00019505,0.00020819,0.00015178,0.00019028,7.16434061,38076.76191758
20170506,0.00019792,0.00020500,0.00016565,0.00018323,2.91424364,15366.04730354
20170507,0.00018324,0.00020977,0.00018199,0.00018314,4.75798225,24306.65453043
20170508,0.00018378,0.00020000,0.00016778,0.00019900,4.40119879,24094.23582722
20170509,0.00017921,0.00020000,0.00016002,0.00016612,7.64124419,40599.85741216
20170510,0.00017325,0.00020000,0.00017024,0.00018838,5.78503812,29719.14370982
20170511,0.00018868,0.00018868,0.00016498,0.00017933,1.80916888,10289.61717548
20170512,0.00017933,0.00019470,0.00016480,0.00016602,1.89839881,10929.94028925
20170513,0.00016602,0.00017962,0.00015030,0.00015937,7.67280191,47868.49274234
20170514,0.00015937,0.00016715,0.00015031,0.00015396,0.56635614,3540.16681255
20170515,0.00015396,0.00016004,0.00015201,0.00015201,0.71215767,4627.98822347
20170516,0.00015202,0.00016000,0.00013113,0.00013650,2.63508873,18487.29683898
20170517,0.00013649,0.00016000,0.00013113,0.00015002,1.20646590,8561.18228854
20170518,0.00015001,0.00023216,0.00015000,0.00016070,12.92402328,66121.83979202
20170519,0.00016070,0.00017158,0.00015427,0.00015442,3.31319637,20979.61315247
20170520,0.00015670,0.00017000,0.00013612,0.00015278,4.23426028,28693.37819526
20170521,0.00014153,0.00014999,0.00013100,0.00013461,4.96177238,36375.45807567
20170522,0.00013502,0.00013998,0.00012345,0.00012451,1.42033200,10811.62001873
20170523,0.00012487,0.00015267,0.00012402,0.00013205,5.35629823,38582.58317627
20170524,0.00013230,0.00013833,0.00012200,0.00012491,4.64071029,35879.78055257
20170525,0.00012491,0.00013000,0.00011001,0.00011021,8.67110881,71672.52277841
20170526,0.00011649,0.00014000,0.00011002,0.00013601,2.17386017,17113.67462159
20170527,0.00013600,0.00015002,0.00012176,0.00013927,7.03948421,49810.03392289
20170528,0.00013927,0.00014894,0.00012729,0.00013007,2.15762174,15378.32269477
20170529,0.00013007,0.00013776,0.00013000,0.00013013,3.06609110,23535.25487576
20170530,0.00013013,0.00019000,0.00013001,0.00016000,10.12134745,64593.13477695
20170531,0.00016000,0.00018796,0.00015500,0.00017032,10.30586839,61432.18702563
20170601,0.00016013,0.00017451,0.00015518,0.00016670,2.49922148,15529.48777738
20170602,0.00016670,0.00017750,0.00015709,0.00015709,3.22033952,19764.67470983
20170603,0.00015709,0.00017000,0.00015518,0.00015660,3.05064522,19239.72929775
20170604,0.00015660,0.00016100,0.00014052,0.00014624,3.92038426,24959.57915306
20170605,0.00014624,0.00016500,0.00014624,0.00015203,1.85246863,11769.13008979
20170606,0.00015222,0.00017453,0.00014625,0.00016343,5.27949632,32398.60931033
20170607,0.00016826,0.00019250,0.00016341,0.00019250,9.70986491,53861.65865911
20170608,0.00019250,0.00020000,0.00016341,0.00016341,6.19050627,33114.91129333
20170609,0.00016753,0.00018932,0.00016060,0.00016818,2.76083338,16397.56658312
20170610,0.00016819,0.00020000,0.00015659,0.00019011,7.60706358,41551.65627565
20170611,0.00019019,0.00019019,0.00016480,0.00016766,5.95463287,33174.76575324
20170612,0.00016766,0.00017899,0.00016216,0.00016217,2.02869020,12177.93280840
20170613,0.00016217,0.00018860,0.00016215,0.00016499,4.73784260,27066.03896337
20170614,0.00016499,0.00020348,0.00015512,0.00018000,12.41953831,67477.36549042
20170615,0.00018000,0.00023750,0.00018000,0.00020112,16.14266890,78453.66013884
20170616,0.00020087,0.00025999,0.00020000,0.00022001,11.15575325,48702.28632687
20170617,0.00022002,0.00025999,0.00020398,0.00020461,4.65358255,20687.56327566
20170618,0.00020461,0.00022000,0.00018000,0.00020099,2.49162024,12714.73384984
20170619,0.00020100,0.00021497,0.00018531,0.00019250,1.38619280,7066.35118676
20170620,0.00019250,0.00019930,0.00018015,0.00018408,2.17632199,11695.34328513
20170621,0.00018017,0.00021836,0.00018002,0.00020861,5.06719715,25711.79651308
20170622,0.00020862,0.00024500,0.00019401,0.00019505,6.10333009,29173.41164215
20170623,0.00019404,0.00027000,0.00019400,0.00020116,13.70023043,60667.85974449
20170624,0.00020502,0.00024399,0.00019510,0.00023006,6.89813923,30880.28828942
20170625,0.00023007,0.00059559,0.00020650,0.00020691,101.93152635,321566.72316541
20170626,0.00020692,0.00024999,0.00020503,0.00022050,13.70351245,61799.48791514
20170627,0.00022943,0.00031960,0.00021144,0.00025187,28.17666914,111700.87700830
20170628,0.00025155,0.00044499,0.00025000,0.00039800,156.43892952,425693.16376829
20170629,0.00039800,0.00042000,0.00030001,0.00032000,47.77220505,134384.36466597
20170630,0.00031700,0.00034594,0.00028005,0.00031569,23.59276609,75846.87137294
20170701,0.00031607,0.00037000,0.00030501,0.00034979,13.80294298,40288.93649061
20170702,0.00034979,0.00038500,0.00033950,0.00036930,16.65523725,46686.29031234
