[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140323,0.00000100,0.00002999,0.00000100,0.00001700,0.08795513,4421.53758584
20140324,0.00001700,0.00002300,0.00001501,0.00001900,0.27889085,18288.84858207
20140325,0.00001510,0.00002299,0.00001400,0.00001650,0.26393576,14788.24906370
20140326,0.00001650,0.00002000,0.00001650,0.00002000,0.02860213,1590.00341320
20140327,0.00002000,0.00003800,0.00001801,0.00001803,1.22440081,57605.43260054
20140328,0.00001802,0.00001835,0.00001801,0.00001835,0.16272710,9014.79693587
20140329,0.00002340,0.00002340,0.00001520,0.00002000,0.19008028,9838.76615800
20140330,0.00001580,0.00002100,0.00001580,0.00001580,0.04900658,3078.64534255
20140331,0.00001180,0.00001580,0.00001180,0.00001580,0.00872956,729.62385047
20140401,0.00001580,0.00001999,0.00001580,0.00001999,0.05775016,3059.66210613
20140402,0.00001100,0.00001100,0.00001100,0.00001100,0.00011864,10.78566948
20140403,0.00001500,0.00001500,0.00001500,0.00001500,0.00015000,10.00000000
20140404,0.00001500,0.00001900,0.00001500,0.00001900,0.01873059,1245.50691458
20140405,0.00001800,0.00002000,0.00001800,0.00001999,0.14406161,7554.04699010
20140407,0.00001980,0.00002001,0.00001980,0.00002001,0.02055732,1032.85584221
20140410,0.00001300,0.00002350,0.00000875,0.00000875,0.49105867,24745.95050240
20140411,0.00002350,0.00002350,0.00000100,0.00001799,0.01201627,2013.38863099
20140412,0.00001300,0.00007500,0.00000899,0.00000899,1.32869321,40416.58984229
20140413,0.00002000,0.00002000,0.00001000,0.00001350,0.34249060,23303.80666667
20140414,0.00001550,0.00001550,0.00001109,0.00001109,0.27919775,20172.71518791
20140415,0.00001110,0.00004889,0.00001110,0.00001400,1.47247652,53866.33298895
20140416,0.00001400,0.00002489,0.00000311,0.00000311,0.06054456,5119.58350493
20140417,0.00001114,0.00001500,0.00001011,0.00001499,0.00565724,431.00000000
20140418,0.00001480,0.00002000,0.00000353,0.00000353,0.15083127,14396.00022093
20140419,0.00001013,0.00001450,0.00001013,0.00001450,0.01130971,1056.06300630
20140420,0.00001400,0.00001400,0.00001002,0.00001002,0.04696392,3363.51680436
20140421,0.00001390,0.00001390,0.00000673,0.00000673,0.01512926,1361.36508636
20140422,0.00001293,0.00001293,0.00001000,0.00001289,0.02306363,2295.16350675
20140423,0.00001290,0.00001290,0.00001000,0.00001001,0.03574764,3553.10992586
20140424,0.00001289,0.00001999,0.00001289,0.00001800,0.41200296,26696.30406113
20140425,0.00001787,0.00001787,0.00001057,0.00001498,0.04534167,3031.09729610
20140426,0.00001060,0.00001101,0.00001057,0.00001057,0.08650064,8016.17262107
20140427,0.00001058,0.00001058,0.00000256,0.00001057,0.09129680,8712.18571813
20140429,0.00000900,0.00000900,0.00000900,0.00000900,0.05673329,6303.70000000
20140430,0.00001099,0.00001100,0.00001099,0.00001100,0.05697244,5180.38115408
20140504,0.00001100,0.00001100,0.00000411,0.00000412,0.00078248,144.87803570
20140505,0.00001099,0.00001100,0.00001099,0.00001100,0.45241592,41128.81294831
20140506,0.00001100,0.00001100,0.00001000,0.00001000,0.03671025,3487.02763248
20140507,0.00001000,0.00001100,0.00000650,0.00001100,0.15506841,19800.96014618
20140508,0.00000850,0.00001695,0.00000850,0.00000855,0.22976620,15813.33406438
20140509,0.00000853,0.00000853,0.00000412,0.00000412,0.06810328,9236.86564975
20140510,0.00000416,0.00000416,0.00000416,0.00000416,0.01661719,3994.51944391
20140511,0.00000901,0.00000901,0.00000600,0.00000700,0.16081264,20633.00700000
20140512,0.00000780,0.00000955,0.00000780,0.00000780,0.09676406,12003.72815976
20140513,0.00000904,0.00000904,0.00000900,0.00000900,0.03196899,3550.38292043
20140514,0.00000900,0.00001051,0.00000750,0.00000750,0.23349323,27010.44058029
20140515,0.00000750,0.00000750,0.00000750,0.00000750,0.00598601,798.13588593
20140516,0.00000800,0.00001650,0.00000800,0.00001650,0.02282801,1808.01290777
20140517,0.00001690,0.00001690,0.00001350,0.00001350,0.00313457,187.59551063
20140518,0.00001350,0.00001350,0.00000900,0.00000900,0.00621158,545.82176030
20140519,0.00000900,0.00001350,0.00000881,0.00000902,0.15941064,17472.82479727
20140520,0.00001699,0.00001699,0.00001699,0.00001699,0.00033810,19.90000000
20140521,0.00001000,0.00001000,0.00000937,0.00000939,0.01062149,1119.50210000
20140522,0.00001391,0.00001391,0.00000938,0.00000939,0.34575793,24969.15010080
20140523,0.00000940,0.00000940,0.00000940,0.00000940,0.00187059,198.99990000
20140524,0.00001200,0.00001393,0.00000941,0.00001393,0.10392055,7468.14525065
20140525,0.00000941,0.00001393,0.00000941,0.00000942,0.15744520,11937.31278513
20140526,0.00001000,0.00001000,0.00001000,0.00001000,0.00130000,130.00000000
20140527,0.00001000,0.00001393,0.00001000,0.00001005,0.01156803,1045.67490238
20140528,0.00001008,0.00001392,0.00000100,0.00001250,0.35771076,53131.09896698
20140529,0.00001250,0.00001250,0.00001010,0.00001013,0.01432472,1226.51594703
20140530,0.00001011,0.00001011,0.00000801,0.00000801,0.09668824,10664.80765446
20140601,0.00001018,0.00001033,0.00001018,0.00001033,0.11564316,11204.32760963
20140602,0.00001034,0.00001100,0.00001034,0.00001034,0.05170999,5000.32978482
20140603,0.00001100,0.00001234,0.00001100,0.00001234,0.05864757,5294.50400346
20140604,0.00001031,0.00001031,0.00001001,0.00001001,0.00820180,798.42948400
20140605,0.00001001,0.00001249,0.00000900,0.00000901,0.13388187,12451.51358484
20140606,0.00000903,0.00001499,0.00000903,0.00001499,0.12812718,12600.00000000
20140607,0.00000951,0.00001499,0.00000907,0.00001498,0.01590820,1358.38838888
20140608,0.00000907,0.00001300,0.00000907,0.00001300,0.05296251,4106.12161684
20140609,0.00001300,0.00001300,0.00000959,0.00001100,0.11156764,10673.85607652
20140610,0.00001140,0.00001200,0.00000999,0.00001000,0.16215092,14967.41384538
20140611,0.00000999,0.00001000,0.00000911,0.00000915,0.21459729,21550.25509709
20140612,0.00000915,0.00000916,0.00000915,0.00000916,0.01047896,1144.33788414
20140613,0.00000918,0.00001139,0.00000908,0.00000911,0.19552658,21441.62138099
20140614,0.00000912,0.00001030,0.00000911,0.00001019,0.20660970,21816.20161539
20140615,0.00001019,0.00001195,0.00000935,0.00001034,0.50569533,49732.66702390
20140616,0.00000912,0.00000951,0.00000856,0.00000860,0.30108036,33659.97176291
20140617,0.00000860,0.00000860,0.00000700,0.00000700,0.26106747,33791.35579833
20140618,0.00000800,0.00001190,0.00000510,0.00000896,0.73176150,91682.45913085
20140619,0.00000865,0.00000936,0.00000715,0.00000715,0.13416016,16158.67946389
20140620,0.00000715,0.00000900,0.00000702,0.00000702,0.13175105,16122.13383910
20140621,0.00000725,0.00001100,0.00000683,0.00001000,0.79284233,84123.56620919
20140622,0.00000750,0.00001049,0.00000700,0.00000700,0.33526611,40005.64443514
20140623,0.00000700,0.00000700,0.00000525,0.00000526,0.66797785,105484.29573624
20140624,0.00000530,0.00000550,0.00000500,0.00000550,0.10378236,20053.91877160
20140625,0.00000550,0.00000550,0.00000500,0.00000550,0.25552727,49657.65624248
20140626,0.00000440,0.00000580,0.00000440,0.00000580,0.03332189,7498.38490088
20140627,0.00000450,0.00000560,0.00000370,0.00000370,0.22243482,50427.12148168
20140628,0.00000400,0.00000543,0.00000350,0.00000350,0.13464001,35824.19214178
20140629,0.00000350,0.00000543,0.00000306,0.00000306,0.33745377,93408.98578795
20140630,0.00000306,0.00000480,0.00000200,0.00000365,0.17953174,63618.41778470
20140701,0.00000450,0.00000450,0.00000351,0.00000450,0.01530265,3414.00000000
20140702,0.00000375,0.00000400,0.00000375,0.00000375,0.07105999,18616.00000000
20140703,0.00000480,0.00001001,0.00000375,0.00000990,0.56277230,103726.52504909
20140704,0.00000500,0.00000500,0.00000375,0.00000375,0.10474509,24956.96230769
20140705,0.00000384,0.00000384,0.00000379,0.00000380,0.05610217,14771.23949568
20140706,0.00000382,0.00000382,0.00000378,0.00000378,0.06485882,17149.15314382
20140707,0.00000386,0.00000400,0.00000375,0.00000375,1.00077942,266184.24776233
20140708,0.00000402,0.00000853,0.00000375,0.00000375,0.12015826,26065.19403035
20140709,0.00000396,0.00000470,0.00000375,0.00000394,0.07261327,19067.43743060
20140710,0.00000405,0.00000405,0.00000375,0.00000400,0.11045560,28294.48711318
20140711,0.00000377,0.00000377,0.00000320,0.00000320,0.14574896,42510.77187917
20140712,0.00000328,0.00000329,0.00000275,0.00000275,0.07617871,25921.82764805
20140713,0.00000275,0.00000385,0.00000275,0.00000275,0.10860732,35885.69149389
20140714,0.00000291,0.00000395,0.00000289,0.00000300,0.15185598,48176.19596031
20140715,0.00000299,0.00000299,0.00000250,0.00000290,0.06682894,23931.66994062
20140716,0.00000290,0.00000310,0.00000250,0.00000250,0.01843269,6300.66485243
20140717,0.00000336,0.00000700,0.00000275,0.00000571,0.01233227,3653.90320993
20140718,0.00000320,0.00000320,0.00000255,0.00000264,0.03687133,12863.90473699
20140719,0.00000240,0.00000240,0.00000205,0.00000209,0.01082849,5174.77985242
20140720,0.00000210,0.00000572,0.00000205,0.00000572,0.16924511,39513.11595157
20140721,0.00000309,0.00000404,0.00000206,0.00000210,0.01891047,6632.13581569
20140722,0.00000246,0.00000246,0.00000205,0.00000205,0.00614850,2887.03410040
20140723,0.00000287,0.00000308,0.00000230,0.00000230,0.01197550,4703.97932884
20140724,0.00000252,0.00000252,0.00000230,0.00000230,0.00961960,4136.55280676
20140725,0.00000230,0.00000299,0.00000230,0.00000263,0.05454053,21418.90393068
20140726,0.00000256,0.00001000,0.00000230,0.00000290,0.49584625,101754.97978944
20140727,0.00000237,0.00000666,0.00000230,0.00000666,0.02797074,7679.10798680
20140728,0.00000542,0.00000550,0.00000260,0.00000286,0.27799752,96379.30662000
20140729,0.00000286,0.00000460,0.00000286,0.00000333,0.32016352,99411.83919284
20140730,0.00000339,0.00000399,0.00000300,0.00000352,0.24271202,71790.78325202
20140731,0.00000349,0.00000400,0.00000305,0.00000313,0.40940673,113274.28101514
20140801,0.00000333,0.00000398,0.00000300,0.00000350,0.39631656,116594.62262773
20140802,0.00000396,0.00000432,0.00000327,0.00000360,0.68218129,182656.90627445
20140803,0.00000370,0.00000600,0.00000331,0.00000600,0.90008891,206549.51921632
20140804,0.00000534,0.00000848,0.00000516,0.00000765,0.62913769,91391.57498849
20140805,0.00000707,0.00000785,0.00000521,0.00000523,0.30639775,52956.13243306
20140806,0.00000523,0.00000650,0.00000502,0.00000572,0.40376633,68466.74193670
20140807,0.00000580,0.00000790,0.00000572,0.00000651,0.54195603,78377.63389006
20140808,0.00000699,0.00000765,0.00000605,0.00000610,0.67919592,103335.80500648
20140809,0.00000610,0.00000699,0.00000502,0.00000504,0.42652049,75722.96406089
20140810,0.00000504,0.00000633,0.00000455,0.00000509,0.30300548,59388.19182675
20140811,0.00000509,0.00000557,0.00000477,0.00000557,0.68650926,135424.78748599
20140812,0.00000499,0.00000557,0.00000477,0.00000477,0.87211710,179778.39353506
20140813,0.00000477,0.00000557,0.00000477,0.00000519,0.49123523,93803.73921656
20140814,0.00000519,0.00000539,0.00000451,0.00000451,1.55462024,319708.91633883
20140815,0.00000455,0.00000525,0.00000451,0.00000452,0.82439562,176531.29011023
20140816,0.00000452,0.00000535,0.00000390,0.00000391,0.83697382,194189.25824293
20140817,0.00000391,0.00000557,0.00000385,0.00000408,0.55936926,114609.00719897
20140818,0.00000407,0.00001100,0.00000402,0.00000543,3.27258740,432738.71047328
20140819,0.00000635,0.00000770,0.00000544,0.00000551,0.49199553,77958.39991916
20140820,0.00000555,0.00000611,0.00000555,0.00000575,0.54497602,95699.03414826
20140821,0.00000580,0.00000650,0.00000540,0.00000649,0.70653866,124119.13993644
20140822,0.00000666,0.00000740,0.00000494,0.00000525,0.75658584,143993.41448379
20140823,0.00000530,0.00000535,0.00000494,0.00000528,0.37677598,74687.20197332
20140824,0.00000501,0.00000598,0.00000461,0.00000461,1.14864959,219589.04904327
20140825,0.00000461,0.00000510,0.00000450,0.00000450,0.47856119,104365.75206857
20140826,0.00000450,0.00000575,0.00000440,0.00000473,0.24580233,49118.67533846
20140827,0.00000460,0.00000571,0.00000448,0.00000456,0.37484783,77344.83247663
20140828,0.00000522,0.00000555,0.00000449,0.00000455,0.34773105,71292.82908726
20140829,0.00000455,0.00000569,0.00000449,0.00000473,0.52005761,105993.28278750
20140830,0.00000473,0.00000570,0.00000472,0.00000474,0.27974893,54717.29847221
20140831,0.00000471,0.00000700,0.00000470,0.00000485,1.37780814,237962.39653439
20140901,0.00000485,0.00000591,0.00000474,0.00000503,0.34297759,70273.13521076
20140902,0.00000519,0.00000699,0.00000506,0.00000550,0.32957172,57228.31070731
20140903,0.00000550,0.00000749,0.00000550,0.00000553,1.19036155,178521.78019373
20140904,0.00000553,0.00000650,0.00000513,0.00000525,0.50280105,90251.21064599
20140905,0.00000525,0.00000799,0.00000518,0.00000651,0.73719078,105975.94732275
20140906,0.00000696,0.00000796,0.00000519,0.00000660,0.96309597,151510.92700422
20140907,0.00000710,0.00000930,0.00000660,0.00000788,1.14341866,146708.96642261
20140908,0.00000830,0.00000900,0.00000750,0.00000750,0.43136594,53617.63720236
20140909,0.00000751,0.00000848,0.00000700,0.00000700,0.61664380,80652.33629143
20140910,0.00000700,0.00000800,0.00000700,0.00000709,0.53883179,74984.18234830
20140911,0.00000750,0.00000770,0.00000602,0.00000675,0.78057667,107558.83058289
20140912,0.00000676,0.00000761,0.00000603,0.00000623,1.14087892,166958.86028249
20140913,0.00000623,0.00000748,0.00000622,0.00000688,0.74583310,106730.84711707
20140914,0.00000679,0.00000726,0.00000627,0.00000682,0.55542696,79095.00989353
20140915,0.00000682,0.00000846,0.00000680,0.00000751,1.22180927,168353.71806016
20140916,0.00000751,0.00000888,0.00000685,0.00000881,0.92042216,118186.13902837
20140917,0.00000888,0.00001080,0.00000850,0.00000897,1.84156415,192223.57128271
20140918,0.00000897,0.00001925,0.00000895,0.00001098,3.21857297,262245.19480625
20140919,0.00001124,0.00001399,0.00000900,0.00001099,2.82970019,262345.37665882
20140920,0.00001045,0.00002010,0.00001000,0.00001453,5.19193219,340407.16327166
20140921,0.00001695,0.00002750,0.00001435,0.00001952,6.73889625,305893.05335872
20140922,0.00001954,0.00002250,0.00001623,0.00001751,2.14505836,110925.28184585
20140923,0.00001751,0.00002199,0.00001701,0.00002021,2.29989446,117572.65131734
20140924,0.00002021,0.00003466,0.00002020,0.00002670,7.85274181,291075.40131614
20140925,0.00002428,0.00002779,0.00001725,0.00002388,6.79272267,299079.28355514
20140926,0.00002389,0.00002999,0.00001665,0.00002252,5.29648196,222599.76542360
20140927,0.00002252,0.00002599,0.00002140,0.00002283,3.90185763,163910.61770218
20140928,0.00002342,0.00002489,0.00002213,0.00002315,3.38057121,144043.44913299
20140929,0.00002311,0.00002499,0.00002307,0.00002334,5.85719514,247654.68850760
20140930,0.00002321,0.00002597,0.00002300,0.00002351,6.04118842,250970.72580516
20141001,0.00002352,0.00002399,0.00002077,0.00002330,9.28842315,412892.52674094
20141002,0.00002319,0.00002599,0.00002130,0.00002597,5.42060399,230169.81279073
20141003,0.00002478,0.00002506,0.00002299,0.00002448,3.96434807,168060.61320155
