[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160121,0.00039985,0.00040000,0.00005000,0.00009491,4.49722213,52636.62607562
20160122,0.00009400,0.00009874,0.00005757,0.00007500,2.30526289,32420.63681797
20160123,0.00007500,0.00014891,0.00006241,0.00012837,2.09081931,20995.81226528
20160124,0.00012700,0.00012700,0.00007817,0.00007858,0.66433644,7103.92877182
20160125,0.00007502,0.00008000,0.00004004,0.00006497,3.20229173,59949.57084761
20160126,0.00006400,0.00007000,0.00004816,0.00007000,0.85670184,15158.87235916
20160127,0.00006998,0.00008887,0.00005517,0.00005517,0.83198966,12421.03902051
20160128,0.00006577,0.00006577,0.00005511,0.00006209,0.18957410,3204.56146494
20160129,0.00005755,0.00005755,0.00004520,0.00004564,0.32421375,6487.96581759
20160130,0.00004567,0.00005510,0.00004567,0.00005507,0.12605284,2666.54039639
20160131,0.00005507,0.00006985,0.00004561,0.00005096,0.77028741,15562.51177992
20160201,0.00004897,0.00005919,0.00004896,0.00005919,0.00808195,157.02333822
20160202,0.00004640,0.00005670,0.00004590,0.00005668,0.13443617,2887.66890724
20160203,0.00005000,0.00006997,0.00005000,0.00005250,0.73490483,12505.68569025
20160204,0.00006990,0.00007100,0.00006042,0.00007098,0.47152902,6800.63499592
20160205,0.00006040,0.00012995,0.00005562,0.00005758,0.68989055,9704.92577716
20160206,0.00007705,0.00007995,0.00005658,0.00007995,0.40355746,5935.69799860
20160207,0.00007989,0.00007994,0.00006500,0.00007650,0.10906709,1559.54211644
20160208,0.00007177,0.00008397,0.00006057,0.00008397,0.16070249,2185.85008655
20160209,0.00007505,0.00007505,0.00007200,0.00007225,0.12808706,1722.93817704
20160210,0.00007420,0.00008344,0.00007000,0.00008344,0.35988775,5108.26220549
20160211,0.00008340,0.00008340,0.00007000,0.00007000,0.20867577,2915.78138716
20160212,0.00008290,0.00008326,0.00008290,0.00008326,0.15337907,1844.70516828
20160213,0.00008337,0.00012355,0.00008010,0.00012281,0.16903482,1626.94991826
20160214,0.00012280,0.00012498,0.00011009,0.00011012,0.13857813,1147.27479389
20160215,0.00011989,0.00016000,0.00011500,0.00015006,1.09254444,8098.68273562
20160216,0.00015554,0.00039977,0.00012700,0.00023773,16.24021399,67208.86802048
20160217,0.00020000,0.00022490,0.00015000,0.00022490,1.32782698,7681.12919707
20160218,0.00022447,0.00022447,0.00020000,0.00020019,3.65843497,16430.63078610
20160219,0.00016187,0.00023771,0.00016033,0.00016033,0.59882834,3239.55128716
20160220,0.00016038,0.00021270,0.00014959,0.00014959,0.15846394,1048.59048544
20160221,0.00015497,0.00016000,0.00011621,0.00015998,0.22350390,1590.87366562
20160223,0.00011698,0.00017468,0.00011697,0.00011780,0.33190173,2700.35219035
20160224,0.00017444,0.00017444,0.00017409,0.00017410,0.01743713,100.14823730
20160225,0.00012016,0.00017400,0.00012016,0.00012112,0.06084319,504.33105499
20160227,0.00017391,0.00021399,0.00017391,0.00020696,0.24595980,1217.06278271
