[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161002,0.00005100,0.00005100,0.00004898,0.00004899,6.30821790,124350.96875370
20161003,0.00004899,0.00004999,0.00000079,0.00003050,269.94045910,11412809.06901859
20161004,0.00003050,0.00003180,0.00002500,0.00002750,91.79287875,3343185.17533065
20161005,0.00002750,0.00003269,0.00002685,0.00003269,108.73229023,3635416.63308281
20161006,0.00003268,0.00003299,0.00002729,0.00002998,128.08380017,4177083.15273736
20161007,0.00002890,0.00002994,0.00002581,0.00002654,68.48743732,2477352.89547749
20161008,0.00002649,0.00002779,0.00002550,0.00002696,56.48734198,2144187.55025581
20161009,0.00002757,0.00002826,0.00002504,0.00002600,52.28874580,1943380.48542384
20161010,0.00002541,0.00002660,0.00002453,0.00002500,97.08686462,3841602.47917991
20161011,0.00002500,0.00002500,0.00002111,0.00002383,57.33175093,2452002.61781351
20161012,0.00002319,0.00002319,0.00001776,0.00002098,32.15555931,1560504.81301819
20161013,0.00002161,0.00002276,0.00001966,0.00002082,10.89258416,512954.37506595
20161014,0.00002001,0.00002344,0.00002001,0.00002269,12.41468028,580170.10625147
20161015,0.00002269,0.00002308,0.00002075,0.00002085,6.23671182,285388.81336355
20161016,0.00002140,0.00002285,0.00002060,0.00002099,10.05828804,483289.25903879
20161017,0.00002104,0.00002204,0.00002071,0.00002080,14.45200326,685633.58881169
20161018,0.00002080,0.00002204,0.00002061,0.00002170,19.33573128,926557.88047735
20161019,0.00002170,0.00002234,0.00002072,0.00002210,16.62583223,773076.13172574
20161020,0.00002200,0.00002330,0.00002172,0.00002330,10.20647051,452494.40126539
20161021,0.00002330,0.00002330,0.00002072,0.00002194,15.86966702,733341.32962066
20161022,0.00002230,0.00002233,0.00002082,0.00002199,6.08532993,281798.66600870
20161023,0.00002129,0.00002198,0.00002080,0.00002126,9.70022704,462135.76072617
20161024,0.00002195,0.00002196,0.00002055,0.00002076,4.39436315,211037.01277767
20161025,0.00002099,0.00002190,0.00002067,0.00002113,26.72353044,1267817.16186532
20161026,0.00002073,0.00002139,0.00002000,0.00002000,8.04571642,396540.42712145
20161027,0.00001995,0.00002005,0.00001794,0.00001864,17.80105268,916573.10249995
20161028,0.00001880,0.00001929,0.00001560,0.00001562,8.95305087,538497.48886439
20161029,0.00001565,0.00001708,0.00001310,0.00001498,13.41236438,874190.94401783
20161030,0.00001493,0.00001777,0.00001489,0.00001666,4.01060352,256151.14374259
20161031,0.00001626,0.00001690,0.00001543,0.00001690,2.54478467,156652.87565578
20161101,0.00001683,0.00001689,0.00001501,0.00001521,7.43083562,474484.06046964
20161102,0.00001617,0.00001769,0.00001560,0.00001593,11.67003307,702264.32119441
20161103,0.00001578,0.00001725,0.00001561,0.00001640,2.52727908,156279.70476582
20161104,0.00001592,0.00001649,0.00001563,0.00001649,0.95187284,58873.33068392
20161105,0.00001649,0.00001699,0.00001582,0.00001699,5.40956765,331266.42023598
20161106,0.00001612,0.00001698,0.00001515,0.00001645,0.32107131,20635.12230636
20161107,0.00001639,0.00001699,0.00001639,0.00001697,0.92497727,55639.06207834
20161108,0.00001697,0.00001698,0.00001650,0.00001688,0.92500656,55367.99124424
20161109,0.00001688,0.00001695,0.00001511,0.00001570,7.54301185,474009.73161131
20161110,0.00001570,0.00001570,0.00001505,0.00001570,0.26501918,17259.48525994
20161111,0.00001560,0.00001570,0.00001137,0.00001338,18.00739655,1297818.85266549
20161112,0.00001311,0.00001646,0.00001259,0.00001452,0.94414500,61454.29042929
20161113,0.00001519,0.00001625,0.00001240,0.00001240,2.08236663,146672.38214882
20161114,0.00001508,0.00001508,0.00001102,0.00001390,19.53008267,1593862.58006647
20161115,0.00001388,0.00001624,0.00001315,0.00001431,10.30270947,686415.33285548
20161116,0.00001431,0.00001549,0.00001380,0.00001414,2.45153417,163692.24283390
20161117,0.00001519,0.00001547,0.00001423,0.00001540,1.27780205,85786.16689540
20161118,0.00001481,0.00001534,0.00001407,0.00001534,2.18249510,147593.09059365
20161119,0.00001533,0.00001533,0.00001403,0.00001470,1.33517816,91731.12402043
20161120,0.00001414,0.00001520,0.00001280,0.00001448,4.22388262,308021.75008571
20161121,0.00001449,0.00001482,0.00001380,0.00001449,0.13638932,9560.72865990
20161122,0.00001380,0.00001476,0.00001233,0.00001411,1.38357824,102519.70485812
20161123,0.00001452,0.00001512,0.00001259,0.00001450,2.38577940,161318.30980061
20161124,0.00001489,0.00001499,0.00001342,0.00001434,4.87179581,342232.76758603
20161125,0.00001435,0.00001488,0.00001354,0.00001354,1.65417191,117980.33000000
20161126,0.00001434,0.00001434,0.00001131,0.00001253,7.66341528,627295.51502686
20161127,0.00001263,0.00001464,0.00001167,0.00001366,4.63932749,338504.45121448
20161128,0.00001365,0.00001500,0.00001301,0.00001379,7.24072773,497924.00531561
20161129,0.00001404,0.00001436,0.00001151,0.00001304,6.08151245,480850.77195603
20161130,0.00001343,0.00001348,0.00001223,0.00001309,1.64740480,126185.22363552
20161201,0.00001309,0.00001344,0.00001133,0.00001158,2.82296366,238732.53918956
20161202,0.00001157,0.00001294,0.00001135,0.00001173,0.91418514,77367.21720618
20161203,0.00001201,0.00001274,0.00001181,0.00001274,0.14202423,11662.10255630
20161204,0.00001291,0.00001304,0.00001112,0.00001223,1.16816714,101490.40114510
20161205,0.00001170,0.00001170,0.00000982,0.00001045,17.54389571,1683871.24260097
20161206,0.00001040,0.00001145,0.00000999,0.00001050,3.83628487,350659.98362108
20161207,0.00001090,0.00001226,0.00001056,0.00001172,3.01975653,265891.89701869
20161208,0.00001159,0.00001209,0.00001030,0.00001123,1.76101377,157723.42522539
20161209,0.00001174,0.00001218,0.00001043,0.00001169,4.41228065,398765.91883046
20161210,0.00001151,0.00001151,0.00001057,0.00001095,0.73296286,66971.25598163
20161211,0.00001092,0.00001164,0.00001012,0.00001164,3.63466474,338630.13252423
20161212,0.00001114,0.00001201,0.00001009,0.00001106,7.46417921,684425.52552412
20161213,0.00001095,0.00001503,0.00001095,0.00001295,24.31878037,1802083.45589606
20161214,0.00001295,0.00001474,0.00001214,0.00001308,8.60369090,643977.09039315
20161215,0.00001276,0.00001303,0.00001080,0.00001142,4.32823942,367816.98805141
20161216,0.00001169,0.00001239,0.00001069,0.00001069,1.83020850,154344.82597707
20161217,0.00001144,0.00001197,0.00001031,0.00001031,3.06036578,275634.36656955
20161218,0.00001071,0.00001208,0.00001023,0.00001171,2.96962369,264218.31006057
20161219,0.00001194,0.00001209,0.00001061,0.00001158,3.07833071,275952.43050493
20161220,0.00001137,0.00001164,0.00001091,0.00001093,1.90251641,168255.22216046
