[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150603,0.00100000,0.00100000,0.00016000,0.00016000,2.92146503,13685.37809887
20150604,0.00016006,0.00016501,0.00010098,0.00016022,0.86725620,5777.19171884
20150605,0.00015000,0.00016299,0.00007001,0.00011000,0.62341672,4881.78658952
20150606,0.00010998,0.00011499,0.00007007,0.00007015,2.48652787,32876.87637728
20150607,0.00008001,0.00011223,0.00008001,0.00008005,0.30730801,3507.16888617
20150608,0.00008005,0.00008005,0.00007000,0.00007000,0.35771822,4901.74857295
20150609,0.00007000,0.00008349,0.00005150,0.00006004,0.03283339,490.86335311
20150610,0.00006008,0.00008034,0.00006001,0.00006001,0.01179381,166.76777274
20150611,0.00006000,0.00008199,0.00006000,0.00008199,0.28717013,3562.62933316
20150612,0.00006668,0.00008828,0.00004999,0.00008828,0.58826102,10170.97576763
20150613,0.00008828,0.00008828,0.00008828,0.00008828,0.00119699,13.55913004
20150614,0.00006002,0.00008675,0.00003006,0.00008675,0.04017339,917.94854970
20150615,0.00008498,0.00008498,0.00003100,0.00003106,0.15210623,4785.17504100
20150616,0.00004500,0.00007946,0.00004500,0.00007933,0.07671635,1399.79208576
20150617,0.00003611,0.00003611,0.00003150,0.00003150,0.07725578,2275.90748772
20150618,0.00004000,0.00005976,0.00004000,0.00005971,0.01521247,292.38828139
20150619,0.00003653,0.00003654,0.00002949,0.00003654,0.53983955,18180.56034043
20150620,0.00005859,0.00006000,0.00002851,0.00002851,0.40219844,9381.71476822
20150621,0.00003697,0.00004998,0.00003639,0.00003750,0.05216711,1417.59181782
20150622,0.00004000,0.00004501,0.00004000,0.00004501,0.04634428,1057.52547007
20150623,0.00005977,0.00006500,0.00005501,0.00006500,0.17808331,3195.57377260
20150624,0.00006600,0.00011890,0.00006600,0.00008931,2.48124532,24239.58475123
20150625,0.00009001,0.00009006,0.00006793,0.00006793,0.03242363,372.42561069
20150626,0.00008116,0.00008116,0.00006056,0.00007582,0.35344933,4828.67040992
20150627,0.00006069,0.00007987,0.00005821,0.00006338,0.55154402,7856.89368295
20150628,0.00007974,0.00010209,0.00007974,0.00010209,0.08033763,1002.33584329
20150629,0.00005824,0.00010196,0.00005823,0.00008236,5.50654617,65968.17600448
20150630,0.00009999,0.00010209,0.00008000,0.00008158,7.44048981,86720.83690723
20150701,0.00008145,0.00008145,0.00003378,0.00004165,0.43178079,8480.46420243
20150702,0.00006988,0.00006995,0.00006988,0.00006995,0.02921306,417.81253684
20150703,0.00004187,0.00004420,0.00003203,0.00003203,0.09086745,2602.73601732
20150704,0.00003212,0.00003956,0.00003212,0.00003956,1.40467750,39159.72251237
20150705,0.00003777,0.00003922,0.00003348,0.00003901,1.21553892,33613.40820169
20150706,0.00003536,0.00003536,0.00001290,0.00002485,0.55667865,21941.77740944
20150707,0.00002423,0.00005003,0.00001499,0.00004546,19.46226903,888393.08799533
20150708,0.00004411,0.00009333,0.00004208,0.00005349,4.68545114,68192.92117614
20150709,0.00005150,0.00005359,0.00005150,0.00005152,2.24663302,42690.67013862
20150710,0.00006266,0.00006266,0.00002002,0.00002002,0.50327322,13414.09661026
20150711,0.00004156,0.00004156,0.00003677,0.00004000,0.07309091,1967.20073724
20150712,0.00002817,0.00005100,0.00002817,0.00004581,6.80612831,162230.20326405
20150713,0.00004565,0.00004575,0.00003986,0.00003986,0.11151781,2520.52052914
20150714,0.00004572,0.00004575,0.00003513,0.00003518,0.06835385,1787.49982115
20150715,0.00003538,0.00007293,0.00003538,0.00005394,12.09772705,215216.16194286
20150716,0.00005417,0.00005417,0.00003605,0.00003605,0.16745755,3436.94614771
20150717,0.00005248,0.00005248,0.00004766,0.00004766,0.04901228,1013.82675627
20150718,0.00004766,0.00004766,0.00003915,0.00003934,1.11367065,24172.13077114
20150719,0.00004420,0.00004420,0.00003662,0.00004345,2.48387941,58597.80673261
20150720,0.00003671,0.00003671,0.00003671,0.00003671,0.02307206,628.49535860
20150721,0.00004157,0.00007253,0.00003738,0.00004200,1.59810330,35548.20841971
20150722,0.00006575,0.00006575,0.00004412,0.00004947,1.49452807,25227.86801836
20150723,0.00005977,0.00008929,0.00005155,0.00007474,3.24386177,45717.10424616
20150724,0.00007444,0.00022000,0.00006051,0.00014504,5.60506840,52751.51903063
20150725,0.00016449,0.00019005,0.00012958,0.00012958,2.52969616,16108.97180404
20150726,0.00012990,0.00012990,0.00011140,0.00012941,0.17522543,1461.22981814
20150727,0.00011890,0.00011890,0.00009555,0.00010736,0.28072540,2724.23314287
20150728,0.00009949,0.00009949,0.00006855,0.00007222,0.29769653,3551.28647661
20150729,0.00009924,0.00011278,0.00009915,0.00011270,0.27868838,2648.48950036
20150730,0.00011271,0.00012990,0.00010608,0.00012105,0.31382257,2563.74993629
20150731,0.00012097,0.00013512,0.00010001,0.00011003,0.12236463,1014.53081897
20150801,0.00011004,0.00011008,0.00009942,0.00009944,0.32356672,3138.19542621
20150802,0.00009952,0.00009952,0.00007003,0.00007004,0.16152682,2009.90005711
20150803,0.00007009,0.00011891,0.00007009,0.00011887,0.16558518,1469.13035432
20150804,0.00011877,0.00012911,0.00007100,0.00008949,9.92813511,93417.81727599
20150805,0.00009340,0.00010304,0.00009123,0.00010304,0.78938855,8303.60100143
20150806,0.00009135,0.00009135,0.00009033,0.00009034,0.02647172,290.03671939
20150807,0.00009033,0.00009199,0.00008027,0.00009199,4.23033730,46748.37940218
20150808,0.00010981,0.00010986,0.00009273,0.00010680,3.79755279,35296.88268568
20150809,0.00010690,0.00012002,0.00010013,0.00011988,2.08539924,18090.05066702
20150810,0.00012000,0.00012000,0.00011790,0.00011983,8.43984762,70498.98501803
20150811,0.00011983,0.00056540,0.00011983,0.00020458,8.32473398,37769.11408299
20150812,0.00020458,0.00026685,0.00018001,0.00019436,4.38224909,22020.88031211
20150813,0.00018021,0.00019425,0.00014000,0.00014000,1.94045715,12735.78020775
20150814,0.00016367,0.00019398,0.00015018,0.00015539,1.11565334,6430.36305407
20150815,0.00019368,0.00033000,0.00015547,0.00027926,8.72774101,34961.60550158
20150816,0.00025841,0.00027949,0.00017325,0.00017360,0.91346651,4069.47233888
20150817,0.00018005,0.00021388,0.00017365,0.00019999,11.34407330,58174.58062073
20150818,0.00019992,0.00032934,0.00019094,0.00021035,11.77984641,46548.41246973
20150819,0.00026628,0.00026628,0.00023411,0.00026089,1.46541927,5726.47673260
20150820,0.00023501,0.00026022,0.00017121,0.00017121,8.47288122,34965.27820700
20150821,0.00017451,0.00022898,0.00017451,0.00022898,0.10567588,559.64932124
20150822,0.00023876,0.00028088,0.00017202,0.00024488,1.51629301,6421.30250941
20150823,0.00024487,0.00025172,0.00021123,0.00024783,0.38375677,1614.28834126
20150824,0.00021123,0.00021123,0.00014363,0.00017773,6.73929572,42868.03379572
20150825,0.00017772,0.00030000,0.00017338,0.00029899,6.87468836,26456.19131813
20150826,0.00026802,0.00029181,0.00015000,0.00015005,1.86273508,10412.34979994
