[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170628,1.00000004,1.00000004,0.00001715,0.00002188,1264.28102379,55346287.54418457
20170629,0.00002188,0.00002584,0.00001891,0.00002023,3335.82909201,150613126.23520127
20170630,0.00002023,0.00002063,0.00001633,0.00001702,1416.50754793,75257009.30427870
20170701,0.00001701,0.00001984,0.00001610,0.00001675,1082.80968863,60896462.15978930
20170702,0.00001671,0.00001800,0.00001590,0.00001667,657.46252372,39257570.45674956
20170703,0.00001663,0.00002195,0.00001660,0.00002195,2810.31594806,138767101.54046625
20170704,0.00002175,0.00002545,0.00001982,0.00002184,1586.47361100,70837267.90942921
20170705,0.00002183,0.00002190,0.00001856,0.00001903,556.44443258,27973483.60648158
20170706,0.00001903,0.00002099,0.00001800,0.00001901,504.32145890,26251677.77563705
20170707,0.00001900,0.00001950,0.00001655,0.00001740,461.46551036,25959067.37572023
20170708,0.00001743,0.00001744,0.00001505,0.00001633,355.22395865,22000580.49613257
20170709,0.00001635,0.00001750,0.00001537,0.00001562,157.10347522,9597592.25893296
20170710,0.00001560,0.00001575,0.00001160,0.00001250,271.75555974,19584971.89897579
20170711,0.00001250,0.00001258,0.00000990,0.00001043,447.52240039,41280518.45581468
20170712,0.00001041,0.00001296,0.00001010,0.00001253,295.25800389,26114519.63782527
20170713,0.00001270,0.00001290,0.00001132,0.00001183,257.53005376,21623011.28652031
20170714,0.00001183,0.00001185,0.00001079,0.00001140,166.37518734,14815265.75527405
20170715,0.00001139,0.00001200,0.00001090,0.00001168,98.75896380,8654334.53897847
20170716,0.00001169,0.00001250,0.00001150,0.00001218,266.69650899,22840430.64599474
20170717,0.00001227,0.00001309,0.00001160,0.00001188,280.26805696,22895188.18938840
20170718,0.00001188,0.00001400,0.00001112,0.00001259,276.10040513,22737342.70696857
20170719,0.00001274,0.00001298,0.00001073,0.00001168,243.97826631,20398741.89132853
20170720,0.00001146,0.00001230,0.00000960,0.00001041,180.44059134,16059776.64489088
20170721,0.00001051,0.00001585,0.00001035,0.00001421,688.93959634,50479507.29778960
20170722,0.00001421,0.00003035,0.00001401,0.00003031,3292.59771973,143511060.25295317
20170723,0.00003021,0.00003694,0.00002649,0.00003121,4240.72187366,137680311.29963458
20170724,0.00003121,0.00003219,0.00002629,0.00002807,947.12654007,33273916.77241267
20170725,0.00002807,0.00002842,0.00002113,0.00002266,651.77597187,27203214.44238175
20170726,0.00002266,0.00002431,0.00002069,0.00002301,424.04701385,18884472.81144389
20170727,0.00002301,0.00002348,0.00002151,0.00002188,166.70835953,7392853.41082004
20170728,0.00002175,0.00002182,0.00001840,0.00001900,237.93024245,12049816.99685079
20170729,0.00001900,0.00001978,0.00001700,0.00001928,184.10502280,10132062.55657697
20170730,0.00001928,0.00001975,0.00001814,0.00001848,111.76680999,5912191.86588766
20170731,0.00001848,0.00002044,0.00001701,0.00001821,106.97260728,5753478.38400759
20170801,0.00001849,0.00002100,0.00001704,0.00002014,198.76515592,10035580.10495951
20170802,0.00002012,0.00002104,0.00001900,0.00002003,241.30693109,12020956.79105243
