[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150518,0.00003001,0.00004000,0.00003000,0.00003650,4.91482409,149580.04090086
20150519,0.00003259,0.00003534,0.00002302,0.00002762,23.14645800,777795.24476486
20150520,0.00002825,0.00003388,0.00002750,0.00002811,8.44347826,283939.06936768
20150521,0.00002814,0.00003350,0.00002602,0.00002666,10.01683960,334048.64306122
20150522,0.00002675,0.00002981,0.00002340,0.00002400,7.06410569,266503.09168845
20150523,0.00002515,0.00002515,0.00002213,0.00002213,10.46501974,448631.46480881
20150524,0.00002200,0.00002599,0.00002200,0.00002497,1.09949730,45326.12438472
20150525,0.00002594,0.00002700,0.00002321,0.00002413,2.04610335,84367.27870525
20150526,0.00002318,0.00002429,0.00002024,0.00002150,1.07556172,49277.77341965
20150527,0.00002060,0.00002464,0.00002051,0.00002168,0.64936682,27792.26628210
20150528,0.00002103,0.00002629,0.00002067,0.00002404,0.21247144,9415.55991789
20150529,0.00002071,0.00002356,0.00001100,0.00001376,3.27064909,160273.61839642
20150530,0.00001401,0.00002242,0.00001400,0.00002242,0.97279601,47839.78046836
20150531,0.00002200,0.00002200,0.00002200,0.00002200,0.00624020,283.64547273
20150601,0.00001952,0.00002189,0.00001000,0.00002189,1.98637111,119567.47089412
20150602,0.00002000,0.00002187,0.00000851,0.00001203,0.59823562,48153.46998533
20150603,0.00001645,0.00001669,0.00001207,0.00001219,0.28339777,17604.31559676
20150604,0.00001652,0.00001669,0.00001652,0.00001660,0.01207923,727.86889425
20150605,0.00001659,0.00001990,0.00001659,0.00001990,0.11903667,6567.01568737
20150606,0.00001385,0.00001385,0.00001000,0.00001000,0.17276997,15682.81650574
20150607,0.00001111,0.00001722,0.00001111,0.00001523,0.16650578,11879.98019641
20150608,0.00001112,0.00001236,0.00000888,0.00001002,2.33927180,237517.58909261
20150609,0.00001169,0.00001235,0.00001165,0.00001235,0.02445596,2012.33500559
20150610,0.00001247,0.00001439,0.00000917,0.00000999,0.31539460,31575.06144144
20150611,0.00001387,0.00001388,0.00000932,0.00000932,0.12030580,11579.63613690
20150612,0.00000948,0.00000948,0.00000913,0.00000913,0.34451701,37030.36135426
20150613,0.00001050,0.00001801,0.00001050,0.00001699,6.24987497,435189.98385909
20150614,0.00001694,0.00001799,0.00001523,0.00001538,7.44626526,426128.49752522
20150615,0.00001350,0.00001988,0.00001350,0.00001667,1.66682686,110097.28558045
20150616,0.00001797,0.00001798,0.00001503,0.00001787,0.76393526,49127.00142545
20150617,0.00001503,0.00001770,0.00001080,0.00001304,0.75972548,64840.22613323
