[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141219,0.00011000,0.00040000,0.00011000,0.00022000,0.24072369,981.31189240
20141221,0.00025277,0.00025277,0.00022011,0.00022011,0.04218935,183.66089496
20141222,0.00022011,0.00022500,0.00015000,0.00018000,1.40641883,6405.94441446
20141223,0.00022389,0.00029888,0.00019062,0.00020193,1.36089511,5435.33595001
20141224,0.00025008,0.00030000,0.00025000,0.00025300,1.90253179,7455.43734838
20141225,0.00025300,0.00039999,0.00025300,0.00030030,3.47843243,10180.30642926
20141226,0.00028930,0.00048991,0.00028930,0.00038445,3.36288921,8174.76058737
20141227,0.00034468,0.00039408,0.00022065,0.00022120,2.78631765,8655.82391707
20141228,0.00022120,0.00049989,0.00022100,0.00035004,4.04877147,9691.60603421
20141229,0.00037350,0.00046658,0.00033512,0.00036246,1.74866907,4612.17648468
20141230,0.00036248,0.00039871,0.00030011,0.00031801,0.62463597,1874.90397698
20141231,0.00031801,0.00033000,0.00026666,0.00029999,2.80889567,9248.20935518
20150101,0.00030000,0.00034989,0.00030000,0.00030007,0.19189878,635.12600507
20150102,0.00030007,0.00030007,0.00023000,0.00026151,6.36570841,25691.11715050
20150103,0.00026151,0.00026739,0.00020000,0.00020531,3.19922606,13692.25646740
20150104,0.00024069,0.00034937,0.00019001,0.00023612,4.60946207,19824.17036599
20150105,0.00023612,0.00039500,0.00023240,0.00034500,5.97022300,19399.33961282
20150106,0.00036919,0.00041536,0.00026854,0.00031861,5.17055328,16736.42468725
20150107,0.00031665,0.00040499,0.00031000,0.00040499,3.84161721,10548.14928304
20150108,0.00040000,0.00059890,0.00036021,0.00043501,80.10026937,157381.63311445
20150109,0.00046850,0.00059399,0.00042100,0.00042111,8.71755194,17714.63317246
20150110,0.00046867,0.00046867,0.00041100,0.00041101,2.60386086,6097.27134740
20150111,0.00043168,0.00057973,0.00041110,0.00044007,8.63943337,18595.32869737
20150112,0.00049896,0.00054498,0.00043001,0.00047859,4.48002405,9740.63499388
20150113,0.00047860,0.00048663,0.00044112,0.00048393,2.30792024,4930.91539512
20150114,0.00048000,0.00059299,0.00048000,0.00054898,9.72618630,17381.41621849
20150115,0.00047596,0.00054898,0.00047596,0.00053998,3.23234676,6252.25367921
20150116,0.00053998,0.00059225,0.00052002,0.00059225,9.69420209,17108.27922798
20150117,0.00059223,0.00063991,0.00058900,0.00058900,15.17854257,24559.54486638
20150118,0.00060005,0.00063798,0.00057575,0.00057764,2.28441559,3846.46233249
20150119,0.00057767,0.00059997,0.00057767,0.00058201,2.32248524,3982.01066492
20150120,0.00059500,0.00065000,0.00058200,0.00063988,8.49224892,13473.71579132
20150121,0.00060228,0.00067000,0.00059151,0.00065000,4.59427027,7175.02460699
20150122,0.00066869,0.00069986,0.00064201,0.00068000,13.85239042,20311.30857026
20150123,0.00068000,0.00069960,0.00062506,0.00067827,2.79744200,4226.83095682
20150124,0.00067809,0.00067809,0.00045000,0.00045000,8.29829809,14947.40038584
20150125,0.00042270,0.00062000,0.00042256,0.00058000,4.82774161,9107.05262133
20150126,0.00057946,0.00058000,0.00015142,0.00033359,48.76743537,187344.05068116
20150127,0.00033317,0.00040701,0.00031005,0.00036997,13.09264663,36099.00100442
20150128,0.00036989,0.00056285,0.00036989,0.00042601,4.92788728,10911.06436485
20150129,0.00044399,0.00059999,0.00038517,0.00045000,12.79827918,25290.51864293
20150130,0.00046001,0.00049491,0.00037008,0.00038000,7.51005508,18568.32503142
20150131,0.00041871,0.00048871,0.00026001,0.00039999,18.14203124,53762.63953759
20150201,0.00039998,0.00040097,0.00030218,0.00034000,2.66934151,7504.78888807
20150202,0.00032254,0.00038299,0.00031017,0.00032017,9.90971637,29687.17918269
20150203,0.00033998,0.00035700,0.00023000,0.00027400,9.03732594,32074.60944522
20150204,0.00027700,0.00033012,0.00025000,0.00030500,6.79413514,23419.85335544
20150205,0.00032600,0.00033000,0.00026402,0.00028000,16.65534993,55605.66476842
20150206,0.00030658,0.00031976,0.00028027,0.00028240,5.10446833,16829.37939863
20150207,0.00028248,0.00031229,0.00028230,0.00029400,3.74506894,12461.81788661
20150208,0.00029400,0.00032100,0.00028200,0.00031001,4.27116953,14417.11285278
20150209,0.00031001,0.00032025,0.00023032,0.00027500,13.04317056,48895.76197071
20150210,0.00027500,0.00028891,0.00023200,0.00027589,8.80749970,34880.19796082
20150211,0.00027589,0.00040000,0.00027587,0.00033973,18.49245675,58789.92767131
