[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140614,0.00080000,0.00095000,0.00035500,0.00070211,11.29707512,16171.10507529
20140615,0.00070133,0.00076495,0.00040000,0.00040500,17.71153794,28371.76705213
20140616,0.00040500,0.00050501,0.00025555,0.00028000,9.80403576,29772.03126165
20140617,0.00028000,0.00032099,0.00025208,0.00030499,13.61483290,47367.00476178
20140618,0.00029014,0.00031886,0.00027215,0.00029501,11.54353371,39955.42017208
20140619,0.00029997,0.00031285,0.00014001,0.00026001,12.47745210,46173.09301787
20140620,0.00026002,0.00026550,0.00021000,0.00021050,10.47272600,45677.21576009
20140621,0.00021060,0.00023429,0.00011111,0.00014200,7.05301676,40854.03334218
20140622,0.00015006,0.00017478,0.00006512,0.00012394,6.27314879,55043.83903190
20140623,0.00011910,0.00013500,0.00006604,0.00007505,4.01210241,44379.20575118
20140624,0.00007505,0.00009461,0.00006501,0.00006600,2.54182711,35707.34486632
20140625,0.00006602,0.00008981,0.00006602,0.00007056,1.22018294,16834.04997422
20140626,0.00007111,0.00008345,0.00007063,0.00007075,0.96514849,13638.37918069
20140627,0.00007080,0.00007600,0.00007080,0.00007600,0.23652391,3160.26702327
20140628,0.00007600,0.00007600,0.00005300,0.00007197,2.16308572,34785.58798807
20140629,0.00006201,0.00007197,0.00006200,0.00006920,0.94846068,14660.45933862
20140630,0.00006552,0.00007960,0.00006552,0.00007215,0.47502313,6672.05059593
20140701,0.00007215,0.00008373,0.00007211,0.00008325,0.08404652,1077.32701008
20140702,0.00008325,0.00008350,0.00006563,0.00006563,0.35048595,4440.99747385
20140703,0.00007350,0.00007350,0.00007002,0.00007021,0.00909516,129.14510653
20140704,0.00007350,0.00008350,0.00004100,0.00004100,0.46666249,7282.60283832
20140705,0.00004251,0.00007025,0.00004113,0.00005820,2.11291627,38409.72564962
20140706,0.00005818,0.00006540,0.00004141,0.00005005,0.89155960,16971.78773262
20140707,0.00005026,0.00009208,0.00004600,0.00006616,1.42501905,24319.04249304
20140708,0.00007766,0.00010000,0.00004960,0.00005483,2.26594621,33360.25025899
20140709,0.00005518,0.00005796,0.00005461,0.00005750,0.86564349,15738.49356483
20140710,0.00005750,0.00007000,0.00005750,0.00007000,0.63715753,9470.22003551
20140711,0.00006546,0.00006978,0.00005500,0.00005700,0.87686884,15276.45007874
20140712,0.00005978,0.00006500,0.00005700,0.00006201,0.58823170,9582.35871462
20140713,0.00006201,0.00009780,0.00006200,0.00007151,0.22735641,3342.99777700
20140714,0.00007200,0.00007510,0.00007133,0.00007140,0.12831499,1771.90764947
20140715,0.00007448,0.00007448,0.00006500,0.00007405,1.25838133,17954.65880512
20140716,0.00007405,0.00009222,0.00007405,0.00007606,0.21798239,2929.12090567
20140717,0.00008875,0.00008875,0.00007600,0.00007700,0.37466154,4904.88385935
20140718,0.00007703,0.00007703,0.00007215,0.00007237,0.29005255,3820.10265911
20140719,0.00005806,0.00007512,0.00005806,0.00006378,0.00902235,149.08494489
20140720,0.00007445,0.00008500,0.00006695,0.00007250,0.17366417,2254.23659990
20140721,0.00006982,0.00007001,0.00000900,0.00007000,1.23725657,20601.01420242
20140723,0.00005000,0.00006956,0.00004000,0.00005750,1.41556798,24461.86018601
20140724,0.00005895,0.00008298,0.00004055,0.00005000,2.40586628,43394.16059560
20140725,0.00005500,0.00006240,0.00003000,0.00004793,3.07033051,73210.14494511
20140726,0.00004783,0.00008488,0.00003200,0.00006907,1.29444962,28821.01595370
20140727,0.00006708,0.00007790,0.00005000,0.00005000,0.57505156,10432.14507415
20140728,0.00005044,0.00006076,0.00004000,0.00004100,0.96308633,20586.13470777
20140729,0.00004100,0.00006590,0.00003100,0.00004200,1.76634051,44256.10184929
20140730,0.00004456,0.00004700,0.00003860,0.00003966,0.91807839,21851.64220844
20140731,0.00003963,0.00007798,0.00003701,0.00004700,1.03615197,24368.49554052
20140801,0.00004700,0.00004989,0.00001700,0.00003553,1.33172339,38138.72061682
20140802,0.00003291,0.00005990,0.00002127,0.00003200,1.53202311,48039.13037226
20140803,0.00003200,0.00004190,0.00003200,0.00003310,0.71281900,21404.99926416
20140804,0.00003829,0.00003832,0.00002680,0.00003199,0.68991722,22923.58605725
20140805,0.00003199,0.00003199,0.00002005,0.00002005,0.45671193,15783.85901361
20140806,0.00002000,0.00004799,0.00000503,0.00003601,0.98949339,33288.95550886
20140807,0.00003601,0.00004400,0.00003000,0.00003000,0.79237218,23460.90288658
20140808,0.00003001,0.00003295,0.00003000,0.00003000,0.38948712,12980.93321728
20140809,0.00003100,0.00003100,0.00003000,0.00003000,0.67515215,22165.55166996
20140810,0.00003000,0.00003301,0.00002000,0.00003001,3.04069749,113681.25489875
20140811,0.00003000,0.00003199,0.00003000,0.00003000,0.39578813,13028.31902661
20140812,0.00003000,0.00003297,0.00002005,0.00003000,0.99038328,37137.35483219
20140813,0.00003000,0.00003259,0.00002553,0.00003000,0.42815265,14284.63986548
20140814,0.00003000,0.00003000,0.00002011,0.00002800,0.60653465,21822.31023348
20140815,0.00002802,0.00003009,0.00002181,0.00003000,0.76258668,27766.58919385
20140816,0.00003000,0.00003010,0.00002500,0.00002600,0.42938730,15195.37250309
20140817,0.00002600,0.00003679,0.00002500,0.00002500,0.49381476,15873.28886952
20140818,0.00002500,0.00003100,0.00002060,0.00002600,0.30779402,12452.43688237
20140819,0.00002600,0.00003131,0.00002067,0.00002069,0.45131886,18471.62435881
20140820,0.00002069,0.00003000,0.00002006,0.00002006,0.63253680,27642.38380135
20140821,0.00002006,0.00002007,0.00001580,0.00002000,1.07567465,55490.11186340
20140822,0.00002001,0.00002003,0.00000548,0.00001900,0.63200825,37931.61679867
20140823,0.00001900,0.00002180,0.00001700,0.00001800,0.25777757,14109.91324576
