[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160417,0.00750000,0.00755000,0.00025000,0.00089991,25.81797590,28512.94464623
20160418,0.00084001,0.00248999,0.00070082,0.00204783,67.24301781,41490.41946171
20160419,0.00204754,0.00221968,0.00160000,0.00175992,64.18120633,34998.96389116
20160420,0.00177996,0.00220000,0.00160001,0.00188722,65.92323467,34288.20857540
20160421,0.00175553,0.00179551,0.00139500,0.00150011,86.40067203,54380.38391324
20160422,0.00150012,0.00160000,0.00078010,0.00100000,81.36988705,67665.61035740
20160423,0.00100001,0.00145000,0.00093000,0.00139732,36.06061305,28405.57025754
20160424,0.00130001,0.00145000,0.00110000,0.00122101,21.13829454,16972.92096416
20160425,0.00122102,0.00122102,0.00072600,0.00079615,26.64997129,27823.41852902
20160426,0.00072649,0.00100000,0.00071455,0.00080018,25.42463133,29922.23868774
20160427,0.00079957,0.00130000,0.00075010,0.00096000,24.86342963,24830.70470123
20160428,0.00095997,0.00110437,0.00092000,0.00099870,14.72454500,15185.54444499
20160429,0.00099871,0.00103997,0.00086000,0.00096974,16.25198375,17675.60458566
20160430,0.00100089,0.00100470,0.00088489,0.00092942,5.09707840,5603.87141744
20160501,0.00089523,0.00109970,0.00088489,0.00100000,10.72870628,11294.40389648
20160502,0.00100003,0.00130000,0.00088000,0.00090000,40.65377409,40958.18288747
20160503,0.00095281,0.00120025,0.00090592,0.00098499,29.05787753,29295.14699340
20160504,0.00098542,0.00101000,0.00093426,0.00094000,8.64828618,8830.83980236
20160505,0.00099967,0.00099967,0.00080001,0.00085394,16.83792814,18899.09646477
20160506,0.00085398,0.00094996,0.00070000,0.00070000,23.16541307,31557.08162542
20160507,0.00070097,0.00081106,0.00065300,0.00065306,9.20819319,13126.26691668
20160508,0.00066247,0.00072953,0.00065100,0.00067400,5.67042743,8449.62219743
20160509,0.00065100,0.00067330,0.00050000,0.00051583,6.58489691,10949.08566992
20160510,0.00056122,0.00056122,0.00049900,0.00054997,6.66663010,12737.18817583
20160511,0.00051064,0.00054999,0.00046076,0.00054869,2.11006988,3975.47927119
20160512,0.00054868,0.00060000,0.00050237,0.00058434,5.25169693,9411.24975821
20160513,0.00058434,0.00107000,0.00058434,0.00075001,39.53561302,46263.63171830
20160514,0.00075801,0.00084430,0.00068000,0.00082225,4.82852343,6554.55847450
20160515,0.00082005,0.00084400,0.00072290,0.00078896,0.88350457,1095.49961715
20160516,0.00084306,0.00084777,0.00074100,0.00074454,1.71018780,2099.98664292
20160517,0.00084372,0.00084375,0.00074211,0.00078447,1.08514136,1383.50550816
20160518,0.00078447,0.00079230,0.00068234,0.00074000,3.24192164,4477.96651888
20160519,0.00079235,0.00079240,0.00062000,0.00078931,4.85518390,7095.54732544
20160520,0.00075153,0.00100000,0.00074960,0.00095000,7.73918661,9068.53835650
20160521,0.00091002,0.00103999,0.00082517,0.00095000,8.91824301,9240.00245043
20160522,0.00095000,0.00120000,0.00095000,0.00095113,18.62586502,18118.97910967
20160523,0.00095113,0.00109505,0.00095113,0.00100000,6.37649158,6240.48563554
20160524,0.00096762,0.00120000,0.00096707,0.00119000,32.09025977,28427.60165607
20160525,0.00119955,0.00129866,0.00100385,0.00126840,9.76894439,8291.44410255
20160526,0.00129860,0.00167999,0.00110040,0.00159000,37.18083534,25281.67429262
20160527,0.00155001,0.00156007,0.00060000,0.00109989,30.08114186,30821.71807995
20160528,0.00107007,0.00110717,0.00090000,0.00090319,6.09212836,6292.80964549
20160529,0.00093512,0.00096199,0.00085000,0.00085001,4.75557477,5367.84163906
20160530,0.00089000,0.00093000,0.00080001,0.00080001,4.28230045,4892.72356835
20160531,0.00092986,0.00093899,0.00070000,0.00080998,16.31350103,21171.78605680
20160601,0.00079646,0.00079646,0.00072000,0.00077998,4.34282815,5757.11782741
20160602,0.00077998,0.00077998,0.00072000,0.00075996,2.45259249,3351.57235582
20160603,0.00076999,0.00076999,0.00063746,0.00064157,8.74702809,12668.38332679
20160604,0.00064161,0.00075325,0.00063001,0.00074942,8.05967088,11727.60400838
20160605,0.00068988,0.00068988,0.00058500,0.00063944,8.34196222,13753.90117494
20160606,0.00058541,0.00062871,0.00058500,0.00061999,2.13263892,3575.33621667
20160607,0.00062000,0.00062000,0.00050993,0.00059232,4.21247688,7405.15546482
20160608,0.00054457,0.00090000,0.00050101,0.00063010,13.33541356,18789.07909641
20160609,0.00060238,0.00070000,0.00055009,0.00067998,10.89691055,18019.07058096
20160610,0.00067939,0.00071999,0.00063000,0.00063750,11.35793138,16725.23976005
20160611,0.00063750,0.00069950,0.00063000,0.00063340,4.01699397,6189.11231810
20160612,0.00063393,0.00065978,0.00056323,0.00056324,8.26360941,13486.61600258
20160613,0.00056323,0.00066198,0.00055049,0.00055050,6.43603461,11379.56424594
20160614,0.00057332,0.00060001,0.00056000,0.00056000,1.42853782,2451.13034166
20160615,0.00056000,0.00060000,0.00056000,0.00056112,2.35493107,4122.14441278
20160616,0.00056113,0.00060560,0.00052000,0.00052093,4.63118781,8374.18849316
20160617,0.00058337,0.00058337,0.00037332,0.00041490,14.68169017,32290.22086678
20160618,0.00037603,0.00042186,0.00037601,0.00040000,0.99068741,2500.15568934
20160619,0.00041589,0.00043651,0.00037323,0.00043309,4.00374767,10473.44988200
20160620,0.00043309,0.00043310,0.00031995,0.00041000,4.21538865,11034.01490315
20160621,0.00038540,0.00040999,0.00028200,0.00030000,2.10209526,5897.94152031
20160622,0.00028218,0.00037488,0.00027000,0.00030360,1.68530476,5169.48007912
20160623,0.00030284,0.00045951,0.00030283,0.00045000,7.44487724,17405.47570955
20160624,0.00044975,0.00045951,0.00035000,0.00035000,5.46681477,14087.78879122
20160625,0.00038453,0.00042990,0.00030001,0.00034001,6.56876816,19654.26213928
20160626,0.00034477,0.00039998,0.00030072,0.00031012,5.65323395,16328.17478734
20160627,0.00031009,0.00037767,0.00030112,0.00031500,3.03314761,9325.21391756
20160628,0.00031548,0.00041000,0.00031500,0.00036096,4.84756674,14032.10621162
20160629,0.00036121,0.00043000,0.00033226,0.00034373,2.60709387,6876.70918523
20160630,0.00039956,0.00042000,0.00039956,0.00040740,6.43803580,15831.39078691
20160701,0.00039374,0.00040739,0.00030011,0.00030011,8.55884664,24910.33269199
20160702,0.00030073,0.00034000,0.00028890,0.00030501,5.90057416,19021.31915765
20160703,0.00030561,0.00041999,0.00027605,0.00036985,11.36583479,35988.68016880
20160704,0.00036016,0.00053665,0.00034040,0.00034040,26.35597596,68274.35258205
20160705,0.00034000,0.00037676,0.00032500,0.00035932,19.67749863,56947.26486192
20160706,0.00034950,0.00037375,0.00034501,0.00037375,10.34164966,29512.26402164
20160707,0.00036008,0.00060800,0.00035011,0.00045885,60.20521598,130180.31997072
20160708,0.00045920,0.00054000,0.00038513,0.00048616,32.09908234,68498.78201960
20160709,0.00048686,0.00090000,0.00048630,0.00081992,71.34405002,107354.53397228
20160710,0.00084048,0.00123000,0.00080500,0.00085532,209.40123425,203615.19077423
20160711,0.00085571,0.00150000,0.00085000,0.00149002,232.29658676,195431.37020511
20160712,0.00149003,0.00470009,0.00145000,0.00419000,1294.03310374,471810.72190443
20160713,0.00419001,0.00750000,0.00310002,0.00610000,2898.43476753,563069.49298207
20160714,0.00610000,0.00700000,0.00514400,0.00561010,2793.57979543,455568.67874152
20160715,0.00570000,0.00640000,0.00431000,0.00485173,1458.25338090,264259.31257934
20160716,0.00485173,0.00578000,0.00399997,0.00490081,1304.91536068,266932.45811441
20160717,0.00484002,0.00547840,0.00430013,0.00481748,898.65002259,181911.41387709
20160718,0.00482749,0.00489999,0.00364001,0.00374998,695.17533545,164548.08021269
20160719,0.00374997,0.00687965,0.00360000,0.00641000,2585.05691520,466450.71301577
20160720,0.00641000,0.00689000,0.00559777,0.00595001,891.08118944,140672.06955638
