[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170711,0.00001817,1.00000000,0.00001817,0.00021701,35.08624519,117900.51204390
20170712,0.00021701,0.00037268,0.00016710,0.00021152,651.63019438,2967703.45547103
20170713,0.00021150,0.00022199,0.00019113,0.00019421,198.62051599,975626.26783066
20170714,0.00019401,0.00020285,0.00017400,0.00017600,76.99586376,399878.90403848
20170715,0.00017819,0.00018513,0.00016816,0.00017679,39.97231306,231227.50777084
20170716,0.00017094,0.00017325,0.00014092,0.00015069,51.01934463,326124.48689042
20170717,0.00015064,0.00018700,0.00014766,0.00016802,72.48808093,447753.49762479
20170718,0.00016802,0.00017500,0.00016000,0.00017278,55.94584144,334843.53766814
20170719,0.00017069,0.00017500,0.00016101,0.00016204,38.04254890,226418.51649623
20170720,0.00016216,0.00024000,0.00015135,0.00017738,303.05865455,1473044.13614777
20170721,0.00017738,0.00021259,0.00016890,0.00018084,163.23542864,851893.22582444
20170722,0.00017726,0.00018687,0.00016601,0.00018458,89.74769595,504294.44631927
20170723,0.00018263,0.00019074,0.00016405,0.00017751,53.34184742,300450.33227626
20170724,0.00018173,0.00018258,0.00017003,0.00017013,35.70771847,207127.62163864
20170725,0.00017009,0.00017800,0.00015101,0.00015971,49.37144143,296082.21796489
20170726,0.00015886,0.00016760,0.00015150,0.00016441,24.78161155,156738.05843050
20170727,0.00016440,0.00016986,0.00014520,0.00014876,28.43474537,182584.41462153
20170728,0.00014876,0.00015435,0.00012450,0.00012997,22.56325521,161340.55809347
20170729,0.00013295,0.00014933,0.00012500,0.00014000,20.38450069,154524.67903750
20170730,0.00013990,0.00015000,0.00013190,0.00014011,19.53820392,137250.18324678
20170731,0.00013670,0.00014492,0.00012500,0.00013011,28.92967917,221536.85658200
20170801,0.00013068,0.00016000,0.00011971,0.00013728,48.97566576,345926.85501309
20170802,0.00013372,0.00016000,0.00013302,0.00015757,36.29716006,245461.34413724
