[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141003,0.00008000,0.00008000,0.00008000,0.00008000,273.30447094,3416305.90142950
20141004,0.00008000,0.00008000,0.00008000,0.00008000,46.69552765,583694.09857050
20141005,100000.00000000,100000.00000000,0.00008201,0.00013176,153.19741001,1178938.86898964
20141006,0.00013449,0.00021323,0.00013200,0.00020871,136.00203302,769630.48094738
20141007,0.00020907,0.00031999,0.00018523,0.00028050,158.89043023,679554.71979157
20141008,0.00029619,0.00043200,0.00025780,0.00038548,419.00690178,1168154.76554827
20141009,0.00038548,0.00038735,0.00028701,0.00033126,122.05934607,370749.49331387
20141010,0.00033121,0.00033525,0.00022301,0.00027611,92.38983000,323063.22737901
20141011,0.00027999,0.00031000,0.00026011,0.00029774,51.11915144,181350.45568925
20141012,0.00029774,0.00030300,0.00026878,0.00029388,19.66169608,69131.06416733
20141013,0.00029410,0.00031777,0.00026500,0.00026700,91.28474725,309254.33355760
20141014,0.00026702,0.00028472,0.00025000,0.00027603,44.81534499,166557.20098253
20141015,0.00027597,0.00033000,0.00026026,0.00030555,57.47202956,195381.03686880
20141016,0.00031499,0.00033426,0.00028511,0.00032988,52.34958856,171951.35923916
20141017,0.00032965,0.00037461,0.00030500,0.00032028,61.66020696,185030.67948998
20141018,0.00031900,0.00035914,0.00031750,0.00032641,21.45610056,64221.33907788
20141019,0.00033234,0.00035101,0.00030951,0.00032729,59.09343612,185226.38701736
20141020,0.00031002,0.00036000,0.00025023,0.00034446,52.68620890,178397.75800540
20141021,0.00034277,0.00040000,0.00031000,0.00031980,97.92257542,276107.26867557
20141022,0.00031980,0.00034150,0.00028500,0.00028500,34.42241297,113322.14765515
20141023,0.00028500,0.00030001,0.00025737,0.00026100,41.29244746,152206.84697869
20141024,0.00026270,0.00029750,0.00026009,0.00028275,15.10955638,54256.56628247
20141025,0.00028275,0.00028427,0.00025500,0.00026807,10.31030566,39308.54848837
20141026,0.00026801,0.00033555,0.00026800,0.00033120,121.16019527,391365.07056957
20141027,0.00032900,0.00035033,0.00018100,0.00026344,458.01039057,1545474.69563882
20141028,0.00026349,0.00026559,0.00013550,0.00015814,85.01474417,445891.35699580
20141029,0.00016800,0.00017369,0.00007202,0.00008349,70.11463632,667902.51289612
20141030,0.00008051,0.00009996,0.00007500,0.00008400,23.45659479,278260.09367735
20141031,0.00008399,0.00010395,0.00008000,0.00009100,18.90953082,213032.36315546
20141101,0.00009321,0.00009400,0.00008213,0.00008333,6.72169112,76858.84980386
20141102,0.00008334,0.00009325,0.00008002,0.00008507,13.93140088,165140.17036091
20141103,0.00008689,0.00010400,0.00008100,0.00009525,52.13200336,627345.72415391
20141104,0.00009526,0.00010204,0.00008100,0.00008401,51.77879532,583744.63221701
20141105,0.00008425,0.00008709,0.00008100,0.00008120,17.40890742,212381.27254174
20141106,0.00008120,0.00008688,0.00007900,0.00008025,14.19282320,174741.90497248
20141107,0.00008026,0.00009314,0.00007992,0.00009228,13.93853965,164805.98067326
20141108,0.00009190,0.00009314,0.00008627,0.00008671,3.72595340,41758.58845028
20141109,0.00008642,0.00009318,0.00008500,0.00009010,5.29591971,59903.92000666
20141110,0.00009010,0.00009035,0.00008222,0.00008969,9.62070205,113412.44679337
20141111,0.00008969,0.00009036,0.00008011,0.00008254,28.20474237,338620.45134642
20141112,0.00008255,0.00010180,0.00008199,0.00008874,22.42833607,254542.31738413
20141113,0.00008859,0.00008859,0.00008000,0.00008195,12.76153043,154944.81492499
20141114,0.00008178,0.00008696,0.00008026,0.00008065,1.78041712,21941.25627963
20141115,0.00008148,0.00008196,0.00007650,0.00007932,15.54776985,194373.18834154
20141116,0.00008034,0.00008034,0.00007500,0.00008010,5.91695290,76160.05219723
20141117,0.00008009,0.00008023,0.00007700,0.00008018,2.34521231,29422.64292053
