[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170308,0.00100000,0.00100000,0.00050000,0.00050002,0.15923591,309.47526591
20170309,0.00030001,0.00050000,0.00015606,0.00019998,14.42912983,51462.02321143
20170310,0.00019998,0.00024900,0.00012500,0.00019974,6.97173388,39423.65377478
20170311,0.00019877,0.00020000,0.00012504,0.00018199,2.98507289,16617.53884889
20170312,0.00018199,0.00028800,0.00015000,0.00023404,9.71001896,45231.54070518
20170313,0.00023113,0.00026440,0.00013000,0.00019298,5.68692684,37136.90091655
20170314,0.00017521,0.00019300,0.00011000,0.00014226,10.90103789,81654.07287371
20170315,0.00016200,0.00017100,0.00012201,0.00014043,2.64273280,17614.07164706
20170316,0.00014000,0.00014000,0.00009001,0.00012875,6.42140041,54988.31923477
20170317,0.00013259,0.00018299,0.00013251,0.00016468,3.22058177,20420.85601652
20170318,0.00017382,0.00019222,0.00016807,0.00016909,3.93313059,22114.32843015
20170319,0.00017998,0.00019749,0.00017200,0.00017727,1.63770930,8917.56664032
20170320,0.00018867,0.00020500,0.00018431,0.00019635,2.10746356,10725.84722905
20170321,0.00020298,0.00021936,0.00019550,0.00021863,0.90861198,4343.03655703
20170322,0.00020020,0.00022000,0.00019551,0.00019669,0.91351995,4202.44858041
20170323,0.00021064,0.00029500,0.00016207,0.00027037,9.97558120,44133.16542747
20170324,0.00024199,0.00029499,0.00022404,0.00027211,2.47504424,9121.44310426
20170325,0.00022647,0.00030500,0.00022646,0.00030488,10.04248058,35839.38606845
20170326,0.00030500,0.00046191,0.00027811,0.00031999,12.28991313,34514.62643019
20170327,0.00031999,0.00032000,0.00025451,0.00029758,9.72199384,34364.41398223
20170328,0.00026138,0.00028898,0.00022660,0.00022727,7.06298710,28962.83404030
20170329,0.00022696,0.00030000,0.00022631,0.00028998,6.69244694,24978.20858979
20170330,0.00028997,0.00070000,0.00023781,0.00043813,40.11095749,86892.16288120
20170331,0.00043789,0.00058999,0.00040001,0.00046500,12.07644899,25972.45399842
20170401,0.00046000,0.00055999,0.00039001,0.00042263,10.45923990,24285.58583232
20170402,0.00044427,0.00049967,0.00030101,0.00049967,2.36358373,5652.93119029
20170403,0.00045010,0.00049000,0.00035000,0.00038700,4.35385720,10872.55246121
20170404,0.00038700,0.00040000,0.00034100,0.00034100,0.94000439,2669.31478220
20170405,0.00034150,0.00047719,0.00032181,0.00037000,6.58713855,15622.18033923
20170406,0.00040691,0.00041000,0.00029300,0.00037950,6.22313085,18920.29202632
20170407,0.00031075,0.00035046,0.00024852,0.00031738,4.05244532,13530.22481672
20170408,0.00033914,0.00038333,0.00030901,0.00038049,1.59612097,4676.86402165
20170409,0.00035599,0.00038041,0.00035350,0.00038041,0.36259122,967.15892915
