[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160825,0.00001600,0.00015000,0.00001600,0.00010898,2.78319055,22275.02626031
20160826,0.00010898,0.00011199,0.00006117,0.00008328,42.98303746,483388.17996811
20160827,0.00008285,0.00008988,0.00007000,0.00007999,20.63344929,263758.94445033
20160828,0.00007402,0.00009412,0.00006500,0.00007800,156.50868032,1918636.09397513
20160829,0.00007892,0.00008784,0.00006108,0.00006380,28.08955745,391992.84490483
20160830,0.00006397,0.00006800,0.00004379,0.00006500,15.89083922,285387.06929741
20160831,0.00006121,0.00006135,0.00004377,0.00005740,12.20647726,240448.05659639
20160901,0.00005268,0.00008000,0.00004613,0.00008000,27.85289059,409327.14955724
20160902,0.00008000,0.00008813,0.00007200,0.00007704,24.31555833,299019.19711055
20160903,0.00007716,0.00007718,0.00006595,0.00006705,19.57754189,278612.79087570
20160904,0.00006704,0.00007896,0.00006700,0.00007200,4.62726170,65594.69857134
20160905,0.00007200,0.00010000,0.00006500,0.00009195,56.97831372,714494.96281447
20160906,0.00009206,0.00011000,0.00007396,0.00008166,99.40244419,1075432.63135688
20160907,0.00007868,0.00008200,0.00007000,0.00008000,9.76032267,129028.96251190
20160908,0.00007972,0.00007972,0.00006400,0.00007032,18.65980195,275127.53311644
20160909,0.00006860,0.00007070,0.00005311,0.00006150,13.34558250,217831.86576133
20160910,0.00006152,0.00006716,0.00005900,0.00006001,3.05900524,49580.92054431
20160911,0.00006000,0.00006236,0.00005600,0.00005803,2.53627405,43311.43926122
20160912,0.00005806,0.00007072,0.00005803,0.00006123,4.19113931,64668.61447678
20160913,0.00006267,0.00006500,0.00005803,0.00005981,9.80470403,160627.73829041
20160914,0.00006149,0.00006395,0.00005001,0.00005610,14.34972458,260538.57097970
20160915,0.00005610,0.00005610,0.00004966,0.00005000,10.53389603,206569.79323610
20160916,0.00005193,0.00005970,0.00005193,0.00005542,6.16972902,108788.34950052
20160917,0.00005761,0.00005761,0.00005051,0.00005051,3.75733060,70769.53955590
