[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140817,0.00007202,0.00007202,0.00000372,0.00000600,313.87315452,49531257.99449117
20140818,0.00000600,0.00000723,0.00000458,0.00000523,87.11825479,15566821.22679047
20140819,0.00000526,0.00000600,0.00000386,0.00000414,90.90547160,17997015.31174910
20140820,0.00000390,0.00000587,0.00000360,0.00000574,86.27356947,18777865.55118426
20140821,0.00000574,0.00000581,0.00000452,0.00000467,36.30683383,7370705.18998357
20140822,0.00000463,0.00000485,0.00000410,0.00000420,18.40276950,4116464.71708429
20140823,0.00000421,0.00000449,0.00000360,0.00000403,19.21896501,4793420.44652230
20140824,0.00000403,0.00000415,0.00000335,0.00000389,15.97462716,4234166.53950802
20140825,0.00000389,0.00000447,0.00000348,0.00000409,18.11573778,4778348.31155216
20140826,0.00000401,0.00000420,0.00000372,0.00000393,13.57617209,3450065.27068286
20140827,0.00000390,0.00000409,0.00000352,0.00000362,20.34157447,5427845.97747252
20140828,0.00000359,0.00000409,0.00000320,0.00000359,24.79273384,7099286.33386419
20140829,0.00000355,0.00000399,0.00000315,0.00000373,15.80213276,4544942.42089942
20140830,0.00000360,0.00000373,0.00000323,0.00000352,6.07960239,1761792.27474719
20140831,0.00000347,0.00000347,0.00000303,0.00000326,10.46039142,3267070.33030654
20140901,0.00000334,0.00000360,0.00000322,0.00000329,4.55273592,1332703.17063619
20140902,0.00000331,0.00000345,0.00000282,0.00000303,13.14767881,4262806.35185627
20140903,0.00000298,0.00000324,0.00000286,0.00000319,9.70951117,3174825.76574825
20140904,0.00000320,0.00000322,0.00000291,0.00000309,6.29993273,2071102.79387680
20140905,0.00000309,0.00000316,0.00000222,0.00000265,12.43138376,4796586.40136027
20140906,0.00000266,0.00000305,0.00000251,0.00000300,11.09931603,3938154.42906017
20140907,0.00000298,0.00000311,0.00000272,0.00000272,4.91892469,1720118.33249723
20140908,0.00000278,0.00000296,0.00000235,0.00000235,7.42715248,2846855.61134345
20140909,0.00000240,0.00000265,0.00000230,0.00000242,9.66799120,3916261.71707413
20140910,0.00000246,0.00000287,0.00000210,0.00000242,15.61191641,6309240.72439944
20140911,0.00000242,0.00000284,0.00000233,0.00000251,7.38206409,2797868.15119820
20140912,0.00000251,0.00000256,0.00000210,0.00000239,4.79025690,2080717.36303024
