[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140501,0.00000300,0.00000300,0.00000003,0.00000003,0.00111142,32741.80443102
20140502,0.00000090,0.00000099,0.00000090,0.00000099,0.04469027,45596.24937656
20140503,0.00000144,0.00000180,0.00000110,0.00000110,0.02793837,24476.70112598
20140504,0.00000110,0.00000180,0.00000099,0.00000180,0.01735319,16098.90984659
20140505,0.00000100,0.00000480,0.00000100,0.00000480,0.18124981,89284.91582896
20140513,0.00000165,0.00000400,0.00000030,0.00000169,0.38757216,342715.79384871
20140514,0.00000138,0.00000138,0.00000138,0.00000138,0.00013800,100.00000000
20140515,0.00000025,0.00000129,0.00000005,0.00000107,0.04406590,262951.60394122
20140517,0.00000040,0.00000040,0.00000006,0.00000006,0.03768676,165387.05685242
20140518,0.00000010,0.00000010,0.00000010,0.00000010,0.00114250,11425.00000000
20140519,0.00000010,0.00000010,0.00000007,0.00000010,0.00651140,71219.54969719
20140520,0.00000010,0.00000012,0.00000010,0.00000012,0.00226515,22351.54969719
20140521,0.00000013,0.00000013,0.00000013,0.00000013,0.00714238,54941.38907100
20140522,0.00000008,0.00000008,0.00000008,0.00000008,0.00056000,7000.00000000
20140523,0.00000024,0.00000024,0.00000024,0.00000024,0.00011885,495.24438903
20140524,0.00000010,0.00000010,0.00000010,0.00000010,0.00013894,1389.42643392
20140525,0.00000009,0.00000015,0.00000009,0.00000015,0.00902328,88402.02856500
20140526,0.00000016,0.00000017,0.00000009,0.00000011,0.05633259,560447.64259241
20140527,0.00000010,0.00000079,0.00000010,0.00000079,0.05103088,199137.55260935
20140528,0.00000011,0.00000069,0.00000011,0.00000035,0.12681901,317955.91567100
20140529,0.00000049,0.00000067,0.00000015,0.00000016,0.20040695,434058.07425452
20140530,0.00000016,0.00000056,0.00000015,0.00000018,0.04303236,157381.29716289
20140531,0.00000018,0.00000050,0.00000013,0.00000015,0.09812748,292352.04106178
20140601,0.00000015,0.00000054,0.00000014,0.00000014,0.10530648,284544.03615554
20140602,0.00000014,0.00000015,0.00000014,0.00000014,0.00245484,17499.94000000
20140603,0.00000014,0.00000014,0.00000006,0.00000006,0.09201320,682615.30384446
20140604,0.00000013,0.00000052,0.00000011,0.00000023,0.44391799,1364009.54981466
