[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170309,0.01200042,0.01200042,0.00550004,0.00610000,2.52672928,381.42527073
20170310,0.00677871,0.00677871,0.00561312,0.00570012,10.10196607,1685.81794337
20170311,0.00600003,0.00660000,0.00580000,0.00660000,1.12538793,178.04537814
20170312,0.00660000,0.00724997,0.00582617,0.00649000,13.03021003,1980.32909474
20170313,0.00592748,0.00643888,0.00550003,0.00595088,4.99596277,852.84879751
20170314,0.00600137,0.00627950,0.00500000,0.00558340,7.45391295,1335.40195279
20170315,0.00566966,0.00690000,0.00500015,0.00549813,13.31725208,2367.58254679
20170316,0.00573628,0.00573631,0.00505000,0.00520000,4.77761155,906.38372443
20170317,0.00530402,0.00559987,0.00505000,0.00548676,6.50872567,1233.39464675
20170318,0.00548796,0.00700001,0.00500000,0.00620000,15.09302987,2573.95169891
20170319,0.00620002,0.00682995,0.00522000,0.00539961,11.03578156,1855.53622905
20170320,0.00539964,0.00599998,0.00521000,0.00550101,4.74071693,856.06992602
20170321,0.00564948,0.00674993,0.00551001,0.00668798,5.87185804,1022.26503482
20170322,0.00668798,0.00684000,0.00570104,0.00599896,10.55955668,1753.10814409
20170323,0.00599963,0.00683886,0.00586031,0.00629963,14.75777300,2413.00584216
20170324,0.00629994,0.00698000,0.00590000,0.00650000,17.76895280,2867.93643549
20170325,0.00669990,0.00920128,0.00645497,0.00920123,36.33186562,4641.79470639
20170326,0.00920128,0.00950000,0.00723000,0.00870000,47.69295397,5586.50115827
20170327,0.00899963,0.01009419,0.00831000,0.00835178,60.29612253,6527.56035041
20170328,0.00835220,0.00934270,0.00826002,0.00929478,25.42135811,2939.71618548
20170329,0.00889493,0.00939997,0.00853001,0.00870000,17.89762504,2020.79001529
20170330,0.00870057,0.00934983,0.00740000,0.00800248,32.72087930,4008.14766895
20170331,0.00800017,0.00850000,0.00788600,0.00830000,16.06870771,1981.41054476
20170401,0.00830000,0.00830000,0.00770000,0.00772531,15.90611970,2014.51378441
20170402,0.00772538,0.00850000,0.00745002,0.00745002,24.01775097,3066.94733687
20170403,0.00745005,0.00769999,0.00600006,0.00652011,31.65853343,4745.48401396
20170404,0.00652067,0.00707550,0.00600000,0.00600000,22.58482245,3544.34618060
20170405,0.00619238,0.00729109,0.00594977,0.00650057,16.97669448,2639.30129005
20170406,0.00679769,0.00680000,0.00525000,0.00569990,27.64170211,4699.92440102
20170407,0.00569990,0.00665003,0.00547521,0.00600023,13.31318373,2187.70450249
20170408,0.00621841,0.00666000,0.00620000,0.00665999,3.31971018,515.77877650
20170409,0.00665981,0.00699990,0.00601701,0.00650000,9.53094414,1439.87638275
20170410,0.00689612,0.00689613,0.00590000,0.00655976,15.25917222,2533.11644288
20170411,0.00655976,0.00662000,0.00610000,0.00610001,8.59095490,1365.28534338
20170412,0.00610289,0.00677240,0.00568000,0.00580295,13.02528718,2165.13568547
20170413,0.00584923,0.00699990,0.00570000,0.00699990,16.76598010,2661.03862978
20170414,0.00699989,0.00719990,0.00640023,0.00698509,14.43231922,2085.68447860
20170415,0.00662175,0.00871500,0.00650200,0.00737840,49.24187824,6655.14886103
