[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170323,0.00075000,0.00125000,0.00009003,0.00032998,19.23590729,68518.50542311
20170324,0.00033000,0.00039000,0.00028124,0.00028124,6.80742864,20360.39081869
20170325,0.00030991,0.00032563,0.00025402,0.00031818,4.83519335,17457.75520084
20170326,0.00031820,0.00058000,0.00026349,0.00054009,16.07092372,40597.92988793
20170327,0.00054009,0.00064500,0.00040000,0.00042499,16.61914987,30630.19340046
20170328,0.00042499,0.00052499,0.00039586,0.00044306,6.62723518,14683.11109450
20170329,0.00041000,0.00057000,0.00035000,0.00050075,5.79147302,12012.70358919
20170330,0.00055447,0.00057999,0.00049999,0.00051121,6.20608360,11665.81080323
20170331,0.00051973,0.00052689,0.00041000,0.00043436,3.74761173,8441.18994450
20170401,0.00042500,0.00044445,0.00040500,0.00041312,2.58392440,6070.96040610
20170402,0.00042917,0.00043499,0.00036003,0.00039957,3.69268546,9450.61347614
20170403,0.00039736,0.00041436,0.00036001,0.00036102,1.68928437,4428.92414833
20170404,0.00036100,0.00071000,0.00036100,0.00056081,29.37619524,48014.01785035
20170405,0.00056133,0.00059796,0.00047402,0.00055352,2.49200232,4407.83954473
20170406,0.00053510,0.00056478,0.00050000,0.00051000,1.44836643,2823.74179302
20170407,0.00051000,0.00059793,0.00050063,0.00053371,6.50341029,12026.79792477
20170408,0.00053698,0.00059733,0.00050064,0.00050064,4.39939246,7863.30903692
20170409,0.00050879,0.00059708,0.00050879,0.00056000,13.38669137,24865.55239272
20170410,0.00055985,0.00056361,0.00051491,0.00052521,0.63969507,1230.00174272
20170411,0.00052451,0.00059734,0.00051001,0.00051500,2.18974070,4027.47090162
20170412,0.00051002,0.00055524,0.00050000,0.00050000,1.53552381,2998.25938084
20170413,0.00049033,0.00058888,0.00049000,0.00058874,1.33087860,2516.67017078
20170414,0.00058888,0.00058888,0.00046005,0.00054000,1.54350642,3027.73546785
20170415,0.00053759,0.00056325,0.00047000,0.00055047,2.56666903,5250.93910410
20170416,0.00054391,0.00061500,0.00050809,0.00061500,4.43355845,7624.55261320
20170417,0.00061445,0.00071488,0.00060000,0.00067456,60.18452971,88761.75299838
20170418,0.00067273,0.00068444,0.00057005,0.00057067,3.85914227,6046.35005488
20170419,0.00060780,0.00062210,0.00057333,0.00057333,1.79425162,3088.70050793
20170420,0.00058698,0.00066587,0.00057330,0.00062676,25.98001582,42025.24747837
20170421,0.00060419,0.00060670,0.00052946,0.00058014,4.85304496,8488.37376330
20170422,0.00057944,0.00066565,0.00057944,0.00063241,4.67496088,7550.41136099
20170423,0.00063241,0.00063242,0.00057111,0.00057111,3.35387668,5570.75927366
20170424,0.00057012,0.00060985,0.00056011,0.00060394,0.74873214,1320.80144449
20170425,0.00059398,0.00059399,0.00053344,0.00057090,1.23714667,2224.87936568
20170426,0.00056863,0.00059397,0.00052944,0.00059386,7.44797451,12644.76943283
20170427,0.00056013,0.00056013,0.00047555,0.00048458,2.47252158,4941.45493382
20170428,0.00049115,0.00055926,0.00049010,0.00051000,3.41255895,6119.01359694
20170429,0.00052759,0.00052994,0.00035011,0.00041860,5.64158809,11584.09657905
20170430,0.00042326,0.00048902,0.00042300,0.00047321,0.98832919,2238.58866114
20170501,0.00043370,0.00043370,0.00035012,0.00041787,1.13254275,2745.13521269
20170502,0.00037192,0.00042300,0.00037192,0.00040000,0.53230053,1297.99157498
