[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160908,0.00012500,0.00012500,0.00012500,0.00012500,11.11990213,88959.21909433
20160909,0.00012500,0.00015625,0.00012500,0.00015625,119.43451541,947648.41696382
20160910,0.00015625,0.00015625,0.00015625,0.00015625,23.47795215,150258.89472464
20160911,0.00015625,0.00015625,0.00015625,0.00015625,18.46771437,118193.37236827
20160912,0.00015625,0.00015625,0.00015625,0.00015625,9.35500605,59872.03938044
20160913,0.00015625,0.00015625,0.00015625,0.00015625,1.82172250,11659.02479527
20160914,0.00015625,0.00015625,0.00015625,0.00015625,2.31166411,14794.65097824
20160915,0.00015625,0.00016667,0.00015625,0.00016667,10.19267943,65150.93057221
20160916,0.00016667,0.00016667,0.00016667,0.00016667,3.34203475,20051.80812786
20160917,0.00016667,0.00016667,0.00016667,0.00016667,0.90267587,5415.94722070
20160918,0.00016667,0.00016667,0.00016667,0.00016667,3.39571534,20373.88476796
20160919,0.00016667,0.00016667,0.00016667,0.00016667,1.63988387,9839.10682909
20160920,0.00016667,0.00016667,0.00016667,0.00016667,0.53147365,3188.77849119
20160921,0.00016667,0.00016667,0.00016667,0.00016667,4.47910283,26874.07994331
20160922,0.00016667,0.00016667,0.00016667,0.00016667,2.45602339,14735.84618570
20160923,0.00018519,0.00018519,0.00018519,0.00018519,0.35963107,1941.95777822
20160924,0.00018519,0.00018519,0.00018519,0.00018519,2.55568289,13800.32901144
20160925,0.00018519,0.00018519,0.00018519,0.00018519,0.17519828,946.04645754
20160926,0.00018519,0.00018519,0.00018519,0.00018519,0.17988014,971.32789243
20160927,0.00018519,0.00018519,0.00018519,0.00018519,3.15165178,17018.47758060
20160928,0.00018519,0.00018519,0.00018519,0.00018519,1.34730810,7275.27478738
20160929,0.00018519,0.00020000,0.00018519,0.00020000,1.03926857,5600.81623927
20160930,0.00020000,0.00020000,0.00020000,0.00020000,0.24884394,1244.21980463
20161001,0.00020000,0.00020000,0.00020000,0.00020000,0.08024984,401.24926274
20161002,0.00020000,0.00020000,0.00020000,0.00020000,0.32315515,1615.77584912
20161003,0.00020000,0.00020000,0.00020000,0.00020000,0.17940058,897.00302900
20161004,0.00020000,0.00020000,0.00020000,0.00020000,0.51521460,2576.07312636
