[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170419,0.00045000,0.00045001,0.00004701,0.00007990,206.27151737,3004577.03635388
20170420,0.00007990,0.00008299,0.00005306,0.00006329,117.85621353,1697388.46655666
20170421,0.00006339,0.00007150,0.00005000,0.00006091,116.16879008,1938559.72350392
20170422,0.00006091,0.00006300,0.00005504,0.00005799,69.38197006,1149324.08118987
20170423,0.00005717,0.00007499,0.00005200,0.00006453,126.17920182,2139531.15805915
20170424,0.00006453,0.00006785,0.00004005,0.00005870,186.89561074,3587463.56100096
20170425,0.00005742,0.00012100,0.00005400,0.00011738,1228.66617471,13519949.55209494
20170426,0.00011739,0.00018000,0.00011402,0.00015602,1750.74927828,11922959.81999403
20170427,0.00015600,0.00015600,0.00009741,0.00010700,573.17093465,4898937.26829737
20170428,0.00010650,0.00014900,0.00010000,0.00013846,540.40327873,4444849.62801404
20170429,0.00013440,0.00014095,0.00012079,0.00013000,267.91094581,2042494.94999899
20170430,0.00012964,0.00015429,0.00012910,0.00015099,349.00828730,2394959.66161086
20170501,0.00014997,0.00015289,0.00012002,0.00014338,310.49317114,2238108.71737294
20170502,0.00014241,0.00014650,0.00011691,0.00013510,226.04348676,1717907.42762351
20170503,0.00013689,0.00013900,0.00011805,0.00012705,172.16118340,1323947.54790878
20170504,0.00012705,0.00012926,0.00010000,0.00011250,376.69448183,3288872.78368610
20170505,0.00011250,0.00012200,0.00010642,0.00011862,269.93922410,2376371.73537867
20170506,0.00011841,0.00013760,0.00011185,0.00012917,247.32410424,1961673.65771114
20170507,0.00012800,0.00014070,0.00011854,0.00011854,257.19452794,1990937.33817485
20170508,0.00011870,0.00012708,0.00010001,0.00010503,232.36684315,2083633.95450719
20170509,0.00010581,0.00011500,0.00007802,0.00010353,115.70305377,1220909.90798986
20170510,0.00010357,0.00011604,0.00008611,0.00009250,115.23635611,1192621.93686941
20170511,0.00009248,0.00010337,0.00008701,0.00009765,86.87998196,915409.86892659
20170512,0.00009792,0.00010000,0.00009001,0.00009723,48.03255026,510320.12349211
