[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140707,0.00000261,0.00000511,0.00000261,0.00000357,56.36017243,14767091.95722378
20140708,0.00000373,0.00000685,0.00000357,0.00000558,55.18517380,11110904.07281924
20140709,0.00000574,0.00001010,0.00000504,0.00000631,139.67613281,19201402.61552205
20140710,0.00000636,0.00000744,0.00000370,0.00000443,44.53323898,9076361.93322206
20140711,0.00000442,0.00000446,0.00000217,0.00000259,26.29395344,8716406.29080482
20140712,0.00000241,0.00000370,0.00000146,0.00000157,11.06259223,4969203.72589125
20140713,0.00000158,0.00000260,0.00000148,0.00000172,4.51637515,2329319.69418815
20140714,0.00000172,0.00000205,0.00000140,0.00000155,1.88890352,1104092.87854958
20140715,0.00000158,0.00000197,0.00000090,0.00000182,3.12724784,2523103.02268754
20140716,0.00000180,0.00000180,0.00000090,0.00000144,1.30658075,1197565.26384179
20140717,0.00000145,0.00000148,0.00000096,0.00000100,1.01659282,921248.99179192
20140718,0.00000107,0.00000130,0.00000095,0.00000111,1.14701093,1002065.00707185
20140719,0.00000111,0.00000177,0.00000106,0.00000126,1.32021709,913366.13603678
20140720,0.00000126,0.00000172,0.00000101,0.00000106,1.39529567,1188702.98896477
20140721,0.00000108,0.00000119,0.00000066,0.00000076,0.41198248,529371.77155474
20140722,0.00000076,0.00000098,0.00000047,0.00000062,0.77666239,1109583.56706047
20140723,0.00000069,0.00000089,0.00000041,0.00000067,0.50253811,860696.39694765
20140724,0.00000060,0.00000079,0.00000052,0.00000065,0.21013148,313734.94685097
20140725,0.00000065,0.00000108,0.00000062,0.00000107,0.94598047,1203503.26737363
20140726,0.00000108,0.00000120,0.00000061,0.00000085,0.76786447,856940.29879157
20140727,0.00000078,0.00000091,0.00000075,0.00000076,0.12503514,151529.94948646
20140728,0.00000087,0.00000100,0.00000060,0.00000089,0.39349752,512953.58072990
20140729,0.00000079,0.00000089,0.00000045,0.00000072,0.38493205,592090.90924613
20140730,0.00000072,0.00000086,0.00000055,0.00000055,0.09122443,142221.21127099
20140731,0.00000056,0.00000077,0.00000049,0.00000058,0.10594335,188690.87642525
20140801,0.00000062,0.00000067,0.00000049,0.00000049,0.15830329,300913.66644268
20140802,0.00000065,0.00000065,0.00000049,0.00000060,0.08081854,162770.31104412
20140803,0.00000059,0.00000060,0.00000047,0.00000058,0.08065641,159528.46972932
20140804,0.00000058,0.00000060,0.00000048,0.00000048,0.04075134,80598.64840082
20140805,0.00000048,0.00000060,0.00000047,0.00000060,0.08362365,163610.39655413
20140806,0.00000059,0.00000067,0.00000056,0.00000067,0.18988595,299211.58988898
20140807,0.00000067,0.00000068,0.00000041,0.00000042,0.76270110,1395596.31636512
20140808,0.00000056,0.00000063,0.00000045,0.00000056,0.04626615,88718.88685283
20140809,0.00000056,0.00000068,0.00000048,0.00000068,0.66103775,1019584.43874024
20140810,0.00000064,0.00000068,0.00000060,0.00000066,0.21951213,349083.89071624
20140811,0.00000063,0.00000067,0.00000044,0.00000060,0.12363809,241966.69959988
20140812,0.00000060,0.00000066,0.00000043,0.00000051,0.09994650,184013.59518348
20140813,0.00000050,0.00000051,0.00000031,0.00000042,0.24867727,643597.16601079
20140814,0.00000042,0.00000042,0.00000033,0.00000033,0.06509208,192718.09805756
20140815,0.00000034,0.00000042,0.00000013,0.00000042,0.10117473,334363.25616930
20140816,0.00000040,0.00000042,0.00000033,0.00000040,0.04268962,107150.44304976
20140817,0.00000042,0.00000042,0.00000022,0.00000037,0.07344992,304784.41725996
20140818,0.00000038,0.00000043,0.00000028,0.00000039,0.27889748,717398.08558849
20140819,0.00000038,0.00000038,0.00000035,0.00000038,0.01114734,30124.61964460
20140820,0.00000038,0.00000043,0.00000035,0.00000043,0.05498984,142392.85852717
20140821,0.00000036,0.00000107,0.00000035,0.00000085,1.60938820,2629541.21423040
20140822,0.00000085,0.00000110,0.00000072,0.00000110,0.62201375,652211.03992501
20140823,0.00000110,0.00000112,0.00000098,0.00000106,0.52350214,514086.29101824
20140824,0.00000104,0.00000116,0.00000040,0.00000080,0.79132475,921675.19087028
20140825,0.00000083,0.00000092,0.00000051,0.00000051,0.18448532,255067.42244085
20140826,0.00000093,0.00000172,0.00000084,0.00000101,1.63732403,1277006.79617973
20140827,0.00000115,0.00000163,0.00000088,0.00000125,0.67061953,585131.75456359
20140828,0.00000162,0.00000162,0.00000075,0.00000085,1.12576532,1247332.93457245
20140829,0.00000086,0.00000110,0.00000085,0.00000110,0.03676288,37390.54479441
20140830,0.00000094,0.00000105,0.00000053,0.00000084,0.10188263,149416.48255971
20140831,0.00000063,0.00000097,0.00000063,0.00000094,0.05195562,70525.88901052
20140901,0.00000069,0.00000070,0.00000061,0.00000070,0.01346466,20042.66566087
20140902,0.00000084,0.00000093,0.00000076,0.00000080,0.00680559,7940.44312730
20140903,0.00000077,0.00000092,0.00000031,0.00000089,0.24366269,535748.78288484
20140904,0.00000088,0.00000099,0.00000071,0.00000099,0.38476870,410811.03240723
20140905,0.00000095,0.00000095,0.00000050,0.00000089,0.07141378,91277.55741387
20140906,0.00000089,0.00000106,0.00000057,0.00000079,2.00442522,2420751.53349952
20140907,0.00000085,0.00000085,0.00000057,0.00000085,0.41341554,559326.50315776
