[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150902,0.00002700,0.00002700,0.00001000,0.00001349,6.03286866,429949.08543967
20150903,0.00001349,0.00001740,0.00001109,0.00001257,9.93634596,747694.31270511
20150904,0.00001258,0.00001740,0.00001125,0.00001483,5.20949028,386505.44282388
20150905,0.00001480,0.00001489,0.00000955,0.00001277,8.07894799,701202.33519683
20150906,0.00001129,0.00001591,0.00000908,0.00001177,10.39390567,867439.47543912
20150907,0.00001231,0.00001241,0.00001002,0.00001009,1.81606054,164356.12330461
20150908,0.00001014,0.00001022,0.00000601,0.00000718,5.38570650,641994.97937401
20150909,0.00000685,0.00000700,0.00000360,0.00000512,5.79141433,1217048.43623078
20150910,0.00000512,0.00000513,0.00000304,0.00000307,1.52358072,373747.47227724
20150911,0.00000432,0.00000550,0.00000095,0.00000330,2.79878399,884726.11395131
20150912,0.00000279,0.00000338,0.00000242,0.00000289,0.23818407,83460.48694401
20150913,0.00000268,0.00000287,0.00000244,0.00000279,0.46209122,171528.57304006
20150914,0.00000290,0.00000290,0.00000270,0.00000270,0.11883431,43086.98990064
20150915,0.00000311,0.00000450,0.00000263,0.00000315,0.48878767,162727.20278220
20150916,0.00000419,0.00000436,0.00000317,0.00000380,0.44733844,125194.32497136
20150917,0.00000377,0.00000399,0.00000242,0.00000353,1.26391479,412286.06504086
20150918,0.00000388,0.00000388,0.00000214,0.00000310,0.24690115,83786.86276499
20150919,0.00000307,0.00000398,0.00000300,0.00000398,0.39736333,125200.14408555
20150920,0.00000397,0.00000397,0.00000352,0.00000352,0.06828908,19345.43517729
20150921,0.00000353,0.00000398,0.00000352,0.00000398,0.17043543,45717.06025160
20150922,0.00000398,0.00000449,0.00000358,0.00000449,0.40982705,98695.83989095
20150923,0.00000449,0.00000514,0.00000403,0.00000514,0.30557253,66155.39981048
20150924,0.00000514,0.00000937,0.00000471,0.00000908,1.34477432,224711.05244269
20150925,0.00000906,0.00000990,0.00000725,0.00000725,0.61098113,72825.73308767
20150926,0.00000857,0.00000873,0.00000520,0.00000681,0.76265802,121627.50670876
20150927,0.00000550,0.00001590,0.00000549,0.00001112,10.13110039,909032.52351067
20150928,0.00001113,0.00001299,0.00000911,0.00001096,3.74617241,358666.77132262
20150929,0.00000911,0.00001000,0.00000800,0.00000800,0.90321392,105632.91456297
20150930,0.00000787,0.00000886,0.00000500,0.00000643,1.61823736,268472.01180772
20151001,0.00000634,0.00000730,0.00000533,0.00000625,1.19635149,185039.10657824
20151002,0.00000710,0.00000721,0.00000524,0.00000699,0.58915745,93525.72547375
20151003,0.00000717,0.00000717,0.00000518,0.00000605,0.27367397,48974.29360836
20151004,0.00000706,0.00000709,0.00000699,0.00000709,0.12063225,17185.69720282
20151005,0.00000709,0.00000710,0.00000513,0.00000513,0.21175797,36747.14121470
20151006,0.00000523,0.00000677,0.00000501,0.00000611,0.39065698,72371.89120474
20151007,0.00000611,0.00000687,0.00000544,0.00000544,0.13028454,22189.89968096
20151008,0.00000633,0.00000696,0.00000475,0.00000696,0.42962522,83118.50817611
20151009,0.00000568,0.00000709,0.00000568,0.00000699,0.09715686,13988.03055153
20151010,0.00000695,0.00000700,0.00000514,0.00000514,0.07117927,11283.39199595
20151011,0.00000695,0.00000803,0.00000694,0.00000703,1.38830900,196420.36613651
20151012,0.00000693,0.00000724,0.00000570,0.00000570,0.29598821,48730.69831657
20151013,0.00000669,0.00000669,0.00000555,0.00000604,0.09153952,16127.75998450
20151014,0.00000558,0.00000585,0.00000484,0.00000484,0.41836408,80112.78620619
20151015,0.00000484,0.00000552,0.00000449,0.00000552,1.04185109,222260.99270948
20151016,0.00000549,0.00000589,0.00000512,0.00000512,0.01419908,2624.49322810
20151017,0.00000506,0.00000506,0.00000441,0.00000441,0.15597661,34041.10289660
20151018,0.00000490,0.00000594,0.00000490,0.00000502,0.12072767,21895.60937274
