[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170208,0.00006999,0.00007000,0.00003219,0.00004189,94.47479707,2246130.86276672
20170209,0.00004179,0.00004545,0.00003752,0.00004196,87.86089775,2131238.91038549
20170210,0.00004150,0.00004346,0.00002998,0.00003129,86.69305481,2319584.66852132
20170211,0.00003129,0.00004599,0.00002807,0.00004229,50.01045636,1317247.39865059
20170212,0.00004208,0.00006400,0.00004000,0.00006199,128.37737822,2545084.44909205
20170213,0.00006268,0.00006500,0.00005400,0.00005862,113.09221792,1859681.82813447
20170214,0.00005531,0.00006099,0.00004818,0.00005815,72.81601739,1374551.14534141
20170215,0.00006060,0.00006299,0.00005600,0.00005869,31.19683076,519683.15195533
20170216,0.00005826,0.00006199,0.00004015,0.00004979,76.14028705,1458497.36641060
20170217,0.00004978,0.00005495,0.00004069,0.00004225,26.89363621,610640.43607014
20170218,0.00004224,0.00004697,0.00003610,0.00004233,26.16485825,627134.91999961
20170219,0.00004195,0.00004400,0.00003803,0.00003980,20.33032470,484970.31340592
20170220,0.00004125,0.00004399,0.00003956,0.00004134,27.10803452,648622.18478675
20170221,0.00004131,0.00004279,0.00003500,0.00003569,16.98691341,425933.07408024
20170222,0.00003570,0.00003749,0.00003112,0.00003260,21.03606387,616581.88745556
20170223,0.00003400,0.00004082,0.00003255,0.00003404,16.24229732,437000.61351504
20170224,0.00003404,0.00003718,0.00003170,0.00003202,26.11920130,745150.62046018
20170225,0.00003360,0.00003500,0.00003102,0.00003305,13.06381718,400522.97634116
20170226,0.00003305,0.00004296,0.00003300,0.00004238,18.15292266,488529.42107229
20170227,0.00004238,0.00004240,0.00003802,0.00003803,12.48180672,322611.48480828
20170228,0.00003800,0.00003961,0.00003151,0.00003477,12.73056203,382610.05005673
20170301,0.00003295,0.00003682,0.00003211,0.00003493,20.68623051,603096.01007898
20170302,0.00003494,0.00003546,0.00003172,0.00003333,15.52071861,460536.03510308
20170303,0.00003361,0.00003385,0.00003170,0.00003170,7.88232303,239472.59807200
20170304,0.00003252,0.00003311,0.00003113,0.00003166,6.06737715,190694.86700280
20170305,0.00003160,0.00003399,0.00003055,0.00003290,12.40988505,378797.79490018
20170306,0.00003396,0.00003400,0.00003058,0.00003166,6.33748034,200840.27815771
20170307,0.00003164,0.00003166,0.00002930,0.00003088,8.38382585,268658.33306119
20170308,0.00003095,0.00003106,0.00002801,0.00002801,6.92327687,235303.21765021
20170309,0.00002850,0.00002953,0.00002727,0.00002851,0.83007851,29414.52401794
20170310,0.00002851,0.00003238,0.00002103,0.00003002,20.53627500,706893.27248656
20170311,0.00002906,0.00003459,0.00002880,0.00003133,6.33949038,195063.15487975
20170312,0.00003139,0.00003490,0.00003125,0.00003290,24.92909180,748978.77830991
20170313,0.00003283,0.00003451,0.00002967,0.00003451,15.27304542,469150.60842221
20170314,0.00003301,0.00003475,0.00003062,0.00003259,38.87490628,1162978.17955793
20170315,0.00003269,0.00003782,0.00003260,0.00003782,6.46603818,180345.17889789
20170316,0.00003740,0.00004500,0.00003547,0.00004500,49.25708490,1190842.87258061
20170317,0.00004237,0.00005498,0.00004201,0.00004975,75.86583968,1559721.26224469
20170318,0.00004965,0.00005000,0.00003418,0.00003910,17.56570515,410058.94275989
20170319,0.00004042,0.00004696,0.00003567,0.00004586,15.97251809,365096.44041500
20170320,0.00004364,0.00004989,0.00003840,0.00004526,23.55593579,519430.51952105
20170321,0.00004533,0.00005700,0.00003908,0.00005657,51.05665888,1039426.79393013
20170322,0.00005657,0.00007300,0.00004996,0.00005660,50.33668265,844648.31149082
20170323,0.00005663,0.00006876,0.00005517,0.00006386,74.61370086,1204941.16503879
20170324,0.00006494,0.00006697,0.00005651,0.00006285,46.94978551,756402.44066111
20170325,0.00006278,0.00007798,0.00006278,0.00007000,71.16748328,1042619.85589098
20170326,0.00006865,0.00008888,0.00006833,0.00007852,79.17154152,989529.42212573
20170327,0.00007989,0.00008400,0.00006800,0.00007191,50.30952703,667695.95514333
20170328,0.00007303,0.00009300,0.00006801,0.00009300,68.63155708,828892.66857508
20170329,0.00009300,0.00009823,0.00008505,0.00009799,116.75662087,1221196.22344879
20170330,0.00009799,0.00017003,0.00009578,0.00015763,194.55648520,1501756.61624019
20170331,0.00015768,0.00015999,0.00010700,0.00014145,164.36674901,1261446.17110652
20170401,0.00014200,0.00014685,0.00011008,0.00012981,50.45698266,402543.31153806
20170402,0.00012486,0.00014684,0.00011900,0.00014540,65.79725533,499284.76899986
20170403,0.00014548,0.00015532,0.00012020,0.00015336,102.32961370,722605.94029718
20170404,0.00015334,0.00016700,0.00014001,0.00014933,76.50841739,489294.34780324
20170405,0.00014942,0.00015996,0.00014159,0.00014163,31.33477334,214252.96476114
20170406,0.00014163,0.00014762,0.00011000,0.00012496,63.99545580,518695.85343781
20170407,0.00012446,0.00012611,0.00011004,0.00011833,23.34470229,201036.43593599
20170408,0.00011844,0.00012563,0.00011067,0.00012183,34.14493323,295118.63483367
20170409,0.00012044,0.00012250,0.00011069,0.00011937,19.81681047,170592.18707260
20170410,0.00011937,0.00011968,0.00009999,0.00011070,38.57431232,357108.09427101
20170411,0.00011070,0.00013000,0.00011016,0.00012209,34.80664921,298118.24161093
20170412,0.00011999,0.00012869,0.00011044,0.00011380,39.23554643,321175.17729749
20170413,0.00011842,0.00014000,0.00011380,0.00013468,35.75343300,273439.60541796
20170414,0.00013467,0.00015370,0.00013336,0.00014300,34.42313522,239569.40516507
20170415,0.00014850,0.00016619,0.00014172,0.00016163,55.83818157,357897.51017533
20170416,0.00016532,0.00023500,0.00016252,0.00021996,289.87802541,1429009.57778921
20170417,0.00020997,0.00022035,0.00017936,0.00019096,171.04711847,873319.70431786
20170418,0.00019021,0.00019819,0.00016290,0.00017999,66.10503132,371185.58341949
20170419,0.00017999,0.00020400,0.00017245,0.00019328,52.62638000,276140.85366893
20170420,0.00019344,0.00020270,0.00017500,0.00018133,40.13581342,210418.11603064
20170421,0.00018137,0.00022314,0.00018137,0.00022314,95.98583219,456313.03645759
20170422,0.00022392,0.00023497,0.00019524,0.00019798,99.66612982,458291.22612264
20170423,0.00020539,0.00020999,0.00016961,0.00018758,94.56772001,489238.92972556
20170424,0.00018755,0.00020987,0.00016200,0.00018986,61.95975043,336518.84468296
20170425,0.00018987,0.00019000,0.00017817,0.00018623,22.04075767,118819.57353149
20170426,0.00018006,0.00019298,0.00016860,0.00017073,63.70073766,360911.36238023
20170427,0.00017922,0.00019898,0.00017070,0.00019314,31.30922034,166415.01290511
20170428,0.00019314,0.00020000,0.00018163,0.00018201,110.32272070,582389.98000322
20170429,0.00018400,0.00019500,0.00017700,0.00019489,28.46925435,152847.63024548
20170430,0.00019489,0.00019499,0.00017102,0.00018832,48.10984423,258412.43482924
20170501,0.00018832,0.00019210,0.00017501,0.00018550,43.19501997,235963.79344259
20170502,0.00017585,0.00019500,0.00017516,0.00018405,105.54509214,569146.52752216
20170503,0.00018361,0.00018408,0.00017520,0.00017601,30.13467411,170011.81323759
20170504,0.00017601,0.00018287,0.00017530,0.00017951,39.23464349,219413.23227790
20170505,0.00017949,0.00018997,0.00017594,0.00018902,45.72539094,250924.04493356
20170506,0.00018729,0.00020701,0.00018111,0.00018600,94.60978410,499867.38168783
20170507,0.00019401,0.00021780,0.00019007,0.00019620,84.18190925,410491.98585161
20170508,0.00019620,0.00020000,0.00016750,0.00017613,62.86659080,346905.12779876
20170509,0.00017374,0.00018519,0.00013827,0.00017001,53.92731966,329752.75582889
