[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160825,0.00030890,0.00040000,0.00010003,0.00020501,26.35907404,126178.30946662
20160826,0.00020500,0.00024798,0.00016800,0.00016800,25.90566654,134500.55739147
20160827,0.00016800,0.00018004,0.00012025,0.00015285,3.32017351,22853.75674259
20160828,0.00014109,0.00016988,0.00012028,0.00012352,6.79750981,42702.31828803
20160829,0.00013551,0.00013552,0.00010005,0.00011947,1.58421018,13709.37282773
20160830,0.00011991,0.00011991,0.00005100,0.00009712,3.90275778,57096.29309717
20160831,0.00007158,0.00009712,0.00007158,0.00007510,0.25511488,2865.76415297
20160901,0.00008083,0.00009670,0.00007821,0.00007821,0.02964948,361.83413305
20160902,0.00007979,0.00007979,0.00007100,0.00007103,0.91383545,12201.87781700
20160903,0.00007327,0.00007327,0.00005528,0.00006376,1.26224850,21337.40905319
20160904,0.00006134,0.00006811,0.00005001,0.00006811,0.90166318,16007.40193177
20160905,0.00006390,0.00006474,0.00005054,0.00006474,0.04039885,745.26132822
20160906,0.00005286,0.00006163,0.00005200,0.00005200,0.03170931,594.31652855
20160907,0.00005101,0.00005101,0.00004442,0.00004442,0.02739326,578.08575299
20160908,0.00004850,0.00004850,0.00004442,0.00004607,0.45406511,10196.79290879
20160909,0.00004406,0.00004406,0.00003806,0.00003806,0.22059793,5410.19342809
20160911,0.00003814,0.00004277,0.00003806,0.00004017,0.02370194,619.30771917
20160912,0.00004523,0.00004524,0.00002110,0.00002942,0.35856630,14040.73381655
20160913,0.00003275,0.00004408,0.00002980,0.00004408,0.17044280,4721.10529233
20160914,0.00003456,0.00003747,0.00003456,0.00003747,0.00379042,107.31075534
20160915,0.00003426,0.00003900,0.00003426,0.00003900,0.00567433,152.06678545
20160916,0.00003683,0.00003979,0.00003251,0.00003514,0.03582299,981.80733665
20160917,0.00003840,0.00003970,0.00003220,0.00003727,0.04956924,1441.70372331
20160918,0.00003512,0.00003512,0.00003220,0.00003400,0.03859259,1167.42120390
20160919,0.00003303,0.00003380,0.00003300,0.00003300,0.01108642,335.50046851
20160920,0.00003400,0.00003400,0.00003300,0.00003300,0.03757269,1121.03942366
20160921,0.00003480,0.00003481,0.00003300,0.00003300,0.00799910,238.95456430
20160922,0.00003283,0.00003283,0.00002982,0.00003034,0.13863171,4513.65254359
20160923,0.00002982,0.00003141,0.00002982,0.00003141,0.00242917,79.09424069
20160924,0.00003141,0.00003404,0.00002221,0.00002221,0.25608330,9440.08170450
20160925,0.00002270,0.00003499,0.00001499,0.00002305,3.45123756,131506.69197198
20160926,0.00002366,0.00002457,0.00001743,0.00001743,0.13031096,5930.24810856
20160927,0.00001991,0.00001991,0.00001125,0.00001488,0.16535858,12426.19025548
20160928,0.00001446,0.00001446,0.00001125,0.00001441,1.71822975,125541.05378873
20160929,0.00001449,0.00002415,0.00001127,0.00001833,0.26270008,16412.01656754
20160930,0.00001840,0.00001840,0.00001150,0.00001588,0.28999415,20519.57293142
20161001,0.00001688,0.00002250,0.00001416,0.00001504,0.56378636,36295.93467875
20161002,0.00001511,0.00001717,0.00001293,0.00001293,0.26662258,18538.44045673
20161003,0.00001514,0.00001514,0.00001514,0.00001514,0.00689831,455.63520601
20161004,0.00001621,0.00002000,0.00001489,0.00001504,0.02226507,1429.22683541
20161005,0.00001478,0.00001518,0.00001436,0.00001436,0.00850817,577.21675419
20161006,0.00001454,0.00001468,0.00001431,0.00001431,0.00302170,208.11337653
20161008,0.00001435,0.00001467,0.00001430,0.00001430,0.01570828,1097.36875854
20161011,0.00001469,0.00001469,0.00001121,0.00001180,0.39417032,30767.96132769
20161012,0.00001142,0.00001403,0.00001118,0.00001161,0.10438409,8746.22475075
20161013,0.00001151,0.00001200,0.00001120,0.00001198,1.51835854,127190.99667352
20161014,0.00001175,0.00001176,0.00001121,0.00001176,0.15726523,14006.34101136
20161015,0.00001167,0.00001167,0.00001167,0.00001167,0.00050707,43.45146518
20161016,0.00001224,0.00001224,0.00001170,0.00001170,1.00137712,81932.54955436
20161017,0.00001158,0.00001158,0.00001146,0.00001146,0.00192286,166.91306142
20161018,0.00001141,0.00001147,0.00000556,0.00001051,0.13356630,21832.11483789
20161019,0.00001075,0.00001103,0.00000562,0.00000760,0.27601983,40191.08130562
20161020,0.00000754,0.00000856,0.00000721,0.00000776,0.26150951,33792.50093888
20161021,0.00000790,0.00000839,0.00000755,0.00000755,0.09482095,12368.07233370
20161022,0.00000781,0.00000799,0.00000781,0.00000799,0.00852921,1076.47407303
20161023,0.00000799,0.00000978,0.00000786,0.00000809,0.10272383,10565.88320243
20161024,0.00000796,0.00000826,0.00000796,0.00000826,0.03211136,3892.13983562
20161025,0.00000785,0.00000856,0.00000785,0.00000856,0.00107367,131.49176138
20161026,0.00000794,0.00000950,0.00000794,0.00000832,0.02849830,3112.53384196
20161027,0.00000832,0.00000832,0.00000755,0.00000822,0.01892249,2396.33242834
20161028,0.00000820,0.00000820,0.00000820,0.00000820,0.03626253,4422.26085319
20161029,0.00000820,0.00000820,0.00000712,0.00000789,0.01177047,1477.54805263
20161030,0.00000763,0.00000764,0.00000763,0.00000764,0.00838540,1097.72364710
20161101,0.00000760,0.00000760,0.00000701,0.00000701,0.43816595,62322.33890013
20161102,0.00000741,0.00000741,0.00000741,0.00000741,0.00051870,70.00000000
20161103,0.00000724,0.00000730,0.00000723,0.00000730,0.00358080,494.46096692
20161104,0.00000730,0.00002000,0.00000730,0.00001418,2.35957051,252438.41803233
20161105,0.00001482,0.00002199,0.00001441,0.00001637,1.58420951,88650.98899702
20161106,0.00001796,0.00002160,0.00001310,0.00001866,0.16578881,8698.42301105
20161107,0.00001866,0.00003497,0.00001866,0.00002403,6.25165566,273380.60143306
20161108,0.00002198,0.00002431,0.00002000,0.00002086,0.22548750,11036.30475363
