[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140723,0.00270000,0.00366000,0.00241000,0.00365000,0.09507810,27.98615000
20140724,0.00365000,0.00369000,0.00304000,0.00342000,0.61065521,187.99834033
20140725,0.00335000,0.00349000,0.00290001,0.00349000,0.54447414,174.12154514
20140726,0.00349000,0.00350000,0.00300000,0.00350000,0.18951814,55.69693214
20140727,0.00348800,0.00385000,0.00348800,0.00385000,0.34240869,94.96848943
20140728,0.00385000,0.00420000,0.00385000,0.00409979,0.30775573,77.45758694
20140729,0.00410000,0.00420000,0.00351185,0.00420000,0.72783986,183.89566901
20140730,0.00430000,0.00585000,0.00423045,0.00558475,1.02073498,202.33808017
20140731,0.00539963,0.00595000,0.00475000,0.00550000,0.15060017,28.56251474
20140801,0.00500028,0.00575000,0.00319999,0.00530000,1.66609707,435.31053380
20140802,0.00493108,0.00574733,0.00450000,0.00474999,0.19743875,40.01402409
20140803,0.00474999,0.00544730,0.00474999,0.00474999,0.08914968,18.20062901
20140804,0.00500000,0.00500000,0.00370003,0.00370003,0.26404249,59.05258686
20140805,0.00420000,0.00479999,0.00410000,0.00420001,0.16393209,35.97276393
20140806,0.00450000,0.00515151,0.00450000,0.00450501,0.60357470,126.32720748
20140807,0.00463000,0.00498800,0.00365000,0.00440000,0.75885025,183.49006364
20140808,0.00390054,0.00500000,0.00390053,0.00410003,0.52945034,110.61676452
20140809,0.00410003,0.00444905,0.00381104,0.00390000,0.02567439,6.19426363
20140810,0.00399000,0.00450010,0.00390000,0.00420000,0.16627733,38.86821563
20140811,0.00390000,0.00430000,0.00390000,0.00430000,0.40332504,94.48029193
20140812,0.00419999,0.00419999,0.00380001,0.00380001,0.15689901,41.13736424
20140813,0.00420000,0.00420000,0.00350001,0.00419766,0.13509668,34.94862777
20140814,0.00418000,0.00418000,0.00390000,0.00417999,0.75360115,181.57321432
20140815,0.00417993,0.00418000,0.00355000,0.00418000,0.53700806,129.16595791
20140816,0.00418999,0.00419996,0.00340000,0.00418000,0.73640572,198.51085934
20140817,0.00417990,0.00417990,0.00370990,0.00417983,0.17755117,43.01189484
20140818,0.00417983,0.00450000,0.00370003,0.00450000,1.63318734,384.99132695
20140819,0.00400000,0.00447943,0.00350000,0.00400000,0.16744074,45.30377941
20140820,0.00350001,0.00446337,0.00340005,0.00345000,0.21055407,60.79001497
20140821,0.00345001,0.00403985,0.00340000,0.00340064,0.18062015,51.93792963
20140822,0.00340401,0.00401035,0.00340401,0.00401000,0.14778115,36.98657528
20140823,0.00340643,0.00340643,0.00340000,0.00340405,0.18833231,55.37852809
20140824,0.00400841,0.00401100,0.00350001,0.00350001,0.01838088,4.67007526
20140825,0.00394882,0.00415200,0.00350061,0.00360012,0.23224482,59.07284575
20140826,0.00413956,0.00439000,0.00370002,0.00430000,0.31606751,76.50000000
20140827,0.00400368,0.00430000,0.00380011,0.00381001,0.08923213,22.64999017
20140828,0.00425000,0.00429975,0.00350050,0.00418793,0.92883918,241.90000000
20140829,0.00350162,0.00396332,0.00350050,0.00350051,0.47165541,120.75445652
20140830,0.00355000,0.00439000,0.00355000,0.00439000,0.23073758,58.07822214
20140831,0.00355087,0.00385000,0.00297543,0.00366600,0.78766923,226.75805865
20140902,0.00384900,0.00401000,0.00366613,0.00399684,0.36826748,94.34139424
20140903,0.00399690,0.00499987,0.00367000,0.00499987,0.53749485,126.43978220
20140904,0.00400024,0.00460000,0.00382001,0.00382001,0.21459914,51.73139349
20140905,0.00459386,0.00460000,0.00382002,0.00400086,0.10285166,23.07334690
20140906,0.00400001,0.00449934,0.00383357,0.00449934,0.19874309,50.38633501
20140907,0.00449866,0.00462952,0.00385000,0.00462952,0.19877936,45.55157107
20140908,0.00391309,0.00439999,0.00383338,0.00439999,0.04018788,10.30000000
20140909,0.00439342,0.00440000,0.00391659,0.00391660,0.34066141,82.35729750
20140910,0.00439960,0.00439961,0.00382000,0.00439957,0.38999646,100.27269119
20140911,0.00426601,0.00426601,0.00380000,0.00413984,0.14001971,35.97138055
20140912,0.00416725,0.00440000,0.00380663,0.00440000,0.13567898,32.49175055
20140913,0.00420000,0.00439999,0.00380303,0.00430000,0.71765338,179.64248339
20140914,0.00427999,0.00440000,0.00380840,0.00419976,1.24710868,300.04841807
20140915,0.00419977,0.00490000,0.00419977,0.00460000,1.98056627,428.50012133
20140916,0.00460000,0.00500000,0.00460000,0.00500000,2.00070030,408.09185272
20140917,0.00480000,0.00509999,0.00440000,0.00504388,0.14088419,30.86951206
20140918,0.00440325,0.00480000,0.00420900,0.00450000,0.79971375,179.22125686
20140919,0.00450305,0.00479777,0.00450000,0.00479774,0.10859350,24.06247845
20140920,0.00479766,0.00479766,0.00430230,0.00430230,0.09644620,21.61503668
20140921,0.00433140,0.00433140,0.00400000,0.00420240,0.14384189,34.50580713
20140922,0.00473849,0.00475000,0.00440000,0.00464455,0.50246924,110.68418286
20140923,0.00455105,0.00463481,0.00422000,0.00426221,0.63221505,143.91092546
20140924,0.00466699,0.00500000,0.00421001,0.00421004,0.40590742,90.15796815
20140925,0.00456975,0.00519900,0.00421000,0.00499806,7.00497381,1431.94014250
20140926,0.00497305,0.00529000,0.00440000,0.00500000,0.86365727,172.17259117
20140927,0.00501523,0.00529000,0.00456000,0.00456000,0.45623585,93.20696340
20140928,0.00528985,0.00545000,0.00456001,0.00545000,1.46561415,288.53424395
20140929,0.00543953,0.00560000,0.00485698,0.00501411,4.49046429,842.15136435
20140930,0.00505862,0.00600000,0.00490001,0.00600000,1.17176393,228.07630983
20141001,0.00557399,0.00610000,0.00557399,0.00610000,0.74000220,123.31854136
20141002,0.00580035,0.00609908,0.00557626,0.00584857,0.12084736,21.35657757
20141003,0.00584857,0.00760000,0.00584857,0.00757997,3.02975419,443.52230332
20141004,0.00759999,0.00800230,0.00690000,0.00800230,0.72652265,96.44948378
20141005,0.00777778,0.00801866,0.00777777,0.00800000,0.53752936,67.70978531
20141006,0.00801866,0.01000000,0.00720000,0.00900081,2.99787585,342.40307298
20141007,0.00900080,0.00930000,0.00840000,0.00918993,1.21879888,139.26453047
20141008,0.00850470,0.00850470,0.00780002,0.00849998,0.47121268,58.17064766
20141009,0.00780007,0.00890000,0.00690010,0.00890000,3.51496805,486.97389034
20141010,0.00900000,0.00970000,0.00830000,0.00970000,1.86133945,204.69112126
20141011,0.00960001,0.01100888,0.00808204,0.00940001,2.39779660,250.86149509
20141012,0.00945000,0.00950040,0.00855139,0.00909638,0.35865943,39.37252962
20141013,0.00910001,0.00954329,0.00560000,0.00894975,2.58664898,343.16873101
20141014,0.00675025,0.00798000,0.00675001,0.00798000,0.55939478,77.24026192
20141015,0.00797963,0.00798000,0.00625113,0.00690907,0.50727315,68.98835024
20141016,0.00639268,0.00889999,0.00639267,0.00880100,0.18289849,26.60431591
20141017,0.00710000,0.00810000,0.00510001,0.00540000,1.40248000,211.57408892
20141018,0.00739809,0.00739809,0.00649994,0.00649994,0.06433198,9.74305416
20141019,0.00649946,0.00800000,0.00649807,0.00680032,0.45985168,64.69648983
20141020,0.00764964,0.00785000,0.00680000,0.00771400,0.31422797,42.54063882
20141021,0.00771113,0.00800000,0.00690021,0.00750000,0.54415187,71.13838026
20141022,0.00750001,0.00855000,0.00733000,0.00807000,0.28427878,35.82298132
20141023,0.00770000,0.00827000,0.00760000,0.00760001,0.14079854,17.77961908
20141024,0.00826999,0.00950000,0.00780000,0.00925000,2.24364714,252.17998182
20141025,0.00832159,0.00840167,0.00831988,0.00831988,0.06924484,8.32079125
20141026,0.00831988,0.00859700,0.00810201,0.00810201,0.05374146,6.46646661
20141027,0.00810201,0.00924000,0.00786000,0.00820000,0.38184612,46.09460225
20141028,0.00810211,0.00849907,0.00740000,0.00834944,0.80593259,104.55395293
20141029,0.00720893,0.00799885,0.00710000,0.00750011,0.19619256,26.04846162
20141030,0.00750001,0.00835000,0.00711445,0.00711445,0.36231413,45.60377873
20141031,0.00770000,0.00790000,0.00711002,0.00788986,0.28245137,38.51290879
20141101,0.00720000,0.00800000,0.00720000,0.00792000,0.38199314,48.78314527
20141102,0.00791994,0.00791994,0.00739002,0.00791893,0.02173867,2.80165812
20141103,0.00740003,0.00750002,0.00711002,0.00735592,0.27395374,36.84763031
20141104,0.00740000,0.00800000,0.00711175,0.00755605,0.22176585,28.58861850
20141105,0.00755545,0.00795000,0.00755541,0.00775541,0.51546782,65.22516639
20141106,0.00775541,0.00775541,0.00775541,0.00775541,0.16411105,21.16085718
20141107,0.00790210,0.00810000,0.00790210,0.00800235,0.36956067,46.00407654
20141108,0.00800001,0.00809879,0.00730013,0.00763811,0.02488658,3.29479175
20141109,0.00779934,0.00820000,0.00730667,0.00754507,0.27375259,35.30313370
20141110,0.00731090,0.00810000,0.00730001,0.00748468,0.11982509,16.17560859
20141111,0.00809952,0.00809952,0.00730001,0.00796000,0.35989330,46.76450946
20141112,0.00770001,0.00795915,0.00711001,0.00774000,0.76766338,102.99463284
20141113,0.00786985,0.00820235,0.00750000,0.00820000,0.61368429,78.65694489
20141114,0.00750190,0.00815000,0.00750190,0.00750206,0.19797001,24.76155289
20141115,0.00750004,0.00759999,0.00750000,0.00759999,0.05838933,7.75656683
20141116,0.00802000,0.00803888,0.00752399,0.00752399,0.15902284,19.87930672
20141117,0.00753000,0.00803891,0.00753000,0.00799999,0.18725952,24.19349594
20141118,0.00756666,0.00800000,0.00640000,0.00795971,0.65508777,91.46762190
20141119,0.00775000,0.00800000,0.00706501,0.00759999,0.96749951,121.68042021
20141120,0.00787999,0.00787999,0.00750161,0.00750161,0.00359359,0.47400000
20141121,0.00785000,0.00788000,0.00779999,0.00788000,0.49241489,62.91103884
20141122,0.00755343,0.00799998,0.00650000,0.00732599,1.59178429,217.28268310
20141123,0.00750603,0.00750603,0.00651000,0.00749464,0.63476129,92.83867073
20141124,0.00684018,0.00726820,0.00684017,0.00725000,0.22123979,31.01632609
20141125,0.00700000,0.00700000,0.00699997,0.00699997,0.14298809,20.42688465
20141126,0.00699997,0.00740031,0.00650057,0.00675836,0.41531204,61.28598508
20141127,0.00690000,0.00750603,0.00690000,0.00750603,0.18344662,25.34563063
20141128,0.00762112,0.00762112,0.00700000,0.00762112,0.90264157,125.53280169
20141129,0.00774349,0.00774349,0.00725000,0.00725000,0.09778444,13.36220739
20141130,0.00725000,0.00774358,0.00710001,0.00774260,0.11718443,16.07680474
20141201,0.00710013,0.00751063,0.00700000,0.00710000,0.40466445,57.34161530
20141202,0.00735611,0.00773499,0.00675006,0.00720543,0.52269480,73.73204783
20141203,0.00720543,0.00772306,0.00720543,0.00772306,0.63617927,88.08669952
20141204,0.00720894,0.00771996,0.00713337,0.00771943,0.85015091,117.79567405
20141205,0.00660915,0.00771998,0.00660915,0.00722759,0.16209832,22.45974486
