[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160102,0.00151000,0.00151000,0.00009150,0.00009150,0.11499748,351.04422762
20160104,0.00139966,0.00139966,0.00139966,0.00139966,0.00139966,1.00000000
20160105,0.00139952,0.00139952,0.00019004,0.00035002,0.10439076,143.47165291
20160106,0.00139700,0.00139715,0.00139632,0.00139633,13.17975268,9436.10715411
20160107,0.00139632,0.00139648,0.00036101,0.00123266,1.50620545,1580.49848432
20160108,0.00109499,0.00109499,0.00109499,0.00109499,0.02737475,25.00000000
20160401,0.00020000,0.00249999,0.00010000,0.00141000,263.06881124,160707.47178258
20160402,0.00147028,0.00181496,0.00141001,0.00167000,433.92050899,260718.33399938
20160403,0.00167000,0.00177000,0.00144000,0.00173479,391.59361803,241474.76037991
20160404,0.00172990,0.00175000,0.00145000,0.00152000,384.36030847,240211.41282894
20160405,0.00151173,0.00157500,0.00095013,0.00108237,326.02886386,232175.97287570
20160406,0.00110311,0.00146969,0.00096906,0.00125000,406.88331475,304421.22546760
20160407,0.00126909,0.00129997,0.00080100,0.00087949,253.99245570,271582.30035170
20160408,0.00080208,0.00094798,0.00077001,0.00084001,140.77908068,159146.28597549
20160409,0.00084944,0.00089709,0.00065500,0.00075000,68.68030155,90558.05188462
20160410,0.00076400,0.00079800,0.00039882,0.00050700,312.66427293,465867.28634516
20160411,0.00052000,0.00055905,0.00040201,0.00050522,125.68563215,262500.10379536
20160412,0.00054643,0.00081025,0.00039882,0.00046530,162.32998480,370795.47681523
20160413,0.00043009,0.00076000,0.00043000,0.00068632,143.70363696,238597.55842647
20160414,0.00067732,0.00073328,0.00051460,0.00060994,126.57583600,218228.06613105
20160415,0.00058710,0.00100000,0.00056657,0.00064585,117.42158422,175396.10486709
20160416,0.00063993,0.00064599,0.00054100,0.00061692,108.06434667,175838.29874788
20160417,0.00061684,0.00069559,0.00049520,0.00057611,88.10511387,154495.22326468
20160418,0.00057611,0.00060000,0.00054679,0.00056159,127.75901170,222724.38842576
20160419,0.00056208,0.00062005,0.00054640,0.00059319,107.09154057,188487.79371782
20160420,0.00059500,0.00062004,0.00049986,0.00054453,109.74562558,193680.39131633
20160421,0.00054424,0.00058837,0.00050000,0.00056151,111.55739369,204049.61497759
20160422,0.00056151,0.00058100,0.00050000,0.00050000,105.27977113,189478.92124240
20160423,0.00051097,0.00053683,0.00051097,0.00052943,96.37311616,183036.36070851
20160424,0.00052455,0.00052970,0.00040000,0.00044417,116.99404828,242269.27797402
20160425,0.00044417,0.00044475,0.00038999,0.00039510,102.17022830,245929.55197129
20160426,0.00040100,0.00040393,0.00030152,0.00031102,135.58180921,365713.98334641
20160427,0.00031185,0.00038999,0.00031183,0.00038014,103.15959011,299890.03547799
20160428,0.00038999,0.00040097,0.00035100,0.00037460,104.29553495,269605.01493533
20160429,0.00037460,0.00037550,0.00033500,0.00035000,128.95458932,360295.66749507
20160430,0.00036308,0.00036787,0.00033051,0.00034419,105.51771784,296600.11103350
20160501,0.00033848,0.00035000,0.00031939,0.00032480,98.85862011,292674.82530516
20160502,0.00032431,0.00034202,0.00031945,0.00033533,109.25145316,330958.87663055
20160503,0.00033889,0.00037498,0.00033533,0.00036545,101.27526329,296571.43133616
20160504,0.00036500,0.00037400,0.00033959,0.00036694,114.49332852,325741.36955693
20160505,0.00035837,0.00036700,0.00032000,0.00033877,135.95551622,398419.35051538
20160506,0.00033498,0.00033498,0.00030376,0.00030500,100.70416873,306233.57669743
20160507,0.00030511,0.00031881,0.00030000,0.00031097,106.66546113,348690.96160346
20160508,0.00031097,0.00031800,0.00030150,0.00030151,100.34351055,319301.16380378
20160509,0.00031349,0.00033242,0.00030000,0.00031348,138.80563973,438395.32486188
20160510,0.00030721,0.00031618,0.00030000,0.00031396,101.94305848,328163.55573726
20160511,0.00031613,0.00031613,0.00030004,0.00030692,101.70079963,326001.59082083
20160512,0.00030678,0.00030976,0.00020001,0.00025006,111.78484875,376110.77739266
20160513,0.00026300,0.00029677,0.00023504,0.00024007,100.35955037,375233.56744319
20160514,0.00023971,0.00068899,0.00022182,0.00050001,230.47995753,515678.42529672
20160515,0.00048663,0.00053880,0.00041016,0.00045001,98.91974874,212285.15263065
20160516,0.00045001,0.00045688,0.00035003,0.00035007,99.45295565,267796.54357742
20160517,0.00035003,0.00035883,0.00030369,0.00031222,109.87537829,321986.85887697
20160518,0.00031211,0.00039999,0.00030100,0.00034700,116.30334349,364741.98405786
20160519,0.00034100,0.00036551,0.00032509,0.00032509,110.06382278,312445.51295516
20160520,0.00033125,0.00036494,0.00032114,0.00034176,102.53738655,290853.52048148
20160521,0.00034490,0.00036082,0.00033100,0.00033100,104.14850933,308141.78902041
20160522,0.00033100,0.00034025,0.00032604,0.00033102,102.08033674,309740.12939511
20160523,0.00033197,0.00033213,0.00031021,0.00031578,104.83327837,321906.44390078
20160524,0.00031577,0.00032044,0.00028067,0.00032000,123.99765734,394332.88161158
20160525,0.00032007,0.00032007,0.00027493,0.00029555,50.36248718,170022.83134516
20160526,0.00030665,0.00031491,0.00027793,0.00028100,53.10726548,182246.47769023
20160527,0.00028010,0.00030400,0.00025201,0.00027729,53.91252547,194504.07596518
20160528,0.00027773,0.00027780,0.00025200,0.00025200,56.59580598,209901.53815524
20160529,0.00025200,0.00030000,0.00024362,0.00026971,53.65951373,208966.66931576
20160530,0.00026574,0.00030000,0.00025000,0.00028000,51.95008754,204224.57945014
20160531,0.00027170,0.00027171,0.00024000,0.00025458,57.20666728,224157.05943385
20160601,0.00024758,0.00025492,0.00020001,0.00022000,104.82668012,443979.57343648
20160602,0.00022000,0.00023280,0.00020609,0.00021890,100.28512809,453390.84826771
20160603,0.00021870,0.00021889,0.00017300,0.00018154,104.91745026,497180.83035851
20160604,0.00018824,0.00019103,0.00017397,0.00018400,100.42964656,540156.14139262
20160605,0.00017990,0.00018200,0.00016467,0.00017054,106.56288894,600020.64985783
20160606,0.00017070,0.00018038,0.00015287,0.00015974,100.27512936,602612.84411368
20160607,0.00016000,0.00016540,0.00015250,0.00015479,100.28674203,616990.87694344
20160608,0.00015384,0.00023500,0.00014897,0.00020000,104.89478202,669938.78837877
20160609,0.00019997,0.00022125,0.00019128,0.00020493,101.17625827,501229.62357398
