[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140513,0.00000101,0.00000958,0.00000101,0.00000958,9.87334113,1900262.48729491
20140514,0.00000950,0.00000960,0.00000558,0.00000558,28.82439158,4084859.04472998
20140515,0.00000558,0.00000750,0.00000300,0.00000501,16.64300142,3311328.37432152
20140516,0.00000501,0.00001500,0.00000430,0.00001000,46.14473644,5740978.70329310
20140517,0.00001300,0.00002749,0.00001107,0.00001750,129.04449977,7192715.86248620
20140518,0.00001750,0.00002829,0.00001700,0.00002110,136.40996129,6144747.72232406
20140519,0.00002110,0.00002200,0.00000790,0.00000930,37.82977677,2295212.41874465
20140520,0.00001099,0.00001480,0.00000950,0.00001090,23.76494806,2185311.94709836
20140521,0.00001238,0.00001299,0.00000807,0.00001103,16.73479228,1568624.65429142
20140522,0.00001149,0.00001600,0.00000369,0.00001000,50.68738945,5131426.49449922
20140523,0.00001200,0.00001380,0.00000720,0.00000913,24.00399966,2430840.23009460
20140524,0.00000970,0.00001020,0.00000655,0.00000846,8.83479389,1125410.38509179
20140525,0.00000800,0.00000850,0.00000500,0.00000798,9.78392824,1443713.95760836
20140526,0.00000779,0.00001140,0.00000581,0.00000866,24.72478716,2829371.18490607
20140527,0.00000900,0.00000997,0.00000701,0.00000900,11.69008007,1346506.45257072
20140528,0.00000950,0.00001035,0.00000401,0.00000700,11.41442408,1581709.20285123
20140529,0.00000701,0.00001050,0.00000601,0.00000818,21.71932523,2676334.76147694
20140530,0.00000836,0.00000997,0.00000565,0.00000578,7.47339909,1069777.35443400
20140531,0.00000671,0.00000941,0.00000559,0.00000899,13.44426942,1700334.06332852
20140601,0.00000899,0.00001045,0.00000743,0.00000801,7.73424569,913140.06983485
20140602,0.00000747,0.00001046,0.00000710,0.00000715,4.37787403,547515.02961151
20140603,0.00000894,0.00000895,0.00000581,0.00000740,6.89670728,952850.66474202
20140604,0.00000740,0.00002891,0.00000600,0.00002600,138.50564171,8312417.25658855
20140605,0.00002600,0.00012800,0.00002304,0.00012400,652.38925919,12064561.15604972
20140606,0.00012600,0.00012700,0.00005200,0.00007999,202.79586408,2339960.26690422
20140607,0.00007901,0.00018010,0.00007901,0.00016500,193.00621804,1368488.15753684
20140608,0.00016697,0.00028000,0.00015514,0.00026811,167.31992179,785976.26987097
20140609,0.00027200,0.00028499,0.00012001,0.00019498,179.67889630,997405.76696173
20140610,0.00019498,0.00021566,0.00013000,0.00015502,51.15050839,284658.32631684
20140611,0.00015502,0.00017400,0.00014900,0.00015310,18.44884330,116582.48432947
20140612,0.00015310,0.00015900,0.00010000,0.00013250,16.58793577,114010.78927841
20140613,0.00013300,0.00016440,0.00010000,0.00013900,32.91831739,248808.84930869
20140614,0.00013900,0.00014200,0.00009999,0.00012898,14.85013843,116473.61568694
20140615,0.00012001,0.00013398,0.00008352,0.00011000,5.04101046,43370.12899700
20140616,0.00011000,0.00017620,0.00010166,0.00012176,9.18050724,72521.49247545
20140617,0.00012176,0.00018696,0.00011261,0.00014900,56.43096508,368140.06088574
20140618,0.00014998,0.00015573,0.00012250,0.00013994,24.48188032,182775.30894646
20140619,0.00013700,0.00013700,0.00010600,0.00012900,18.01616767,146315.97252754
20140620,0.00012900,0.00013289,0.00011031,0.00012000,20.49630311,170394.82612303
20140621,0.00011200,0.00012600,0.00010101,0.00011201,16.84617531,153029.48784704
20140622,0.00011208,0.00018000,0.00011206,0.00016000,112.40784240,731036.38951685
20140623,0.00016789,0.00024950,0.00016000,0.00022480,136.89692252,699795.79573700
20140624,0.00021560,0.00028000,0.00019500,0.00028000,137.02669830,562861.52018262
20140625,0.00028000,0.00039999,0.00026010,0.00032950,341.09514256,1126257.71134015
20140626,0.00032918,0.00034180,0.00028000,0.00029523,130.09034856,424803.81504534
20140627,0.00030500,0.00045845,0.00029000,0.00044199,225.86303363,595216.12724372
20140628,0.00043131,0.00057200,0.00036067,0.00041287,343.15899404,735838.01326335
20140629,0.00041718,0.00049378,0.00039999,0.00044255,160.70413863,358348.40522626
20140630,0.00044255,0.00054804,0.00042755,0.00051000,142.60380830,292221.38372344
20140701,0.00051039,0.00051720,0.00040000,0.00042121,102.67246714,223380.18269150
20140702,0.00042167,0.00049111,0.00038000,0.00044224,121.62582665,277964.30347068
20140703,0.00043502,0.00047000,0.00042249,0.00046000,69.92907494,155017.81542426
20140704,0.00046200,0.00046901,0.00043781,0.00043781,50.83661120,112984.17636012
20140705,0.00043781,0.00044363,0.00035010,0.00037999,84.49061478,216262.28644780
20140706,0.00037999,0.00041734,0.00036000,0.00036010,40.50967798,107108.30557692
20140707,0.00036010,0.00040621,0.00027770,0.00037677,159.06993838,476054.32187046
20140708,0.00037677,0.00041900,0.00034054,0.00037900,71.44938994,186863.53392647
20140709,0.00036667,0.00039000,0.00033456,0.00034500,39.44582718,110076.87073865
20140710,0.00035659,0.00037000,0.00030000,0.00036209,98.98068059,302992.19065193
20140711,0.00036210,0.00039850,0.00032017,0.00033222,52.10227626,147786.64880434
20140712,0.00033224,0.00037800,0.00032500,0.00036517,32.88348054,95938.48573470
20140713,0.00037781,0.00040998,0.00036000,0.00039000,76.08325614,193608.85852997
20140714,0.00031001,0.00042809,0.00031001,0.00035999,82.21908426,233580.05886344
20140715,0.00035999,0.00036901,0.00029301,0.00031500,192.47255699,607085.68336565
20140716,0.00031264,0.00036000,0.00029300,0.00034738,104.03156319,327962.76770035
20140717,0.00034028,0.00036000,0.00030420,0.00033000,72.38727067,218011.96119505
20140718,0.00033335,0.00036901,0.00031010,0.00036449,85.80290061,254582.65613172
20140719,0.00036450,0.00036750,0.00031500,0.00033000,96.44760676,284418.70936197
20140720,0.00033000,0.00034112,0.00032000,0.00032476,36.05849648,111021.08394408
20140721,0.00032476,0.00033150,0.00027769,0.00031450,93.29521559,303850.28788306
20140722,0.00031680,0.00032000,0.00025110,0.00026501,152.55243873,535683.91755263
20140723,0.00026503,0.00028749,0.00022600,0.00023302,126.67734849,509999.28668904
20140724,0.00023301,0.00023449,0.00013000,0.00018210,297.24317055,1634865.93843165
20140725,0.00018205,0.00023300,0.00018000,0.00021718,78.05207692,373902.26610174
20140726,0.00021170,0.00021617,0.00017000,0.00017363,30.66553195,162984.39238779
20140727,0.00017363,0.00018499,0.00015010,0.00017111,49.24279136,299695.61725961
20140728,0.00016504,0.00019243,0.00016224,0.00019228,57.45362543,320205.96976183
20140729,0.00019228,0.00020000,0.00016000,0.00017261,41.13680246,227983.90993750
20140730,0.00017637,0.00018856,0.00013985,0.00014900,55.28365912,346275.64674629
20140731,0.00014861,0.00015499,0.00014000,0.00014210,29.07006498,199915.45230358
20140801,0.00014355,0.00018370,0.00014355,0.00015601,54.24208087,332334.00591361
20140802,0.00015609,0.00016888,0.00014393,0.00014478,29.93800615,196829.25508949
20140803,0.00014792,0.00016499,0.00014396,0.00014851,12.44427637,82455.91472437
20140804,0.00015253,0.00015400,0.00013317,0.00013321,16.56267553,115863.21130239
20140805,0.00013334,0.00013769,0.00011169,0.00012091,36.82959385,293638.75321068
20140806,0.00011717,0.00013500,0.00011345,0.00012626,29.44440352,244561.24565999
20140807,0.00012041,0.00012528,0.00011510,0.00012153,11.46311900,96872.05109201
20140808,0.00011908,0.00012269,0.00011227,0.00011503,19.57618956,169122.96418552
20140809,0.00011700,0.00012637,0.00011000,0.00011167,15.54755424,131938.73208643
20140810,0.00011178,0.00012258,0.00011000,0.00011150,22.01547818,194619.78087359
20140811,0.00011150,0.00011613,0.00009470,0.00009470,46.12265118,449343.42958353
20140812,0.00009400,0.00011395,0.00008002,0.00010000,43.08889261,454935.30990186
20140813,0.00009691,0.00009949,0.00006999,0.00007800,34.69056654,431108.70377628
20140814,0.00008031,0.00015400,0.00008004,0.00015319,60.71855835,493762.04801922
20140815,0.00015319,0.00015900,0.00012000,0.00012407,59.32657681,432527.43606671
20140816,0.00012967,0.00013393,0.00010101,0.00010400,23.28291277,202403.44836493
