[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160916,0.00200000,0.00210000,0.00058988,0.00070041,5.60664747,6249.64312070
20160917,0.00070045,0.00071977,0.00052538,0.00067999,6.64777586,10872.88060813
20160918,0.00067999,0.00099000,0.00064809,0.00089980,3.42771438,4481.92269744
20160919,0.00089980,0.00102990,0.00076005,0.00091871,6.94712878,7218.85142391
20160920,0.00099514,0.00099897,0.00080580,0.00093754,2.96407157,3184.81732120
20160921,0.00090863,0.00096950,0.00080712,0.00088022,2.64949669,3007.70382615
20160922,0.00088023,0.00094676,0.00077077,0.00077077,3.90474213,4714.46493228
20160923,0.00079000,0.00083634,0.00059000,0.00066775,3.07622526,4305.82045742
20160924,0.00067046,0.00080221,0.00067016,0.00080221,1.25302036,1709.39894191
20160925,0.00073152,0.00080221,0.00070000,0.00070029,0.97507360,1310.25320230
20160926,0.00070000,0.00070029,0.00058989,0.00065110,2.54493360,3990.51195474
20160927,0.00065701,0.00066068,0.00058990,0.00058990,2.71130394,4374.47638851
20160928,0.00059003,0.00060111,0.00046100,0.00056609,3.88568045,7216.60428021
20160929,0.00051478,0.00054000,0.00047003,0.00048242,1.22514504,2377.92967415
20160930,0.00048546,0.00050750,0.00047026,0.00049902,0.56902325,1168.45933608
20161001,0.00049902,0.00049902,0.00046214,0.00049902,1.14695558,2330.50784437
20161002,0.00046486,0.00049902,0.00046214,0.00046225,0.52942272,1098.35687302
20161003,0.00046500,0.00046500,0.00034154,0.00042854,2.56310000,6297.32925219
20161004,0.00042859,0.00048997,0.00034154,0.00048906,1.10573645,2764.32011879
20161005,0.00047061,0.00047061,0.00037309,0.00041958,0.65069552,1688.03498551
20161006,0.00037331,0.00040995,0.00034154,0.00039944,0.62897715,1677.03437229
20161007,0.00035211,0.00049902,0.00035208,0.00035450,0.65953971,1485.52165902
20161008,0.00041579,0.00041579,0.00035450,0.00039056,0.06677187,177.00316068
20161009,0.00040052,0.00046700,0.00036000,0.00040244,0.09238612,248.08840739
20161010,0.00036787,0.00036900,0.00036581,0.00036850,0.21375882,580.44224059
20161011,0.00036850,0.00037005,0.00025600,0.00030170,0.75334145,2240.52839417
20161012,0.00030170,0.00039195,0.00030170,0.00033001,0.49705810,1408.08305189
20161013,0.00035000,0.00039162,0.00032050,0.00032052,0.28255677,838.29652025
20161014,0.00032130,0.00033700,0.00031000,0.00031000,0.39412586,1248.45676981
20161015,0.00032000,0.00033818,0.00030000,0.00030000,0.28013979,910.64860031
20161016,0.00033377,0.00033700,0.00029500,0.00029501,0.52079401,1643.38833852
20161017,0.00029522,0.00029522,0.00015422,0.00021454,1.34852893,6077.58463242
20161018,0.00022000,0.00026433,0.00020131,0.00020131,1.80103589,7775.29765307
20161019,0.00021169,0.00025005,0.00020600,0.00025002,0.82261877,3498.26503043
20161020,0.00025002,0.00027146,0.00024409,0.00024409,0.43880576,1753.48601570
20161021,0.00024409,0.00024409,0.00020151,0.00022123,0.15294548,688.10428549
20161022,0.00022565,0.00050000,0.00020150,0.00025493,6.26377426,18363.95115894
