[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140217,0.00281482,0.00292067,0.00253423,0.00253863,0.04256794,15.71900000
20140218,0.00253863,0.00259276,0.00100000,0.00228110,0.09871777,42.66137506
20140219,0.00228110,0.00519248,0.00217221,0.00445824,0.04203459,12.84800000
20140220,0.00445824,0.00474194,0.00353883,0.00353883,0.03453774,8.77400000
20140221,0.00335743,0.00353398,0.00292431,0.00338698,0.04809523,14.31900000
20140222,0.00343052,0.00355616,0.00324331,0.00333898,0.05815028,17.09400000
20140223,0.00338563,0.00339781,0.00294899,0.00299903,0.02476898,7.81100000
20140224,0.00301709,0.00316861,0.00250000,0.00281401,0.05475014,19.09400000
20140225,0.00281401,0.00305466,0.00274250,0.00287346,0.02330496,8.03200000
20140226,0.00360000,0.01000000,0.00360000,0.01000000,0.00425750,1.10000000
20140227,0.01000000,0.01000000,0.01000000,0.01000000,0.00010000,0.01000000
20140304,0.00318516,0.00318516,0.00307857,0.00307857,0.00049425,0.15700000
20140312,0.00001000,0.00001000,0.00001000,0.00001000,0.00001000,1.00000000
20140317,0.00202000,0.00322396,0.00202000,0.00202000,0.00207157,1.01600000
20140318,0.00150000,0.00150000,0.00014500,0.00149000,0.16734746,123.59341025
20140319,0.00014999,0.00149000,0.00014999,0.00149000,0.00445749,3.00600000
20140321,0.00100000,0.00100000,0.00100000,0.00100000,0.00057378,0.57378336
20140322,0.00300000,0.00336308,0.00300000,0.00330000,0.10472865,32.34663708
20140326,0.01000000,0.01000000,0.01000000,0.01000000,0.04999999,5.00000000
20140328,0.00799998,0.00799998,0.00799998,0.00799998,0.00085393,0.10674200
20140329,0.00250000,0.00329517,0.00008501,0.00250000,0.53838941,189.37150186
20140330,0.00200000,0.00250000,0.00200000,0.00250000,0.00805743,3.42401940
20140331,0.00240000,0.00299990,0.00200000,0.00299990,0.02066324,8.50187753
20140401,0.00240000,0.00240000,0.00240000,0.00240000,0.00484932,2.02055284
20140402,0.00299990,0.00299990,0.00200000,0.00211500,0.01247662,5.69650543
20140403,0.00200000,0.00299990,0.00200000,0.00240000,0.04443572,18.48400893
20140404,0.00200000,0.00200000,0.00200000,0.00200000,0.01996018,9.98009563
20140406,0.00201000,0.00201000,0.00200000,0.00200000,0.21407705,107.02925232
20140408,0.00200000,0.00200000,0.00200000,0.00200000,0.00081463,0.40731987
20140409,0.00215000,0.00275000,0.00215000,0.00265000,1.17057580,451.09667164
20140410,0.00257000,0.00257000,0.00257000,0.00257000,0.00375721,1.46195719
20140411,0.00221000,0.00299990,0.00221000,0.00221000,0.18511532,79.28406883
20140413,0.00235000,0.00235000,0.00222101,0.00225000,0.01502313,6.43832696
20140414,0.00222101,0.00250020,0.00200020,0.00250020,0.00382969,1.73165788
20140415,0.00240000,0.00240000,0.00200040,0.00200040,0.08072964,34.04163164
20140416,0.00200100,0.00200100,0.00200100,0.00200100,0.00658876,3.29273661
20140417,0.00200100,0.00210100,0.00200100,0.00210100,0.05406619,26.63394606
20140418,0.00200100,0.00200100,0.00200100,0.00200100,0.10230940,51.12915117
20140419,0.00200100,0.00200100,0.00200020,0.00200020,0.10030176,50.12709366
20140420,0.00200020,0.00200020,0.00200020,0.00200020,0.07981370,39.90286471
20140421,0.00180000,0.00180000,0.00180000,0.00180000,0.01641333,9.11851833
20140422,0.00022500,0.00022500,0.00022500,0.00022500,0.00077718,3.45419955
20140423,0.00180000,0.00180000,0.00180000,0.00180000,0.00179549,0.99749999
20140424,0.00190000,0.00190010,0.00190000,0.00190010,0.06863375,36.12142211
20140425,0.00190010,0.00228000,0.00190010,0.00228000,0.03257096,14.39019786
20140426,0.00183901,0.00183901,0.00183901,0.00183901,0.00048415,0.26327059
20140427,0.00186000,0.00186000,0.00184100,0.00184100,0.00037302,0.20251925
20140429,0.00225999,0.00229999,0.00184111,0.00184111,0.14263731,73.26076622
20140501,0.00229999,0.00229999,0.00229999,0.00229999,0.00072212,0.31397000
20140502,0.00184501,0.00184501,0.00184400,0.00184400,0.03348231,18.15093174
20140503,0.00184400,0.00184400,0.00184400,0.00184400,0.00092200,0.50000000
20140504,0.00184400,0.00184400,0.00160000,0.00160000,0.01248090,7.07419178
20140505,0.00175000,0.00210000,0.00170000,0.00170001,0.00548532,2.96618954
20140506,0.00175000,0.00175000,0.00175000,0.00175000,0.04112500,23.50000000
20140507,0.00175000,0.00175000,0.00175000,0.00175000,0.06291725,35.95273577
20140508,0.00180000,0.00185000,0.00175000,0.00178000,0.32014276,181.31976576
20140509,0.00179999,0.00300000,0.00175002,0.00190000,0.86914930,437.72126575
20140510,0.00194000,0.00255000,0.00180000,0.00204999,0.36559062,180.56892291
20140511,0.00205000,0.00250000,0.00200100,0.00204000,0.31895807,156.15157023
20140512,0.00201000,0.00220000,0.00201000,0.00201000,0.03473763,17.17649289
20140513,0.00201000,0.00220000,0.00201000,0.00220000,0.10742286,51.56392015
20140514,0.00220000,0.00300000,0.00220000,0.00250000,0.69566639,269.50072045
20140515,0.00250000,0.00338001,0.00201001,0.00309960,0.48945352,175.73531540
20140516,0.00230001,0.00255605,0.00210000,0.00230000,0.51881977,227.22115383
20140517,0.00230000,0.00243000,0.00210101,0.00210105,0.18246886,82.85919818
20140518,0.00210106,0.00233000,0.00210105,0.00210105,0.15170501,72.18289450
20140519,0.00210200,0.00230979,0.00201002,0.00230970,0.55575566,263.17245399
20140520,0.00207057,0.00222729,0.00201000,0.00201202,0.23727006,116.27705493
20140521,0.00201000,0.00209894,0.00180280,0.00209471,0.37386845,186.04475898
20140522,0.00180280,0.00194427,0.00180000,0.00180000,0.35518973,196.83420249
20140523,0.00180000,0.00200231,0.00160000,0.00200231,0.15731288,93.19220755
20140524,0.00200231,0.00298999,0.00162128,0.00162128,0.13925722,67.62148937
20140525,0.00162128,0.00207688,0.00162128,0.00178313,0.17251222,97.14360245
20140526,0.00194910,0.00194910,0.00163200,0.00182000,0.25286706,146.78742716
20140527,0.00170000,0.00179819,0.00163212,0.00167200,0.02183060,12.82593522
20140528,0.00178999,0.00200000,0.00164002,0.00170200,0.65686904,377.43824697
20140529,0.00170200,0.00180960,0.00164100,0.00165084,0.40598434,244.22299688
20140530,0.00171000,0.00171000,0.00151680,0.00170906,0.65487009,397.98429532
20140531,0.00155561,0.00170800,0.00135001,0.00156142,2.03437979,1283.56351452
20140601,0.00138582,0.00150000,0.00138582,0.00147990,0.49704503,345.74205970
20140602,0.00147752,0.00147752,0.00140070,0.00147751,0.80466355,555.58486781
20140603,0.00144444,0.00149000,0.00120005,0.00147300,0.80131110,567.32896698
20140604,0.00131521,0.00147300,0.00130055,0.00130055,0.21885297,164.32185576
20140605,0.00130025,0.00141000,0.00121557,0.00121605,0.19671579,154.73904204
20140606,0.00121605,0.00124990,0.00105000,0.00107600,0.59641593,511.63897639
20140607,0.00109601,0.00133000,0.00109601,0.00122001,1.45097585,1147.69590075
20140608,0.00122001,0.00129998,0.00109803,0.00120000,0.45851147,392.60698381
20140609,0.00118800,0.00132000,0.00105500,0.00105500,0.92886084,831.25177582
20140610,0.00105555,0.00130000,0.00105010,0.00121000,2.41446012,2238.52976669
20140611,0.00121000,0.00158921,0.00113990,0.00132000,4.28191684,3243.02479483
20140612,0.00145055,0.00145055,0.00125162,0.00138774,1.62629289,1203.05386089
20140613,0.00128101,0.00134365,0.00125228,0.00125354,0.36221803,285.55829377
20140614,0.00125227,0.00129999,0.00120000,0.00120000,0.36935905,294.59408713
20140615,0.00120051,0.00120500,0.00114159,0.00114159,0.16329629,136.26371108
20140616,0.00114159,0.00119990,0.00114100,0.00118838,0.66580046,575.61358431
20140617,0.00118799,0.00125999,0.00114121,0.00118760,0.73132440,614.14522149
20140618,0.00118760,0.00125000,0.00109811,0.00114000,0.86865907,759.13088678
20140619,0.00110010,0.00114100,0.00103413,0.00103942,1.17092769,1081.38566312
20140620,0.00103360,0.00120001,0.00103359,0.00107536,1.68711404,1507.30713533
20140621,0.00107644,0.00114942,0.00103254,0.00105001,1.46773592,1365.95521265
20140622,0.00105001,0.00105001,0.00078730,0.00079330,1.24453694,1324.00515117
20140623,0.00080003,0.00103988,0.00080003,0.00098001,1.11853003,1150.64586328
20140624,0.00095001,0.00100000,0.00084001,0.00094759,0.92699332,1020.92129614
20140625,0.00094759,0.00104343,0.00081975,0.00104343,1.82730805,2064.07426707
20140626,0.00104343,0.00104343,0.00083130,0.00100000,1.82356304,2138.69172532
20140627,0.00100000,0.00100000,0.00083130,0.00087095,1.09250193,1256.43176449
20140628,0.00086920,0.00087094,0.00075787,0.00081891,2.40145794,2920.46756530
20140629,0.00081891,0.00081891,0.00067383,0.00075427,0.41537555,567.07518164
20140630,0.00075361,0.00075400,0.00045000,0.00045000,2.30801449,4030.00748588
20140701,0.00047460,0.00144120,0.00046700,0.00082017,17.83263719,18914.32055807
20140702,0.00078101,0.00085540,0.00061500,0.00076001,6.33984967,8843.30725140
20140703,0.00076001,0.00081000,0.00068275,0.00074159,2.81433241,3769.51686370
20140704,0.00070101,0.00075641,0.00062001,0.00064812,1.33657078,1939.36881143
20140705,0.00063316,0.00066561,0.00054409,0.00057549,1.62551062,2705.15360260
20140706,0.00060350,0.00065792,0.00050272,0.00055625,0.78368670,1299.02147938
20140707,0.00055626,0.00056611,0.00050269,0.00050269,0.81074894,1507.11967341
20140708,0.00054539,0.00058127,0.00048560,0.00052678,1.09655662,2068.83522518
20140709,0.00052744,0.00066750,0.00052595,0.00059299,1.81927311,3210.55116231
20140710,0.00059299,0.00064969,0.00048665,0.00055879,1.03334491,1887.94443132
20140711,0.00051996,0.00053676,0.00048560,0.00048560,0.70276566,1367.78801115
20140712,0.00050000,0.00053094,0.00048024,0.00048146,1.23296358,2458.05833410
20140713,0.00052830,0.00052900,0.00045288,0.00045300,1.00538904,2103.78344144
20140714,0.00045500,0.00048751,0.00040000,0.00044405,1.85340620,4175.38181424
20140715,0.00044361,0.00044427,0.00035000,0.00040634,1.79208041,4380.47746642
20140716,0.00040242,0.00040663,0.00036000,0.00036000,1.25642237,3251.31189324
20140717,0.00038151,0.00039035,0.00033147,0.00035271,1.02758409,2810.24387190
20140718,0.00035271,0.00038000,0.00033151,0.00037000,1.74864392,4847.02049481
20140719,0.00036047,0.00038100,0.00036027,0.00036027,0.90994371,2461.59498237
20140720,0.00036694,0.00045000,0.00032351,0.00034623,1.63695935,4385.40989558
20140721,0.00044994,0.00044998,0.00033865,0.00033865,1.09779742,3040.63011601
20140722,0.00035132,0.00044000,0.00025000,0.00031980,1.28843765,4077.44781662
20140723,0.00030914,0.00035600,0.00028734,0.00029654,0.58036694,1796.42567970
20140724,0.00030134,0.00031052,0.00025000,0.00025800,0.89859768,3364.85829558
20140725,0.00025025,0.00031052,0.00022001,0.00026000,0.47035026,1703.00895919
