[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160620,0.00011000,0.00060000,0.00011000,0.00039500,2212.16809610,5904999.37958770
20160621,0.00039491,0.00040000,0.00031000,0.00034992,884.81558448,2464443.19664569
20160622,0.00034892,0.00035599,0.00026015,0.00031510,1350.40580421,4455558.20345062
20160623,0.00031511,0.00034875,0.00030271,0.00031912,806.08446245,2498742.16910986
20160624,0.00031539,0.00031940,0.00027106,0.00028702,952.24351939,3258137.95557935
20160625,0.00028709,0.00029780,0.00022940,0.00024008,339.39222435,1234094.83471504
20160626,0.00024008,0.00027972,0.00021112,0.00025546,463.63433221,1850914.65183455
20160627,0.00025822,0.00027400,0.00024401,0.00025000,197.53876592,762366.20897091
20160628,0.00024915,0.00025888,0.00022359,0.00022359,331.30709273,1389656.09012643
20160629,0.00022303,0.00025000,0.00021568,0.00022370,299.78013306,1310211.81028620
20160630,0.00022350,0.00024997,0.00020151,0.00020198,403.14731362,1814051.47512430
20160701,0.00020300,0.00021850,0.00019198,0.00020990,288.14378387,1427268.65196684
20160702,0.00020989,0.00026999,0.00020100,0.00024418,320.83609062,1386477.60430613
20160703,0.00025000,0.00032087,0.00023103,0.00028912,448.87750801,1591661.25510298
20160704,0.00029909,0.00032999,0.00028052,0.00032878,327.94577515,1067552.59820602
20160705,0.00032900,0.00032998,0.00030000,0.00032455,290.66469938,925054.97179098
20160706,0.00031651,0.00033000,0.00031000,0.00032923,226.30431584,703178.93492067
20160707,0.00032920,0.00036888,0.00032500,0.00035217,337.67107489,966093.78568130
20160708,0.00035845,0.00035900,0.00026501,0.00029030,292.99034811,947409.53401212
20160709,0.00029004,0.00035700,0.00029003,0.00034022,157.27359332,487666.66786160
20160710,0.00034599,0.00034740,0.00030395,0.00033695,129.80987394,396167.37878966
20160711,0.00033542,0.00033799,0.00032023,0.00033450,130.78343575,399800.20133386
20160712,0.00033449,0.00033450,0.00029300,0.00029920,194.20626148,618816.67750915
20160713,0.00029922,0.00031799,0.00029294,0.00029559,150.84616974,501115.89205668
20160714,0.00029979,0.00030987,0.00027500,0.00029850,225.96335026,770622.48593236
20160715,0.00029700,0.00029999,0.00027562,0.00029099,119.53015100,407600.21505405
20160716,0.00029099,0.00029650,0.00028761,0.00029250,48.87619348,167118.35140393
20160717,0.00029402,0.00029580,0.00028533,0.00029011,86.39558638,296694.75181576
20160718,0.00029012,0.00033900,0.00028882,0.00033000,193.45849628,627931.94376884
20160719,0.00033000,0.00034144,0.00030000,0.00031100,239.48487379,761602.41542721
20160720,0.00031292,0.00032980,0.00031001,0.00031600,93.21806763,290721.00205130
20160721,0.00031651,0.00033000,0.00030026,0.00031014,137.79356900,436843.30611410
20160722,0.00031316,0.00032200,0.00029011,0.00029303,145.90461685,480272.95192740
20160723,0.00029799,0.00031750,0.00029175,0.00030710,69.33323637,224420.82013470
20160724,0.00031399,0.00031399,0.00029210,0.00030572,202.24595186,667255.03752576
20160725,0.00030571,0.00032522,0.00029534,0.00030900,169.94195742,549897.79224887
20160726,0.00031000,0.00031570,0.00026100,0.00026533,300.34576857,1046327.34559764
20160727,0.00027987,0.00031000,0.00024512,0.00027800,314.44744901,1146656.07888630
20160728,0.00027072,0.00029890,0.00026000,0.00026900,117.27039588,437821.03791266
20160729,0.00026900,0.00029700,0.00026555,0.00029203,75.60891330,264975.65389296
20160730,0.00029206,0.00029649,0.00028001,0.00028291,45.12174586,157320.87192447
20160731,0.00028291,0.00029000,0.00026831,0.00027561,105.68382324,379518.73169472
20160801,0.00027553,0.00028250,0.00026010,0.00026010,127.42985942,471498.14208877
20160802,0.00026022,0.00028392,0.00021000,0.00023000,349.27603297,1389841.69580984
20160803,0.00023061,0.00028700,0.00022640,0.00025101,175.95723370,691439.29332429
20160804,0.00025498,0.00028000,0.00025001,0.00026069,125.78866973,468328.15253206
20160805,0.00026913,0.00030100,0.00026150,0.00028650,149.73757177,527856.62750387
20160806,0.00028600,0.00029699,0.00027603,0.00029399,87.71463094,304570.15818303
20160807,0.00028952,0.00029183,0.00026700,0.00027090,84.11961312,303995.38097586
20160808,0.00026757,0.00030725,0.00026550,0.00030000,144.21959542,499076.18817732
20160809,0.00029655,0.00029991,0.00028350,0.00029401,60.75171157,208034.13128956
20160810,0.00029542,0.00032800,0.00029230,0.00032007,178.18611157,573527.76722459
20160811,0.00032001,0.00033122,0.00030001,0.00030659,178.77130786,570920.81762405
20160812,0.00031440,0.00032222,0.00028300,0.00031150,246.85176360,811910.80521796
20160813,0.00031598,0.00031600,0.00028999,0.00029901,183.74491444,609646.46571001
20160814,0.00030318,0.00031480,0.00029500,0.00030418,195.70142274,646116.01051903
20160815,0.00031145,0.00031159,0.00029600,0.00030592,97.64047361,323442.82862864
