[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170426,2.00000000,2.00000000,0.00007500,0.00009334,26.77316227,253548.39286416
20170427,0.00009198,0.00012900,0.00005506,0.00009674,642.14706324,7738569.80032103
20170428,0.00009520,0.00009849,0.00008011,0.00008556,234.49453618,2717064.00802578
20170429,0.00008734,0.00008900,0.00008000,0.00008141,173.49863665,2089454.28836822
20170430,0.00008220,0.00008536,0.00007751,0.00008313,191.76853311,2350116.94065048
20170501,0.00008380,0.00009797,0.00007500,0.00008450,274.86561358,3158098.08554684
20170502,0.00008450,0.00009244,0.00007708,0.00008011,137.17033328,1657006.91338530
20170503,0.00008011,0.00009680,0.00008000,0.00009356,197.71176102,2256567.72972276
20170504,0.00009262,0.00015711,0.00009009,0.00014458,556.55839123,4863846.05466583
20170505,0.00014458,0.00015747,0.00012000,0.00014241,441.35873896,3061589.97629959
20170506,0.00014305,0.00018794,0.00013900,0.00018115,393.54890723,2349913.55930917
20170507,0.00018000,0.00018000,0.00013591,0.00014100,368.29630092,2412294.07071837
20170508,0.00014185,0.00015430,0.00011700,0.00011890,294.48796436,2216829.57741095
20170509,0.00011893,0.00013500,0.00009973,0.00011652,211.60900971,1877175.63416758
20170510,0.00011632,0.00013990,0.00010000,0.00011973,168.92742177,1400908.45004027
20170511,0.00011981,0.00011986,0.00010750,0.00011111,68.08844059,600680.48785718
20170512,0.00011111,0.00012998,0.00010893,0.00012087,58.72360060,494078.24938496
20170513,0.00012112,0.00012998,0.00011146,0.00012520,64.81311565,530643.79953776
20170514,0.00012181,0.00012962,0.00011134,0.00012300,56.89979161,479849.33856875
20170515,0.00012674,0.00015358,0.00012300,0.00013035,186.34641933,1360061.26989172
20170516,0.00012923,0.00014099,0.00010521,0.00012709,94.28101326,748614.06928644
20170517,0.00011945,0.00012327,0.00010200,0.00011000,104.60193353,962931.59976100
20170518,0.00011247,0.00013000,0.00009998,0.00010948,112.96603220,1003829.37698894
20170519,0.00010948,0.00011499,0.00010270,0.00010914,85.94353658,800583.49224980
20170520,0.00010619,0.00011872,0.00010300,0.00011000,126.21173409,1157666.42674992
20170521,0.00011002,0.00011580,0.00010002,0.00010901,116.85171906,1094144.41790008
20170522,0.00010901,0.00012700,0.00009000,0.00011898,249.98940894,2260443.63896385
20170523,0.00011896,0.00012501,0.00011500,0.00012299,103.94049281,861565.34249690
20170524,0.00012186,0.00013999,0.00011500,0.00012660,174.55707808,1395377.63994244
20170525,0.00012760,0.00012997,0.00011005,0.00011296,99.99440596,847538.79389346
20170526,0.00011296,0.00013866,0.00011096,0.00011101,83.47570177,676019.00415544
20170527,0.00011101,0.00012999,0.00010500,0.00011663,77.56016406,686138.29768611
20170528,0.00011419,0.00012900,0.00011150,0.00012381,52.03843576,431735.14123927
20170529,0.00012312,0.00012690,0.00011760,0.00012690,38.79596021,316216.07660034
20170530,0.00012364,0.00013500,0.00012001,0.00012504,77.81651102,614152.84682585
20170531,0.00012884,0.00013550,0.00012022,0.00013302,81.91248801,643114.00055127
20170601,0.00013494,0.00018366,0.00013001,0.00018100,491.63121413,3036253.69206020
20170602,0.00018100,0.00022510,0.00017000,0.00020697,543.73192387,2804092.36096180
20170603,0.00020697,0.00026000,0.00018500,0.00023755,654.09320818,2869696.05226555
20170604,0.00024249,0.00025000,0.00020850,0.00023998,285.52966288,1240938.65086608
20170605,0.00023998,0.00027101,0.00023000,0.00025001,406.80245530,1610017.97760736
20170606,0.00025001,0.00032500,0.00022763,0.00031175,709.44890222,2503266.83517106
20170607,0.00030376,0.00038794,0.00028001,0.00028001,1228.07955090,3469670.65522868
20170608,0.00029502,0.00036870,0.00027500,0.00029198,897.25311814,2966985.06162891
20170609,0.00029259,0.00031800,0.00028860,0.00030767,467.75871165,1553785.34427429
20170610,0.00030775,0.00031150,0.00026152,0.00026247,413.37368239,1486578.97373326
20170611,0.00026247,0.00027499,0.00021001,0.00023776,296.19407806,1187583.43448915
20170612,0.00023777,0.00026095,0.00021800,0.00022415,424.22212920,1804946.37586953
20170613,0.00022415,0.00029000,0.00021812,0.00027556,336.64115328,1361335.35851896
20170614,0.00027556,0.00028468,0.00025025,0.00025635,207.82934322,777638.04153561
20170615,0.00026157,0.00028468,0.00023890,0.00025880,241.36655618,951492.78667867
20170616,0.00026421,0.00028160,0.00024317,0.00025115,158.13681122,604278.75171904
20170617,0.00025115,0.00026834,0.00024000,0.00024527,148.38250923,587817.54504051
20170618,0.00024519,0.00025189,0.00022800,0.00023252,142.71031528,599201.49004128
20170619,0.00023606,0.00025795,0.00023087,0.00024200,240.03606698,987359.23994588
20170620,0.00024090,0.00025022,0.00022800,0.00023344,152.44696448,637271.40647474
20170621,0.00023097,0.00023606,0.00020893,0.00021800,173.28969138,784788.57561634
20170622,0.00021800,0.00023340,0.00018300,0.00020998,215.97447140,1014252.70148313
20170623,0.00020541,0.00023200,0.00020000,0.00021479,159.67348462,742949.00846214
20170624,0.00021481,0.00022500,0.00020110,0.00021391,137.80726396,646354.17002255
20170625,0.00021335,0.00022000,0.00020402,0.00020918,128.55805284,604444.26421082
20170626,0.00020594,0.00021628,0.00013646,0.00018114,273.43945248,1490939.84910667
20170627,0.00017999,0.00018400,0.00015192,0.00018075,81.99010932,478086.37455815
20170628,0.00018023,0.00021230,0.00017100,0.00019984,107.46944790,547517.62751529
20170629,0.00019978,0.00020149,0.00017500,0.00018203,84.06106630,444347.88484686
20170630,0.00017757,0.00019000,0.00016007,0.00018700,89.27130062,515244.37308793
