[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160925,0.00019000,0.00049990,0.00016025,0.00017400,24.43904829,134992.46477264
20160926,0.00017410,0.00018000,0.00016500,0.00016851,14.72404786,87286.44168946
20160927,0.00016852,0.00017100,0.00014847,0.00016420,23.61447964,142857.37921027
20160928,0.00016000,0.00016600,0.00015001,0.00016600,23.23618898,148138.76174173
20160929,0.00016582,0.00017200,0.00014850,0.00016499,13.29611239,82282.30838773
20160930,0.00016499,0.00016499,0.00013996,0.00014500,26.85746475,170914.31338533
20161001,0.00015394,0.00015971,0.00014019,0.00015596,18.89397265,124635.88103587
20161002,0.00014495,0.00015672,0.00014022,0.00015200,22.49907200,152734.26497063
20161003,0.00015053,0.00015663,0.00014032,0.00014994,22.15321520,151981.44278236
20161004,0.00014354,0.00014995,0.00014353,0.00014995,23.08759841,157000.95307544
20161005,0.00014606,0.00015655,0.00014538,0.00015652,17.12013942,113336.25454289
20161006,0.00015656,0.00015656,0.00014583,0.00015499,16.91240098,109901.00192090
20161007,0.00015500,0.00015610,0.00014570,0.00014571,11.55503121,77331.12220862
20161008,0.00014938,0.00015193,0.00014570,0.00015046,14.09040873,94341.36726179
20161009,0.00015046,0.00015193,0.00014574,0.00015192,17.26362745,113708.60342203
20161010,0.00015193,0.00015570,0.00014500,0.00014500,18.92905502,124157.53786167
20161011,0.00014566,0.00015570,0.00014477,0.00015050,16.32413917,108347.69101114
20161012,0.00015050,0.00015050,0.00014285,0.00015018,18.45817256,123111.20445565
20161013,0.00015010,0.00015010,0.00014090,0.00014090,16.50745128,111750.57524920
20161014,0.00014500,0.00014999,0.00013134,0.00014990,29.99853476,207588.52702107
20161015,0.00014990,0.00015019,0.00013679,0.00015017,9.62502003,64290.48058845
20161016,0.00014475,0.00014880,0.00013800,0.00013986,8.84288307,61147.37866621
20161017,0.00014745,0.00014772,0.00013900,0.00014142,15.83549022,109432.16990038
20161018,0.00014142,0.00014640,0.00013800,0.00014003,19.02579555,131349.63620211
20161019,0.00014523,0.00014628,0.00013870,0.00014419,15.59904628,108682.99200011
20161020,0.00013899,0.00014440,0.00013728,0.00014358,11.33919444,79856.27187075
20161021,0.00014358,0.00014360,0.00013735,0.00013956,14.67097276,103120.09542334
20161022,0.00014293,0.00014466,0.00013145,0.00013145,17.44845231,122451.82258847
20161023,0.00013352,0.00014390,0.00012846,0.00013431,15.10802674,110873.83410675
20161024,0.00013231,0.00014387,0.00012228,0.00013750,14.73393034,109833.28151013
20161025,0.00013677,0.00014644,0.00012300,0.00014644,14.86410632,110361.46282273
20161026,0.00013777,0.00014680,0.00013300,0.00014680,13.06076889,93044.96325855
20161027,0.00013916,0.00017487,0.00013307,0.00015294,81.13196379,511561.50277705
20161028,0.00015291,0.00015291,0.00013800,0.00013800,17.46765769,122938.01901676
20161029,0.00013800,0.00014038,0.00013307,0.00013309,17.76315683,129807.31115406
20161030,0.00013400,0.00013795,0.00013310,0.00013778,11.12246775,83106.92161101
20161031,0.00013321,0.00013819,0.00013308,0.00013809,19.44971244,145556.94980135
20161101,0.00013807,0.00013868,0.00012523,0.00012923,20.94781154,156217.28535556
20161102,0.00013255,0.00013731,0.00012522,0.00013599,17.20601985,128481.68229942
20161103,0.00013508,0.00014997,0.00012604,0.00014032,11.46085258,81621.55634139
20161104,0.00013743,0.00014799,0.00013500,0.00014329,19.95581799,141868.50548311
20161105,0.00014029,0.00014326,0.00013515,0.00014188,10.69570834,75627.22736842
20161106,0.00013955,0.00014800,0.00013779,0.00014798,21.88711084,151997.25196480
20161107,0.00014797,0.00014995,0.00013800,0.00014445,22.98099143,159745.48752530
20161108,0.00014305,0.00014461,0.00013511,0.00014200,12.47523423,88959.37033877
20161109,0.00013592,0.00014099,0.00013106,0.00013155,14.33756846,103889.80449176
20161110,0.00013683,0.00013948,0.00013150,0.00013752,17.03170710,126004.81455614
20161111,0.00013748,0.00014384,0.00013599,0.00014384,17.30573207,122749.03829311
20161112,0.00014384,0.00014447,0.00014100,0.00014447,15.12705856,106194.90016732
20161113,0.00014447,0.00014500,0.00013506,0.00013534,12.90015554,92353.96386687
20161114,0.00013900,0.00013900,0.00013150,0.00013800,8.23985119,60176.99567246
20161115,0.00013800,0.00014443,0.00011515,0.00014441,24.13449386,188289.31839210
20161116,0.00014430,0.00014430,0.00013000,0.00013732,17.38566889,126351.18792258
20161117,0.00013271,0.00014095,0.00013224,0.00013999,18.76200912,134410.59241420
20161118,0.00014085,0.00014090,0.00013000,0.00013888,11.74079640,85791.45637171
20161119,0.00013615,0.00013987,0.00013000,0.00013986,6.76575755,49875.42485486
20161120,0.00013986,0.00013986,0.00013209,0.00013847,14.66288731,106886.92856271
20161121,0.00013847,0.00014020,0.00013467,0.00014000,17.11024140,124222.31440700
