[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140601,0.00600000,0.00679500,0.00230000,0.00410410,33.92272839,5957.73900792
20140602,0.00410410,0.00430100,0.00050000,0.00095500,33.82657601,18950.61018966
20140603,0.00095499,0.00193999,0.00075000,0.00159900,10.35614173,9032.57955213
20140604,0.00158999,0.00159999,0.00110000,0.00139986,3.66536215,2792.76500423
20140605,0.00139986,0.00139986,0.00058050,0.00058050,3.25778747,3574.49740502
20140606,0.00063000,0.00081001,0.00061050,0.00065055,1.18469159,1826.78935919
20140607,0.00065055,0.00080950,0.00065055,0.00065055,0.17240652,229.22773377
20140608,0.00066060,0.00066060,0.00051001,0.00051001,0.82918262,1317.82316046
20140609,0.00041000,0.00058010,0.00041000,0.00058000,0.39073857,673.90377505
20140610,0.00045000,0.00050000,0.00040000,0.00041080,1.00970700,2458.46531505
20140611,0.00050000,0.00111100,0.00050000,0.00082031,1.93020557,2169.07735665
20140612,0.00080500,0.00100000,0.00068102,0.00075102,0.73016312,929.56148156
20140613,0.00075101,0.00075102,0.00061005,0.00061005,0.38239398,570.91341304
20140614,0.00063011,0.00081000,0.00061055,0.00081000,0.20793967,332.84935809
20140615,0.00081000,0.00100000,0.00081000,0.00081000,0.96555624,1153.75211553
20140616,0.00082002,0.00239886,0.00081000,0.00170000,5.86315563,4676.00701310
20140617,0.00185000,0.00279999,0.00150001,0.00195513,17.51943054,8248.21702630
20140618,0.00167002,0.00213969,0.00152001,0.00199997,2.48886743,1468.05840525
20140619,0.00199981,0.00213961,0.00156002,0.00213961,2.09811279,1233.10910873
20140620,0.00200000,0.00213500,0.00165004,0.00166001,2.86314584,1415.93109933
20140621,0.00166003,0.00315000,0.00166003,0.00310000,8.75124277,3280.77592917
20140622,0.00290000,0.00353950,0.00240000,0.00240000,7.99690695,2711.61782598
20140623,0.00216000,0.00251000,0.00180500,0.00251000,2.81017481,1337.16216496
20140624,0.00180005,0.00249499,0.00179876,0.00179876,2.10120689,1062.77251741
