[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150214,0.00650038,0.00660000,0.00531794,0.00643212,0.93485427,151.32260223
20150215,0.00629998,0.00643170,0.00584024,0.00584024,0.87780979,146.90439075
20150216,0.00572889,0.00598621,0.00520042,0.00598621,0.32910607,60.60199020
20150217,0.00622199,0.00622390,0.00600000,0.00600000,0.05644589,9.37036062
20150218,0.00530560,0.00643212,0.00530258,0.00546269,0.91653065,145.80651156
20150219,0.00550000,0.00659997,0.00550000,0.00650010,0.13824533,21.26183170
20150220,0.00650010,0.00650010,0.00450000,0.00581885,1.12920487,202.07669001
20150221,0.00480635,0.00516596,0.00480635,0.00516596,0.02173377,4.33849567
20150222,0.00549999,0.00556599,0.00549999,0.00556599,0.43010643,77.98339465
20150223,0.00556599,0.00558832,0.00556599,0.00558832,0.00926785,1.66242898
20150224,0.00520000,0.00569876,0.00520000,0.00569876,0.12821286,22.78881960
20150225,0.00510000,0.00569685,0.00481091,0.00547520,0.42004011,81.56140922
20150226,0.00545327,0.00545327,0.00480143,0.00480143,0.16483470,34.27740518
20150227,0.00461000,0.00532477,0.00440101,0.00532477,0.88209540,192.97970047
20150228,0.00529000,0.00529000,0.00494999,0.00495000,0.01559764,3.10000000
20150301,0.00495000,0.00527999,0.00430999,0.00527762,0.74914367,147.32463243
20150302,0.00503000,0.00521547,0.00400000,0.00400000,0.12135584,25.63450107
20150303,0.00480304,0.00521547,0.00380000,0.00521246,0.79938324,159.61460108
20150304,0.00520044,0.00521200,0.00420142,0.00420142,0.18621430,40.74826280
20150305,0.00521195,0.00521195,0.00520621,0.00520621,0.19408940,37.24010065
20150306,0.00420421,0.00420423,0.00420421,0.00420423,0.00794193,1.88903882
20150307,0.00521159,0.00521197,0.00505004,0.00521197,0.74556829,143.13777727
20150310,0.00544000,0.00545326,0.00544000,0.00545325,0.72680680,133.29843638
20150311,0.00550000,0.00550000,0.00512200,0.00512200,0.54217425,102.41135969
20150312,0.00512200,0.00512200,0.00512200,0.00512200,0.00789731,1.54184214
20150313,0.00512200,0.00577744,0.00470000,0.00480000,0.31358665,54.81215445
20150314,0.00485000,0.00576399,0.00470000,0.00470001,0.52285423,106.39384381
20150315,0.00568909,0.00568909,0.00420177,0.00470000,0.10003541,21.09507064
20150316,0.00559921,0.00559921,0.00430065,0.00461000,0.12519624,27.49056976
20150317,0.00470999,0.00470999,0.00461000,0.00461000,0.05825487,12.40623142
20150318,0.00430296,0.00430296,0.00430296,0.00430296,0.00585761,1.36129852
20150319,0.00496922,0.00496922,0.00496922,0.00496922,0.07994463,16.08796501
20150320,0.00443980,0.00509891,0.00443980,0.00509891,0.01417817,2.97453324
20150321,0.00550000,0.00550000,0.00440000,0.00450759,0.13903582,28.10885318
20150322,0.00515000,0.00515000,0.00509999,0.00509999,0.05916534,11.57954823
20150323,0.00456009,0.00509999,0.00440489,0.00480000,1.11776975,235.01469002
20150324,0.00440682,0.00538899,0.00440000,0.00449112,1.05438565,210.05334517
20150325,0.00526486,0.00526498,0.00470000,0.00498997,0.04169525,8.65233948
20150326,0.00450001,0.00508976,0.00445000,0.00489998,0.30559774,65.61126576
20150327,0.00489998,0.00522428,0.00450076,0.00522428,0.06757682,14.67420810
20150328,0.00440001,0.00450000,0.00440000,0.00450000,0.13769058,30.78939159
20150329,0.00504967,0.00504967,0.00499997,0.00500000,0.04624649,9.24688257
20150330,0.00499720,0.00499720,0.00450001,0.00499719,0.14124526,28.41379741
20150331,0.00499718,0.00499718,0.00445000,0.00445000,0.44427423,96.59333259
20150401,0.00447225,0.00460000,0.00420420,0.00420420,0.43460384,100.51225973
20150402,0.00459992,0.00540786,0.00434885,0.00435598,0.57405442,109.08912107
20150403,0.00500000,0.00527829,0.00480081,0.00527829,0.48449235,94.14071696
20150404,0.00519975,0.00520000,0.00450214,0.00520000,1.51566184,291.62083642
20150405,0.00520000,0.00520000,0.00460000,0.00460000,0.70062434,152.19952229
20150406,0.00460000,0.00512431,0.00460000,0.00460001,2.36963817,507.27551674
20150407,0.00460001,0.00505431,0.00460001,0.00505430,0.32702084,69.67412243
20150408,0.00505319,0.00505319,0.00450215,0.00450215,0.49080091,105.67367201
20150409,0.00488997,0.00488999,0.00450099,0.00450099,0.95613345,202.60635768
20150410,0.00483583,0.00487640,0.00425001,0.00425001,0.49623839,104.24305413
20150411,0.00485897,0.00518378,0.00425000,0.00454788,2.31328531,467.02961608
20150412,0.00454788,0.00481987,0.00350000,0.00400131,2.37404966,561.98140809
20150413,0.00457906,0.00457906,0.00410083,0.00411021,0.05127775,12.30060332
20150414,0.00452602,0.00452602,0.00420000,0.00420000,1.24950003,294.07846187
20150415,0.00450974,0.00452600,0.00450974,0.00452600,0.15395473,34.08650176
20150416,0.00452599,0.00452601,0.00430000,0.00430000,0.65180923,150.77761505
20150417,0.00420000,0.00452576,0.00420000,0.00420000,0.22080085,51.79601781
20150418,0.00420000,0.00452572,0.00420000,0.00420208,0.48219806,114.03154681
20150420,0.00420500,0.00420500,0.00388471,0.00388471,0.38293928,91.83074423
20150421,0.00439160,0.00439160,0.00388488,0.00409999,0.03001902,7.34233028
20150422,0.00390183,0.00390183,0.00388471,0.00388471,0.08061028,20.67466675
20150423,0.00409638,0.00409639,0.00369551,0.00369551,0.09470200,23.18784257
20150424,0.00409283,0.00409283,0.00409281,0.00409281,0.01672478,4.08636626
20150425,0.00369669,0.00408787,0.00369669,0.00408783,0.06233627,15.98680729
20150426,0.00390000,0.00390000,0.00369813,0.00369813,0.02737790,7.10000000
20150427,0.00389998,0.00389999,0.00389991,0.00389999,0.02889325,7.40857381
20150428,0.00409282,0.00481759,0.00409282,0.00442173,1.65773500,350.42830490
20150430,0.00392995,0.00475000,0.00392995,0.00475000,2.01272949,424.69748093
20150501,0.00445000,0.00445000,0.00393731,0.00435000,0.34660311,79.00634438
20150502,0.00431013,0.00431017,0.00395001,0.00395001,0.04636733,10.85022295
20150503,0.00395526,0.00405555,0.00368471,0.00380002,0.32411734,83.75601619
20150504,0.00392995,0.00429999,0.00392995,0.00409998,0.24383941,58.77019058
20150505,0.00430000,0.00430000,0.00430000,0.00430000,0.02253959,5.24176739
20150506,0.00429999,0.00429999,0.00368519,0.00368519,0.00995475,2.36846143
20150507,0.00368692,0.00378553,0.00368692,0.00378553,0.12817544,34.09378591
20150508,0.00378618,0.00408645,0.00378618,0.00378621,0.24093075,62.23395338
20150509,0.00378857,0.00378857,0.00378684,0.00378684,0.02388538,6.30509991
20150510,0.00378699,0.00378703,0.00378699,0.00378703,0.04544432,12.00000000
20150511,0.00397500,0.00397500,0.00380645,0.00380645,0.02247016,5.87661325
20150512,0.00380652,0.00380652,0.00378621,0.00378621,0.30005329,79.16496942
20150513,0.00391199,0.00429852,0.00391199,0.00429852,0.23501173,57.59099636
20150515,0.00388060,0.00390000,0.00387148,0.00390000,0.00156069,0.40181288
20150516,0.00389999,0.00400164,0.00389999,0.00400164,0.06797154,17.00248478
20150517,0.00400164,0.00400164,0.00375000,0.00375000,0.07690447,19.62150028
20150518,0.00375000,0.00375000,0.00365310,0.00371934,0.14129864,38.55757738
20150519,0.00366000,0.00405561,0.00350005,0.00368046,0.17022176,46.74981213
20150520,0.00405560,0.00429860,0.00358879,0.00364501,0.34013090,83.30111010
20150521,0.00365001,0.00417056,0.00365000,0.00365001,1.60855813,440.53238555
20150522,0.00365003,0.00373829,0.00365001,0.00365001,1.69635790,464.74689694
20150523,0.00369859,0.00390000,0.00365001,0.00375000,1.28168006,348.16193241
20150525,0.00400000,0.00401110,0.00400000,0.00401110,0.01779310,4.44150083
20150526,0.00401110,0.00401872,0.00375085,0.00375085,0.17409129,44.31624708
20150527,0.00385000,0.00460000,0.00385000,0.00460000,4.49860112,992.58926249
20150528,0.00383228,0.00434477,0.00383000,0.00400000,1.04976203,266.73218683
20150529,0.00400001,0.00434299,0.00383000,0.00434299,0.15822742,40.41624482
20150601,0.00391340,0.00434030,0.00391340,0.00400550,0.14183856,34.51360241
20150603,0.00434027,0.00434027,0.00391340,0.00434024,0.13579288,34.06655250
20150604,0.00391099,0.00434003,0.00385003,0.00434003,0.05613881,14.29875541
20150605,0.00385004,0.00397996,0.00383000,0.00383100,0.38833745,101.05729915
20150606,0.00393329,0.00393329,0.00383100,0.00383100,0.04112923,10.56526699
20150607,0.00383100,0.00385000,0.00383000,0.00385000,0.07823240,20.41567950
20150608,0.00385100,0.00393327,0.00385100,0.00393327,0.01465245,3.79674120
20150609,0.00385105,0.00397995,0.00383000,0.00397995,0.34667273,88.44750436
20150610,0.00410000,0.00446999,0.00410000,0.00446999,0.50204722,113.88122737
20150611,0.00446999,0.00459896,0.00410138,0.00459896,4.23485102,938.72755130
20150612,0.00459895,0.00481759,0.00459895,0.00481759,0.20693386,44.00505335
20150613,0.00481759,0.00670000,0.00440009,0.00500096,3.20550787,592.56743580
20150614,0.00621011,0.00687998,0.00501932,0.00521003,2.43150426,392.04511138
20150615,0.00580000,0.00623398,0.00506544,0.00590000,0.84993473,148.68819736
20150616,0.00600000,0.00610000,0.00540210,0.00608552,1.34090234,222.89807911
20150617,0.00608998,0.00608998,0.00400000,0.00449974,4.97194036,1119.66413598
20150618,0.00449900,0.00630000,0.00449662,0.00500000,6.36027138,1284.57865186
20150619,0.00522878,0.00535000,0.00510002,0.00535000,0.13703442,26.16625588
20150620,0.00490054,0.00500000,0.00460999,0.00461212,0.53799100,113.36275246
20150621,0.00500000,0.00500000,0.00490001,0.00490001,0.01255162,2.52888265
20150622,0.00490000,0.00540371,0.00485000,0.00500000,0.17732723,34.85513115
20150623,0.00539756,0.00539756,0.00490620,0.00490620,0.06905826,13.36878634
20150624,0.00495025,0.00540371,0.00490000,0.00492501,1.34938199,270.66558636
20150625,0.00492500,0.00492500,0.00492500,0.00492500,0.08371491,16.99795228
20150626,0.00492500,0.00549372,0.00492500,0.00549372,0.80982182,155.94947826
20150627,0.00496000,0.00496002,0.00460999,0.00460999,1.19884825,248.70613444
20150628,0.00460999,0.00460999,0.00430000,0.00449239,0.95271092,219.79763490
20150629,0.00449239,0.00476431,0.00449239,0.00475778,0.48816697,102.60397221
20150630,0.00474000,0.00504421,0.00440001,0.00492758,0.52181699,110.20193419
20150701,0.00456607,0.00500761,0.00456096,0.00500000,0.32240164,66.42736565
20150702,0.00437811,0.00500000,0.00437811,0.00500000,0.57604466,119.38788477
20150704,0.00440378,0.00440378,0.00440378,0.00440378,0.00880755,1.99999999
20150705,0.00499870,0.00499873,0.00465700,0.00465700,0.15159048,31.71312558
20150706,0.00465711,0.00550000,0.00465700,0.00520023,0.48440335,96.04983078
20150707,0.00520023,0.00520023,0.00520023,0.00520023,0.14996203,28.83759427
20150708,0.00520025,0.00559953,0.00520023,0.00559953,0.53414947,102.69602015
20150709,0.00520024,0.00559941,0.00520023,0.00520023,0.32529502,62.54421127
20150710,0.00499999,0.00499999,0.00465700,0.00499999,0.94564626,190.34564192
20150711,0.00499999,0.00555884,0.00499999,0.00500000,0.46566341,88.40887435
20150712,0.00500000,0.00530000,0.00471661,0.00530000,0.13029485,24.81451911
20150713,0.00500890,0.00699000,0.00500890,0.00530721,3.05181125,469.26456157
20150714,0.00553459,0.00618210,0.00546052,0.00546091,0.74801872,128.69738545
20150715,0.00535510,0.00535513,0.00479520,0.00501778,0.38120867,74.76521464
20150716,0.00501778,0.00508369,0.00481000,0.00481000,0.13102936,26.36954183
20150717,0.00508275,0.00520000,0.00508123,0.00519999,0.14722405,28.78842629
20150718,0.00547630,0.00550000,0.00547630,0.00550000,0.26902752,49.09258804
20150719,0.00569900,0.00569900,0.00547912,0.00548128,0.07814987,14.23804969
