[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140621,0.00010000,0.00010000,0.00000005,0.00000007,7.20783807,67941985.79745364
20140622,0.00000008,0.00000017,0.00000004,0.00000007,39.78596755,489884460.22750282
20140623,0.00000006,0.00000012,0.00000004,0.00000007,34.05567549,409570636.43665743
20140624,0.00000007,0.00000008,0.00000005,0.00000006,11.19426035,175059415.20378283
20140625,0.00000007,0.00000007,0.00000004,0.00000005,5.59406109,115932213.91981864
20140626,0.00000004,0.00000005,0.00000003,0.00000003,2.76570519,73790151.65813206
20140627,0.00000003,0.00000004,0.00000002,0.00000002,0.65624494,21257683.82699173
20140628,0.00000003,0.00000004,0.00000002,0.00000002,2.51906014,86825712.24442072
20140629,0.00000002,0.00000005,0.00000002,0.00000004,2.22616759,69155375.38544883
20140630,0.00000004,0.00000005,0.00000003,0.00000004,1.71604869,44899717.02779422
20140701,0.00000005,0.00000005,0.00000003,0.00000003,1.55630176,50002151.85464719
20140702,0.00000003,0.00000004,0.00000002,0.00000003,1.17744626,45957314.86352774
20140703,0.00000003,0.00000003,0.00000002,0.00000002,0.84981740,29059410.55699643
20140704,0.00000003,0.00000004,0.00000002,0.00000003,2.18751065,64034961.70097156
20140705,0.00000003,0.00000007,0.00000003,0.00000006,23.44825552,421992143.26686829
20140706,0.00000006,0.00000006,0.00000004,0.00000005,7.89138175,158743139.30648869
20140707,0.00000005,0.00000006,0.00000004,0.00000004,2.75922698,55869885.40875100
20140708,0.00000004,0.00000005,0.00000004,0.00000004,0.23257989,5720434.27419524
20140709,0.00000004,0.00000005,0.00000003,0.00000004,0.44678942,11926255.18843099
20140710,0.00000003,0.00000004,0.00000003,0.00000003,0.32719738,10239912.58953794
20140711,0.00000003,0.00000005,0.00000002,0.00000004,4.13377558,116649116.50484492
20140712,0.00000004,0.00000004,0.00000003,0.00000004,0.28973398,8068109.99735450
20140713,0.00000003,0.00000004,0.00000003,0.00000003,0.29054896,8659763.65538654
20140714,0.00000003,0.00000004,0.00000003,0.00000003,1.26932857,32956770.55700277
20140715,0.00000003,0.00000004,0.00000003,0.00000004,0.97773687,25200619.61643265
20140716,0.00000004,0.00000004,0.00000003,0.00000004,1.48445921,37285905.75826982
20140717,0.00000004,0.00000005,0.00000003,0.00000004,1.17619957,29136418.02928309
20140718,0.00000004,0.00000005,0.00000004,0.00000004,2.68104538,54390928.06693458
20140719,0.00000004,0.00000005,0.00000003,0.00000004,2.18991917,47956711.98872656
20140720,0.00000004,0.00000004,0.00000004,0.00000004,0.42197570,10549392.51972999
20140721,0.00000005,0.00000005,0.00000004,0.00000005,1.45223748,34109373.58889972
20140722,0.00000004,0.00000004,0.00000003,0.00000004,1.06396366,26607956.30668776
20140723,0.00000004,0.00000005,0.00000004,0.00000004,2.83128954,62400560.65573203
20140724,0.00000005,0.00000006,0.00000005,0.00000005,1.00856461,20169292.13903467
20140725,0.00000005,0.00000008,0.00000004,0.00000008,9.18055362,149762644.95920837
20140726,0.00000007,0.00000007,0.00000005,0.00000006,2.00565279,31451234.51593107
20140727,0.00000006,0.00000009,0.00000006,0.00000009,5.58725425,75082412.56191015
20140728,0.00000008,0.00000009,0.00000004,0.00000007,5.94852948,90454714.05386107
20140729,0.00000006,0.00000007,0.00000005,0.00000007,1.94767426,29369121.75321252
20140730,0.00000007,0.00000008,0.00000006,0.00000007,1.80864678,24251792.36429295
20140731,0.00000007,0.00000008,0.00000007,0.00000008,2.16642307,29336519.54064540
20140801,0.00000007,0.00000007,0.00000007,0.00000007,1.67522769,23931824.17788682
20140802,0.00000007,0.00000007,0.00000006,0.00000006,1.19788659,17754212.92838785
20140803,0.00000007,0.00000007,0.00000006,0.00000006,0.18429727,3071338.72121025
20140804,0.00000004,0.00000006,0.00000004,0.00000004,0.42851737,10707934.30925607
20140805,0.00000004,0.00000007,0.00000004,0.00000005,1.09637931,20310839.01633852
20140806,0.00000005,0.00000007,0.00000005,0.00000006,0.39326374,6556190.64401659
20140807,0.00000006,0.00000008,0.00000006,0.00000007,2.05285808,29684655.82412265
20140808,0.00000006,0.00000008,0.00000006,0.00000006,1.13905001,17949164.81136732
20140809,0.00000006,0.00000007,0.00000006,0.00000006,0.30470798,4862279.02667708
20140810,0.00000006,0.00000006,0.00000005,0.00000005,0.06814400,1163349.29164559
20140811,0.00000005,0.00000007,0.00000005,0.00000006,0.56593532,9441696.63581754
20140812,0.00000005,0.00000009,0.00000005,0.00000007,4.66412679,65287983.46374667
20140813,0.00000007,0.00000008,0.00000007,0.00000008,4.81024780,62675603.43827904
20140814,0.00000009,0.00000009,0.00000008,0.00000008,4.41118000,51598053.41983389
20140815,0.00000008,0.00000018,0.00000008,0.00000016,24.55318494,224464909.55857503
20140816,0.00000016,0.00000021,0.00000011,0.00000014,23.02065983,140992457.94520986
20140817,0.00000016,0.00000020,0.00000014,0.00000016,6.72492139,40075457.41883487
20140818,0.00000018,0.00000020,0.00000016,0.00000019,5.08547545,28497275.30292007
20140819,0.00000018,0.00000023,0.00000018,0.00000019,7.73112520,37752141.45332342
20140820,0.00000019,0.00000020,0.00000015,0.00000019,6.85308809,39652728.49323315
20140821,0.00000019,0.00000021,0.00000019,0.00000019,8.38024545,43004800.67873723
20140822,0.00000019,0.00000021,0.00000017,0.00000017,1.31292661,6923415.02993754
20140823,0.00000017,0.00000019,0.00000015,0.00000017,1.22558951,7311033.33231709
20140824,0.00000017,0.00000017,0.00000016,0.00000016,1.57163431,9679427.53495806
20140825,0.00000016,0.00000017,0.00000015,0.00000016,1.64485585,10149143.21911432
20140826,0.00000016,0.00000020,0.00000015,0.00000017,2.31847314,13728037.70926654
20140827,0.00000016,0.00000016,0.00000015,0.00000015,2.84536118,18483604.62269305
20140828,0.00000015,0.00000016,0.00000014,0.00000015,0.65363339,4398861.13261503
20140829,0.00000014,0.00000016,0.00000014,0.00000015,2.52043064,15927715.09360397
20140830,0.00000015,0.00000048,0.00000015,0.00000022,11.29836651,47506518.34922358
20140831,0.00000031,0.00000031,0.00000020,0.00000025,3.37713687,13262041.52059260
20140901,0.00000027,0.00000033,0.00000020,0.00000029,11.47776414,49284800.91146987
20140902,0.00000032,0.00000033,0.00000027,0.00000030,2.65373375,8964818.84120055
20140903,0.00000030,0.00000030,0.00000026,0.00000026,1.21604412,4193150.68016426
20140904,0.00000026,0.00000048,0.00000024,0.00000035,12.85626779,34578664.05911958
20140905,0.00000041,0.00000047,0.00000037,0.00000039,2.70391062,6604331.71670385
20140906,0.00000040,0.00000041,0.00000036,0.00000039,1.64358553,4421122.29144503
20140907,0.00000037,0.00000038,0.00000032,0.00000032,1.01538475,2934443.19288971
20140908,0.00000033,0.00000035,0.00000031,0.00000031,1.52218781,4892151.21180075
20140909,0.00000033,0.00000034,0.00000030,0.00000031,0.53955275,1645071.51316022
20140910,0.00000032,0.00000033,0.00000030,0.00000031,0.34301696,1089102.07053300
20140911,0.00000031,0.00000033,0.00000030,0.00000031,0.34837567,1089674.96937567
20140912,0.00000030,0.00000031,0.00000030,0.00000030,0.10805356,359815.58351534
