[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170701,1.00000000,1.00000000,0.00014989,0.00019300,1135.66193689,5550034.03368890
20170702,0.00019300,0.00022500,0.00014954,0.00016345,1078.13267456,5756664.86712124
20170703,0.00016200,0.00018800,0.00014988,0.00017500,566.49636491,3316505.54143139
20170704,0.00017518,0.00018500,0.00015234,0.00016403,510.30753908,3051913.68548562
20170705,0.00016341,0.00016900,0.00013483,0.00013604,316.72701255,2153064.10990976
20170706,0.00013602,0.00014500,0.00012121,0.00012319,240.80104646,1779895.37287700
20170707,0.00012311,0.00013990,0.00010210,0.00012102,288.61263308,2406726.13822929
20170708,0.00012102,0.00013489,0.00011500,0.00013399,127.94480795,1012115.61954642
20170709,0.00013200,0.00014900,0.00012279,0.00012734,121.29418833,884628.42033497
20170710,0.00012780,0.00014432,0.00008355,0.00008807,355.48604044,3321880.07350701
20170711,0.00009056,0.00010653,0.00007405,0.00008383,194.39377669,2249420.55998212
20170712,0.00008383,0.00009880,0.00007355,0.00009393,170.35394981,1967089.38149317
20170713,0.00009346,0.00009890,0.00008703,0.00008790,56.11231983,609606.23839569
20170714,0.00008852,0.00009515,0.00007197,0.00008529,125.30925750,1514271.55990809
20170715,0.00008529,0.00008617,0.00005000,0.00006942,161.52857304,2394145.02521072
20170716,0.00006936,0.00008377,0.00006007,0.00007612,73.07463156,1059267.99392522
20170717,0.00007604,0.00008500,0.00007083,0.00007751,68.71264526,880096.59125383
20170718,0.00007751,0.00008669,0.00007105,0.00008036,66.18404925,835267.44540868
20170719,0.00008037,0.00008350,0.00007309,0.00007678,64.24290752,821007.03104372
20170720,0.00007508,0.00008400,0.00007075,0.00007353,77.56428727,1005297.81986852
20170721,0.00007351,0.00008681,0.00007200,0.00007807,109.02875494,1416170.52185459
20170722,0.00007633,0.00008189,0.00006901,0.00007761,170.87164402,2292199.53622353
20170723,0.00007828,0.00008625,0.00007357,0.00008090,77.59288734,975458.77022651
20170724,0.00008095,0.00012222,0.00007500,0.00010500,452.32375936,4540818.36653932
20170725,0.00010500,0.00010638,0.00008735,0.00008952,226.32574018,2380946.35848518
20170726,0.00008922,0.00010012,0.00007500,0.00008300,108.15441490,1231741.65950232
20170727,0.00008300,0.00009600,0.00008008,0.00008434,182.16600002,2098956.47514090
20170728,0.00008453,0.00008581,0.00006876,0.00007078,165.11675406,2166129.48556545
20170729,0.00007149,0.00008072,0.00005998,0.00007300,246.99528621,3737665.81658500
20170730,0.00007299,0.00007997,0.00006800,0.00007150,91.40258286,1252268.75240831
20170731,0.00007100,0.00007380,0.00006400,0.00006985,77.24129484,1130334.50681992
20170801,0.00006982,0.00012527,0.00006750,0.00009950,422.58859090,4333483.73921776
20170802,0.00009949,0.00012849,0.00009000,0.00011083,380.28587622,3392882.03496838
