[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150410,0.00000091,0.00000110,0.00000074,0.00000075,1.20934610,1602124.47851500
20150411,0.00000073,0.00000080,0.00000068,0.00000071,2.42609156,3291883.89939713
20150412,0.00000077,0.00000080,0.00000062,0.00000062,1.70603469,2418261.04790160
20150413,0.00000067,0.00000072,0.00000055,0.00000062,1.05472116,1737941.73563964
20150414,0.00000062,0.00000080,0.00000062,0.00000070,0.90789416,1235690.33779830
20150415,0.00000070,0.00000082,0.00000068,0.00000070,1.62247924,2283382.82203593
20150416,0.00000069,0.00000096,0.00000068,0.00000068,2.77852692,3627691.26291621
20150417,0.00000074,0.00000076,0.00000071,0.00000074,1.26976829,1754914.21226802
20150418,0.00000074,0.00000079,0.00000065,0.00000066,1.61445115,2253662.83739733
20150419,0.00000066,0.00000076,0.00000063,0.00000069,0.87672791,1319019.99745693
20150420,0.00000065,0.00000065,0.00000060,0.00000060,1.86698398,3024680.50557857
20150421,0.00000061,0.00000062,0.00000058,0.00000062,0.31532316,517842.42273413
20150422,0.00000064,0.00000064,0.00000058,0.00000064,0.16739128,280988.76183121
20150423,0.00000059,0.00000103,0.00000058,0.00000059,0.94321083,1331070.17248423
20150424,0.00000061,0.00000094,0.00000058,0.00000094,0.28564595,422549.66017887
20150425,0.00000061,0.00000065,0.00000058,0.00000063,0.21071389,336374.38524591
20150426,0.00000063,0.00000064,0.00000060,0.00000064,0.16983610,271503.59690858
20150427,0.00000062,0.00000075,0.00000062,0.00000070,0.39493212,587707.21006926
20150428,0.00000069,0.00000083,0.00000065,0.00000072,1.77631550,2525719.49866815
20150429,0.00000069,0.00000071,0.00000065,0.00000070,0.23743645,360370.06224077
20150430,0.00000070,0.00000071,0.00000064,0.00000069,0.73358814,1045408.35267964
20150501,0.00000070,0.00000070,0.00000069,0.00000069,0.04534373,65135.86073007
20150502,0.00000066,0.00000072,0.00000066,0.00000067,0.13543299,195321.21161905
20150503,0.00000069,0.00000075,0.00000061,0.00000061,0.44104633,672528.87362302
20150504,0.00000064,0.00000064,0.00000060,0.00000060,0.09842823,162641.24104610
20150505,0.00000062,0.00000063,0.00000061,0.00000061,0.11443557,182028.54917369
20150506,0.00000060,0.00000065,0.00000059,0.00000065,0.01251999,21000.00000000
20150507,0.00000065,0.00000065,0.00000063,0.00000065,0.02307855,35582.07276310
20150508,0.00000064,0.00000065,0.00000056,0.00000063,1.93533649,3205369.09104818
20150509,0.00000062,0.00000065,0.00000062,0.00000065,0.00391439,6275.99361538
20150511,0.00000064,0.00000065,0.00000061,0.00000064,0.12843899,205394.49208685
20150512,0.00000065,0.00000073,0.00000063,0.00000063,0.23848596,349469.62076687
20150513,0.00000063,0.00000071,0.00000063,0.00000071,0.11287039,159886.92514994
20150514,0.00000070,0.00000080,0.00000070,0.00000070,0.47248104,641805.35952300
20150515,0.00000067,0.00000072,0.00000060,0.00000072,0.79568442,1212127.87251951
20150516,0.00000070,0.00000074,0.00000070,0.00000074,0.18460430,255622.04997696
20150517,0.00000073,0.00000073,0.00000073,0.00000073,0.04748308,65045.32160959
20150518,0.00000070,0.00000080,0.00000067,0.00000080,2.96695039,3914178.66287878
20150519,0.00000075,0.00000078,0.00000063,0.00000071,1.58828559,2173261.69715958
20150520,0.00000076,0.00000076,0.00000072,0.00000072,0.17546507,231980.37187500
20150521,0.00000071,0.00000078,0.00000070,0.00000078,2.14910036,3055538.43518598
20150522,0.00000070,0.00000074,0.00000066,0.00000070,0.24406164,361656.49033564
20150523,0.00000070,0.00000077,0.00000060,0.00000068,1.37164624,2051842.10348174
20150524,0.00000070,0.00000074,0.00000070,0.00000071,0.58505523,817716.14327771
20150525,0.00000075,0.00000077,0.00000074,0.00000075,0.59844182,792607.46004349
20150526,0.00000076,0.00000079,0.00000075,0.00000076,0.43024910,565054.66440895
20150527,0.00000079,0.00000090,0.00000079,0.00000080,2.36935245,2859760.78078791
20150528,0.00000082,0.00000083,0.00000081,0.00000083,0.15762011,193201.09650740
20150529,0.00000082,0.00000082,0.00000078,0.00000078,2.71325962,3369764.98713793
20150530,0.00000081,0.00000081,0.00000078,0.00000078,0.50576210,646936.73185828
