[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151118,0.00002000,0.00002000,0.00000579,0.00000579,0.19465521,29902.52884702
20151119,0.00000580,0.00000583,0.00000536,0.00000580,0.14569020,25841.02597268
20151120,0.00000557,0.00000557,0.00000541,0.00000550,0.02760449,5011.58710776
20151121,0.00000578,0.00000594,0.00000578,0.00000579,0.08957234,15290.74236532
20151123,0.00000559,0.00000559,0.00000543,0.00000543,0.07460953,13630.87983853
20151124,0.00000550,0.00000550,0.00000500,0.00000546,0.04701434,9040.77040307
20151126,0.00000513,0.00000513,0.00000510,0.00000510,0.05101241,10000.00000000
20151127,0.00000594,0.00000598,0.00000500,0.00000501,0.70489582,138796.88423829
20151128,0.00000506,0.00000513,0.00000483,0.00000483,0.06593842,12934.86612624
20151129,0.00000484,0.00000484,0.00000473,0.00000473,0.00360278,750.00000000
20151201,0.00000456,0.00000456,0.00000450,0.00000450,0.36053686,80117.47171259
20151202,0.00000465,0.00000491,0.00000456,0.00000463,0.08296657,17802.46391905
20151203,0.00000457,0.00000457,0.00000454,0.00000454,0.01687226,3711.47612293
20151204,0.00000467,0.00000467,0.00000467,0.00000467,0.01001896,2145.38837275
20151205,0.00000464,0.00000464,0.00000464,0.00000464,0.04454399,9600.00000000
20151206,0.00000484,0.00000490,0.00000484,0.00000490,0.00936176,1920.14882143
20151208,0.00000480,0.00000569,0.00000480,0.00000547,0.17323527,32103.38694603
20151209,0.00000547,0.00000577,0.00000543,0.00000543,0.03933980,7088.10657892
20151210,0.00000551,0.00000551,0.00000492,0.00000492,0.28425078,55047.29799092
20151212,0.00000493,0.00000536,0.00000493,0.00000536,0.00304585,593.37292444
20151213,0.00000470,0.00000478,0.00000409,0.00000478,0.19604556,42077.75281089
20151214,0.00000478,0.00000478,0.00000478,0.00000478,0.00039278,82.17155958
20151215,0.00000457,0.00000457,0.00000409,0.00000409,0.34820049,84651.52472061
20151216,0.00000415,0.00000433,0.00000409,0.00000409,0.17163746,40468.40096880
20151217,0.00000409,0.00000409,0.00000409,0.00000409,0.00122700,300.00000000
20151218,0.00000417,0.00000433,0.00000417,0.00000433,0.00294615,694.24848152
20151219,0.00000410,0.00000410,0.00000376,0.00000376,0.03427956,8904.99539301
20151220,0.00000411,0.00000430,0.00000411,0.00000430,0.17562522,40973.48862209
20151221,0.00000390,0.00000390,0.00000390,0.00000390,0.00256000,656.41693499
20151222,0.00000390,0.00000392,0.00000390,0.00000392,0.00485555,1243.99999999
20151223,0.00000392,0.00000413,0.00000392,0.00000412,0.00220454,535.51876166
20151224,0.00000402,0.00000406,0.00000368,0.00000368,0.00689579,1726.26290287
20151225,0.00000404,0.00000408,0.00000404,0.00000408,0.00072317,179.00000000
20151228,0.00000389,0.00000500,0.00000001,0.00000500,1.02879380,331948.52096631
20151229,0.00000414,0.00000425,0.00000414,0.00000421,0.00964490,2289.37381760
20151230,0.00000415,0.00000436,0.00000413,0.00000436,0.02071210,4918.99141450
20151231,0.00000408,0.00000408,0.00000300,0.00000384,0.32518852,104328.62484533
20160101,0.00000390,0.00000390,0.00000386,0.00000386,0.02316859,6000.00000000
20160102,0.00000386,0.00000421,0.00000380,0.00000418,0.02207195,5514.00000000
20160103,0.00000383,0.00000400,0.00000378,0.00000400,0.23093896,57950.48071740
20160105,0.00000399,0.00000399,0.00000391,0.00000391,0.00197500,500.00000000
20160106,0.00000389,0.00000389,0.00000308,0.00000308,0.02694344,7253.64919152
20160107,0.00000377,0.00000386,0.00000310,0.00000386,0.01719448,4807.30000114
20160109,0.00000383,0.00000385,0.00000383,0.00000385,0.03321320,8645.14655031
20160110,0.00000394,0.00000397,0.00000394,0.00000397,0.00303628,766.49483436
20160111,0.00000396,0.00000396,0.00000359,0.00000396,0.14519354,37737.27443379
20160113,0.00000396,0.00000400,0.00000396,0.00000400,0.53043739,133131.57471792
20160114,0.00000400,0.00000550,0.00000400,0.00000411,0.27040061,60927.33563857
20160115,0.00000490,0.00000490,0.00000402,0.00000415,0.49670727,120282.73905503
20160116,0.00000436,0.00000443,0.00000419,0.00000419,0.26935292,62234.17773616
20160117,0.00000443,0.00000750,0.00000372,0.00000731,0.64357437,134453.41453349
20160118,0.00000451,0.00000678,0.00000425,0.00000524,2.70153843,522441.05995718
20160119,0.00000448,0.00000489,0.00000376,0.00000489,1.03716631,244868.28990622
20160120,0.00000463,0.00000469,0.00000381,0.00000405,0.29999057,68316.37832266
20160121,0.00000411,0.00000489,0.00000408,0.00000489,0.17380667,39590.51294479
20160122,0.00000424,0.00000429,0.00000424,0.00000427,0.01170970,2748.58227562
20160123,0.00000424,0.00000424,0.00000422,0.00000422,0.03982995,9419.36137593
20160124,0.00000447,0.00000651,0.00000401,0.00000439,0.54871447,124022.61377852
20160125,0.00000409,0.00000416,0.00000396,0.00000414,0.14417924,35688.25595901
20160126,0.00000415,0.00000467,0.00000413,0.00000463,1.51522586,347097.44075199
20160127,0.00000465,0.00000500,0.00000436,0.00000472,0.96071733,199383.62797817
20160128,0.00000496,0.00000502,0.00000467,0.00000467,0.12158552,25530.80863933
20160129,0.00000488,0.00000499,0.00000479,0.00000479,0.43768198,91358.14379525
20160130,0.00000485,0.00000485,0.00000445,0.00000445,0.06303890,13899.30337079
20160201,0.00000459,0.00000459,0.00000445,0.00000445,0.07932147,17792.88988765
20160202,0.00000468,0.00000468,0.00000468,0.00000468,0.00222724,475.90767628
20160203,0.00000463,0.00000463,0.00000463,0.00000463,0.00463000,1000.00000000
20160204,0.00000464,0.00000475,0.00000432,0.00000475,0.18326264,41622.96941426
20160205,0.00000472,0.00000475,0.00000469,0.00000469,0.01385034,2924.65277535
20160206,0.00000432,0.00000432,0.00000432,0.00000432,0.00149113,345.17210904
20160207,0.00000454,0.00000457,0.00000454,0.00000457,0.00217558,478.10813245
20160208,0.00000457,0.00000457,0.00000457,0.00000457,0.00106665,233.40408643
20160209,0.00000446,0.00000501,0.00000435,0.00000498,0.22226061,45905.88573816
20160210,0.00000462,0.00000465,0.00000435,0.00000435,0.10566696,23756.75253735
20160212,0.00000489,0.00000699,0.00000489,0.00000602,1.28474563,227546.16656545
