[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140604,0.00032001,0.00350000,0.00029001,0.00350000,7.24689107,3656.53656943
20140605,0.00277114,0.00349500,0.00250100,0.00250100,5.09827305,1883.39834086
20140606,0.00211000,0.00248000,0.00102010,0.00170006,2.00166461,1068.06346536
20140607,0.00161000,0.00240020,0.00160020,0.00202860,2.12730914,995.20170322
20140608,0.00234500,0.00239980,0.00185000,0.00230000,4.34140290,2088.75837618
20140609,0.00185001,0.00310000,0.00185000,0.00234000,3.82486584,1763.38698470
20140610,0.00224980,0.00398800,0.00200000,0.00265001,5.16530891,1764.32836953
20140611,0.00265001,0.00315000,0.00265001,0.00266000,3.09357887,1073.09428709
20140612,0.00266000,0.00310000,0.00236100,0.00305000,3.02611590,1073.58416282
20140613,0.00286001,0.00339990,0.00274001,0.00337776,7.72073654,2565.67452728
20140614,0.00339988,0.00500000,0.00310004,0.00435630,24.48205418,5907.54760567
20140615,0.00400000,0.00499000,0.00400000,0.00439503,13.16691017,2826.82887963
20140616,0.00477899,0.00700000,0.00439504,0.00560089,55.24742520,9625.15219219
20140617,0.00555028,0.00587409,0.00458065,0.00460001,46.20753893,8846.67793191
20140618,0.00460001,0.00534994,0.00410000,0.00442000,33.53830355,7257.18390428
20140619,0.00441700,0.00600000,0.00441700,0.00535000,74.09678252,13536.22467545
20140620,0.00534999,0.00759999,0.00512000,0.00755000,102.08748067,15812.85394734
20140621,0.00754000,0.00999000,0.00710000,0.00843000,189.96717163,22181.04854320
20140622,0.00810100,0.00842000,0.00667000,0.00710057,126.03282383,16658.59735481
20140623,0.00712351,0.00879998,0.00585002,0.00649998,196.90641042,27008.75705182
20140624,0.00635143,0.00690000,0.00470000,0.00535004,78.81516939,13938.63685890
20140625,0.00537100,0.00598022,0.00446069,0.00560006,50.53655142,9884.04729560
20140626,0.00565000,0.00594880,0.00490000,0.00502980,19.36604168,3764.05833746
20140627,0.00503000,0.00510011,0.00350000,0.00359000,45.97499204,11280.82186069
20140628,0.00381492,0.00470000,0.00350000,0.00425010,36.78511820,8892.49871813
20140629,0.00430001,0.00470000,0.00370088,0.00421000,44.50331578,10290.11601908
20140630,0.00420000,0.00439800,0.00378010,0.00394990,22.91925325,5708.23798124
20140701,0.00394990,0.00409999,0.00315001,0.00361000,18.04086989,4978.65567026
20140702,0.00361000,0.00380000,0.00320033,0.00350001,23.24276084,6519.38729652
20140703,0.00350000,0.00434987,0.00333210,0.00400008,24.61396857,6346.56716964
20140704,0.00410999,0.00438000,0.00400000,0.00420000,21.08018438,5052.13635710
20140705,0.00416000,0.00420000,0.00386602,0.00386602,11.26375941,2839.72047218
20140706,0.00396000,0.00396000,0.00351052,0.00355005,13.69546463,3715.90400735
20140707,0.00360000,0.00380000,0.00305456,0.00310010,11.05605441,3240.57775276
20140708,0.00310010,0.00380000,0.00302000,0.00350001,13.81594130,4048.56458545
20140709,0.00351006,0.00367777,0.00325000,0.00326001,5.77164121,1715.04337779
20140710,0.00326001,0.00337000,0.00200005,0.00293001,16.35235849,5618.21149877
20140711,0.00293001,0.00310000,0.00260000,0.00270000,10.64615874,3714.00409394
20140712,0.00274002,0.00298500,0.00274002,0.00275500,7.07410762,2479.44466052
20140713,0.00275500,0.00309000,0.00225012,0.00277501,15.17459173,5922.88843079
20140714,0.00281664,0.00319999,0.00250016,0.00310007,11.35671238,4092.63556364
20140715,0.00300000,0.00350000,0.00280000,0.00350000,18.61077344,5924.23457305
20140716,0.00350000,0.00455000,0.00328000,0.00439997,32.33399792,8378.55949316
20140717,0.00430000,0.00575000,0.00426000,0.00490000,59.03005665,11792.41806067
20140718,0.00494000,0.00523344,0.00380000,0.00406501,30.87213143,7227.73651814
20140719,0.00406900,0.00484993,0.00406500,0.00450000,22.41141691,5132.84526010
20140720,0.00449999,0.00454999,0.00415002,0.00438989,7.91060890,1838.19988099
20140721,0.00438989,0.00520000,0.00410001,0.00481002,25.33784738,5342.21048004
20140722,0.00481000,0.00520000,0.00470000,0.00519999,34.69405044,6932.86909288
20140723,0.00510001,0.00514500,0.00449999,0.00465000,45.14587558,9280.89193199
20140724,0.00465000,0.00471000,0.00380000,0.00400000,18.92252977,4309.52624907
20140725,0.00399000,0.00450000,0.00390000,0.00450000,9.10660315,2164.45730037
20140726,0.00445000,0.00454996,0.00420000,0.00432003,8.13478818,1837.05624240
20140727,0.00432003,0.00440013,0.00402021,0.00430000,6.13327608,1480.49436470
20140728,0.00430000,0.00454997,0.00405004,0.00454997,19.56619404,4566.66251341
20140729,0.00445551,0.00481998,0.00426007,0.00451003,18.87533757,4095.89978414
20140730,0.00452002,0.00452002,0.00416005,0.00444970,10.69169792,2443.78359710
