[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141222,0.00007401,0.00008800,0.00007401,0.00007539,0.06988988,888.02131049
20141223,0.00007724,0.00007725,0.00006750,0.00006750,2.59082182,35750.08321558
20141224,0.00006800,0.00007447,0.00006800,0.00006957,0.69725367,10077.66046761
20141225,0.00006961,0.00007897,0.00006961,0.00007501,5.95129275,78092.27577889
20141226,0.00007511,0.00007898,0.00007501,0.00007501,1.09657807,14403.98997228
20141227,0.00007720,0.00007920,0.00007597,0.00007700,0.72544427,9347.51942700
20141228,0.00007596,0.00007698,0.00007301,0.00007698,0.36478173,4828.08563595
20141229,0.00007633,0.00007633,0.00007001,0.00007420,0.33369031,4551.59082386
20141230,0.00007536,0.00007695,0.00007401,0.00007514,0.21541830,2856.63395941
20141231,0.00007501,0.00007787,0.00007400,0.00007637,2.69202487,35629.27399521
20150101,0.00007511,0.00007829,0.00007402,0.00007725,0.35771268,4723.52295168
20150102,0.00007725,0.00007820,0.00007401,0.00007728,5.36449773,70601.33178512
20150103,0.00007814,0.00007814,0.00007000,0.00007513,2.28094373,31472.24150377
20150104,0.00007299,0.00007405,0.00006684,0.00006684,3.19198643,45389.28564079
20150105,0.00006769,0.00007587,0.00006769,0.00007500,4.72987712,63487.97165167
20150106,0.00007575,0.00007658,0.00007246,0.00007390,0.96099914,12745.67200371
20150107,0.00007396,0.00007570,0.00007120,0.00007265,2.85121246,39426.44121041
20150108,0.00007234,0.00007395,0.00007160,0.00007395,0.59736321,8329.41692973
20150109,0.00007347,0.00007347,0.00007074,0.00007140,2.40220117,33365.06216525
20150110,0.00007133,0.00007148,0.00006751,0.00007148,0.97458698,13857.21058283
20150111,0.00006930,0.00007015,0.00006919,0.00007015,0.16402452,2365.91816243
20150112,0.00007030,0.00007030,0.00006607,0.00006726,3.08541163,45286.64214478
20150113,0.00006700,0.00006734,0.00006327,0.00006327,3.62974676,55600.17523260
20150114,0.00006635,0.00008167,0.00006106,0.00008159,15.85296583,212871.13828257
20150115,0.00008167,0.00008475,0.00007608,0.00008121,11.88518672,147257.54991826
20150116,0.00007870,0.00008081,0.00007700,0.00007866,2.95062332,37957.56226466
20150117,0.00007766,0.00007925,0.00007497,0.00007602,6.92465018,91100.48939848
20150118,0.00007600,0.00007683,0.00007300,0.00007683,6.81927218,90366.58561556
20150119,0.00007491,0.00007831,0.00007491,0.00007588,3.13264519,40661.00312208
20150120,0.00007724,0.00008003,0.00007582,0.00007975,13.96102997,177691.11248620
20150121,0.00007875,0.00009500,0.00007469,0.00007477,12.04971588,153949.62043650
20150122,0.00007460,0.00007569,0.00007260,0.00007351,2.91548838,39666.29692392
20150123,0.00007345,0.00007499,0.00007100,0.00007150,7.14749871,98587.99115874
20150124,0.00007150,0.00007250,0.00006493,0.00006759,13.59063499,200717.16727799
20150125,0.00006763,0.00006869,0.00006479,0.00006525,6.12511320,92017.51309816
20150126,0.00006525,0.00006525,0.00005219,0.00006050,11.82634804,195622.07003963
20150127,0.00005980,0.00006843,0.00005845,0.00005950,10.31778411,166804.31301984
20150128,0.00005950,0.00006466,0.00005840,0.00006182,18.53466208,308010.94257857
20150129,0.00006320,0.00006500,0.00006040,0.00006169,6.97159444,111056.85248712
20150130,0.00006168,0.00006319,0.00006103,0.00006217,4.80043406,77802.93965030
20150131,0.00006268,0.00006493,0.00006187,0.00006493,3.02673021,48026.91890331
20150201,0.00006493,0.00006632,0.00006142,0.00006214,5.03670597,79817.64636014
20150202,0.00006213,0.00006250,0.00005775,0.00005775,10.14466127,168432.88508610
20150203,0.00005734,0.00006039,0.00005460,0.00005831,13.16350530,234664.86263717
20150204,0.00005751,0.00006087,0.00005700,0.00005923,3.18270002,54170.47663599
20150205,0.00005923,0.00007291,0.00005923,0.00007282,14.61021494,224496.67177516
20150206,0.00007250,0.00007500,0.00006200,0.00006481,19.79283884,289012.64389066
20150207,0.00006536,0.00006633,0.00006229,0.00006562,3.88794787,60148.97874556
20150208,0.00006563,0.00006700,0.00006400,0.00006400,2.64601509,40544.80353487
20150209,0.00006400,0.00006436,0.00006200,0.00006275,8.96061637,142924.59106212
20150210,0.00006206,0.00006324,0.00005996,0.00006146,2.49254768,40342.19060285
20150211,0.00006287,0.00006398,0.00005999,0.00006299,11.18468701,182002.31916925
20150212,0.00006291,0.00006399,0.00006208,0.00006386,3.30997551,52527.09216857
20150213,0.00006292,0.00006389,0.00006178,0.00006211,9.03163683,144393.35586829
20150214,0.00006355,0.00006355,0.00005562,0.00005763,9.72374616,164640.84148204
20150215,0.00005763,0.00005932,0.00005425,0.00005897,6.01039029,107197.29673482
20150216,0.00005824,0.00006018,0.00005751,0.00005833,1.96515642,33214.92563482
20150217,0.00005898,0.00005898,0.00005633,0.00005682,1.74643218,30378.74634979
20150218,0.00005693,0.00005936,0.00005631,0.00005850,1.72818092,29475.06473840
20150219,0.00005818,0.00005935,0.00005684,0.00005793,2.60605229,44931.27869608
20150220,0.00005710,0.00005710,0.00005410,0.00005412,2.67784017,48305.56113065
20150221,0.00005500,0.00005577,0.00005399,0.00005399,4.11287158,75114.68847848
20150222,0.00005401,0.00005747,0.00005400,0.00005620,1.69505691,30303.88731823
20150223,0.00005489,0.00005746,0.00005489,0.00005700,2.04450487,36121.21143982
20150224,0.00005602,0.00005678,0.00005460,0.00005523,7.09160465,128656.41667413
20150225,0.00005460,0.00005620,0.00005450,0.00005574,1.89169288,34353.90355308
20150226,0.00005600,0.00005900,0.00005300,0.00005534,85.12819527,1571558.86641182
20150227,0.00005532,0.00005692,0.00005024,0.00005213,66.19491354,1278326.91958542
20150228,0.00005162,0.00005300,0.00004900,0.00005001,51.97689278,1051654.76163299
20150301,0.00004923,0.00005100,0.00004200,0.00004500,25.23808283,519789.72191611
20150302,0.00004613,0.00004792,0.00004200,0.00004205,13.02375860,292174.12442602
20150303,0.00004258,0.00004300,0.00003084,0.00003084,12.59757053,350450.91095332
20150304,0.00003099,0.00003976,0.00003092,0.00003799,27.98235550,782464.99574633
20150305,0.00003800,0.00004550,0.00003800,0.00004004,20.64833264,491249.59170298
20150306,0.00004149,0.00004299,0.00003500,0.00003976,7.53106791,193063.34412076
20150307,0.00003997,0.00004084,0.00003600,0.00003600,4.99849218,130753.88225040
20150308,0.00003638,0.00003815,0.00003620,0.00003773,5.10767091,137280.30945454
20150309,0.00003710,0.00003904,0.00003550,0.00003600,6.98597732,186559.92361526
20150310,0.00003600,0.00003639,0.00003392,0.00003469,5.94645860,171820.94886159
20150311,0.00003472,0.00003610,0.00003405,0.00003486,2.82541357,80079.76164054
20150312,0.00003444,0.00003649,0.00003424,0.00003649,6.60506736,188810.20515892
20150313,0.00003622,0.00003894,0.00003531,0.00003550,19.59973633,549937.21210454
20150314,0.00003713,0.00004100,0.00003650,0.00004050,6.94126831,180253.62196198
20150315,0.00004038,0.00004078,0.00003681,0.00003761,1.59896538,40988.10240734
20150316,0.00003747,0.00003955,0.00003747,0.00003830,6.65382785,173076.69767971
20150317,0.00003879,0.00003956,0.00003706,0.00003718,8.04355181,209321.37716026
20150318,0.00003812,0.00004083,0.00003705,0.00003940,8.39567513,217256.32175428
20150319,0.00003947,0.00004085,0.00003792,0.00003847,10.52993989,272195.47598812
20150320,0.00003810,0.00003958,0.00003780,0.00003828,6.71897714,173450.08939660
20150321,0.00003844,0.00003993,0.00003729,0.00003769,2.48989988,65018.36059655
20150322,0.00003795,0.00003795,0.00003756,0.00003780,1.59007430,42103.06366808
20150323,0.00003741,0.00003741,0.00003600,0.00003603,2.52342049,69068.36918537
20150324,0.00003620,0.00003861,0.00003555,0.00003750,9.19735426,249329.55711450
20150325,0.00003713,0.00003792,0.00003501,0.00003653,12.39174086,340521.88182198
