[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140709,0.00010000,0.00010000,0.00000354,0.00000513,6.81894388,1257324.49888928
20140710,0.00000542,0.00001030,0.00000389,0.00000931,106.99054290,14959205.79123587
20140711,0.00000930,0.00001131,0.00000710,0.00000733,75.33451684,8245092.11168149
20140712,0.00000733,0.00002900,0.00000705,0.00001345,193.13050774,14638260.32194558
20140713,0.00001344,0.00002190,0.00001300,0.00001950,178.69443271,10884359.80334441
20140714,0.00001975,0.00002119,0.00001104,0.00001332,75.47838680,4965649.18009351
20140715,0.00001261,0.00001395,0.00000699,0.00001048,44.70446788,4552627.43360343
20140716,0.00001129,0.00001230,0.00000850,0.00000880,20.01165789,2110837.91097016
20140717,0.00000880,0.00001020,0.00000732,0.00000855,13.48444516,1608337.26044564
20140718,0.00000889,0.00000900,0.00000732,0.00000790,5.15722059,669247.27875470
20140719,0.00000790,0.00000810,0.00000230,0.00000456,21.09717749,3609082.74692533
20140720,0.00000461,0.00000533,0.00000335,0.00000450,4.30466493,1111822.88566670
20140721,0.00000422,0.00000700,0.00000305,0.00000660,6.28768155,1389911.73570741
20140722,0.00000546,0.00000549,0.00000305,0.00000336,1.64080338,386827.47840893
20140723,0.00000343,0.00000407,0.00000308,0.00000378,1.79571009,542079.48764864
20140724,0.00000361,0.00000450,0.00000361,0.00000395,1.03049261,250080.93903457
20140725,0.00000395,0.00000621,0.00000300,0.00000600,1.66479982,382887.77880138
20140726,0.00000552,0.00000747,0.00000455,0.00000621,4.08285091,629301.06278342
20140727,0.00000542,0.00000799,0.00000453,0.00000479,5.20343413,827275.40600356
20140728,0.00000500,0.00001000,0.00000479,0.00000999,6.79357639,958766.67906182
20140729,0.00000999,0.00001509,0.00000734,0.00001151,37.36761868,3145570.98103873
20140730,0.00001216,0.00001249,0.00000833,0.00001100,29.44542626,2927765.55678871
20140731,0.00001100,0.00001299,0.00000963,0.00001080,10.09313670,896894.18686428
20140801,0.00001079,0.00001210,0.00000962,0.00001137,4.13630299,404375.56380435
20140802,0.00001029,0.00001109,0.00000806,0.00000896,12.74909219,1318834.64282522
20140803,0.00000998,0.00001095,0.00000936,0.00001060,2.30188082,225185.60110713
20140804,0.00001050,0.00001081,0.00000901,0.00000905,2.70965289,272830.72762463
20140805,0.00000905,0.00001055,0.00000905,0.00001049,4.48201675,445296.68802796
20140806,0.00000968,0.00001049,0.00000745,0.00000816,13.29690564,1565377.58425781
20140807,0.00000817,0.00000892,0.00000817,0.00000858,1.80151405,214597.13483327
20140808,0.00000826,0.00000999,0.00000801,0.00000999,3.92779131,481696.30842775
20140809,0.00000865,0.00000960,0.00000802,0.00000948,0.81314008,100981.16906675
20140810,0.00000839,0.00001049,0.00000810,0.00001048,2.82365981,323894.82078398
20140811,0.00000977,0.00001048,0.00000856,0.00001007,1.25120552,137010.36572109
20140812,0.00001001,0.00001190,0.00000870,0.00001054,5.97597546,585426.83430901
20140813,0.00001190,0.00001190,0.00000935,0.00001091,3.12303560,298363.85357080
20140814,0.00001078,0.00001175,0.00000854,0.00001158,0.86817897,85901.81025650
20140815,0.00000975,0.00001121,0.00000855,0.00001034,0.55366536,57556.88891036
20140816,0.00000988,0.00001050,0.00000902,0.00001017,1.25735490,129555.61780714
20140817,0.00001017,0.00001150,0.00000996,0.00001139,2.08477426,195143.63276783
20140818,0.00001069,0.00001141,0.00000741,0.00000969,4.82874821,553503.44633089
20140819,0.00000949,0.00000997,0.00000626,0.00000963,0.71805027,83903.73165194
20140820,0.00000800,0.00001250,0.00000800,0.00001146,2.58384794,231373.04728502
20140821,0.00001063,0.00001200,0.00000977,0.00001048,2.78719070,265929.50608068
20140822,0.00001042,0.00001100,0.00000901,0.00001050,0.77864222,75409.13330270
