[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160312,0.00500000,0.00500000,0.00004500,0.00020911,4.78541861,21632.99241185
20160313,0.00022172,0.00024400,0.00021000,0.00021000,8.79029175,39677.40124028
20160314,0.00021009,0.00021009,0.00019000,0.00019644,5.88042627,29084.67279669
20160315,0.00019752,0.00020872,0.00018555,0.00018832,3.58654111,18614.51516980
20160316,0.00019001,0.00028999,0.00018834,0.00027801,16.56941080,70296.01538754
20160317,0.00028969,0.00054499,0.00026000,0.00038044,92.34498360,251633.91871237
20160318,0.00040123,0.00041457,0.00026000,0.00031579,51.89322110,154477.03514585
20160319,0.00028204,0.00034242,0.00026746,0.00028901,12.45441397,42980.11067260
20160320,0.00028358,0.00029694,0.00025570,0.00026950,6.73683369,24667.58313241
20160321,0.00025938,0.00037631,0.00025938,0.00026502,18.55362166,60401.00492866
20160322,0.00030950,0.00033000,0.00029026,0.00030704,6.19466961,19775.09176949
20160323,0.00030689,0.00030996,0.00028320,0.00029989,2.22803427,7457.80982308
20160324,0.00029989,0.00031758,0.00028370,0.00028946,3.95590427,13473.42548547
20160325,0.00028946,0.00031200,0.00027443,0.00029000,12.31466383,42409.02626035
20160326,0.00029580,0.00032999,0.00028299,0.00029001,4.79386276,15738.79307548
20160327,0.00030181,0.00032021,0.00027002,0.00027023,12.01024750,41292.71976724
20160328,0.00028340,0.00028896,0.00027022,0.00028896,5.44538631,19694.83631321
20160329,0.00029395,0.00036945,0.00029394,0.00033155,18.28715641,54425.23475269
20160330,0.00033154,0.00035040,0.00032948,0.00034000,5.41070549,15751.76041580
20160331,0.00035007,0.00041500,0.00033165,0.00038375,26.17602677,67983.55489873
20160401,0.00037942,0.00038907,0.00034405,0.00034405,4.02789811,11080.15087844
20160402,0.00034445,0.00034799,0.00030620,0.00032487,18.11476308,57131.54403662
20160403,0.00031538,0.00032995,0.00029531,0.00030988,4.77745125,15532.21319105
20160404,0.00030987,0.00034259,0.00030116,0.00030200,4.93763594,15222.63987692
20160405,0.00030160,0.00031134,0.00027500,0.00027997,15.19886024,52628.33862663
20160406,0.00028165,0.00028626,0.00027027,0.00028240,1.85257529,6679.69425563
20160407,0.00028240,0.00028995,0.00027501,0.00027501,2.91502754,10284.25553381
20160408,0.00027502,0.00028139,0.00026502,0.00026507,2.00354990,7403.68966977
20160409,0.00026593,0.00027998,0.00025503,0.00026075,1.43341291,5426.10212055
20160410,0.00026500,0.00026500,0.00019024,0.00022497,15.91347665,71093.74289168
20160411,0.00022486,0.00023941,0.00021637,0.00021660,1.75292575,7865.18204588
20160412,0.00021660,0.00021660,0.00020101,0.00021302,2.00312691,9575.38557547
20160413,0.00021301,0.00024000,0.00021301,0.00023951,2.77798482,12141.94539906
20160414,0.00023372,0.00024002,0.00022001,0.00023139,3.15839920,13733.19795778
20160415,0.00022723,0.00022723,0.00020022,0.00020800,3.03420904,13931.13085866
20160416,0.00020800,0.00021248,0.00017778,0.00019995,3.11909763,16238.35182551
20160417,0.00019965,0.00021900,0.00019688,0.00021488,1.68006385,8045.22445772
20160418,0.00021488,0.00021814,0.00019008,0.00020449,3.19353995,15567.89283879
20160419,0.00020449,0.00022159,0.00019206,0.00021999,2.04309021,9820.45465072
20160420,0.00020834,0.00023000,0.00019910,0.00019910,1.95118921,9317.11105736
20160421,0.00020322,0.00020838,0.00018100,0.00018100,5.06747197,26466.26055485
20160422,0.00018368,0.00019431,0.00017650,0.00018313,2.20830300,12073.80713357
20160423,0.00017681,0.00018141,0.00017303,0.00017303,0.46891839,2662.41956629
20160424,0.00017721,0.00018308,0.00016081,0.00016419,3.12753188,18251.60021763
20160425,0.00016416,0.00017000,0.00013974,0.00014109,1.85406297,12347.24262560
20160426,0.00014101,0.00018384,0.00014101,0.00018276,3.22318845,19097.04463860
20160427,0.00017080,0.00019063,0.00016455,0.00017980,0.94451449,5302.56574007
20160428,0.00018082,0.00019253,0.00015533,0.00016819,2.59408647,15083.83345570
20160429,0.00016727,0.00016727,0.00015595,0.00016020,1.89557357,11565.55579843
20160430,0.00016287,0.00016836,0.00015255,0.00016654,1.81344720,11008.66593527
20160501,0.00016654,0.00017000,0.00015005,0.00015995,1.53635579,9501.26290611
20160502,0.00015901,0.00017954,0.00015438,0.00017183,3.15550643,19256.52790207
20160503,0.00017183,0.00018100,0.00016726,0.00016913,2.26014602,12842.00524781
20160504,0.00016913,0.00025000,0.00016730,0.00021233,6.65448937,30965.78641765
20160505,0.00023000,0.00024800,0.00022147,0.00023535,4.15049541,17804.96725662
20160506,0.00023032,0.00023201,0.00020034,0.00020406,3.32900906,15688.94215379
20160507,0.00020006,0.00020545,0.00018166,0.00018881,1.49876491,7878.87821020
20160508,0.00018349,0.00018617,0.00018198,0.00018279,2.07755847,11392.40588079
20160509,0.00018612,0.00018618,0.00018010,0.00018250,2.51904888,13860.94984560
20160510,0.00018065,0.00020400,0.00018064,0.00019397,1.88636876,9789.57423264
20160511,0.00019391,0.00019711,0.00018900,0.00018901,0.86272667,4507.52036634
20160512,0.00019186,0.00019906,0.00018752,0.00018800,1.02200156,5422.41321747
20160513,0.00018752,0.00021096,0.00018001,0.00018497,3.83987841,19903.30011877
20160514,0.00018892,0.00022100,0.00018002,0.00019200,3.34139918,16619.34283016
20160515,0.00019542,0.00019679,0.00017602,0.00017731,1.45564442,7919.82594710
20160516,0.00018377,0.00019573,0.00016500,0.00019075,4.31061388,24633.63988390
20160517,0.00019055,0.00019299,0.00018000,0.00019024,0.77962276,4267.90749565
20160518,0.00018980,0.00018980,0.00018443,0.00018737,0.29402031,1570.36683452
20160519,0.00018927,0.00019995,0.00018618,0.00018618,1.44418181,7423.50599575
20160520,0.00018618,0.00022000,0.00018387,0.00020166,3.06341556,14849.79312210
20160521,0.00019402,0.00020512,0.00018807,0.00020001,1.21723564,6151.32888479
20160522,0.00020001,0.00020708,0.00020000,0.00020398,1.31514664,6561.55814769
20160523,0.00020398,0.00022752,0.00019080,0.00020875,3.21777410,15627.39120735
20160524,0.00021746,0.00023162,0.00020781,0.00021279,1.07770548,4866.48209811
20160525,0.00021280,0.00021567,0.00020299,0.00021444,1.39249412,6674.78243144
20160526,0.00021034,0.00023499,0.00020254,0.00023499,0.90355948,4157.34906645
20160527,0.00023499,0.00024887,0.00019825,0.00021766,5.94844219,26131.40789285
20160528,0.00021766,0.00022135,0.00018734,0.00018734,4.34868042,21519.07617313
20160529,0.00018911,0.00019991,0.00018300,0.00018892,2.52476988,13615.93674831
20160530,0.00018866,0.00019505,0.00018555,0.00019095,0.77945431,4133.54250450
20160531,0.00019094,0.00020600,0.00018776,0.00019702,1.27363203,6393.25152334
20160601,0.00019702,0.00019834,0.00018760,0.00019391,0.42122915,2156.03626907
20160602,0.00018963,0.00020888,0.00018962,0.00019580,0.61501891,3117.62955079
20160603,0.00019597,0.00019861,0.00018801,0.00019110,1.41050218,7385.34177237
20160604,0.00019153,0.00019900,0.00018550,0.00018676,0.87288081,4588.67369718
20160605,0.00019208,0.00019300,0.00018357,0.00018357,0.90321382,4764.62935527
20160606,0.00018565,0.00018895,0.00017752,0.00018009,1.03475187,5714.38697045
20160607,0.00017844,0.00019365,0.00017300,0.00019364,1.82952391,10044.57139118
20160608,0.00019365,0.00019461,0.00018694,0.00018946,0.41043418,2126.24832942
20160609,0.00019400,0.00021500,0.00018572,0.00020965,3.61342628,17968.55030549
20160610,0.00020366,0.00021757,0.00019620,0.00019620,0.91953465,4405.98529490
20160611,0.00020307,0.00021004,0.00017018,0.00019316,3.19945729,16952.52321461
20160612,0.00019316,0.00019391,0.00015696,0.00016150,4.43717235,25751.10714758
20160613,0.00016389,0.00017500,0.00015503,0.00017239,1.41726653,8597.63304726
20160614,0.00017007,0.00018583,0.00016902,0.00017766,0.42805403,2402.36587175
20160615,0.00017162,0.00017823,0.00016831,0.00017823,0.18122761,1033.36240792
20160616,0.00017321,0.00017441,0.00014632,0.00014632,3.74614872,24124.79680987
20160617,0.00014600,0.00016483,0.00013500,0.00016482,4.29807975,29300.80181993
20160618,0.00015070,0.00015435,0.00014512,0.00014512,0.11360360,771.82476998
20160619,0.00014705,0.00016483,0.00013886,0.00015991,1.62662754,10298.06518466
20160620,0.00015991,0.00017041,0.00015100,0.00016574,4.42970277,27109.81363490
20160621,0.00017228,0.00017800,0.00016000,0.00016027,0.89765780,5230.21190966
20160622,0.00016872,0.00016872,0.00014301,0.00016106,1.38794230,8987.35931713
20160623,0.00016080,0.00016916,0.00015505,0.00015505,0.56316523,3492.76378679
20160624,0.00015504,0.00015670,0.00015019,0.00015055,2.01579773,13300.10728164
20160625,0.00015055,0.00015055,0.00014051,0.00014638,1.30138854,8779.73550118
20160626,0.00014509,0.00015499,0.00014050,0.00014800,1.82380247,12675.55299070
20160627,0.00014485,0.00016293,0.00014050,0.00016293,2.79600860,18483.94337315
20160628,0.00015235,0.00016190,0.00014407,0.00015021,0.71907718,4807.18728411
20160629,0.00015156,0.00018500,0.00014715,0.00015849,2.40740967,14361.64444790
20160630,0.00016724,0.00017600,0.00015078,0.00015977,1.34493017,8085.61394713
20160701,0.00015227,0.00015905,0.00014818,0.00015245,1.96053220,12610.42896206
20160702,0.00015297,0.00016623,0.00015297,0.00015495,1.33861793,8298.48285743
20160703,0.00015500,0.00016822,0.00015456,0.00016010,0.56495142,3484.38729651
20160704,0.00017060,0.00017995,0.00016287,0.00017700,1.28153750,7282.73267994
20160705,0.00017995,0.00022820,0.00016920,0.00018598,10.47079839,51513.82061563
20160706,0.00017999,0.00020132,0.00017724,0.00019692,1.16785352,6079.23568576
