[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140414,0.00005899,0.00005899,0.00000025,0.00000333,20.34765498,6360633.93775560
20140415,0.00000210,0.00000310,0.00000150,0.00000240,32.49853856,14414178.10072240
20140416,0.00000241,0.00000844,0.00000227,0.00000770,109.29123528,22094431.37934294
20140417,0.00000771,0.00001200,0.00000641,0.00000730,161.04520754,18981372.83588872
20140418,0.00000740,0.00001980,0.00000524,0.00001578,169.71215527,17012451.39234299
20140419,0.00001578,0.00002456,0.00001355,0.00001787,72.24292203,3906441.03930390
20140420,0.00001788,0.00001799,0.00001310,0.00001477,28.05820507,1770326.82731260
20140421,0.00001311,0.00001600,0.00001000,0.00001022,15.23161708,1175423.84375494
20140422,0.00001022,0.00001236,0.00000821,0.00000979,6.25302695,649667.26141231
20140423,0.00000979,0.00001150,0.00000901,0.00001017,6.42916444,619163.89900459
20140424,0.00001017,0.00001325,0.00000724,0.00001076,12.20684099,1262696.84728857
20140425,0.00001150,0.00001599,0.00001022,0.00001071,11.82431546,913981.37061910
20140426,0.00001113,0.00001591,0.00001001,0.00001024,4.74629497,389524.37696953
20140427,0.00001025,0.00001130,0.00000612,0.00000980,4.27968677,483143.93389391
20140428,0.00000950,0.00000950,0.00000618,0.00000750,1.84840876,238493.58567392
20140429,0.00000750,0.00000845,0.00000675,0.00000691,1.63777019,219123.73898891
20140430,0.00000691,0.00000999,0.00000691,0.00000922,4.95757877,596013.49620932
20140501,0.00000900,0.00000988,0.00000615,0.00000708,2.27146403,300405.46834115
20140502,0.00000709,0.00000870,0.00000619,0.00000660,0.80255119,116057.79042913
20140503,0.00000700,0.00000780,0.00000650,0.00000770,0.29695840,42527.56104744
20140504,0.00000769,0.00000769,0.00000614,0.00000754,1.66340375,239295.44431141
20140505,0.00000650,0.00000752,0.00000614,0.00000653,1.96749768,283765.43084899
20140506,0.00000653,0.00000700,0.00000328,0.00000540,2.70945245,480811.47686421
20140507,0.00000530,0.00000694,0.00000521,0.00000650,1.12826153,185970.97387971
20140508,0.00000650,0.00000650,0.00000489,0.00000590,0.50625665,85973.17160928
20140509,0.00000589,0.00000610,0.00000492,0.00000495,0.57526832,109496.94931855
20140510,0.00000494,0.00000529,0.00000406,0.00000406,0.29055901,63479.95800531
20140511,0.00000408,0.00000410,0.00000330,0.00000346,0.63069891,174611.71185347
20140512,0.00000345,0.00000617,0.00000330,0.00000416,1.08496848,233506.13829680
20140513,0.00000415,0.00000512,0.00000413,0.00000450,0.74682451,169467.24928852
20140514,0.00000442,0.00000513,0.00000360,0.00000360,0.64961697,152807.46023913
20140515,0.00000361,0.00000419,0.00000360,0.00000389,0.98608770,257280.39390890
20140516,0.00000389,0.00000400,0.00000234,0.00000236,1.91320054,535226.72416874
20140517,0.00000343,0.00000356,0.00000245,0.00000339,0.37292026,117445.05341162
20140518,0.00000320,0.00000320,0.00000238,0.00000249,0.27337475,110723.37068492
