[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161020,0.01000000,0.01500000,0.00480092,0.00550000,194.67355305,22994.27505572
20161021,0.00531995,0.00828990,0.00531994,0.00600034,134.09624765,19323.62894621
20161022,0.00600041,0.00629893,0.00364502,0.00470002,116.70714724,22581.97818065
20161023,0.00450002,0.00540000,0.00400000,0.00458000,57.16070229,12553.08469121
20161024,0.00458000,0.00659976,0.00453000,0.00570002,93.73320447,16000.85569523
20161025,0.00570011,0.00617997,0.00500010,0.00504998,92.01747236,16043.96273667
20161026,0.00504998,0.00629961,0.00460100,0.00489600,70.40264341,13676.35889381
20161027,0.00470582,0.00508885,0.00441000,0.00480336,67.42693272,14281.04893104
20161028,0.00480503,0.00869112,0.00471203,0.00698890,258.82836371,38654.50503927
20161029,0.00657421,0.00708747,0.00430000,0.00485000,175.55458752,34565.12591557
20161030,0.00487813,0.00500058,0.00420000,0.00435002,66.39364262,14671.31221509
20161031,0.00435003,0.00472514,0.00270113,0.00340000,85.40783239,23745.04354042
20161101,0.00340050,0.00368999,0.00281000,0.00299189,51.11703682,15926.90962365
20161102,0.00299210,0.00305000,0.00223505,0.00260271,34.19900341,13262.51637529
20161103,0.00260279,0.00316911,0.00231005,0.00250101,33.35859630,12951.04792533
20161104,0.00250000,0.00313351,0.00232408,0.00287335,27.79270464,10245.17591488
20161105,0.00287398,0.00341000,0.00260000,0.00276088,24.16228123,8174.92429056
20161106,0.00260290,0.00280000,0.00253002,0.00253002,16.40632777,6261.94691442
20161107,0.00253100,0.00270000,0.00150005,0.00165134,53.09503538,25643.84256850
20161108,0.00157542,0.00169404,0.00155306,0.00158860,17.55913335,11072.20085042
20161109,0.00155307,0.00159993,0.00106367,0.00110000,17.41776536,12797.59805695
20161110,0.00112550,0.00135000,0.00111000,0.00111302,7.21990953,5984.64053162
20161111,0.00111170,0.00128724,0.00111170,0.00116200,7.04559860,6005.55959920
20161112,0.00116201,0.00124000,0.00115001,0.00115001,4.29075265,3565.76845248
20161113,0.00115028,0.00121738,0.00099472,0.00109445,9.27237539,8597.29245558
20161114,0.00100096,0.00118862,0.00100002,0.00110387,9.39487299,8756.58271028
20161115,0.00105003,0.00137000,0.00100105,0.00105459,10.40152289,9008.25099073
20161116,0.00105459,0.00106348,0.00075008,0.00076000,15.61747872,17556.05538499
20161117,0.00076000,0.00086222,0.00075005,0.00077777,7.25523167,9002.62234149
20161118,0.00077777,0.00107650,0.00075000,0.00075001,10.22240340,11891.34059795
20161119,0.00076500,0.00095099,0.00075000,0.00078941,5.38181536,6389.36447381
20161120,0.00082576,0.00100000,0.00075131,0.00076215,5.01573654,6053.17258023
20161121,0.00076225,0.00083438,0.00075000,0.00077012,4.00805949,5108.95934356
20161122,0.00077012,0.00092318,0.00073633,0.00074012,8.26169421,10494.56888672
20161123,0.00074033,0.00085000,0.00071117,0.00080017,8.11127111,10698.05890082
20161124,0.00080503,0.00080503,0.00071223,0.00071223,5.71392331,7862.01852621
20161125,0.00071223,0.00083000,0.00070000,0.00074793,4.07932330,5424.46239622
20161126,0.00070572,0.00073968,0.00061000,0.00061382,5.11259227,7521.46411523
20161127,0.00061850,0.00063714,0.00052452,0.00058052,5.36369698,9393.79447394
20161128,0.00058063,0.00060984,0.00051001,0.00051003,6.80910801,12243.45997349
20161129,0.00051100,0.00058059,0.00047100,0.00047118,5.15588897,10504.59793388
20161130,0.00051863,0.00051863,0.00040371,0.00042043,2.99440190,6561.26449984
20161201,0.00042116,0.00044708,0.00039360,0.00039360,4.33084103,10560.54243714
20161202,0.00039800,0.00042716,0.00035273,0.00036021,2.40456197,6284.60996582
20161203,0.00036021,0.00041999,0.00036021,0.00039350,1.71254872,4326.59654848
20161204,0.00038426,0.00059990,0.00038338,0.00051259,5.72197768,12820.85577696
20161205,0.00056996,0.00056996,0.00045229,0.00050000,4.32216006,8761.38065277
20161206,0.00046800,0.00049985,0.00045603,0.00046000,3.13756958,6762.72206042
20161207,0.00046000,0.00048750,0.00042000,0.00042011,3.00027419,6642.31420133
20161208,0.00042011,0.00072917,0.00042007,0.00069000,8.46965060,14064.54713937
20161209,0.00064186,0.00097700,0.00064186,0.00065000,18.12284129,23336.87794444
20161210,0.00063500,0.00083480,0.00061820,0.00075000,9.95895454,13342.96081097
20161211,0.00073322,0.00080000,0.00065024,0.00068040,4.84813078,6752.52347676
20161212,0.00068307,0.00068307,0.00051027,0.00053000,8.22468237,14148.34742890
20161213,0.00053000,0.00066009,0.00053000,0.00062938,7.56446579,12764.79733614
20161214,0.00058376,0.00062866,0.00053800,0.00053800,6.62186742,11023.70420497
20161215,0.00053802,0.00058000,0.00047814,0.00048012,9.14473436,17380.36409544
20161216,0.00049000,0.00065000,0.00048012,0.00057537,10.33332076,19107.29505391
20161217,0.00057580,0.00061895,0.00049500,0.00049560,16.35786301,29593.10433803
20161218,0.00049500,0.00061883,0.00035005,0.00050013,42.97872947,82809.51431813
20161219,0.00050114,0.00053702,0.00044628,0.00045982,10.12162803,20928.90555774
20161220,0.00045898,0.00046797,0.00040000,0.00042000,1.95688939,4524.72284076
20161221,0.00043239,0.00047000,0.00039990,0.00040217,6.00781354,14126.65347596
20161222,0.00040307,0.00069424,0.00040261,0.00055000,18.57324175,36766.27203255
20161223,0.00055000,0.00070000,0.00049000,0.00062008,9.27148469,15655.02041692
20161224,0.00063005,0.00071114,0.00051602,0.00051602,6.87723837,11987.90598226
20161225,0.00051605,0.00054996,0.00045800,0.00045800,6.36666964,12390.68056209
20161226,0.00045800,0.00059998,0.00042440,0.00058937,9.28141182,17810.95141015
20161227,0.00058938,0.00058941,0.00047002,0.00048122,3.20854936,6387.77309453
20161228,0.00048122,0.00058850,0.00047880,0.00055510,7.78723834,14502.90223484
20161229,0.00058800,0.00058850,0.00047007,0.00051398,4.96941179,9611.94761814
20161230,0.00050000,0.00056440,0.00047040,0.00056440,4.72638025,9035.95680521
20161231,0.00056413,0.00060000,0.00049206,0.00049600,9.80511762,18195.65862782
20170101,0.00049600,0.00052439,0.00047620,0.00048003,7.09384896,14424.81046569
20170102,0.00048004,0.00050640,0.00041000,0.00042700,6.11421078,13364.09674626
20170103,0.00042701,0.00047499,0.00040701,0.00040800,2.92409650,6760.88330585
20170104,0.00040800,0.00054000,0.00040800,0.00045020,9.34249588,18635.15286883
20170105,0.00045020,0.00051237,0.00045001,0.00046500,3.30467672,6887.21453035
20170106,0.00046700,0.00054000,0.00046700,0.00050457,7.48990912,14832.15776064
20170107,0.00050486,0.00050486,0.00044169,0.00047024,7.07662761,14719.77974894
20170108,0.00047002,0.00053848,0.00044003,0.00045000,6.68081099,13753.67805318
20170109,0.00045001,0.00053001,0.00045000,0.00048205,8.97942948,17958.68462959
20170110,0.00048219,0.00057400,0.00047150,0.00052502,11.58241960,21852.31603715
20170111,0.00052511,0.00120000,0.00052502,0.00097985,77.77560142,91051.82578541
20170112,0.00095012,0.00110000,0.00078000,0.00096550,38.36420950,40565.88803533
20170113,0.00096549,0.00180503,0.00094853,0.00135014,154.32798923,109083.82615551
20170114,0.00139987,0.00168442,0.00126101,0.00129003,81.64496184,57183.30620314
20170115,0.00129500,0.00144977,0.00118202,0.00118202,62.04695486,46615.31323199
20170116,0.00118203,0.00139492,0.00111000,0.00117904,37.22595454,29870.16945627
20170117,0.00117904,0.00125894,0.00111013,0.00117002,25.39231084,21285.22645015
20170118,0.00117002,0.00120000,0.00105501,0.00109985,22.93318008,20285.28719642
20170119,0.00109985,0.00112636,0.00098250,0.00098451,14.75934160,14064.75948144
20170120,0.00098451,0.00111080,0.00098000,0.00100816,17.73253433,17362.46778692
20170121,0.00100823,0.00115000,0.00098000,0.00100000,17.81077989,17301.08430574
20170122,0.00100040,0.00237310,0.00099998,0.00194900,121.40948998,75730.59651283
20170123,0.00194899,0.00240000,0.00173100,0.00199998,65.31250592,32212.71650245
20170124,0.00196207,0.00199998,0.00160305,0.00169868,55.76395676,33022.04207668
20170125,0.00164501,0.00174996,0.00160305,0.00161500,34.21910235,20898.40458362
20170126,0.00160645,0.00165000,0.00160305,0.00163500,19.66673567,12061.76948540
20170127,0.00164979,0.00169417,0.00162500,0.00162500,25.18787255,15289.07183425
20170128,0.00162520,0.00185304,0.00162500,0.00174226,48.83108779,28622.65922754
20170129,0.00176770,0.00215960,0.00170200,0.00203402,59.98371712,30044.93860669
20170130,0.00203410,0.00210000,0.00201788,0.00201922,31.77677262,15540.75031720
20170131,0.00203000,0.00225000,0.00176000,0.00179965,57.18692814,28856.24992585
20170201,0.00176960,0.00183479,0.00174100,0.00175192,20.35248394,11429.37155038
20170202,0.00174100,0.00176562,0.00130000,0.00142020,57.71778192,38132.47285232
20170203,0.00144000,0.00160000,0.00130010,0.00149906,35.78833740,24283.10990832
20170204,0.00149911,0.00169264,0.00144005,0.00154000,15.89244631,10365.89295976
20170205,0.00153984,0.00154000,0.00125000,0.00133958,54.75763114,40150.56430040
20170206,0.00133958,0.00205000,0.00133958,0.00162703,88.36293368,50984.68338957
