[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161115,0.00900000,0.00900000,0.00550069,0.00709980,17.06741895,2166.50590137
20161116,0.00680007,0.00789997,0.00510000,0.00530121,47.77172893,7637.09723568
20161117,0.00530121,0.00609998,0.00425001,0.00552034,26.89430782,5488.81264411
20161118,0.00501088,0.00600000,0.00355011,0.00375000,19.22804285,4469.24320044
20161119,0.00379999,0.00393000,0.00355011,0.00357001,8.50495714,2279.06424649
20161120,0.00360001,0.00369000,0.00340000,0.00340000,15.46991737,4500.78666593
20161121,0.00340007,0.00344000,0.00265027,0.00270013,16.47144405,5352.23787536
20161122,0.00270013,0.00270016,0.00170000,0.00202265,8.33256906,4092.03649845
20161123,0.00202264,0.00212001,0.00173001,0.00175177,5.79486755,3051.83742406
20161124,0.00175213,0.00202000,0.00175001,0.00175551,11.16996404,6000.57688056
20161125,0.00175551,0.00255000,0.00175551,0.00216169,10.94680426,5177.80748579
20161126,0.00246137,0.00254989,0.00200000,0.00200245,6.69271066,3166.57128525
20161127,0.00200308,0.00204313,0.00161002,0.00161500,18.98166923,10271.57710658
20161128,0.00161500,0.00168880,0.00136000,0.00137000,15.23045243,10048.57284579
20161129,0.00137000,0.00137770,0.00093011,0.00098507,14.51685633,12563.30611139
20161130,0.00098724,0.00113541,0.00097517,0.00100000,3.16346817,3171.31716777
20161201,0.00100000,0.00103216,0.00090008,0.00090900,6.06144793,6163.10466293
20161202,0.00090900,0.00093562,0.00075020,0.00078253,4.49404149,5480.51175942
20161203,0.00078253,0.00078253,0.00072100,0.00073000,3.56069486,4746.94270668
20161204,0.00073000,0.00077887,0.00069465,0.00072000,4.14080780,5720.97123134
20161205,0.00072000,0.00073000,0.00063008,0.00063108,2.08602538,3058.63105414
20161206,0.00063112,0.00066666,0.00055201,0.00058000,4.48962107,7293.48209778
20161207,0.00058000,0.00058500,0.00052000,0.00052070,1.78612059,3396.40648163
20161208,0.00052070,0.00055015,0.00050508,0.00050513,2.44777173,4591.33274570
20161209,0.00050750,0.00056888,0.00050100,0.00050122,3.26330024,6312.46177387
20161210,0.00050150,0.00054999,0.00050127,0.00050135,1.75704182,3437.66333795
20161211,0.00050135,0.00074000,0.00050127,0.00065000,4.86598350,8636.54737237
20161212,0.00065465,0.00065465,0.00053050,0.00059004,2.49586872,4213.27500223
20161213,0.00059000,0.00060457,0.00056005,0.00056575,1.91562386,3276.04637726
20161214,0.00056575,0.00057000,0.00050401,0.00050702,1.28232794,2323.58068107
20161215,0.00050702,0.00052000,0.00050127,0.00050129,0.71733800,1423.20969822
20161216,0.00050128,0.00083500,0.00050128,0.00059232,30.63831355,45554.57103577
20161217,0.00060046,0.00068888,0.00059230,0.00061000,2.43172693,3979.45002627
20161218,0.00061000,0.00065782,0.00057008,0.00057008,3.67045630,5875.18760630
20161219,0.00056008,0.00059888,0.00053025,0.00053120,2.36282402,4322.14873449
20161220,0.00053120,0.00057036,0.00053120,0.00054851,0.90333461,1655.48957218
