[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161028,201.00000018,350.00000000,11.00000012,24.97999975,24.63891953,1.02320846
20161029,22.11000270,24.97999971,2.51000759,2.84899994,165.60552813,25.43853367
20161030,2.67300071,2.79999990,0.68000050,0.99512100,70.98074539,56.76042765
20161031,0.99512100,3.50724195,0.64111021,2.24000001,202.58576988,114.23653808
20161101,2.25999985,2.86789011,1.58276857,1.85000000,300.91398844,135.90471697
20161102,1.78000000,1.96999880,1.15000004,1.24893820,224.74334760,152.10919661
20161103,1.24893817,1.45158392,1.15000010,1.28999730,139.60615373,108.39605467
20161104,1.27303000,1.28300000,0.83399198,0.83450000,121.77677918,120.94194904
20161105,0.85917853,0.87000000,0.73000019,0.75000600,84.91912442,107.42232830
20161106,0.75000601,0.76000000,0.44511110,0.45000001,129.49403187,214.33130918
20161107,0.45000001,0.48777794,0.32875859,0.33111111,117.19610607,287.80935293
20161108,0.33111117,0.44264002,0.24507615,0.44200000,118.79492717,380.36649666
20161109,0.44200001,0.53499999,0.30000020,0.34920000,158.64007195,422.35998785
20161110,0.34920000,0.35499801,0.30400758,0.31200197,58.82255328,184.40208236
20161111,0.31200204,0.31746831,0.24800000,0.24830000,61.05201503,220.32323090
20161112,0.25000000,0.26294149,0.20150318,0.20250216,62.93578338,278.20433969
20161113,0.20500000,0.20899972,0.16444452,0.16749036,61.27077925,332.40289139
20161114,0.16750000,0.16921124,0.13344525,0.14722241,46.66902082,310.19682211
20161115,0.14722243,0.18800000,0.13600000,0.15277784,60.57139251,374.98789810
20161116,0.15402999,0.16278000,0.12811111,0.13000000,39.63754021,275.14380405
20161117,0.12821112,0.13333319,0.11200033,0.11567932,30.65256510,249.00319225
20161118,0.11567932,0.11895502,0.09433700,0.09600000,41.57726463,401.10470100
20161119,0.09600000,0.09960990,0.08366009,0.08492233,35.79653308,406.63925533
20161120,0.08492233,0.08931247,0.08161111,0.08250000,31.46405321,373.62087089
20161121,0.08230025,0.08230025,0.07155556,0.07166767,33.63639759,440.10885303
20161122,0.07166767,0.09833350,0.07166688,0.07677500,55.38863242,685.62371718
20161123,0.07677500,0.12648010,0.07444568,0.10442659,86.88115784,906.61939894
20161124,0.10442659,0.14015032,0.09232222,0.12933333,175.08394473,1518.64061289
20161125,0.12966000,0.14500000,0.11700511,0.12219003,137.68132222,1046.07500129
20161126,0.12219003,0.12381948,0.10100001,0.10336002,105.91773911,953.49438795
20161127,0.10336002,0.10886795,0.09000003,0.09500001,87.94748475,886.96000295
20161128,0.09500000,0.10335292,0.08880003,0.09446755,75.84970499,814.31019697
20161129,0.09785170,0.10549998,0.09123192,0.09240400,71.71365703,742.67795818
20161130,0.09241004,0.09955690,0.08790737,0.09036244,60.87953725,647.18374562
20161201,0.09106042,0.09199990,0.08109148,0.08200007,62.92739960,728.05880754
20161202,0.08299997,0.08419999,0.07602027,0.07870000,66.85967415,840.97440873
20161203,0.07870000,0.07870000,0.07410001,0.07570016,36.68987552,481.55582472
20161204,0.07580001,0.08050000,0.07464689,0.07530000,37.99463785,496.50606304
20161205,0.07530000,0.07650000,0.06562781,0.06595574,40.85326115,565.93348778
20161206,0.06595572,0.07100000,0.06174752,0.06306279,40.25313326,613.33291486
20161207,0.06399999,0.08030000,0.06150041,0.07016204,79.27233074,1140.74355077
20161208,0.07016202,0.07500000,0.06715188,0.06889893,40.13382862,573.31024394
20161209,0.06817749,0.06889893,0.06346696,0.06515066,36.50824586,552.50789444
20161210,0.06515066,0.06526642,0.06136230,0.06264952,33.47669053,528.73790628
20161211,0.06265253,0.06555555,0.06211626,0.06237320,18.90663507,298.22440719
20161212,0.06237320,0.06477790,0.06170001,0.06304409,20.80415051,330.86005506
20161213,0.06304813,0.06449775,0.05912002,0.05989256,20.94728130,339.58817476
20161214,0.05989256,0.06035922,0.05540006,0.05622832,25.46508118,443.16794823
20161215,0.05622834,0.05674741,0.05136008,0.05137006,36.40734661,676.09925135
20161216,0.05145000,0.05400000,0.05100000,0.05120001,12.86408999,247.68342161
20161217,0.05120001,0.05168558,0.04473001,0.04473179,48.84195676,1025.27900602
20161218,0.04551552,0.05191005,0.04430000,0.04600001,32.84401406,702.68175558
20161219,0.04600001,0.04699985,0.04230688,0.04330000,20.16451747,458.72348559
20161220,0.04330000,0.05032667,0.04289288,0.04470001,38.46200012,807.92529931
20161221,0.04480001,0.04900000,0.04305252,0.04327000,26.15826369,584.93311446
20161222,0.04370000,0.05700000,0.04320000,0.05400103,57.62817014,1156.49159235
20161223,0.05477401,0.07055546,0.05084773,0.05561557,88.84922511,1441.04459621
20161224,0.05561556,0.05993621,0.05216227,0.05300000,37.15697081,692.34391934
20161225,0.05369085,0.05646762,0.05000000,0.05050003,19.79293604,377.81796892
20161226,0.05050003,0.05133330,0.04658001,0.04752272,21.48259978,445.99578501
20161227,0.04752271,0.05120000,0.04550001,0.04615355,30.54992062,649.07703391
20161228,0.04615656,0.05800000,0.04550000,0.04891662,65.48932778,1291.61990259
20161229,0.04892293,0.05470000,0.04892293,0.05250000,22.96081396,440.84591833
20161230,0.05147600,0.05500000,0.05102805,0.05220000,22.60119516,425.45797374
20161231,0.05220000,0.05240000,0.04950000,0.04950000,15.78982691,312.50865901
20170101,0.04950000,0.05091200,0.04760000,0.04803262,13.47684231,273.92846445
20170102,0.04803264,0.05000000,0.04750000,0.04823399,28.45296392,586.75938313
20170103,0.04800062,0.04994000,0.04708355,0.04770000,23.33213425,483.31150928
20170104,0.04770000,0.05087934,0.04720000,0.04800692,28.04615617,579.00404183
20170105,0.04800708,0.05298000,0.04730000,0.04801449,36.07055747,731.66374231
20170106,0.04801522,0.05339892,0.04801522,0.05220000,36.02727099,700.38737136
20170107,0.05228674,0.05499999,0.05125400,0.05173114,27.25890143,513.80212135
20170108,0.05173616,0.05275000,0.04947773,0.05008000,16.84630888,332.41740132
20170109,0.05008370,0.05245740,0.05008370,0.05075000,9.08244865,178.20601403
20170110,0.05075000,0.05148245,0.04950002,0.04962045,10.25435747,204.53476070
20170111,0.04962174,0.05250000,0.04962174,0.05127701,16.27653882,318.16134586
20170112,0.05127702,0.05849868,0.05106862,0.05300298,32.81660306,596.37216820
20170113,0.05300298,0.05652826,0.05230102,0.05240000,11.44557892,213.00045880
20170114,0.05240000,0.05400000,0.05170872,0.05319850,22.23025441,423.84567153
20170115,0.05318940,0.05568270,0.05236276,0.05441859,29.80249778,555.58369864
20170116,0.05441884,0.05450181,0.05201002,0.05201504,13.74637153,258.27551998
20170117,0.05201733,0.05400000,0.04920000,0.04920001,34.64170702,682.32342715
20170118,0.04925000,0.05099999,0.04844400,0.04962759,27.67596829,561.93786125
20170119,0.04962761,0.04992907,0.04820856,0.04922462,19.08457041,391.84004501
20170120,0.04922461,0.04960000,0.04790000,0.04832035,23.50485055,482.85891617
20170121,0.04832315,0.04885273,0.04720000,0.04730002,36.28526783,762.36543482
20170122,0.04730002,0.04882830,0.04650000,0.04650001,35.79440944,755.90379008
20170123,0.04650001,0.04750000,0.04640000,0.04640004,19.22520071,411.43780470
20170124,0.04679403,0.04730000,0.04600000,0.04602651,26.70591977,575.23967301
20170125,0.04635334,0.04655555,0.04366309,0.04416064,35.66021424,786.84688240
20170126,0.04416627,0.04560000,0.04251000,0.04251000,50.78306788,1166.54966290
20170127,0.04251000,0.04383352,0.04050005,0.04130300,45.54600183,1076.08667065
20170128,0.04130380,0.04237750,0.04107738,0.04120001,18.00675194,433.69561873
20170129,0.04120004,0.04474000,0.04120000,0.04171913,22.36678221,533.65643315
20170130,0.04181413,0.04385000,0.04167071,0.04316283,21.41515703,506.31291414
20170131,0.04300973,0.04390000,0.04050002,0.04070000,35.71146960,851.98480430
20170201,0.04070000,0.04116481,0.04004500,0.04006691,20.61812815,508.01430969
20170202,0.04006821,0.04040296,0.03840000,0.03865000,38.85947870,979.75518204
20170203,0.03865000,0.03900000,0.03710448,0.03748168,31.05237420,824.75215343
20170204,0.03780000,0.03850000,0.03731237,0.03751345,21.39438426,566.95879871
20170205,0.03753323,0.03785661,0.03680007,0.03698043,16.07079039,432.76639272
20170206,0.03698050,0.03698071,0.03589440,0.03589449,23.51448764,646.01962937
20170207,0.03589456,0.03600713,0.03301842,0.03390863,36.18023250,1048.62825826
20170208,0.03390944,0.03439049,0.03184814,0.03341074,31.21272878,936.71709549
20170209,0.03295218,0.03499995,0.03220159,0.03339482,31.55803430,950.09641950
20170210,0.03339487,0.03389907,0.03245550,0.03270797,20.22667043,610.96094403
20170211,0.03271100,0.03360782,0.03220154,0.03227474,23.03967096,703.17473817
20170212,0.03227517,0.03277932,0.03150522,0.03153085,19.94021222,622.01369244
20170213,0.03153085,0.03203299,0.03014618,0.03028708,30.85439626,1004.91521066
20170214,0.03029213,0.03251942,0.03011699,0.03185439,36.01215989,1164.27548964
20170215,0.03186055,0.03399976,0.03067221,0.03308750,31.20511047,972.69395542
20170216,0.03309495,0.03379790,0.03137208,0.03151000,35.31706750,1091.48470824
20170217,0.03144395,0.03194764,0.03011699,0.03020001,21.34114901,692.39743843
20170218,0.03020097,0.03069999,0.02880635,0.02910000,32.24502143,1093.02582733
20170219,0.02881133,0.02967685,0.02850038,0.02887373,23.34145954,806.09351314
20170220,0.02887371,0.02944444,0.02789046,0.02830000,32.53799955,1141.34265236
20170221,0.02822133,0.02850000,0.02700007,0.02700007,38.11732043,1383.03168240
20170222,0.02700007,0.02732982,0.02372101,0.02453773,33.97040070,1313.66790647
20170223,0.02401433,0.02832421,0.02265535,0.02537160,40.31037030,1691.08370974
20170224,0.02537193,0.02689782,0.02424670,0.02550001,22.19732828,863.11001193
20170225,0.02550000,0.02600000,0.02471950,0.02535000,13.79865008,543.98764922
20170226,0.02535000,0.02580000,0.02424611,0.02510000,22.27253043,893.17522880
20170227,0.02510000,0.03245009,0.02440854,0.03010206,41.52447736,1507.02363002
20170228,0.03010190,0.03251065,0.02872473,0.03132730,67.25499663,2200.73040484
20170301,0.03132730,0.03439887,0.03110905,0.03356684,49.07784730,1490.71498211
20170302,0.03360860,0.03499994,0.03131228,0.03142118,63.52102423,1930.11080608
20170303,0.03142118,0.03321096,0.02978301,0.03261501,35.32195820,1143.97004604
20170304,0.03261502,0.03407278,0.03139613,0.03264303,33.27151959,1023.29633858
20170305,0.03264470,0.03343046,0.03046020,0.03083222,27.37349221,876.57663748
20170306,0.03083222,0.03191876,0.02929000,0.03128371,38.21029165,1256.23927591
20170307,0.03128408,0.03190000,0.03056291,0.03064391,31.05921738,997.90460797
20170308,0.03064397,0.03113570,0.03000001,0.03055630,33.71054524,1109.25165600
20170309,0.03056470,0.03137443,0.03004501,0.03051120,19.99916482,655.31262015
20170310,0.03098026,0.03245786,0.02841203,0.03107299,36.12274938,1180.08214170
20170311,0.03169486,0.03400000,0.03060002,0.03360014,45.12658030,1413.35917755
20170312,0.03360014,0.03382994,0.03200000,0.03238609,31.95330228,981.70454830
20170313,0.03238693,0.04018526,0.03238693,0.03838977,99.83197904,2707.39712831
20170314,0.03839449,0.03910828,0.03443800,0.03579853,35.94881620,988.74208061
20170315,0.03591747,0.03727769,0.03425170,0.03666145,64.80709577,1822.19572744
20170316,0.03605389,0.04200000,0.03604849,0.04198329,89.93193868,2280.82243000
20170317,0.04198844,0.04728156,0.04010001,0.04345028,87.25800176,2009.79790089
20170318,0.04345093,0.08442106,0.04313969,0.06549854,559.35896891,8328.95833147
20170319,0.06500002,0.08199997,0.05646100,0.06671412,311.52431510,4525.91377597
20170320,0.06671388,0.07600000,0.06585006,0.06806990,122.05803520,1737.36772453
20170321,0.06808262,0.06989989,0.05700121,0.05835494,129.59758432,1999.21842970
20170322,0.05924812,0.06698510,0.05718990,0.06624995,67.38113399,1070.16369727
20170323,0.06580001,0.06689785,0.06210340,0.06356400,66.37575694,1027.19852763
20170324,0.06370001,0.07649966,0.06370001,0.06800045,273.51917063,4011.80785927
20170325,0.06800045,0.07279898,0.06386000,0.06443456,128.16203791,1862.31011000
20170326,0.06443456,0.06768408,0.05970001,0.06136755,95.20884293,1511.92226576
20170327,0.06136794,0.06269659,0.05050001,0.05050734,99.94588156,1727.73169651
20170328,0.05051270,0.07069279,0.05051270,0.06133301,203.18899282,3428.28144665
20170329,0.06185683,0.06403200,0.05972223,0.06179659,79.21462798,1290.44355802
20170330,0.06064399,0.06098465,0.05880000,0.05890345,87.26308630,1452.91759270
20170331,0.05890603,0.06035693,0.05601727,0.05724117,94.93500211,1617.15789404
20170401,0.05724316,0.05999899,0.05613329,0.05680000,41.82389428,727.63562576
20170402,0.05620938,0.05722659,0.05244889,0.05476809,46.30230241,843.13785553
20170403,0.05519226,0.05624888,0.05126236,0.05216369,39.24888597,721.47089369
20170404,0.05216369,0.05262066,0.05000006,0.05198914,40.98434182,796.69912071
20170405,0.05110000,0.05455000,0.05058448,0.05237807,42.62402599,817.43388621
20170406,0.05185731,0.05287496,0.04500000,0.04865883,49.13569282,1012.76886197
20170407,0.04760434,0.05196140,0.04671573,0.05071530,36.99337150,756.13049668
20170408,0.05071530,0.05641000,0.04860000,0.05367254,64.38849844,1211.16418519
20170409,0.05367254,0.06633127,0.05103912,0.05160015,170.77703861,2955.54258451
20170410,0.05160138,0.05770296,0.05160138,0.05366085,68.89657559,1262.82164994
20170411,0.05366182,0.05500000,0.05051318,0.05130000,30.86176130,588.12965109
20170412,0.05100000,0.05242313,0.04957598,0.05153179,37.47815928,732.99500693
20170413,0.05237204,0.05556795,0.05103254,0.05458530,46.84828648,870.57153271
20170414,0.05520000,0.06050131,0.05471191,0.05979825,63.21462523,1085.99432689
20170415,0.06050000,0.06633121,0.05783975,0.06190180,128.93537385,2084.87382029
20170416,0.06190443,0.06299920,0.05900003,0.05981660,40.67099737,671.49019932
20170417,0.05982163,0.06096120,0.05816000,0.05822108,30.25181386,513.18649011
20170418,0.05822108,0.05990769,0.05750002,0.05815595,25.15284752,430.73934012
20170419,0.05816751,0.05950000,0.05783578,0.05830100,43.14101183,736.32603531
20170420,0.05790024,0.05834917,0.05300000,0.05415000,49.48688409,888.48546614
20170421,0.05415000,0.05622479,0.05309769,0.05457720,33.80935791,618.52761276
20170422,0.05458247,0.05597641,0.05458247,0.05511198,23.64146371,426.76901411
20170423,0.05511598,0.05575540,0.05405100,0.05405101,39.85149103,730.85980371
20170424,0.05405101,0.05629962,0.05405100,0.05442199,41.44867505,753.70660416
20170425,0.05440965,0.05555555,0.05427649,0.05429603,29.91691218,545.98040700
20170426,0.05439531,0.05900000,0.05430330,0.05575666,61.18663731,1087.19172426
20170427,0.05600000,0.06125351,0.05541132,0.05801189,155.03536022,2664.50056236
20170428,0.05802000,0.06599999,0.05802000,0.06324721,202.20512842,3221.74439156
20170429,0.06342046,0.07496643,0.06250369,0.07215000,201.74721742,2941.05454892
20170430,0.07230601,0.07589896,0.06797545,0.06997493,181.68093519,2563.43425963
20170501,0.06858203,0.07911883,0.05810001,0.06320000,325.02677063,4757.98245153
20170502,0.06421307,0.06699655,0.05990000,0.06289211,177.56424291,2811.20701860
20170503,0.06289222,0.06499997,0.05900026,0.06083627,151.53487373,2455.51478446
20170504,0.06083930,0.06678058,0.06017171,0.06345582,174.18012501,2738.93737849
20170505,0.06494151,0.07199898,0.06346958,0.06697252,170.19921872,2525.57722549
20170506,0.06697207,0.06970222,0.06520007,0.06860000,62.82977848,938.68284441
20170507,0.06889999,0.06921684,0.06345286,0.06461110,132.09879473,1974.24581118
20170508,0.06461132,0.06787712,0.06143022,0.06143022,185.77930714,2870.21284925
20170509,0.06177685,0.06217869,0.05010035,0.05477168,174.12678001,3128.35159924
20170510,0.05347144,0.05888760,0.05279783,0.05382508,104.84646457,1885.22145494
20170511,0.05382746,0.05550000,0.05096300,0.05198533,75.08959062,1425.92475585
20170512,0.05097388,0.05779238,0.05097388,0.05593955,100.89967607,1830.14703343
20170513,0.05630022,0.05811236,0.05347001,0.05347737,64.91062787,1167.14373357
20170514,0.05410000,0.05466590,0.05250000,0.05294259,82.77942576,1553.72175888
20170515,0.05294643,0.05700000,0.05294643,0.05379864,104.84003758,1918.88475007
20170516,0.05379864,0.05500000,0.05062661,0.05130000,61.79071204,1166.75929077
20170517,0.05130000,0.05134758,0.04750000,0.05024458,96.07409590,1961.51510530
20170518,0.05097979,0.05189728,0.04660006,0.04976178,95.27960485,1924.79884848
20170519,0.04947027,0.05454679,0.04930306,0.05300000,95.63746711,1803.35567267
20170520,0.05306822,0.05454678,0.05133644,0.05169999,135.28676394,2551.54955056
20170521,0.05169999,0.06045468,0.05000002,0.05891849,188.48140280,3398.85025606
20170522,0.05800810,0.15500000,0.05491511,0.09370623,2428.89239740,24364.95669862
20170523,0.09370709,0.14012500,0.08700004,0.10393202,2327.32766936,20628.45170992
20170524,0.10396770,0.12420000,0.09500000,0.09583890,826.18028794,7590.90736822
20170525,0.09583890,0.10699999,0.07921392,0.09650000,736.38070458,8067.25643897
