[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170703,0.00011544,0.00063000,0.00006600,0.00039497,211.19179735,700453.24061999
20170704,0.00039421,0.00040000,0.00026499,0.00027700,624.61449224,1820056.21905089
20170705,0.00028142,0.00029571,0.00021101,0.00021824,432.39356597,1781303.94195400
20170706,0.00021824,0.00024500,0.00015061,0.00016281,402.59113633,2205729.29898263
20170707,0.00016450,0.00019500,0.00010110,0.00012800,199.65503676,1355300.84087116
20170708,0.00011747,0.00015400,0.00010508,0.00011000,282.93615929,2256677.25610258
20170709,0.00011686,0.00012500,0.00009700,0.00012000,231.17618377,2141101.74868974
20170710,0.00011699,0.00019499,0.00010504,0.00017100,946.16102199,5386428.40183443
20170711,0.00017100,0.00018994,0.00013947,0.00014600,440.62831446,2724835.01094068
20170712,0.00014500,0.00016999,0.00012003,0.00014866,174.71006940,1240403.86947727
20170713,0.00014032,0.00016978,0.00012680,0.00014614,417.93018193,2778698.80155909
20170714,0.00015724,0.00016500,0.00013121,0.00015790,211.04318438,1369770.29234001
20170715,0.00015589,0.00016244,0.00010700,0.00013896,167.93224053,1288334.89235147
20170716,0.00013850,0.00016000,0.00012315,0.00014673,323.94965632,2247452.98315720
20170717,0.00014630,0.00016000,0.00013000,0.00015858,184.77045009,1283767.39726634
20170718,0.00013739,0.00016500,0.00013734,0.00014501,159.91515257,1020060.41241010
20170719,0.00014501,0.00016500,0.00011701,0.00015400,367.41456663,2504720.91740477
20170720,0.00014558,0.00016500,0.00013502,0.00015101,32.55400801,205477.35787557
20170721,0.00015029,0.00016500,0.00012100,0.00013718,118.84675231,810299.63267122
20170722,0.00013725,0.00015237,0.00012000,0.00015237,46.96674861,339720.85328266
20170723,0.00013501,0.00015000,0.00013342,0.00014359,17.23811226,119290.65207043
20170724,0.00014995,0.00015440,0.00013015,0.00015387,72.91081186,501434.99272578
20170725,0.00014604,0.00015499,0.00013958,0.00014434,41.04499814,272727.93207751
20170726,0.00014422,0.00014422,0.00012118,0.00014148,41.59968027,311893.17973629
20170727,0.00014252,0.00015076,0.00013012,0.00014599,22.71506907,157152.16343943
20170728,0.00014139,0.00015300,0.00013502,0.00015198,68.10306558,466630.78110478
20170729,0.00014967,0.00015935,0.00013750,0.00013750,52.46167279,365579.28460761
20170730,0.00013819,0.00014256,0.00013194,0.00013807,42.28020433,310276.32586772
20170731,0.00014030,0.00014250,0.00013502,0.00013710,3.39616904,24438.17138740
20170801,0.00013710,0.00013710,0.00012000,0.00012300,53.50150306,422142.17876030
20170802,0.00012908,0.00013013,0.00011954,0.00012067,44.99606485,360376.68294483
