[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170711,0.00010000,0.00140000,0.00010000,0.00140000,51.20627122,45107.21819852
20170712,0.00140000,0.00161800,0.00083600,0.00121000,1659.59305405,1388588.96744802
20170713,0.00114503,0.00119967,0.00093465,0.00100600,227.69244884,212218.70845037
20170714,0.00100500,0.00100600,0.00075000,0.00081000,259.24187631,299009.08322296
20170715,0.00081000,0.00081000,0.00062000,0.00070156,113.88066908,159260.80134789
20170716,0.00073289,0.00078294,0.00051051,0.00067746,119.16461010,165841.29921577
20170717,0.00069780,0.00075050,0.00053250,0.00064555,55.39791509,82976.10783452
20170718,0.00063624,0.00069738,0.00054000,0.00060033,84.69686354,135776.89578380
20170719,0.00068873,0.00068877,0.00050012,0.00059000,65.45705175,113222.95122805
20170720,0.00059000,0.00061915,0.00053689,0.00056800,115.69062042,199829.67077462
20170721,0.00056800,0.00061664,0.00052200,0.00060303,130.90860544,224875.67620448
20170722,0.00057754,0.00063201,0.00055000,0.00059270,93.39868277,158038.47155558
20170723,0.00063359,0.00068000,0.00060014,0.00065001,96.53501992,145514.71986314
20170724,0.00067933,0.00068000,0.00062000,0.00068000,92.57649089,142243.12951013
20170725,0.00067995,0.00074779,0.00060029,0.00066946,196.54106543,286651.78030625
20170726,0.00066947,0.00066948,0.00062500,0.00063229,31.90291932,49549.81705660
20170727,0.00063276,0.00063999,0.00055227,0.00057555,141.45193009,236014.39704312
20170728,0.00060411,0.00070330,0.00056900,0.00069360,80.48089587,128684.61015980
20170729,0.00069000,0.00079610,0.00066109,0.00069672,114.57356527,160856.05920199
20170730,0.00069673,0.00072000,0.00055600,0.00065921,62.65129287,93615.44499634
20170731,0.00065921,0.00065921,0.00057000,0.00061651,74.62730234,121212.26315793
20170801,0.00061650,0.00063642,0.00056459,0.00056797,54.37676598,90847.75661086
20170802,0.00056545,0.00061963,0.00054500,0.00056500,83.68936695,151759.61679138
