[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170721,0.04400000,0.04400000,0.01000005,0.03497653,1359.49126333,40635.77740728
20170722,0.03365000,0.04300001,0.03302001,0.03800000,3796.17593419,100797.61117619
20170723,0.03800000,0.04097944,0.03600000,0.03900001,5315.46342476,138012.46455035
20170724,0.03900002,0.03988198,0.03630879,0.03790000,3368.98428454,89214.61372034
20170725,0.03792000,0.03899999,0.03400000,0.03554000,4023.13753230,111624.47063937
20170726,0.03600000,0.03696601,0.03340000,0.03542541,5006.35023876,145487.56454942
20170727,0.03542541,0.03905816,0.03505000,0.03822731,2072.33202431,55586.64676238
20170728,0.03822731,0.03900000,0.03600000,0.03670005,4213.08844921,113833.01717323
20170729,0.03670005,0.03914557,0.03505000,0.03563001,2438.41973360,65427.12094206
20170730,0.03563001,0.03746537,0.03505000,0.03658200,1977.15961089,54493.26691374
20170731,0.03658200,0.03801200,0.03600000,0.03717672,3288.42974164,88644.78462620
20170801,0.03700000,0.03850000,0.03420000,0.03500000,5289.80886938,147668.07857885
20170802,0.03500000,0.03790000,0.03390000,0.03700156,3892.98580329,108384.53684989
