[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170519,0.01287200,0.01287200,0.00128500,0.01198717,555.32884819,49293.29845286
20170520,0.01129818,0.01169820,0.00901000,0.01169820,1177.79394362,104813.21548527
20170521,0.01169820,0.01200000,0.00909990,0.01003800,1641.15099761,154648.03608847
20170522,0.01000000,0.01003000,0.00700000,0.00930003,1638.34259852,189272.67675420
20170523,0.00955000,0.01249820,0.00930001,0.01239819,2396.11405298,222554.51368416
20170524,0.01239819,0.01449820,0.01140102,0.01379992,2514.32536671,186691.84426988
20170525,0.01379992,0.01389872,0.01010000,0.01219972,856.69582416,72535.96066898
20170526,0.01219972,0.01338697,0.01099999,0.01234496,976.58710744,80692.97951262
20170527,0.01234496,0.01234496,0.01043330,0.01199462,394.86420076,35415.55213303
20170528,0.01100109,0.01199950,0.00743005,0.00900002,712.04217823,66864.46432954
20170529,0.00900002,0.01116184,0.00900002,0.00951828,396.30573923,41898.33869775
20170530,0.00921052,0.01018689,0.00800000,0.00810152,1884.66844258,198651.54928640
20170531,0.00810153,0.00984990,0.00760025,0.00959692,1485.64773224,164353.85113435
20170601,0.00900000,0.00998692,0.00890409,0.00980750,274.69640480,28831.20572504
20170602,0.00949997,0.00999692,0.00901679,0.00998000,224.18813331,22836.10860086
20170603,0.00998000,0.01048720,0.00950331,0.00980251,461.55212011,45564.53516875
20170604,0.01000000,0.01000000,0.00813100,0.00823425,161.19652125,18525.70308673
20170605,0.00839943,0.00930000,0.00835743,0.00890000,146.42686085,16721.14899686
20170606,0.00929689,0.01030000,0.00812889,0.00998423,314.93904777,34384.32186288
20170607,0.00994096,0.01068720,0.00890000,0.00961738,797.44796248,78270.37045873
20170608,0.01051999,0.01234493,0.00980104,0.01233849,1705.42322877,148012.33107727
20170609,0.01223929,0.01243333,0.01100000,0.01190000,511.77354550,42190.79229108
20170610,0.01190000,0.01238896,0.01050000,0.01190000,564.38049543,49333.59290001
20170611,0.01190000,0.01220000,0.01060000,0.01214800,1148.33227551,96576.86450643
20170612,0.01214800,0.01220000,0.00950000,0.00950000,1618.59513432,148899.33501959
20170613,0.00966064,0.01050000,0.00873349,0.01009799,336.82316783,33961.75015422
20170614,0.01000001,0.01041999,0.00890000,0.00917892,574.43685147,59498.54640166
20170615,0.00917892,0.01030000,0.00870001,0.00940001,253.91246774,27124.46119426
20170616,0.00950000,0.01000000,0.00900080,0.00911011,174.41204202,18647.30689891
20170617,0.00911000,0.00988333,0.00880000,0.00880012,211.69535117,22885.13348815
20170618,0.00880012,0.00929450,0.00811000,0.00820082,157.99147158,18486.03420238
20170619,0.00823858,0.00864463,0.00805100,0.00809995,496.25808293,60757.75204011
20170620,0.00809986,0.00848313,0.00771100,0.00771100,645.76567418,80265.14068735
20170621,0.00779855,0.01029991,0.00760027,0.00860000,697.80468799,76081.47745383
20170622,0.00860000,0.00991938,0.00860000,0.00930000,246.19169435,27155.11926009
20170623,0.00886578,0.00969307,0.00864753,0.00908500,597.01823567,66289.12316310
20170624,0.00909000,0.00969307,0.00870001,0.00904185,974.93936622,107607.17558248
20170625,0.00904181,0.00985000,0.00860100,0.00860100,417.27439424,46444.57010335
20170626,0.00860100,0.00985000,0.00800002,0.00922530,693.54089050,81345.58768915
20170627,0.00922530,0.00950000,0.00825100,0.00880000,389.75639047,43754.21566870
20170628,0.00880000,0.00999990,0.00880000,0.00913107,478.63972549,52713.85617723
20170629,0.00938470,0.00979995,0.00880000,0.00900000,125.86342842,13788.87553579
20170630,0.00918968,0.00918994,0.00820025,0.00820107,185.14289347,21440.53333910
20170701,0.00820189,0.00879921,0.00815901,0.00874510,105.62379606,12414.71497711
20170702,0.00867932,0.00899892,0.00810000,0.00855256,102.14624175,12372.59189174
20170703,0.00855116,0.00887876,0.00800000,0.00824041,140.02736266,17103.80912105
20170704,0.00850194,0.00865000,0.00810000,0.00823896,92.77628872,11076.16333908
20170705,0.00824026,0.00881063,0.00812002,0.00880000,103.20576990,12067.39042503
20170706,0.00880000,0.00945000,0.00844951,0.00929940,224.26801212,25311.77556790
20170707,0.00929940,0.00974750,0.00850010,0.00850986,251.07105104,27502.78661958
20170708,0.00851070,0.00900000,0.00840000,0.00884483,154.38503890,17890.76098681
20170709,0.00884484,0.00918578,0.00810010,0.00866326,196.66310282,22455.58759432
20170710,0.00866336,0.00900873,0.00750000,0.00770000,145.56829904,17442.18028942
20170711,0.00770000,0.01003568,0.00670005,0.00900000,1081.78243814,123341.92016466
20170712,0.00920805,0.00950000,0.00900000,0.00900000,423.01726311,46370.15747991
20170713,0.00900000,0.00981800,0.00900000,0.00970000,242.16659589,26210.30960842
20170714,0.00971000,0.00981700,0.00900000,0.00937851,422.55828573,45466.54141560
20170715,0.00937667,0.00948448,0.00900000,0.00900000,205.82663358,22759.45218232
20170716,0.00905000,0.00970000,0.00900000,0.00900050,326.70690268,35474.17301521
20170717,0.00900150,0.00959495,0.00900000,0.00900334,480.02908437,52734.20436366
20170718,0.00900335,0.00944667,0.00822043,0.00858466,497.73163604,55134.66728761
20170719,0.00900001,0.00949899,0.00848146,0.00940000,183.83673836,20735.90948117
20170720,0.00920008,0.00939513,0.00866100,0.00892780,390.24231118,42100.14492530
20170721,0.00893228,0.00966122,0.00876163,0.00964592,208.19415689,22204.30695602
20170722,0.00960000,0.00981920,0.00919920,0.00979165,318.98552182,33099.80016316
20170723,0.00979165,0.00998972,0.00912000,0.00940000,140.99618549,14544.96061244
20170724,0.00940004,0.00980000,0.00925844,0.00949525,91.28326539,9521.24193593
20170725,0.00977792,0.00977792,0.00760010,0.00820000,341.75151065,38187.02951316
20170726,0.00830000,0.00889916,0.00817000,0.00887233,239.92199395,28438.46886444
20170727,0.00880000,0.00889900,0.00810000,0.00822454,195.04622663,23092.88860097
20170728,0.00820005,0.00857995,0.00760000,0.00828999,230.57970570,28599.33045438
20170729,0.00828999,0.00849899,0.00782000,0.00794245,246.55359006,30165.85024113
20170730,0.00812584,0.00848000,0.00786559,0.00848000,95.10015043,11649.81755749
20170731,0.00848000,0.00850000,0.00795861,0.00829375,178.31212753,21235.02672910
20170801,0.00829444,0.00850000,0.00763600,0.00809757,177.22412363,22125.21381237
20170802,0.00782004,0.00809463,0.00730015,0.00807850,95.65100976,12445.64844299
