[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170603,0.00089550,0.00099980,0.00071345,0.00072596,636.08875089,813611.86434179
20170604,0.00072545,0.00153295,0.00072394,0.00114999,13411.58792387,12565835.70024394
20170605,0.00114999,0.00140000,0.00100000,0.00116348,7072.84297587,5883754.63075191
20170606,0.00116348,0.00119991,0.00095801,0.00096981,3719.37088265,3530877.61953572
20170607,0.00096981,0.00109890,0.00082000,0.00093950,2473.41732129,2643917.95169712
20170608,0.00093950,0.00100954,0.00083900,0.00085000,1401.56566355,1527724.05610095
20170609,0.00085999,0.00092471,0.00080001,0.00080002,856.53063569,993509.08602603
20170610,0.00080002,0.00081679,0.00055320,0.00055687,1886.10418227,2794348.85612869
20170611,0.00055690,0.00061865,0.00049000,0.00054360,1552.03522004,2857647.34560654
20170612,0.00052487,0.00059999,0.00041111,0.00046910,1187.65717080,2467164.71639077
20170613,0.00044438,0.00055999,0.00040215,0.00047746,1279.44139194,2651808.29687590
20170614,0.00049026,0.00051500,0.00046502,0.00047342,771.38791836,1580833.65417677
20170615,0.00048600,0.00070200,0.00046900,0.00062989,2008.64024163,3650374.41224006
20170616,0.00061020,0.00071080,0.00055778,0.00064755,2878.84044144,4449283.27240099
20170617,0.00063255,0.00065000,0.00055765,0.00057694,1281.03285078,2128303.87924099
20170618,0.00057696,0.00059252,0.00054321,0.00056999,360.83156581,637758.74361494
20170619,0.00054324,0.00056749,0.00049900,0.00050498,778.06264181,1459121.32390023
20170620,0.00050506,0.00057399,0.00049920,0.00056000,523.54745945,988908.33985741
20170621,0.00054271,0.00062900,0.00052433,0.00059000,701.58209129,1163977.89099914
20170622,0.00059494,0.00061234,0.00053390,0.00057405,645.06587478,1106434.29296881
20170623,0.00058948,0.00062000,0.00056150,0.00059001,471.02141609,789323.55773530
20170624,0.00061599,0.00062000,0.00058888,0.00060712,252.86126191,419895.05849312
20170625,0.00060500,0.00061869,0.00057701,0.00060499,659.67017274,1094272.06746387
20170626,0.00060499,0.00065000,0.00057500,0.00059933,1410.80887973,2349391.26485976
20170627,0.00061617,0.00063000,0.00052041,0.00053400,676.19799417,1171948.20117897
20170628,0.00054026,0.00059200,0.00053241,0.00056632,418.53022979,744381.81694305
20170629,0.00056301,0.00056700,0.00051002,0.00053600,286.52167963,543230.34880410
20170630,0.00052990,0.00053992,0.00048500,0.00048646,327.15474463,645158.32684920
20170701,0.00048646,0.00056060,0.00048029,0.00048099,366.89899644,727993.80691930
20170702,0.00049220,0.00050964,0.00040002,0.00041682,716.73116512,1566200.88027021
20170703,0.00043450,0.00048803,0.00043450,0.00045000,286.26982817,618662.56807987
20170704,0.00047100,0.00049785,0.00045277,0.00048317,330.40381076,686893.33798680
20170705,0.00048317,0.00053899,0.00047251,0.00049000,299.11280237,615751.39235210
20170706,0.00049000,0.00050000,0.00044001,0.00045000,556.73100960,1180223.00632719
20170707,0.00046013,0.00047000,0.00042001,0.00044761,284.81849958,642903.88391597
20170708,0.00044761,0.00046000,0.00041119,0.00043140,407.06902173,967350.65545027
20170709,0.00042700,0.00047200,0.00042243,0.00044274,307.46287614,684881.42984267
20170710,0.00045954,0.00047600,0.00042001,0.00043000,174.96908729,391826.92624416
20170711,0.00043879,0.00048200,0.00042000,0.00046333,682.78349213,1497849.53933590
20170712,0.00046194,0.00047566,0.00041769,0.00045563,304.52392212,685037.02318370
20170713,0.00046643,0.00048800,0.00043592,0.00044300,370.78955307,783945.75592057
20170714,0.00045313,0.00047493,0.00043517,0.00043565,200.77268876,447839.32098831
20170715,0.00043565,0.00045900,0.00042503,0.00045850,107.93979751,246211.28320546
20170716,0.00045849,0.00048970,0.00044471,0.00045208,242.07374690,514829.56077209
20170717,0.00045600,0.00048970,0.00044377,0.00047399,195.46371036,415493.63164079
20170718,0.00047399,0.00048319,0.00040100,0.00042988,469.45636709,1086133.07261956
20170719,0.00042988,0.00044987,0.00039000,0.00042483,294.41171815,711004.68907810
20170720,0.00041009,0.00046000,0.00040004,0.00044662,156.60627631,361292.46152752
20170721,0.00043324,0.00047999,0.00042636,0.00047813,127.85427029,275013.85698974
20170722,0.00047973,0.00059600,0.00047000,0.00059500,410.46746258,795434.34793363
20170723,0.00059600,0.00060333,0.00053405,0.00056599,555.65691531,982332.47563766
20170724,0.00056500,0.00072799,0.00054999,0.00064000,1332.85647849,2118998.11514131
20170725,0.00063001,0.00072100,0.00054511,0.00057429,897.30791376,1418040.37356430
20170726,0.00057411,0.00060011,0.00054288,0.00060011,217.53646390,381517.31285796
20170727,0.00060011,0.00061000,0.00054237,0.00054237,303.82383682,525081.27813322
20170728,0.00055000,0.00057160,0.00051000,0.00056864,398.45094110,736944.19747384
20170729,0.00055152,0.00057159,0.00052003,0.00053743,173.73157452,314190.26848719
20170730,0.00052003,0.00055130,0.00050310,0.00052490,203.68348243,387345.02672471
20170731,0.00050776,0.00053559,0.00049875,0.00052586,177.99196288,347310.76381112
20170801,0.00052000,0.00060001,0.00048066,0.00053430,1048.52053454,1916628.65560725
20170802,0.00053001,0.00059900,0.00050000,0.00053000,234.27285048,433965.97732746
