[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170622,0.05000000,0.05000000,0.01000000,0.01050000,1314.34807157,92141.67807282
20170623,0.01317999,0.01391999,0.01203013,0.01241292,5346.89726295,412442.08570081
20170624,0.01241292,0.01241292,0.01058763,0.01126125,3561.46133080,305695.95489868
20170625,0.01126125,0.01139919,0.01001001,0.01015000,3059.40923691,290873.49706986
20170626,0.01026995,0.01050000,0.00903981,0.01047999,3162.41492696,315354.64180124
20170627,0.01047999,0.01149492,0.01020401,0.01105500,2027.79558899,190639.81743854
20170628,0.01105178,0.01180000,0.01060000,0.01101068,3426.23009051,308760.26614613
20170629,0.01101068,0.01132000,0.01065052,0.01083000,1632.00439696,149160.94491044
20170630,0.01083050,0.01109298,0.01011241,0.01011241,1207.47488301,114506.82200208
20170701,0.01011241,0.01070000,0.01010000,0.01050000,1875.50900732,184761.28450832
20170702,0.01049984,0.01050000,0.01019001,0.01029000,1376.61437891,134428.17433081
20170703,0.01034990,0.01059642,0.01000000,0.01047990,1574.62249481,154931.91013072
20170704,0.01047980,0.01059640,0.01031001,0.01059640,553.94051753,53045.68871494
20170705,0.01059640,0.01080000,0.01035003,0.01050401,1242.07466772,118277.59930581
20170706,0.01051000,0.01060950,0.01025002,0.01050000,468.75570206,44959.44185556
20170707,0.01045000,0.01059000,0.01017200,0.01017527,1461.68166425,141744.92948300
20170708,0.01020000,0.01046961,0.01002004,0.01021001,685.21256877,67147.64290843
20170709,0.01032799,0.01032998,0.01013002,0.01013100,298.61326803,29296.67118658
20170710,0.01013500,0.01030000,0.00997349,0.01001358,1652.75805982,164472.33593955
20170711,0.01000400,0.01027924,0.00990005,0.01015007,650.72429425,65069.45637701
20170712,0.01006300,0.01015397,0.00996000,0.01000001,598.78617804,59684.62965667
20170713,0.01009000,0.01015397,0.01000001,0.01000062,356.07957364,35512.80082959
20170714,0.01000062,0.01015393,0.00990001,0.01008988,520.87253562,52297.27395208
20170715,0.01008988,0.01015000,0.00990002,0.01012000,1305.12936755,129802.55987371
20170716,0.01012000,0.01014990,0.00990052,0.01004700,1187.13679713,118423.71425734
20170717,0.01004700,0.01004700,0.00990503,0.00992001,326.23505289,32825.67363212
20170718,0.00992101,0.01008995,0.00980205,0.00984204,985.72860278,99497.02071108
20170719,0.00999671,0.01008983,0.00700010,0.00930000,2202.90922670,232334.79303343
20170720,0.00950914,0.00984733,0.00899095,0.00923542,1595.12551440,174020.86594200
20170721,0.00923568,0.00957999,0.00900003,0.00910000,773.25259795,84231.35448424
20170722,0.00901039,0.00959961,0.00901039,0.00932528,581.16380944,63507.80433516
20170723,0.00932529,0.01000000,0.00920087,0.00989000,1231.33095260,129436.06419110
20170724,0.00997704,0.01007799,0.00960001,0.00999296,982.50914344,98370.08971363
20170725,0.01004999,0.01005000,0.00966915,0.00976640,602.75478728,61016.80226766
20170726,0.00994930,0.00994930,0.00961110,0.00964833,289.68429974,29619.65963356
20170727,0.00988888,0.00989874,0.00967901,0.00987784,221.44698936,22683.08576791
20170728,0.00987784,0.00991000,0.00903200,0.00903200,509.14678398,52246.53772557
20170729,0.00905901,0.00956700,0.00900923,0.00926536,403.46481292,43657.53648817
20170730,0.00917720,0.00945851,0.00900923,0.00904401,224.28200260,24622.74875914
20170731,0.00918459,0.00934000,0.00900924,0.00907179,233.05559843,25564.65915573
20170801,0.00906735,0.00930956,0.00906735,0.00908319,638.02691093,69780.72073567
20170802,0.00908319,0.00915000,0.00876420,0.00912200,721.06240170,80137.22333817
