[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170619,0.44500653,0.44500653,0.00068001,0.00099800,909.17201458,1049667.41698970
20170620,0.00099800,0.00139800,0.00070000,0.00079000,1755.34759789,1823360.77893712
20170621,0.00079051,0.00083692,0.00071000,0.00072000,902.67439739,1205918.26302547
20170622,0.00072000,0.00082500,0.00061000,0.00065551,1162.77462357,1617809.00344817
20170623,0.00065714,0.00080263,0.00063580,0.00075976,405.89163356,574478.80825525
20170624,0.00075933,0.00112000,0.00074500,0.00096001,1332.98568816,1483598.36492054
20170625,0.00099005,0.00099005,0.00080297,0.00090000,683.20338664,764317.39231352
20170626,0.00084575,0.00087331,0.00071614,0.00073000,431.23644907,542737.02278356
20170627,0.00075024,0.00083390,0.00072000,0.00079500,227.57156208,295448.24984853
20170628,0.00078512,0.00079500,0.00062400,0.00063000,298.17794315,428740.54700918
20170629,0.00063500,0.00069412,0.00061510,0.00068868,319.79822265,504200.57084170
20170630,0.00062855,0.00069200,0.00057960,0.00062110,237.09087884,374162.15857585
20170701,0.00062116,0.00069000,0.00057517,0.00061000,173.84352459,279160.53148153
20170702,0.00062350,0.00067168,0.00057963,0.00066478,144.63353021,233296.64541053
20170703,0.00064819,0.00070000,0.00062000,0.00069977,159.43655807,240267.35229575
20170704,0.00069977,0.00070464,0.00060000,0.00068000,317.44410818,478060.95200833
20170705,0.00065909,0.00068000,0.00058504,0.00060627,359.02532801,563192.38703147
20170706,0.00060577,0.00065406,0.00058600,0.00061925,110.48285301,180988.97371924
20170707,0.00061000,0.00061000,0.00052001,0.00057769,128.69601704,225152.31282158
20170708,0.00056690,0.00056747,0.00050199,0.00056700,82.82747924,150716.90253156
20170709,0.00055015,0.00055070,0.00053410,0.00054000,302.27100785,556278.15839869
20170710,0.00055000,0.00055000,0.00046580,0.00048362,150.03522245,296448.03780326
20170711,0.00048362,0.00049715,0.00037264,0.00042282,246.28877272,571805.79651357
20170712,0.00040862,0.00058000,0.00035000,0.00048518,278.05933198,600642.78683074
20170713,0.00048110,0.00055331,0.00045000,0.00046942,78.83046872,165749.11352611
20170714,0.00047966,0.00054000,0.00045000,0.00049367,260.53468659,518640.16389547
20170715,0.00049700,0.00053809,0.00043005,0.00043069,169.04877561,332060.17296204
20170716,0.00047575,0.00052000,0.00043211,0.00045003,162.36355193,324092.28489007
20170717,0.00049381,0.00050500,0.00043500,0.00050000,65.81146741,136538.77549912
20170718,0.00048174,0.00050000,0.00038462,0.00042783,105.84672225,236394.35950111
20170719,0.00042646,0.00045124,0.00036000,0.00044989,351.83219523,861222.98140772
20170720,0.00041993,0.00050000,0.00038558,0.00047332,68.64535259,152807.78153730
20170721,0.00045551,0.00049731,0.00040766,0.00044688,16.41199912,34990.80254434
20170722,0.00045998,0.00048879,0.00040000,0.00047000,97.38537862,215021.62734770
20170723,0.00047000,0.00048888,0.00044139,0.00044485,122.22447407,260005.92944915
20170724,0.00044485,0.00055000,0.00037865,0.00050568,328.55968408,702518.43203590
20170725,0.00054997,0.00064590,0.00045000,0.00052958,448.14152363,790598.47767932
20170726,0.00051274,0.00051443,0.00045000,0.00046100,64.91246502,135378.01374495
20170727,0.00047000,0.00047952,0.00044000,0.00044000,75.49895118,165527.65718352
20170728,0.00044000,0.00048558,0.00041464,0.00047716,49.96041306,113236.99429938
20170729,0.00047716,0.00047716,0.00040000,0.00040859,95.58783919,218648.63499457
20170730,0.00040858,0.00043451,0.00038000,0.00040207,95.33327398,239645.75001736
20170731,0.00041315,0.00041753,0.00040010,0.00040301,57.85662981,143271.96764907
20170801,0.00041001,0.00046999,0.00038500,0.00039048,104.36420925,248493.72208479
20170802,0.00039148,0.00045160,0.00038501,0.00045160,73.57864601,175095.20998478
