[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170613,0.00030000,0.00500000,0.00030000,0.00320009,66.50789658,18769.20960929
20170614,0.00409999,0.00600000,0.00320048,0.00420078,379.38867426,86688.66936550
20170615,0.00420078,0.00505000,0.00380006,0.00380006,74.52364293,16978.28637347
20170616,0.00380006,0.00409694,0.00360077,0.00390016,30.00998661,7853.43026754
20170617,0.00389176,0.00390013,0.00350555,0.00373037,202.65723929,54398.27912351
20170618,0.00373037,0.00373037,0.00231166,0.00294513,149.13169423,41790.34828544
20170619,0.00294509,0.00350000,0.00257026,0.00267792,38.63488997,13016.19835387
20170620,0.00269021,0.00318236,0.00100003,0.00264761,319.45165435,173190.79326792
20170621,0.00101377,0.00264751,0.00100922,0.00225000,187.27813365,97083.67560520
20170622,0.00221000,0.00270319,0.00215851,0.00234161,43.25695425,17672.12974605
20170623,0.00235552,0.00246099,0.00105022,0.00216408,350.54370968,199771.32555707
20170624,0.00207941,0.00235000,0.00207941,0.00217000,7.64031551,3439.70801770
20170625,0.00225853,0.00249996,0.00210831,0.00230302,15.87800331,6980.82959660
20170626,0.00235001,0.00248973,0.00205000,0.00211458,17.96941415,8139.86597924
20170627,0.00211458,0.00233133,0.00110149,0.00142405,981.86592490,551176.56543389
20170628,0.00215961,0.00215961,0.00147104,0.00194800,41.23878215,21448.44558927
20170629,0.00180003,0.00365436,0.00180003,0.00240202,116.26398549,42699.30639159
20170630,0.00278215,0.00339995,0.00217947,0.00240042,107.30790479,37466.46226716
20170701,0.00240070,0.00291970,0.00219520,0.00262758,26.47472230,10215.84497559
20170702,0.00265087,0.00279976,0.00223104,0.00223104,5.93047677,2381.42836347
20170703,0.00239999,0.00272960,0.00223092,0.00230000,33.70522247,14842.72847669
20170704,0.00230000,0.00244656,0.00225638,0.00237574,5.23208365,2196.05454482
20170705,0.00237579,0.00256554,0.00223140,0.00250197,8.11080815,3330.95415115
20170706,0.00259747,0.00341518,0.00230454,0.00299450,49.59769431,17206.75006551
20170707,0.00272682,0.00299410,0.00202076,0.00235801,21.73820264,9303.02501385
20170708,0.00249996,0.00249996,0.00208390,0.00220000,1.52635806,693.66616077
20170709,0.00219998,0.00269888,0.00208902,0.00216738,4.38374232,1827.02884812
20170710,0.00226013,0.00299555,0.00217333,0.00222701,1252.11415076,480323.16899691
20170711,0.00217002,0.00300281,0.00216549,0.00235154,42.60562480,16532.60128134
20170712,0.00230000,0.00259980,0.00220001,0.00242006,16.10905011,6982.01687591
20170713,0.00220008,0.00242077,0.00205030,0.00205030,12.11072983,5368.73021541
20170714,0.00241424,0.00241424,0.00205052,0.00208128,2.54565991,1192.15452167
20170715,0.00229917,0.00230000,0.00208643,0.00210658,5.10271150,2279.36272648
20170716,0.00223270,0.00240949,0.00200005,0.00212426,6.38050883,2794.79055452
20170717,0.00232988,0.00242160,0.00200012,0.00205000,11.06774652,5009.17673849
20170718,0.00211069,0.00211074,0.00150001,0.00158299,25.56992370,14267.34407837
20170719,0.00170894,0.00192010,0.00158842,0.00188839,6.85408201,3889.55233750
20170720,0.00200000,0.00205535,0.00186591,0.00190699,8.89490860,4423.79823757
20170721,0.00193770,0.00224989,0.00187563,0.00192496,44.53717737,21770.20107456
20170722,0.00216113,0.00270000,0.00175945,0.00192995,151.71579717,71920.84579031
20170723,0.00208731,0.00239877,0.00175945,0.00199986,394.16861829,192161.02967986
20170724,0.00206966,0.00221584,0.00190172,0.00201524,70.55405635,33519.10625693
20170725,0.00201527,0.00207810,0.00201524,0.00205516,3.50627735,1739.56999519
20170726,0.00205028,0.00210855,0.00190000,0.00190000,11.74762058,6010.36977141
20170727,0.00202831,0.00210855,0.00190001,0.00203513,8.82235316,4333.43486038
20170728,0.00190600,0.00238008,0.00190500,0.00201780,10.11419539,4875.19052601
20170729,0.00215777,0.00250001,0.00192000,0.00200001,861.29090692,399650.96489196
20170730,0.00200001,0.00209533,0.00192960,0.00202269,43.58143006,21798.60526387
20170731,0.00193394,0.00205000,0.00186200,0.00186200,8.72140825,4526.21398456
20170801,0.00186203,0.00200072,0.00140034,0.00159000,46.53352236,29089.36907363
20170802,0.00154589,0.00177121,0.00135000,0.00149548,159.83633257,106183.56777832
