[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170716,0.00180000,0.00280000,0.00090000,0.00099990,109.97915902,103160.28934327
20170717,0.00099990,0.00130000,0.00065005,0.00092500,5956.80787154,6728680.21745670
20170718,0.00092500,0.00110000,0.00069005,0.00077322,3407.80730273,3614525.58862873
20170719,0.00077322,0.00084000,0.00068000,0.00073000,1249.65617348,1637251.94374226
20170720,0.00073496,0.00081000,0.00065713,0.00066477,1058.35987652,1454183.06483243
20170721,0.00071349,0.00072864,0.00064977,0.00070975,848.04041639,1246346.36543708
20170722,0.00070667,0.00087000,0.00068522,0.00081877,746.96804185,968342.19935432
20170723,0.00080624,0.00085151,0.00076000,0.00080408,973.82241489,1207790.92457635
20170724,0.00081454,0.00105000,0.00079500,0.00091851,1946.96436863,2113557.80286050
20170725,0.00091951,0.00095523,0.00080000,0.00084500,1606.01744243,1854125.05952338
20170726,0.00084500,0.00087652,0.00080462,0.00083114,362.79608732,433945.63332712
20170727,0.00083574,0.00086000,0.00080301,0.00080301,638.90965451,777785.30848413
20170728,0.00080301,0.00084000,0.00076500,0.00079999,747.47454752,935458.34439123
20170729,0.00080000,0.00083885,0.00079002,0.00082162,248.68713670,303134.14960230
20170730,0.00081501,0.00085860,0.00077204,0.00085000,405.81734828,503691.10823630
20170731,0.00082500,0.00085990,0.00081282,0.00081535,305.82175509,365509.34813202
20170801,0.00082750,0.00082910,0.00073801,0.00076000,691.03997577,891399.99692879
20170802,0.00076000,0.00077000,0.00072995,0.00072995,498.61661044,670508.26896036
