[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170714,0.08521000,8.05200000,0.08521000,0.88999826,12.30110987,13.87242148
20170715,0.80100392,0.99991084,0.75500051,0.81980000,93.78240229,114.87068177
20170716,0.81980000,0.89639995,0.80360154,0.84600000,251.52660395,296.72056257
20170717,0.83000001,0.86163788,0.80600498,0.80600498,78.34019438,93.52437448
20170718,0.81000498,0.85120761,0.65000000,0.70581045,94.03088547,120.00347783
20170719,0.71075545,0.84999994,0.68888889,0.79914722,33.84559758,43.81539060
20170720,0.79914722,0.94999432,0.75710253,0.80996646,736.87951540,832.36695684
20170721,0.86685577,0.89767406,0.79984553,0.88899582,66.70961091,78.42783902
20170722,0.87000000,0.88897736,0.82004000,0.82004006,58.55447174,67.66759935
20170723,0.82006206,0.90000000,0.82006199,0.84000000,174.64335444,202.65605619
20170724,0.84983410,0.96999952,0.83024664,0.95488221,252.12497602,268.11043837
20170725,0.91053810,0.97000000,0.90010000,0.94993000,271.03296640,285.49015192
20170726,0.94993000,1.00000000,0.92829367,0.94969650,295.26407196,307.62007184
20170727,0.94900000,0.99255404,0.93581499,0.94530010,46.77312787,48.03079717
20170728,0.94530011,0.99255150,0.93820844,0.94300084,103.56364616,107.41682544
20170729,0.97481314,0.97500000,0.88000143,0.88000152,115.50787003,124.11065631
20170730,0.88003200,0.92994199,0.86683434,0.88756061,161.84283671,177.31501904
20170731,0.86677947,0.90511185,0.86677947,0.87560000,64.82251386,72.63348355
20170801,0.87560000,0.89499887,0.79238177,0.81848008,122.09211311,144.18365685
20170802,0.81848008,0.84557063,0.76000000,0.83229901,117.29021885,143.59121073
